taxon,found
Metridium senile,no record
Balanophyllia elegans,no record
Ptilosarcus gurneyi,no record
Serpula columbiana,no record
Dodecaceria fewkesi,no record
Eudistylia vancouveri,no record
Schizobranchia insignis,no record
Chlamys,no record
Crassadoma gigantea,no record
Diodora aspera,no record
Nucella lamellosa,no record
Peltodoris nobilis,no record
Doris montereyensis,no record
Dendronotus iris,no record
Dirona albolineata,no record
Hermissenda crassicornis,no record
Scyra acutifrons,no record
Phyllolithodes papillosus,no record
Pagurus armatus,no record
Balanus nubilus,no record
Pisaster ochraceus,no record
Pisaster brevispinus,no record
Evasterias troschelii,no record
Orthasterias koehleri,no record
Dermasterias imbricata,no record
Henricia aspera aspera,no record
Pycnopodia helianthoides,no record
Crossaster papposus,no record
Solaster dawsoni,no record
Solaster stimpsoni,no record
Mesocentrotus franciscanus,no record
Apostichopus californicus,no record
Cucumaria miniata,no record
Corella willmeriana,no record
Ascidia paratropa,no record
Cnemidocarpa finmarkiensis,no record
Rhinogobiops nicholsii,no record
Sebastes caurinus,no record
Artedius harringtoni,no record
Jordania zonope,no record
Clathria pennata,no record
Abietinaria,no record
Aequorea,no record
Aurelia labiata,no record
Pachycerianthus fimbriatus,no record
Anthopleura artemisia,no record
Urticina clandestina,no record
Metridium farcimen,no record
Thelepus,no record
Pileolaria,no record
Tonicella insignis,no record
Tonicella lineata,no record
Mopalia,no record
Cryptochiton stelleri,no record
Euspira pallida,no record
Ceratostoma foliatum,no record
Cadlina luteomarginata,no record
Diaulula odonoghuei,no record
Dendronotus rufus,no record
Armina californica,no record
Coryphella verrucosa,no record
Pododesmus macrochisma,no record
Tresus capax,no record
Enteroctopus dofleini,no record
Balanus glandula,no record
Chromopleustes oculatus,no record
Pandalus danae,no record
Pagurus beringanus,no record
Pugettia producta,no record
Pugettia gracilis,no record
Glebocarcinus oregonensis,no record
Crisia,no record
Membranipora villosa,no record
Schizoporella japonica,no record
Florometra serratissima,no record
Perophora annectens,no record
Metandrocarpa taylori,no record
Styela gibbsii,no record
Boltenia villosa,no record
Halocynthia igaboja,no record
Pyura haustor,no record
Didemnum carnulentum,no record
Aulorhynchus flavidus,no record
Apodichthys flavidus,no record
Rhacochilus vacca,no record
Cymatogaster aggregata,no record
Brachyistius frenatus,no record
Sebastes maliger,no record
Hexagrammos stelleri,no record
Oxylebius pictus,no record
Sycon,no record
Cliona californiana,no record
Halichondria bowerbanki,no record
Haliclona,no record
Virgularia,no record
Lafoea dumosa,no record
Cyanea ferruginea,no record
Clytia gregaria,no record
Diopatra ornata,no record
Chone aurantiaca,no record
Pectinariidae,no record
Spiochaetopterus costarum,no record
Terebratalia transversa,no record
Mopalia vespertina,no record
Lepidozona mertensii,no record
Bankia setacea,no record
Gastropteron pacificum,no record
Geitodoris heathi,no record
Acanthodoris nanaimoensis,no record
Heptacarpus kincaidi,no record
Heptacarpus tridens,no record
Pandalus stenolepis,no record
Metacarcinus gracilis,no record
Petrolisthes eriomerus,no record
Lopholithodes mandtii,no record
Cryptolithodes sitchensis,no record
Pagurus kennerlyi,no record
Mediaster aequalis,no record
Luidia foliolata,no record
Ophiura sarsii,no record
Ophiura luetkenii,no record
Eupentacta quinquesemita,no record
Psolus chitonoides,no record
Didemnum,no record
Sebastes emphaeus,no record
Asemichthys taylori,no record
Rhamphocottus richardsonii,no record
Lepidopsetta bilineata,no record
Pleuronichthys coenosus,no record
