Group,Taxon,Country,Prov_State,District,LocationName,LocationRemarks,Latitude,Longitude,UTMZone,UTMNorthing,UTMEasting,Collector/Observer,Date,CatalogueNumber,HabitatRemarks,Substrate,ObservationNotes,SpecimenNotes,CuratorRemarks,GeoreferencingRemarks,Source,Type
BIRDS,Bubo scandiacus,Canada,British Columbia,Gulf Islands,Valdes Island,,49.7333333333333,-123.666666666667,,,,Hamilton Mack Laing,1929-12-15,013019,,,,,,,RBCM - Bird collections,Collection
MARINE INVERTEBRATES,Arhynchite sp.,Canada,British Columbia,Gulf Islands,Valdes Island,between Valdez (sic) Island and Steveston Island ,49.2116666666667,-123.461666666667,,,, Philip Lambert,1974-01-28,974-00010-004,,,,,,,RBCM - Marine invertebrate collections,Collection
MARINE INVERTEBRATES,Lepidonotus squamatus,Canada,British Columbia,Gulf Islands,Valdes Island,,49.0166666666667,-123.616666666667,,,,,1920-05-19,974-00281-001,,,,,,,RBCM - Marine invertebrate collections,Collection
MARINE INVERTEBRATES,Molpadia intermedia,Canada,British Columbia,Gulf Islands,Valdes Island,between Valdez (sic) Island and Steveston Island ,49.2116666666667,-123.461666666667,,,, Philip Lambert,1974-01-28,974-00010-005,,,,,,,RBCM - Marine invertebrate collections,Collection
MARINE INVERTEBRATES,Syllis armillaris,Canada,British Columbia,Gulf Islands,Valdes Island,,49.0166666666667,-123.616666666667,,,,,1920-05-19,974-00281-002,,,,,,,RBCM - Marine invertebrate collections,Collection
MARINE INVERTEBRATES,Thysanocardia nigra,Canada,British Columbia,Gulf Islands,Valdes Island,between Valdez (sic) Island and Steveston Island ,49.2116666666667,-123.461666666667,,,, Philip Lambert,1974-01-28,974-00010-003,,,,,reported as Golfingia pugettensis,,RBCM - Marine invertebrate collections,Collection
MARINE INVERTEBRATES,Travisia pupa,Canada,British Columbia,Gulf Islands,Valdes Island,between Valdez (sic) Island and Steveston Island ,49.2116666666667,-123.461666666667,,,, Philip Lambert,1974-01-28,974-00010-002,,,,,,,RBCM - Marine invertebrate collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Robin Weber,2018-06-17,ENT018-004282,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Robin Weber,2018-06-17,ENT018-004265,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Robin Weber,2018-06-17,ENT018-004280,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000377,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000375,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000385,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000381,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000369,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000387,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aedes sierrensis,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000374,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Alopecosa kochi,Canada,British Columbia,Gulf Islands,Valdes Island,,49.043553,-123.62925,,,, Andrew Simon; John Reynolds,2017-06-24,ENT017-008683,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Bateman cabin,49.0411111111111,-123.608055555556,,,, Joel Gibson; Mark Bateman,2016-06-05,ENT016-000164,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Bateman cabin,49.0411111111111,-123.608055555556,,,, Joel Gibson; Anabel Gibson,2017-06-23,ENT017-003790,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Bateman cabin,49.0411111111111,-123.608055555556,,,, Joel Gibson; Anabel Gibson,2017-06-23,ENT017-003793,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Bateman cabin,49.0411111111111,-123.608055555556,,,, Joel Gibson; Anabel Gibson,2017-06-23,ENT017-003919,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Bateman cabin,49.0411111111111,-123.608055555556,,,, Joel Gibson; Anabel Gibson,2017-06-23,ENT017-003818,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Joel Gibson,2017-06-25,ENT017-002665,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Joel Gibson,2017-06-25,ENT017-002659,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0630555555556,-123.656111111111,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-05,ENT016-000318,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000370,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; Anabel Gibson,2017-06-24,ENT017-002540,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; Anabel Gibson,2017-06-24,ENT017-002534,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; Anabel Gibson,2017-06-24,ENT017-002531,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000373,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000396,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000391,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; Anabel Gibson,2017-06-24,ENT017-002539,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; Anabel Gibson,2017-06-24,ENT017-002527,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anaspis sp.,Canada,British Columbia,Gulf Islands,Valdes Island,"Sweep, mixed forest meadow trail from DeJong-Westman cabin to Blackberry Point",49.0580555555556,-123.623888888889,,,, Joel Gibson; J Canning; Lynn Falconer,2016-06-04,ENT016-000393,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Ancistrocerus sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Joel Gibson,2017-06-25,ENT017-002688,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Anisolabis maritima,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Joel Gibson,2017-06-25,ENT017-002651,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aquarius remigis,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Joel Gibson,2017-06-25,ENT017-002670,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aquarius remigis,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Robin Weber,2018-06-17,ENT018-001908,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aquarius remigis,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Robin Weber,2018-06-17,ENT018-001907,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aquarius remigis,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Joel Gibson,2017-06-25,ENT017-002694,,,,,,,RBCM - Arthropod collections,Collection
TERRESTRIAL ARTHROPODS,Aquarius remigis,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay beach,49.0580555555556,-123.623888888889,,,, Joel Gibson,2017-06-25,ENT017-002655,,,,,,,RBCM - Arthropod collections,Collection
