Group,Taxon,Common name,Country,Prov_State,District,LocationName,LocationRemarks,Latitude,Longitude,UTMZone,UTMNorthing,UTMEasting,Collector/Observer,Date,CatalogueNumber,HabitatRemarks,Substrate,ObservationNotes,SpecimenNotes,CuratorRemarks,Source
ALGAE,Agarum cribrosum,,Canada,British Columbia,Gulf Islands,Valdes Island,"Valdes cliffs, valdes island",,,,,,Brent Patriquem,1972-08-20,A38647,subtidal,,,,,UBC - algae collections
ALGAE,Agarum cribrosum,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,Brent Patriquem,1972-06-20,A48451,subtidal,,,,,UBC - algae collections
ALGAE,Analipus japonicus,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48453,subtidal,,,,,UBC - algae collections
ALGAE,Colpomenia peregrina,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48640,subtidal,,,,,UBC - algae collections
ALGAE,Enteromorpha compressa,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48641,,,,,,UBC - algae collections
ALGAE,Enteromorpha linza,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48642,Subtidal,,,,,UBC - algae collections
ALGAE,Ulvaria obscura,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48643,Subtidal,,,,,UBC - algae collections
ALGAE,Ulvaria obscura,,Canada,British Columbia,Gulf Islands,Valdes Island,"Valdes cliffs, valdes island",,,,,,B. Patriquem,1972-08-20,A48644,Subtidal,,,,,UBC - algae collections
ALGAE,Gigartina papillata,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48645,subtidal,,,,,UBC - algae collections
ALGAE,Grateloupia postelsii,,Canada,British Columbia,Gulf Islands,Valdes Island,"Valdes cliffs, valdes island",,,,,,B. Patriquem,1972-08-10,A48646,subtidal,,,,,UBC - algae collections
ALGAE,Grateloupia postelsii,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48648,,,,,,UBC - algae collections
ALGAE,Griffithsia pacifica,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48649,subtidal,,,,,UBC - algae collections
ALGAE,Gymnogongrus leptophyllus,,Canada,British Columbia,Gulf Islands,Valdes Island,"Valdes cliffs, valdes island",,,,,,B. Patriquem,1972-08-20,A48650,subtidal,,,,,UBC - algae collections
ALGAE,Haraldiophyllum mirabile,,Canada,British Columbia,Gulf Islands,Valdes Island,"Valdes cliffs, valdes island",,,,,,B. Patriquem,1972-08-20,A48651,subtidal,,,,,UBC - algae collections
ALGAE,Haraldiophyllum mirabile,,Canada,British Columbia,Gulf Islands,Valdes Island,Valdes island,,,,,,B. Conley,1974-05-14,A48652,"subtidal,15 m",,,,,UBC - algae collections
ALGAE,Haraldiophyllum mirabile,,Canada,British Columbia,Gulf Islands,Valdes Island,Valdes island,,,,,,B. Conley,1974-05-14,A48653,"subtidal,15 m",,,,,UBC - algae collections
ALGAE,Herposiphonia plumula,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48654,subtidal,,,,,UBC - algae collections
ALGAE,Mazzaella splendens,,Canada,British Columbia,Gulf Islands,Valdes Island,"Valdes Island, Valdes Cliffs",,,,,,B. Patriquin,1972-08-20,A48655,subtidal,,,,,UBC - algae collections
ALGAE,Laurencia spectabilis,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48656,subtidal,,,,,UBC - algae collections
ALGAE,Lomentaria hakodatensis,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48657,,,,,,UBC - algae collections
ALGAE,Lomentaria hakodatensis,,Canada,British Columbia,Gulf Islands,Valdes Island,"Valdes cliffs, valdes island",,,,,,B. Patriquem,1972-08-20,A48658,,,,,,UBC - algae collections
ALGAE,Opuntiella californica,,Canada,British Columbia,Gulf Islands,Valdes Island,Valdes island,,,,,,J. Root,1905-05-27,A48659,,,,,,UBC - algae collections
ALGAE,Phycodrys isabellae,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Valdes Island, Strait of Georgia",49.06,-123.6,,,,N. Stainton,1974-05-15,A48660,,,,,,UBC - algae collections
ALGAE,Pleonosporium vancouverianum,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48661,subtidal collection,,,,,UBC - algae collections
ALGAE,Plocamium oregonum,,Canada,British Columbia,Gulf Islands,Valdes Island,Valdes island,,,,,,B. Conley,1974-05-14,A48662,15 m,,,,,UBC - algae collections
ALGAE,Polyneura latissima,,Canada,British Columbia,Gulf Islands,Valdes Island,"Valdes cliffs, valdes island",,,,,,B. Patriquem,1972-08-20,A48663,subtidal,,,,,UBC - algae collections
ALGAE,Polyneura latissima,,Canada,British Columbia,Gulf Islands,Valdes Island,"S. Gulf Islands, Ruxton Island, between Vancouver Island and Valdes Island",,,,,,B. Patriquem,1972-07-20,A48664,subtidal,,,,,UBC - algae collections
