id,time_observed_at,observed_on,user_login,user_name,quality_grade,coordinates_obscured,image_url,positional_accuracy,scientific_name,common_name,taxon_id,latitude,longitude,private_latitude,private_longitude
4855874,2016-12-27T19:03:00-08:00,2016-12-27,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/5895033/square.jpg?1482894260,184,Eumetopias jubatus,Steller Sea Lion,41755,49.0205655938,-123.5902762409,,
6780136,2017-06-24T10:59:33-07:00,2017-06-24,jgibson,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8620297/square.jpg?1498332994,30,Papilio eurymedon,Pale Swallowtail,55521,49.0598464665,-123.634795854,,
6794956,2017-06-25T11:41:16-07:00,2017-06-25,jgibson,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8642273/square.jpg?1498416633,50,Papilio rutulus,Western Tiger Swallowtail,47226,49.0576980589,-123.6238038262,,
6810115,2017-06-25T16:34:00-07:00,2017-06-25,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8665716/square.jpg?1498499276,,Chalcophora angulicollis,Western Sculptured Pine Borer,82080,49.0573194444,-123.6192027778,,
6811869,2017-06-24T17:44:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8666867/square.jpg?1498502529,,Aspidotis densa,serpentine fern,63868,49.0497138889,-123.6160972222,,
6811880,2017-06-24T08:42:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668416/square.jpg?1498507773,,Papilio eurymedon,Pale Swallowtail,55521,49.0578566667,-123.62406,,
6811881,2017-06-24T12:54:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668422/square.jpg?1498507787,,Zonotrichia leucophrys,White-crowned Sparrow,9176,49.04115,-123.6438366667,,
6811882,2017-06-24T12:27:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668438/square.jpg?1498507814,,Larus glaucescens,Glaucous-winged Gull,4399,49.04178,-123.6434983333,,
6811884,2017-06-24T12:32:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668453/square.jpg?1498507834,,Achillea millefolium,Common Yarrow,52821,49.0409916667,-123.64371,,
6811958,2017-06-24T12:28:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668568/square.jpg?1498508129,,Leymus mollis,American dune grass,61067,49.041805,-123.643465,,
6813555,2017-06-24T06:21:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670934/square.jpg?1498515976,,Digitalis purpurea,purple foxglove,53983,49.0619722222,-123.6280972222,,
6813556,2017-06-24T06:28:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670937/square.jpg?1498515983,,Leucanthemum vulgare,oxeye daisy,56057,49.0629222222,-123.6292277778,,
6813557,2017-06-24T07:19:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670939/square.jpg?1498515987,,Vanessa atalanta,Red Admiral,49133,49.0579638889,-123.6240777778,,
6813558,2017-06-24T07:05:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670940/square.jpg?1498515990,,Dactylis glomerata,orchard grass,52720,49.0620333333,-123.6290583333,,
