id,time_observed_at,observed_on,user_login,user_name,quality_grade,coordinates_obscured,image_url,positional_accuracy,scientific_name,common_name,taxon_id,latitude,longitude,private_latitude,private_longitude
4855874,2016-12-27T19:03:00-08:00,2016-12-27,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/5895033/square.jpg,184,Eumetopias jubatus,Steller Sea Lion,41755,49.0205655938,-123.5902762409,,
6780136,2017-06-24T10:59:33-07:00,2017-06-24,jgibson,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8620297/square.jpg,30,Papilio eurymedon,Pale Swallowtail,55521,49.0598464665,-123.634795854,,
6794956,2017-06-25T11:41:16-07:00,2017-06-25,jgibson,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8642273/square.jpg,50,Papilio rutulus,Western Tiger Swallowtail,47226,49.0576980589,-123.6238038262,,
6810115,2017-06-25T16:34:00-07:00,2017-06-25,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8665716/square.jpg,,Chalcophora angulicollis,Western Sculptured Pine Borer,82080,49.0573194444,-123.6192027778,,
6811869,2017-06-24T17:44:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8666867/square.jpg,,Aspidotis densa,serpentine fern,63868,49.0497138889,-123.6160972222,,
6811880,2017-06-24T08:42:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668416/square.jpg,,Papilio eurymedon,Pale Swallowtail,55521,49.0578566667,-123.62406,,
6811881,2017-06-24T12:54:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668422/square.jpg,,Zonotrichia leucophrys,White-crowned Sparrow,9176,49.04115,-123.6438366667,,
6811882,2017-06-24T12:27:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668438/square.jpg,,Larus glaucescens,Glaucous-winged Gull,4399,49.04178,-123.6434983333,,
6811884,2017-06-24T12:32:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668453/square.jpg,,Achillea millefolium,common yarrow,52821,49.0409916667,-123.64371,,
6811958,2017-06-24T12:28:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8668568/square.jpg,,Leymus mollis,American dune grass,61067,49.041805,-123.643465,,
6813555,2017-06-24T06:21:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670934/square.jpg,,Digitalis purpurea,purple foxglove,53983,49.0619722222,-123.6280972222,,
6813556,2017-06-24T06:28:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670937/square.jpg,,Leucanthemum vulgare,oxeye daisy,56057,49.0629222222,-123.6292277778,,
6813557,2017-06-24T07:19:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670939/square.jpg,,Vanessa atalanta,Red Admiral,49133,49.0579638889,-123.6240777778,,
6813558,2017-06-24T07:05:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670940/square.jpg,,Dactylis glomerata,orchard grass,52720,49.0620333333,-123.6290583333,,
6813559,2017-06-24T05:51:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670942/square.jpg,,Claytonia sibirica,Candy Flower,55767,49.0588805556,-123.6262888889,,
6813560,2017-06-24T06:17:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670945/square.jpg,,Adenocaulon bicolor,American trailplant,56854,49.0611722222,-123.6271666667,,
6813561,2017-06-24T07:08:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670947/square.jpg,,Ariolimax columbianus,Pacific Banana Slug,47776,49.0615361111,-123.6271361111,,
6813562,2017-06-24T06:26:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670949/square.jpg,,Cirsium vulgare,Bull Thistle,52989,49.0628361111,-123.6291888889,,
6813564,2017-06-24T06:25:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670950/square.jpg,,Abies grandis,grand fir,63690,49.0621333333,-123.6289,,
6813565,2017-06-24T07:07:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670952/square.jpg,,Rubus spectabilis,Salmonberry,47543,49.06215,-123.6283333333,,
6813566,2017-06-24T06:29:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670954/square.jpg,,Cirsium arvense,creeping thistle,60132,49.0628888889,-123.6292111111,,
6813568,2017-06-24T07:06:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670956/square.jpg,,Prunus emarginata mollis,,63906,49.061825,-123.628625,,
6813569,2017-06-24T06:46:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670958/square.jpg,,Gaultheria shallon,salal,48441,49.0631833333,-123.6308222222,,
6813571,2017-06-24T06:53:00-07:00,2017-06-24,johndreynolds,John D Reynolds,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/8670960/square.jpg,,Gaultheria shallon,salal,48441,49.0638055556,-123.6316833333,,
