Taxon name,Common name,Old iNaturalist taxon id,iNaturalist taxon name,iNaturalist taxon id,Resolved By,Notes
Amphilectus rigida,orange finger sponge,,Neoesperiopsis rigida,367052,AB,iNat also has 59878-Isodictya-rigida with no obs
Anthoarcuata graceae,red-brown encrusting sponge,,Antho graceae,459794,AB,
Ascidia columbiana / A. callosa,sea blisters,,Ascidia columbiana,428617,AB,callosa is 566446 with 3 obs
Autolytus magnus,noble necklace-worm,,Epigamia magna,628178,AB,WoRMS
Balanus glandula/Balanus crenatus,common acorn barnacles,,Balanus glandula,81610,AB,crenatus is 117672 with 195 obs
"Bossiella, Calliarthron, Corallina, Serraticardia",articulated coralline algae,,Corallinoideae,840800,AB,
Cancer magister,Dungeness crab,,Metacarcinus magister,63697,AB,
Cancer oregonensis,pygmy rock crab,,Glebocarcinus oregonensis,429951,AB,
Chaeopterus species complex,U-shaped parchment tubeworm,,Chaetopterus,171303,AB,misspelling in obs record
Clavactinia milleri,hedge-hog hydroid,,Schuchertinia milleri,854771,AB,"Guess based on proximity in WoRMS, correlation in common name"
Damalichthys vacca,pile perch,,Rhacochilus vacca,111616,AB,
Delesseria decipiens,winged rib,429953,Cumathamnion decipiens,496909,AB,
Didemnum/Trididemnum complex,white glove leather,,Didemnidae,54931,AB,
"Ectocarpus, Feldmannia, Hincksia, Pilayella",brown tuft,,Ectocarpales,117795,AB,
Eperetmus typus,curtained jelly,,,,,"Accepted by WoRMS, not in iNat - genus in Olindiidae"
Eurystomella bilabiata,derby hat bryozoan,,Integripelta bilabiata,334556,AB,
Euspira lewisii,Lewis's moonsnail,116659,Neverita lewisii,447427,AB,
Flabellina pricei,Price's aeolid,50456,Apata pricei,631469,AB,
Flabellina trilineata,three-lined nudibranch,47430,Orienthella trilineata,764704,AB,
Flabellina triophina,red flabellina,50459,Himatina trophina,633561,AB,
Flabellina verrucosa,red-gilled nudibranch,50461,Coryphella verrucosa,633193,AB,
Fucus gardneri,rockweed,,Fucus distichus,69155,AB,
Henricia aspera aspera,ridged blood star,,Henricia aspera,293168,AB,
Henricia leviuscula leviuscula,blood star,,Henricia leviuscula,47664,AB,
Hippodiplosia insculpta,fluted bryozoan,485347,Primavelans insculpta,429861,AB,
Janolus fuscus,white-and-orange-tipped nudibranch,47460,Antiopella fusca,886884,AB,
Laminaria bongardiana,dark-brown wrack kelp,429869,Saccharina bongardiana,465193,AB,
Laqueus vancouverensis,transverse lamp shell,,Laqueus vancouveriensis,525797,AB,misspelling in obs record
Laurencia spectabilis,sea laurel,,Osmundea spectabilis,339015,AB,
Membranipora serrilamella,kelp-encrusting bryozoan,,Membranipora villosa,360867,AB,Incredible
Mesocentrotus franciscanus,red sea urchin,,Strongylocentrotus franciscanus,49126,AB,
Mopalia kennerlyi,northern hairy chiton,,Mopalia kennerleyi,360858,AB,misspelling in obs record
Pinauay crocea,bushy pink-mouth hydroid,63649,Ectopleura crocea,324497,AB,
Pinauay marina,solitary pink-mouth hydroid,63648,Ectopleura marina,492142,AB,
Plocamia karykina,bright red sponge,,Antho karykina,345142,AB,
Plocamium cartilageneum pacificum,sea braid,,Plocamium cartilagineum pacificum,339051,AB,misspelling in obs record
Podoceras cristatus,neon sea flea,,Podocerus cristatus,60636,AB,misspelling in obs record
Porphyra nereocystis,bull-kelp nori,447086,Pyropia nereocystis,542165,AB,
Quasitetrastemma nigrifrons,white-lined ribbon worm,,,,AB,"Accepted by WoRMS, not in iNat - genus in Eumonostilifera"
Radulinus taylori,spinynose sculpin,492673,Asemichthys taylori,172639,AB,
Sabellaria cementarium,cemented sandmason tubeworm,,Neosabellaria cementarium,339237,AB,
Staurocalyptus dowlingi,round lipped boot sponge,,Acanthascus dowlingi,424717,AB,
Tectura scutum,plate limpet,338322,Lottia scutum,129962,AB,
Theragra chalcogramma,walleye pollock,180034,Gadus chalcogrammus,614161,AB,
Trichotropsis cancellata,checkered hairysnail,,Trichotropis cancellata,447177,AB,misspelled in obs record
Tritonia gigantea,orange-peel nudibranch,,Tritonia tetraquetra,545545,AB,
filamentous red algae,filamentous red algae,,,,AB,
various mysids,opossum shrimps,,,,AB,
