iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Taxon name,Date observed,Description,Place name,Common name,Recorded by,coordinateUncertaintyInMeters
Apostichopus leukothele,432809,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,Apostichopus leukothele,PMLS:1029,49.1287,-123.7029,Apostichopus leukothele,1995-04-23T11:05:00,,,giant orange sea cucumber,,
Cucumaria miniata,117695,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Cucumariidae,,,Cucumaria,Cucumaria miniata,PMLS:1030,49.1287,-123.7029,Cucumaria miniata,1995-04-23T11:05:00,,,red sea cucumber,,
Eupentacta quinquesemita,51695,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Sclerodactylidae,,,Eupentacta,Eupentacta quinquesemita,PMLS:1031,49.1287,-123.7029,Eupentacta quinquesemita,1995-04-23T11:05:00,,,stiff-footed sea cucumber,,
Psolus chitonoides,473064,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Psolidae,,,Psolus,Psolus chitonoides,PMLS:1032,49.1287,-123.7029,Psolus chitonoides,1995-04-23T11:05:00,,,creeping pedal sea cucumber,,
Boltenia villosa,194568,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Pyuridae,,,Boltenia,Boltenia villosa,PMLS:1033,49.1287,-123.7029,Boltenia villosa,1995-04-23T11:05:00,,,hairy tunicate,,
Metandrocarpa taylori,371195,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Styelidae,,,Metandrocarpa,Metandrocarpa taylori,PMLS:1034,49.1287,-123.7029,Metandrocarpa taylori,1995-04-23T11:05:00,,,orange social tunicate,,
Perophora annectens,372665,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Perophoridae,,,Perophora,Perophora annectens,PMLS:1035,49.1287,-123.7029,Perophora annectens,1995-04-23T11:05:00,,,yellow social tunicate,,
Pycnoclavella stanleyi,424274,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Clavelinidae,,,Pycnoclavella,Pycnoclavella stanleyi,PMLS:1036,49.1287,-123.7029,Pycnoclavella stanleyi,1995-04-23T11:05:00,,,yellow social ascidian,,
Distaplia occidentalis,347339,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Holozoidae,,,Distaplia,Distaplia occidentalis,PMLS:1037,49.1287,-123.7029,Distaplia occidentalis,1995-04-23T11:05:00,,,mushroom compound tunicate,,
Eudistoma molle,448127,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polycitoridae,,,Eudistoma,Eudistoma molle,PMLS:1038,49.1287,-123.7029,Eudistoma molle,1995-04-23T11:05:00,,,red-dotted compound tunicate,,
Rhinogobiops nicholsii,132521,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,,Gobiidae,Gobiinae,,Rhinogobiops,Rhinogobiops nicholsii,PMLS:1039,49.1287,-123.7029,Rhinogobiops nicholsii,1995-04-23T11:05:00,,,blackeye goby,,
Embiotoca lateralis,117555,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,,Embiotocidae,,,Embiotoca,Embiotoca lateralis,PMLS:1040,49.1287,-123.7029,Embiotoca lateralis,1995-04-23T11:05:00,,,striped seaperch,,
Sebastes caurinus,68597,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,PMLS:1041,49.1287,-123.7029,Sebastes caurinus,1995-04-23T11:05:00,,,copper rockfish,,
Sebastes maliger,63386,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes maliger,PMLS:1042,49.1287,-123.7029,Sebastes maliger,1995-04-23T11:05:00,,,quillback rockfish,,
Hexagrammos decagrammus,68596,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Hexagramminae,,Hexagrammos,Hexagrammos decagrammus,PMLS:1043,49.1287,-123.7029,Hexagrammos decagrammus,1995-04-23T11:05:00,"some,+eggs",,kelp greenling,,
Ophiodon elongatus,52539,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Ophiodontinae,,Ophiodon,Ophiodon elongatus,PMLS:1044,49.1287,-123.7029,Ophiodon elongatus,1995-04-23T11:05:00,,,lingcod,,
Artedius harringtoni,117528,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Cottidae,,,Artedius,Artedius harringtoni,PMLS:1045,49.1287,-123.7029,Artedius harringtoni,1995-04-23T11:05:00,,,scalyhead sculpin,,
Jordania zonope,222465,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Cottidae,,,Jordania,Jordania zonope,PMLS:1046,49.1287,-123.7029,Jordania zonope,1995-04-23T11:05:00,,,longfin sculpin,,
Ulva,54644,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,,Ulvaceae,,,Ulva,,PMLS:1047,49.055777,-123.657959,Ulva spp. / U. lactuca,2006-06-02T10:32:00,,,sea lettuces,,
Fucus distichus,69155,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,,Fucaceae,,,Fucus,Fucus distichus,PMLS:1048,49.055777,-123.657959,Fucus gardneri,2006-06-02T10:32:00,,,rockweed,,
Saccharina latissima,130231,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,,Laminariaceae,,,Saccharina,Saccharina latissima,PMLS:1049,49.055777,-123.657959,Saccharina latissima,2006-06-02T10:32:00,,,sugar wrack kelp,,
Sargassum muticum,130177,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,,Sargassaceae,,,Sargassum,Sargassum muticum,PMLS:1050,49.055777,-123.657959,Sargassum muticum,2006-06-02T10:32:00,,,wireweed,,
Neoagarum fimbriatum,895193,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,,Agaraceae,,,Neoagarum,Neoagarum fimbriatum,PMLS:1051,49.055777,-123.657959,Neoagarum fimbriatum,2006-06-02T10:32:00,,,fringed sea colander kelp,,
Cliona californiana,424811,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,,Clionaidae,,,Cliona,Cliona californiana,PMLS:1055,49.055777,-123.657959,Cliona californiana,2006-06-02T10:32:00,,,yellow boring sponge,,
Metridium farcimen,51812,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium farcimen,PMLS:1056,49.055777,-123.657959,Metridium farcimen,2006-06-02T10:32:00,small,,giant plumose anemone,,
Pachycerianthus fimbriatus,47702,Animalia,Cnidaria,,,Anthozoa,Ceriantharia,,Spirularia,,,,Cerianthidae,,,Pachycerianthus,Pachycerianthus fimbriatus,PMLS:1057,49.055777,-123.657959,Pachycerianthus fimbriatus,2006-06-02T10:32:00,,,tube-dwelling anemone,,
Balanophyllia elegans,51799,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Dendrophylliidae,,,Balanophyllia,Balanophyllia elegans,PMLS:1058,49.055777,-123.657959,Balanophyllia elegans,2006-06-02T10:32:00,,,orange cup coral,,
Ptilosarcus gurneyi,448320,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subselliflorae,,,Pennatulidae,,,Ptilosarcus,Ptilosarcus gurneyi,PMLS:1059,49.055777,-123.657959,Ptilosarcus gurneyi,2006-06-02T10:32:00,,,orange sea pen,,
Hydrallmania franciscana,873899,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Hydrallmania,Hydrallmania franciscana,PMLS:1060,49.055777,-123.657959,Hydrallmania franciscana,2006-06-02T10:32:00,,,loose spiral hydroid,,
Mitrocoma cellularia,493918,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Mitrocomidae,,,Mitrocoma,Mitrocoma cellularia,PMLS:1061,49.055777,-123.657959,Mitrocoma cellularia,2006-06-02T10:32:00,,,cross jellyfish,,
Aequorea,191502,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Aequoreidae,,,Aequorea,,PMLS:1062,49.055777,-123.657959,Aequorea spp.,2006-06-02T10:32:00,,,water jellies,,
Bolinopsis infundibulum,492705,Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,Bolinopsis infundibulum,PMLS:1063,49.055777,-123.657959,Bolinopsis infundibulum,2006-06-02T10:32:00,,,lobed sea gooseberry,,
Diopatra ornata,339286,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,,Onuphidae,Onuphinae,,Diopatra,Diopatra ornata,PMLS:1064,49.055777,-123.657959,Diopatra ornata,2006-06-02T10:32:00,,,ornate tubeworm,,
Serpula columbiana,131207,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Serpula,Serpula columbiana,PMLS:1065,49.055777,-123.657959,Serpula columbiana,2006-06-02T10:32:00,,,red-trumpet calcareous tubeworm,,
Dodecaceria fewkesi,192656,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,,Cirratulidae,,,Dodecaceria,Dodecaceria fewkesi,PMLS:1066,49.055777,-123.657959,Dodecaceria fewkesi,2006-06-02T10:32:00,,,fringed filament-worm,,
Chone aurantiaca,356415,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Chone,Chone aurantiaca,PMLS:1067,49.055777,-123.657959,Chone aurantiaca,2006-06-02T10:32:00,,,orange feather-duster,,
Myxicola infundibulum,49533,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Myxicola,Myxicola infundibulum,PMLS:1068,49.055777,-123.657959,Myxicola infundibulum,2006-06-02T10:32:00,,,slime-tube feather-duster,,
Bugulina californica,551808,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,Bugulina californica,PMLS:1069,49.055777,-123.657959,Bugula californica,2006-06-02T10:32:00,,,spiral bryozoan,,
Dendrobeania murrayana,205170,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Dendrobeania,Dendrobeania murrayana,PMLS:1070,49.055777,-123.657959,Dendrobeania murrayana,2006-06-02T10:32:00,,,fan bryozoan,,
Pododesmus macrochisma,68652,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,,Anomioidea,Anomiidae,,,Pododesmus,Pododesmus macrochisma,PMLS:1071,49.055777,-123.657959,Pododesmus macrochisma,2006-06-02T10:32:00,,,green false-jingle,,
Tresus capax,126927,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,,Mactroidea,Mactridae,Lutrariinae,,Tresus,Tresus capax,PMLS:1072,49.055777,-123.657959,Tresus capax,2006-06-02T10:32:00,,,fat gaper,,
Panopea generosa,117618,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,,Hiatelloidea,Hiatellidae,,,Panopea,Panopea generosa,PMLS:1073,49.055777,-123.657959,Panopea generosa,2006-06-02T10:32:00,,,Pacific geoduck,,
Onchidoris bilamellata,47480,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Onchidoris,Onchidoris bilamellata,PMLS:1074,49.055777,-123.657959,Onchidoris bilamellata,2006-06-02T10:32:00,and eggs,,barnacle-eating nudibranch,,
Dendronotus iris,47706,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus iris,PMLS:1075,49.055777,-123.657959,Dendronotus iris,2006-06-02T10:32:00,"copulating, many eggs",,giant nudibranch,,
Enteroctopus dofleini,48863,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Octopodiformes,Octopoda,Incirrata,,Octopodoidea,Enteroctopodidae,,,Enteroctopus,Enteroctopus dofleini,PMLS:1076,49.055777,-123.657959,Enteroctopus dofleini,2006-06-02T10:32:00,classic den without animal,,giant Pacific octopus,,
Pandalus danae,154708,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Pandaloidea,Pandalidae,,,Pandalus,Pandalus danae,PMLS:1078,49.055777,-123.657959,Pandalus danae,2006-06-02T10:32:00,,,coonstripe shrimp,,
Cancer productus,47826,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Cancroidea,Cancridae,,,Cancer,Cancer productus,PMLS:1079,49.055777,-123.657959,Cancer productus,2006-06-02T10:32:00,,,red rock crab,,
Metacarcinus magister,63697,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Cancroidea,Cancridae,,,Metacarcinus,Metacarcinus magister,PMLS:1080,49.055777,-123.657959,Cancer magister,2006-06-02T10:32:00,,,Dungeness crab,,
Chionoecetes bairdi,359388,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Majoidea,Oregoniidae,Oregoniinae,,Chionoecetes,Chionoecetes bairdi,PMLS:1081,49.055777,-123.657959,Chionoecetes bairdi,2006-06-02T10:32:00,covered with barnacles,,tanner crab,,
Oregonia gracilis,84267,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Majoidea,Oregoniidae,Oregoniinae,,Oregonia,Oregonia gracilis,PMLS:1082,49.055777,-123.657959,Oregonia gracilis,2006-06-02T10:32:00,,,graceful decorator crab,,
Balanus glandula,81610,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,,Balanoidea,Balanidae,,,Balanus,Balanus glandula,PMLS:1083,49.055777,-123.657959,Balanus glandula/Balanus crenatus,2006-06-02T10:32:00,,,common acorn barnacles,,
Pisaster brevispinus,49539,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Pisaster,Pisaster brevispinus,PMLS:1084,49.055777,-123.657959,Pisaster brevispinus,2006-06-02T10:32:00,,,giant pink star,,
Evasterias troschelii,84265,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Evasterias,Evasterias troschelii,PMLS:1085,49.055777,-123.657959,Evasterias troschelii,2006-06-02T10:32:00,,,mottled star,,
Orthasterias koehleri,47669,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Orthasterias,Orthasterias koehleri,PMLS:1086,49.055777,-123.657959,Orthasterias koehleri,2006-06-02T10:32:00,,,rainbow star,,
Dermasterias imbricata,63382,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Asteropseidae,,,Dermasterias,Dermasterias imbricata,PMLS:1087,49.055777,-123.657959,Dermasterias imbricata,2006-06-02T10:32:00,,,leather star,,
Mediaster aequalis,293174,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Goniasteridae,Mediasterinae,,Mediaster,Mediaster aequalis,PMLS:1088,49.055777,-123.657959,Mediaster aequalis,2006-06-02T10:32:00,,,vermilion star,,
Pycnopodia helianthoides,47673,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,Pycnopodiinae,,Pycnopodia,Pycnopodia helianthoides,PMLS:1089,49.055777,-123.657959,Pycnopodia helianthoides,2006-06-02T10:32:00,,,sunflower star,,
Crossaster papposus,192687,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Crossaster,Crossaster papposus,PMLS:1090,49.055777,-123.657959,Crossaster papposus,2006-06-02T10:32:00,,,rose star,,
Solaster dawsoni,117692,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Solaster,Solaster dawsoni,PMLS:1091,49.055777,-123.657959,Solaster dawsoni,2006-06-02T10:32:00,,,morning sun star,,
Ophiopholis aculeata,56685,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,,Ophiactoidea,Ophiopholidae,,,Ophiopholis,Ophiopholis aculeata,PMLS:1092,49.055777,-123.657959,Ophiopholis aculeata,2006-06-02T10:32:00,,,daisy brittle star,,
Ophiura luetkenii,255865,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Ophiurida,Ophiurina,,,Ophiuridae,Ophiurinae,,Ophiura,Ophiura luetkenii,PMLS:1093,49.055777,-123.657959,Ophiura luetkenii,2006-06-02T10:32:00,,,gray brittle star,,
Florometra serratissima,195902,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,,Antedonoidea,Antedonidae,Heliometrinae,,Florometra,Florometra serratissima,PMLS:1094,49.055777,-123.657959,Florometra serratissima,2006-06-02T10:32:00,,,feather star,,
Mesocentrotus franciscanus,992313,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Echinidea,Odontophora,Strongylocentrotidae,,,Mesocentrotus,Mesocentrotus franciscanus,PMLS:1095,49.055777,-123.657959,Mesocentrotus franciscanus,2006-06-02T10:32:00,very large,,red sea urchin,,
Apostichopus californicus,202640,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,Apostichopus californicus,PMLS:1096,49.055777,-123.657959,Apostichopus californicus,2006-06-02T10:32:00,,,giant sea cucumber,,
Cucumaria miniata,117695,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Cucumariidae,,,Cucumaria,Cucumaria miniata,PMLS:1097,49.055777,-123.657959,Cucumaria miniata,2006-06-02T10:32:00,,,red sea cucumber,,
Psolus chitonoides,473064,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Psolidae,,,Psolus,Psolus chitonoides,PMLS:1098,49.055777,-123.657959,Psolus chitonoides,2006-06-02T10:32:00,,,creeping pedal sea cucumber,,
Corella willmeriana,447661,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Corellidae,,,Corella,Corella willmeriana,PMLS:1099,49.055777,-123.657959,Corella willmeriana,2006-06-02T10:32:00,,,transparent tunicate,,
Cnemidocarpa finmarkiensis,47807,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Styelidae,,,Cnemidocarpa,Cnemidocarpa finmarkiensis,PMLS:1100,49.055777,-123.657959,Cnemidocarpa finmarkiensis,2006-06-02T10:32:00,,,broadbase tunicate,,
Boltenia villosa,194568,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,,Pyuridae,,,Boltenia,Boltenia villosa,PMLS:1101,49.055777,-123.657959,Boltenia villosa,2006-06-02T10:32:00,,,hairy tunicate,,
Distaplia occidentalis,347339,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Holozoidae,,,Distaplia,Distaplia occidentalis,PMLS:1102,49.055777,-123.657959,Distaplia occidentalis,2006-06-02T10:32:00,"tiny, pink",,mushroom compound tunicate,,
Gadus chalcogrammus,614161,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,,Gadidae,,,Gadus,Gadus chalcogrammus,PMLS:1103,49.055777,-123.657959,Theragra chalcogramma,2006-06-02T10:32:00,"very tiny juvs, schooling",,walleye pollock,,
Rhinogobiops nicholsii,132521,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,,Gobiidae,Gobiinae,,Rhinogobiops,Rhinogobiops nicholsii,PMLS:1104,49.055777,-123.657959,Rhinogobiops nicholsii,2006-06-02T10:32:00,,,blackeye goby,,
Sebastes caurinus,68597,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,PMLS:1105,49.055777,-123.657959,Sebastes caurinus,2006-06-02T10:32:00,,,copper rockfish,,
Sebastes maliger,63386,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes maliger,PMLS:1106,49.055777,-123.657959,Sebastes maliger,2006-06-02T10:32:00,,,quillback rockfish,,
Ophiodon elongatus,52539,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Ophiodontinae,,Ophiodon,Ophiodon elongatus,PMLS:1107,49.055777,-123.657959,Ophiodon elongatus,2006-06-02T10:32:00,small,,lingcod,,
Hemilepidotus hemilepidotus,221165,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Cottidae,,,Hemilepidotus,Hemilepidotus hemilepidotus,PMLS:1108,49.055777,-123.657959,Hemilepidotus hemilepidotus,2006-06-02T10:32:00,,,red Irish lord,,
Chitonotus pugetensis,216746,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Cottidae,,,Chitonotus,Chitonotus pugetensis,PMLS:1109,49.055777,-123.657959,Chitonotus pugetensis,2006-06-02T10:32:00,,,roughback sculpin,,
Liparis,157721,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Liparidae,,,Liparis,,PMLS:1110,49.055777,-123.657959,Liparis sp.,2006-06-02T10:32:00,"Liparis florae, tiny yellow",,snailfish,,
Odontopyxis trispinosa,226210,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Agonidae,Bathyagoninae,,Odontopyxis,Odontopyxis trispinosa,PMLS:1111,49.055777,-123.657959,Odontopyxis trispinosa,2006-06-02T10:32:00,,,pygmy poacher,,
Citharichthys stigmaeus,117542,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,,Paralichthyidae,,,Citharichthys,Citharichthys stigmaeus,PMLS:1112,49.055777,-123.657959,Citharichthys stigmaeus,2006-06-02T10:32:00,various sizes,,speckled sanddab,,
Lepidopsetta bilineata,183018,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,,Pleuronectidae,Pleuronectinae,,Lepidopsetta,Lepidopsetta bilineata,PMLS:1113,49.055777,-123.657959,Lepidopsetta bilineata,2006-06-02T10:32:00,juv,,rock sole,,
Zostera marina,52614,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Zosteraceae,,,Zostera,Zostera marina,PMLS:1114,49.01585,-123.611406,Zostera marina,2006-06-02T12:12:00,"rich, thick and long",,eelgrass,,
Ulva,54644,Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,,Ulvaceae,,,Ulva,,PMLS:1115,49.01585,-123.611406,Ulva spp. / U. lactuca,2006-06-02T12:12:00,,,sea lettuces,,
Saccharina latissima,130231,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,,Laminariaceae,,,Saccharina,Saccharina latissima,PMLS:1116,49.01585,-123.611406,Saccharina latissima,2006-06-02T12:12:00,,,sugar wrack kelp,,
Sargassum muticum,130177,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,,Sargassaceae,,,Sargassum,Sargassum muticum,PMLS:1117,49.01585,-123.611406,Sargassum muticum,2006-06-02T12:12:00,,,wireweed,,
Chondracanthus exasperatus,127153,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Gigartinaceae,,,Chondracanthus,Chondracanthus exasperatus,PMLS:1118,49.01585,-123.611406,Chondracanthus exasperatus,2006-06-02T12:12:00,,,Turkish towel,,
Sarcodiotheca gaudichaudii,327099,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,,Solieriaceae,,,Sarcodiotheca,Sarcodiotheca gaudichaudii,PMLS:1119,49.01585,-123.611406,Sarcodiotheca gaudichaudii,2006-06-02T12:12:00,,,succulent seaweed,,
Metridium farcimen,51812,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium farcimen,PMLS:1120,49.01585,-123.611406,Metridium farcimen,2006-06-02T12:12:00,orange,,giant plumose anemone,,
Pachycerianthus fimbriatus,47702,Animalia,Cnidaria,,,Anthozoa,Ceriantharia,,Spirularia,,,,Cerianthidae,,,Pachycerianthus,Pachycerianthus fimbriatus,PMLS:1121,49.01585,-123.611406,Pachycerianthus fimbriatus,2006-06-02T12:12:00,,,tube-dwelling anemone,,
Virgularia,195571,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subselliflorae,,,Virgulariidae,,,Virgularia,,PMLS:1122,49.01585,-123.611406,Virgularia sp.,2006-06-02T12:12:00,,,white sea pen,,
Hydrallmania franciscana,873899,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Hydrallmania,Hydrallmania franciscana,PMLS:1123,49.01585,-123.611406,Hydrallmania franciscana,2006-06-02T12:12:00,,,loose spiral hydroid,,
Mitrocoma cellularia,493918,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Mitrocomidae,,,Mitrocoma,Mitrocoma cellularia,PMLS:1124,49.01585,-123.611406,Mitrocoma cellularia,2006-06-02T12:12:00,,,cross jellyfish,,
Modiolus rectus,196218,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Modiolinae,,Modiolus,Modiolus rectus,PMLS:1127,49.01585,-123.611406,Modiolus rectus,2006-06-02T12:12:00,shells,,straight horsemussel,,
Tresus capax,126927,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,,Mactroidea,Mactridae,Lutrariinae,,Tresus,Tresus capax,PMLS:1129,49.01585,-123.611406,Tresus capax,2006-06-02T12:12:00,,,fat gaper,,
Panopea generosa,117618,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,,Hiatelloidea,Hiatellidae,,,Panopea,Panopea generosa,PMLS:1130,49.01585,-123.611406,Panopea generosa,2006-06-02T12:12:00,,,Pacific geoduck,,
Phyllaplysia taylori,49864,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Aplysiida,,,Aplysioidea,Aplysiidae,,,Phyllaplysia,Phyllaplysia taylori,PMLS:1131,49.01585,-123.611406,Phyllaplysia taylori,2006-06-02T12:12:00,,,zebra leafslug,,
