iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Taxon name,Date observed,Description,Place name,Common name,Recorded by,coordinateUncertaintyInMeters
Ascidia paratropa,415129,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Ascidiidae,,,Ascidia,Ascidia paratropa,PMLS:21,49.040699,-123.644925,Ascidia paratropa,1968-08-02T13:00:00,collected,,glassy tunicate,,
Sebastes caurinus,68597,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,PMLS:22,49.040699,-123.644925,Sebastes caurinus,1968-08-02T13:00:00,,,copper rockfish,,
Sebastes maliger,63386,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes maliger,PMLS:23,49.040699,-123.644925,Sebastes maliger,1968-08-02T13:00:00,,,quillback rockfish,,
Sebastes nigrocinctus,230757,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes nigrocinctus,PMLS:24,49.040699,-123.644925,Sebastes nigrocinctus,1968-08-02T13:00:00,collected,,tiger rockfish,,
Hexagrammos decagrammus,68596,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Hexagramminae,,Hexagrammos,Hexagrammos decagrammus,PMLS:25,49.040699,-123.644925,Hexagrammos decagrammus,1968-08-02T13:00:00,,,kelp greenling,,
Ophiodon elongatus,52539,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Ophiodontinae,,Ophiodon,Ophiodon elongatus,PMLS:26,49.040699,-123.644925,Ophiodon elongatus,1968-08-02T13:00:00,,,lingcod,,
Scorpaenichthys marmoratus,47638,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Cottidae,,,Scorpaenichthys,Scorpaenichthys marmoratus,PMLS:27,49.040699,-123.644925,Scorpaenichthys marmoratus,1968-08-02T13:00:00,,,cabezon,,
Metridium senile,49071,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium senile,PMLS:28,49.126005,-123.717882,Metridium senile,1970-04-03T14:30:00,,,short plumose anemone,,
Balanophyllia elegans,51799,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Dendrophylliidae,,,Balanophyllia,Balanophyllia elegans,PMLS:29,49.126005,-123.717882,Balanophyllia elegans,1970-04-03T14:30:00,,,orange cup coral,,
Ectopleura marina,492142,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,,Tubulariidae,,,Ectopleura,Ectopleura marina,PMLS:30,49.126005,-123.717882,Pinauay marina,1970-04-03T14:30:00,,,solitary pink-mouth hydroid,,
Aurelia labiata,130235,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Ulmaridae,Aureliinae,,Aurelia,Aurelia labiata,PMLS:31,49.126005,-123.717882,Aurelia labiata,1970-04-03T14:30:00,,,moon jelly,,
Serpula columbiana,131207,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Serpula,Serpula columbiana,PMLS:32,49.126005,-123.717882,Serpula columbiana,1970-04-03T14:30:00,,,red-trumpet calcareous tubeworm,,
Dodecaceria fewkesi,192656,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,,Cirratulidae,,,Dodecaceria,Dodecaceria fewkesi,PMLS:33,49.126005,-123.717882,Dodecaceria fewkesi,1970-04-03T14:30:00,,,fringed filament-worm,,
Schizobranchia insignis,339561,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Schizobranchia,Schizobranchia insignis,PMLS:34,49.126005,-123.717882,Schizobranchia insignis,1970-04-03T14:30:00,,,split-branch feather-duster,,
Bugulina californica,551808,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,Bugulina californica,PMLS:35,49.126005,-123.717882,Bugula californica,1970-04-03T14:30:00,,,spiral bryozoan,,
Glebocarcinus oregonensis,429951,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Cancroidea,Cancridae,,,Glebocarcinus,Glebocarcinus oregonensis,PMLS:36,49.126005,-123.717882,Cancer oregonensis,1970-04-03T14:30:00,,,pygmy rock crab,,
Rhinolithodes wosnessenskii,459660,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Lithodidae,,,Rhinolithodes,Rhinolithodes wosnessenskii,PMLS:37,49.126005,-123.717882,Rhinolithodes wosnessenskii,1970-04-03T14:30:00,,,rhinoceros crab,,
Balanus nubilus,49127,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,,Balanoidea,Balanidae,,,Balanus,Balanus nubilus,PMLS:38,49.126005,-123.717882,Balanus nubilus,1970-04-03T14:30:00,empty clusters,,giant acorn barnacle,,
Pisaster ochraceus,49699,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Pisaster,Pisaster ochraceus,PMLS:39,49.126005,-123.717882,Pisaster ochraceus,1970-04-03T14:30:00,,,purple star or ochre star,,
Pisaster brevispinus,49539,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Pisaster,Pisaster brevispinus,PMLS:40,49.126005,-123.717882,Pisaster brevispinus,1970-04-03T14:30:00,,,giant pink star,,
Evasterias troschelii,84265,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Evasterias,Evasterias troschelii,PMLS:41,49.126005,-123.717882,Evasterias troschelii,1970-04-03T14:30:00,,,mottled star,,
Mediaster aequalis,293174,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Goniasteridae,Mediasterinae,,Mediaster,Mediaster aequalis,PMLS:42,49.126005,-123.717882,Mediaster aequalis,1970-04-03T14:30:00,,,vermilion star,,
Pycnopodia helianthoides,47673,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,Pycnopodiinae,,Pycnopodia,Pycnopodia helianthoides,PMLS:43,49.126005,-123.717882,Pycnopodia helianthoides,1970-04-03T14:30:00,,,sunflower star,,
Crossaster papposus,192687,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Crossaster,Crossaster papposus,PMLS:44,49.126005,-123.717882,Crossaster papposus,1970-04-03T14:30:00,,,rose star,,
Florometra serratissima,195902,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,,Antedonoidea,Antedonidae,Heliometrinae,,Florometra,Florometra serratissima,PMLS:45,49.126005,-123.717882,Florometra serratissima,1970-04-03T14:30:00,,,feather star,,
Corella willmeriana,447661,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Corellidae,,,Corella,Corella willmeriana,PMLS:46,49.126005,-123.717882,Corella willmeriana,1970-04-03T14:30:00,,,transparent tunicate,,
Rhinogobiops nicholsii,132521,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,,Gobiidae,Gobiinae,,Rhinogobiops,Rhinogobiops nicholsii,PMLS:47,49.126005,-123.717882,Rhinogobiops nicholsii,1970-04-03T14:30:00,,,blackeye goby,,
Sebastes caurinus,68597,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,PMLS:48,49.126005,-123.717882,Sebastes caurinus,1970-04-03T14:30:00,,,copper rockfish,,
Sebastes maliger,63386,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes maliger,PMLS:49,49.126005,-123.717882,Sebastes maliger,1970-04-03T14:30:00,,,quillback rockfish,,
Jordania zonope,222465,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Cottidae,,,Jordania,Jordania zonope,PMLS:50,49.126005,-123.717882,Jordania zonope,1970-04-03T14:30:00,,,longfin sculpin,,
Metridium senile,49071,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium senile,PMLS:51,49.040699,-123.644925,Metridium senile,1973-08-15T11:30:00,,,short plumose anemone,,
Cribrinopsis fernaldi,465158,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Cribrinopsis,Cribrinopsis fernaldi,PMLS:52,49.040699,-123.644925,Cribrinopsis fernaldi,1973-08-15T11:30:00,,,crimson anemone,,
Alcyonium,338004,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,,Alcyoniidae,,,Alcyonium,,PMLS:53,49.040699,-123.644925,Alcyonium sp.,1973-08-15T11:30:00,,,red soft coral,,
Pteraster tesselatus,194701,Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Velatida,,,,Pterasteridae,,,Pteraster,Pteraster tesselatus,PMLS:54,49.040699,-123.644925,Pteraster tesselatus,1973-08-15T11:30:00,,,slime star,,
Crossaster papposus,192687,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Crossaster,Crossaster papposus,PMLS:55,49.040699,-123.644925,Crossaster papposus,1973-08-15T11:30:00,,,rose star,,
Solaster dawsoni,117692,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Solaster,Solaster dawsoni,PMLS:56,49.040699,-123.644925,Solaster dawsoni,1973-08-15T11:30:00,,,morning sun star,,
