Critical Note,iNaturalist taxon name,iNaturalist taxon ID,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Date Reported
,Abies grandis,63690,18,"{""iNat:6813564"":[49.062133,-123.6289],""iNat:6910173"":[49.062133,-123.6289],""iNat:8342670"":[49.036458,-123.602608],""iNat:9865147"":[49.034722,-123.603112],""iNat:30465354"":[49.064553,-123.654625],""iNat:37146693"":[49.125031,-123.703331],""iNat:37146695"":[49.125583,-123.6988],""iNat:39054650"":[49.127894,-123.700553],""iNat:39054653"":[49.126297,-123.700919],""iNat:39054656"":[49.127486,-123.701972],""iNat:52302643"":[49.027544,-123.596664],""iNat:55809908"":[49.064625,-123.654572],""iNat:59625829"":[49.064383,-123.654633],""iNat:59625830"":[49.059089,-123.634033],""iNat:96844197"":[49.017911,-123.606269],""iNat:96844266"":[49.064431,-123.654739]}",Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Abies,Abies grandis,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,John D Reynolds,iNat,,2021-09-04T20:25:00.000Z
,Abietinaria,55322,23,"{""PMLS:371"":[49.1287,-123.7029],""PMLS:472"":[49.1287,-123.7029],""PMLS:568"":[49.12667,-123.69167],""PMLS:660"":[49.1287,-123.7029],""PMLS:756"":[49.1287,-123.7029],""PMLS:862"":[49.1287,-123.7029],""PMLS:1296"":[49.03,-123.58667],""PMLS:1665"":[49.1287,-123.7029],""PMLS:1886"":[49.03,-123.58667],""PMLS:2381"":[49.03,-123.58667],""PMLS:2524"":[49.1287,-123.7029],""PMLS:2709"":[49.1287,-123.7029],""PMLS:2938"":[49.01833,-123.59],""PMLS:3046"":[49.01833,-123.59],""PMLS:3344"":[49.03,-123.58667],""PMLS:3431"":[49.03,-123.58667],""PMLS:3512"":[49.1287,-123.7029],""PMLS:3784"":[49.1287,-123.7029],""PMLS:3910"":[49.03,-123.58667],""PMLS:4095"":[49.1287,-123.7029],""PMLS:4201"":[49.1287,-123.7029],""PMLS:4304"":[49.087832,-123.684704]}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Abietinaria,,,PMLS,Josef Point,1992-10-04T10:30:00.000Z,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",VIC,Valdes Island,2016-01-01T00:00:00.000Z
,Abietinaria greenei,429858,4,"{""PMLS:266"":[49.1287,-123.7029],""PMLS:372"":[49.1287,-123.7029],""PMLS:661"":[49.1287,-123.7029],""PMLS:3515"":[49.1287,-123.7029]}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Abietinaria,Abietinaria greenei,,PMLS,Josef Point,1986-07-13T13:50:00.000Z,,PMLS,Josef Point,2011-09-11T14:50:00.000Z
,Acanthascus dowlingi,424717,2,"{""PMLS:4382"":[49.087832,-123.684704]}",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Lyssacinosida,,,,Rossellidae,,,Acanthascus,Acanthascus dowlingi,,PMLS,Valdes Island cliffs,2015-06-09T11:00:00.000Z,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",VIC,Valdes Island,2016-01-01T00:00:00.000Z
,Acanthodoris hudsoni,48447,13,"{""PMLS:495"":[49.1287,-123.7029],""PMLS:686"":[49.1287,-123.7029],""PMLS:903"":[49.1287,-123.7029],""PMLS:1203"":[49.04,-123.595],""PMLS:1810"":[49.03,-123.58667],""PMLS:2208"":[49.01833,-123.59],""PMLS:2408"":[49.03,-123.58667],""PMLS:2549"":[49.1287,-123.7029],""PMLS:2625"":[49.03,-123.58667],""PMLS:2742"":[49.1287,-123.7029],""PMLS:3085"":[49.01833,-123.59],""PMLS:3371"":[49.03,-123.58667],""PMLS:4233"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,Acanthodoris hudsoni,,PMLS,Josef Point,1992-11-12T08:45:00.000Z,,PMLS,wreck of the Del Norte,2009-10-10T14:12:00.000Z
,Acanthodoris nanaimoensis,47476,13,"{""PMLS:395"":[49.1287,-123.7029],""PMLS:496"":[49.1287,-123.7029],""PMLS:904"":[49.1287,-123.7029],""PMLS:1009"":[49.1287,-123.7029],""PMLS:1204"":[49.04,-123.595],""PMLS:1351"":[49.03,-123.58667],""PMLS:2626"":[49.03,-123.58667],""PMLS:2743"":[49.1287,-123.7029],""PMLS:2976"":[49.01833,-123.59],""PMLS:3086"":[49.01833,-123.59],""PMLS:3176"":[49.03,-123.58667],""PMLS:3372"":[49.03,-123.58667],""PMLS:4126"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,Acanthodoris nanaimoensis,,PMLS,Josef Point,1992-10-04T10:30:00.000Z,,PMLS,wreck of the Del Norte,2009-10-10T14:12:00.000Z
,Acantholithodes hispidus,450310,7,"{""PMLS:101"":[49.087832,-123.684704],""PMLS:513"":[49.1287,-123.7029],""PMLS:793"":[49.1287,-123.7029],""PMLS:918"":[49.1287,-123.7029],""PMLS:3822"":[49.1287,-123.7029],""PMLS:3994"":[49.1287,-123.7029],""PMLS:4251"":[49.1287,-123.7029]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,Acantholithodes hispidus,,PMLS,Valdes Island cliffs,1985-07-28T10:05:00.000Z,,PMLS,Josef Point,2012-08-08T14:01:00.000Z
,Acarnus erithacus,63669,5,"{""PMLS:1651"":[49.1287,-123.7029],""PMLS:2152"":[49.01833,-123.59],""PMLS:2928"":[49.01833,-123.59],""PMLS:3038"":[49.01833,-123.59],""PMLS:3505"":[49.1287,-123.7029]}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Acarnidae,,,Acarnus,Acarnus erithacus,,PMLS,Josef Point,2008-05-18T09:20:00.000Z,,PMLS,Josef Point,2011-09-11T14:50:00.000Z
,Acer macrophyllum,48227,19,"{""iNat:8027468"":[49.031046,-123.60087],""iNat:9281611"":[49.043632,-123.613232],""iNat:9281957"":[49.110976,-123.696336],""iNat:13962772"":[49.042666,-123.609894],""iNat:30056842"":[49.037102,-123.603912],""iNat:30465340"":[49.062175,-123.652214],""iNat:30466518"":[49.043769,-123.627144],""iNat:37146187"":[49.12465,-123.701439],""iNat:55809874"":[49.0747,-123.655364],""iNat:58113318"":[49.060353,-123.653755],""iNat:59625793"":[49.047517,-123.625739],""iNat:85707027"":[49.032167,-123.607338],""iNat:90603184"":[49.060417,-123.640297],""iNat:96843366"":[49.0206,-123.599092],""iNat:96843373"":[49.018981,-123.597786],""iNat:96844170"":[49.021228,-123.602731],""iNat:96844187"":[49.020261,-123.604667]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,Acer macrophyllum,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,John D Reynolds,iNat,,2021-09-04T18:04:00.000Z
,Achillea millefolium,1105043,4,"{""iNat:6811884"":[49.040992,-123.64371],""iNat:13960521"":[49.044728,-123.609],""ASIMON:25"":[49.0418,-123.643081]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Achillea,,"Andrew Simon, Harvey Janszen, John Reynolds",ASIMON,Valdes Island,2017-01-01T00:00:00.000Z,Bridget Spencer,iNat,,2018-07-01T16:57:00.000Z
