Group,Taxon,Country,Prov_State,District,LocationName,LocationRemarks,Latitude,Longitude,UTMZone,UTMNorthing,UTMEasting,Collector/Observer,Date,CatalogueNumber,HabitatRemarks,Substrate,ObservationNotes,SpecimenNotes,CuratorRemarks,GeoreferencingRemarks,Source
ALGAE,Bossiella spp.,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,reported as Bosiella/Calliarthron spp.,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Bossiella spp.,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,reported as Bosiella/Calliarthron spp.,,VIC - 2016 Bioblitz marine checklist
ALGAE,Callithamnion pikeanum,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Callithamnion pikeanum,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Ceramium pacificum,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2016-06-04,,Low intertidal,,,,,,VIC - 2016 Marine Bioblitz
ALGAE,Chondracanthus corymbiferus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,reported as Chondracanthus corymbiferous,,VIC - additional seaweeds
ALGAE,Chondracanthus exasperatus,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,,,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Chondracanthus exasperatus,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2016-06-04,,Mid intertidal,,,,,,VIC - 2016 Marine Bioblitz
ALGAE,Chondracanthus exasperatus,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Chondracanthus exasperatus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Coilodesme sp.,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,reported as Coilidesme sp.,,VIC - additional seaweeds
ALGAE,Colpomenia peregrina,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,,,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Colpomenia peregrina,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Corallina officinalis,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - additional seaweeds
ALGAE,Corallina vancouveriensis,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - additional seaweeds
ALGAE,Cryptopleura sp.,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - additional seaweeds
ALGAE,Fucus distichus,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,[Fucus gardneri],,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Fucus distichus,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2016-06-04,,,,,,,,VIC - 2016 Marine Bioblitz
ALGAE,Fucus distichus,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,[Fucus gardneri],,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Fucus distichus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,Fucus distichus [gardneri],,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Fucus sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,or Silvetia sp.,,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Fucus sp.,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,reported as Fucus or Silvetia sp.,,VIC - 2016 Bioblitz marine checklist
ALGAE,Leathesia marina,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,[difformis],,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Leathesia marina,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2016-06-04,,Mid intertidal,,,,,,VIC - 2016 Marine Bioblitz
ALGAE,Leathesia marina,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,reported as Leathesia difformis,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Leathesia marina,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,Leathesia marina [diformis],,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Mastocarpus papillatus,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2016-06-04,,Mid intertidal,,,,,,VIC - 2016 Marine Bioblitz
ALGAE,Mastocarpus papillatus,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Mastocarpus papillatus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Mazzaella parksii,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,[Mazzella cornucopiae (parksii?]),,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Mazzaella parksii,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Mazzaella parksii,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Mazzaella splendens,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
