Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name
Metridium senile,1968-08-01T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,35,short plumose anemone
Alcyonium sp.?,1968-08-01T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,,open,90,35,orange soft coral
Pteraster tesselatus,1968-08-01T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,,open,90,35,slime star
Henricia aspera aspera,1968-08-01T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,35,ridged blood star
Gorgonocephalus eucnemis,1968-08-01T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,,open,90,35,basket star
Florometra serratissima,1968-08-01T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,very abundant,open,90,35,feather star
Sebastes caurinus,1968-08-01T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,35,copper rockfish
Sebastes maliger,1968-08-01T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,35,quillback rockfish
Sebastes ruberrimus,1968-08-01T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,35,yelloweye rockfish
Sebastes nigrocinctus,1968-08-01T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,,open,90,35,tiger rockfish
Hexagrammos decagrammus,1968-08-01T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,35,kelp greenling
Ophiodon elongatus,1968-08-01T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,35,lingcod
Metridium senile,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,short plumose anemone
Cribrinopsis fernaldi,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,crimson anemone
Balanophyllia elegans,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,orange cup coral
Alcyonium sp.,1968-08-02T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,,open,80,60,red soft coral
Ptilosarcus gurneyi,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,orange sea pen
Balanus glandula/Balanus crenatus,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,common acorn barnacles
Stylasterias forreri,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,velcro star
Gorgonocephalus eucnemis,1968-08-02T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,,open,80,60,basket star
Florometra serratissima,1968-08-02T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,abundant,open,80,60,feather star
Ascidia paratropa,1968-08-02T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,,open,80,60,glassy tunicate
Sebastes caurinus,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,copper rockfish
Sebastes maliger,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,quillback rockfish
Sebastes nigrocinctus,1968-08-02T13:00:00,collected,Shingle Point Reef,49.040699,-123.644925,,open,80,60,tiger rockfish
Hexagrammos decagrammus,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,kelp greenling
Ophiodon elongatus,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,lingcod
Scorpaenichthys marmoratus,1968-08-02T13:00:00,,Shingle Point Reef,49.040699,-123.644925,,open,80,60,cabezon
Metridium senile,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,short plumose anemone
Balanophyllia elegans,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,orange cup coral
Pinauay marina,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,solitary pink-mouth hydroid
Aurelia labiata,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,moon jelly
Serpula columbiana,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,red-trumpet calcareous tubeworm
Dodecaceria fewkesi,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,fringed filament-worm
Schizobranchia insignis,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,split-branch feather-duster
Bugula californica,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,spiral bryozoan
Cancer oregonensis,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,pygmy rock crab
Rhinolithodes wosnessenskii,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,rhinoceros crab
Balanus nubilus,1970-04-03T14:30:00,empty clusters,Dibuxante Cove,49.126005,-123.717882,,open,50,40,giant acorn barnacle
Pisaster ochraceus,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,purple star or ochre star
Pisaster brevispinus,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,giant pink star
Evasterias troschelii,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,mottled star
Mediaster aequalis,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,vermilion star
Pycnopodia helianthoides,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,sunflower star
Crossaster papposus,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,rose star
Florometra serratissima,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,feather star
Corella willmeriana,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,transparent tunicate
Rhinogobiops nicholsii,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,blackeye goby
Sebastes caurinus,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,copper rockfish
Sebastes maliger,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,quillback rockfish
Jordania zonope,1970-04-03T14:30:00,,Dibuxante Cove,49.126005,-123.717882,,open,50,40,longfin sculpin
Metridium senile,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,short plumose anemone
Cribrinopsis fernaldi,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,crimson anemone
Alcyonium sp.,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,red soft coral
Pteraster tesselatus,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,slime star
Crossaster papposus,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,rose star
Solaster dawsoni,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,morning sun star
