iNaturalist taxon name,iNaturalist taxon ID,Observation count,Collection/List,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Date observed,Description,Place name,Common name,Recorded by,coordinateUncertaintyInMeters
Hexagrammos decagrammus,68596,46,PMLS,"{""PMLS:10"":[49.040699,-123.644925],""PMLS:25"":[49.040699,-123.644925],""PMLS:142"":[49.087832,-123.684704],""PMLS:240"":[49.1287,-123.7029],""PMLS:343"":[49.1287,-123.7029],""PMLS:445"":[49.1287,-123.7029],""PMLS:632"":[49.12667,-123.69167],""PMLS:735"":[49.1287,-123.7029],""PMLS:827"":[49.1287,-123.7029],""PMLS:954"":[49.1287,-123.7029],""PMLS:1043"":[49.1287,-123.7029],""PMLS:1243"":[49.04,-123.595],""PMLS:1403"":[49.03,-123.58667],""PMLS:1534"":[49.01667,-123.595],""PMLS:1625"":[49.03,-123.58667],""PMLS:1751"":[49.1287,-123.7029],""PMLS:1851"":[49.03,-123.58667],""PMLS:1966"":[49.03,-123.58667],""PMLS:2059"":[49.03,-123.58667],""PMLS:2115"":[49.03,-123.58667],""PMLS:2129"":[49.03,-123.58667],""PMLS:2251"":[49.01833,-123.59],""PMLS:2341"":[49.03,-123.58667],""PMLS:2442"":[49.03,-123.58667],""PMLS:2485"":[49.03,-123.58667],""PMLS:2590"":[49.1287,-123.7029],""PMLS:2662"":[49.03,-123.58667],""PMLS:2776"":[49.1287,-123.7029],""PMLS:2899"":[49.03,-123.58667],""PMLS:3019"":[49.01833,-123.59],""PMLS:3115"":[49.01833,-123.59],""PMLS:3219"":[49.03,-123.58667],""PMLS:3309"":[49.03,-123.58667],""PMLS:3414"":[49.03,-123.58667],""PMLS:3469"":[49.03,-123.58667],""PMLS:3594"":[49.1287,-123.7029],""PMLS:3663"":[49.02333,-123.585],""PMLS:3750"":[49.03,-123.58667],""PMLS:3857"":[49.1287,-123.7029],""PMLS:3902"":[49.01585,-123.611406],""PMLS:3945"":[49.03,-123.58667],""PMLS:4027"":[49.1287,-123.7029],""PMLS:4168"":[49.1287,-123.7029],""PMLS:4296"":[49.1287,-123.7029],""PMLS:4361"":[49.087832,-123.684704]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Hexagramminae,,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus,1968-08-01T13:00:00,,,kelp greenling,,
Ophiodon elongatus,52539,44,PMLS,"{""PMLS:11"":[49.040699,-123.644925],""PMLS:26"":[49.040699,-123.644925],""PMLS:67"":[49.040699,-123.644925],""PMLS:241"":[49.1287,-123.7029],""PMLS:344"":[49.1287,-123.7029],""PMLS:446"":[49.1287,-123.7029],""PMLS:633"":[49.12667,-123.69167],""PMLS:736"":[49.1287,-123.7029],""PMLS:828"":[49.1287,-123.7029],""PMLS:955"":[49.1287,-123.7029],""PMLS:1044"":[49.1287,-123.7029],""PMLS:1107"":[49.055777,-123.657959],""PMLS:1244"":[49.04,-123.595],""PMLS:1404"":[49.03,-123.58667],""PMLS:1536"":[49.01667,-123.595],""PMLS:1752"":[49.1287,-123.7029],""PMLS:1852"":[49.03,-123.58667],""PMLS:1967"":[49.03,-123.58667],""PMLS:2060"":[49.03,-123.58667],""PMLS:2116"":[49.03,-123.58667],""PMLS:2252"":[49.01833,-123.59],""PMLS:2342"":[49.03,-123.58667],""PMLS:2443"":[49.03,-123.58667],""PMLS:2486"":[49.03,-123.58667],""PMLS:2591"":[49.1287,-123.7029],""PMLS:2663"":[49.03,-123.58667],""PMLS:2777"":[49.1287,-123.7029],""PMLS:2900"":[49.03,-123.58667],""PMLS:3020"":[49.01833,-123.59],""PMLS:3116"":[49.01833,-123.59],""PMLS:3220"":[49.03,-123.58667],""PMLS:3310"":[49.03,-123.58667],""PMLS:3415"":[49.03,-123.58667],""PMLS:3470"":[49.03,-123.58667],""PMLS:3595"":[49.1287,-123.7029],""PMLS:3664"":[49.02333,-123.585],""PMLS:3751"":[49.03,-123.58667],""PMLS:3858"":[49.1287,-123.7029],""PMLS:3946"":[49.03,-123.58667],""PMLS:4028"":[49.1287,-123.7029],""PMLS:4169"":[49.1287,-123.7029],""PMLS:4297"":[49.1287,-123.7029],""PMLS:4362"":[49.087832,-123.684704]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Ophiodontinae,,Ophiodon,Ophiodon elongatus,Ophiodon elongatus,1968-08-01T13:00:00,,,lingcod,,
Cribrinopsis fernaldi,465158,4,PMLS,"{""PMLS:13"":[49.040699,-123.644925],""PMLS:52"":[49.040699,-123.644925],""PMLS:71"":[49.087832,-123.684704],""PMLS:2073"":[49.03,-123.58667]}",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Cribrinopsis,Cribrinopsis fernaldi,Cribrinopsis fernaldi,1968-08-02T13:00:00,,,crimson anemone,,
Balanophyllia elegans,51799,49,PMLS,"{""PMLS:14"":[49.040699,-123.644925],""PMLS:29"":[49.126005,-123.717882],""PMLS:74"":[49.087832,-123.684704],""PMLS:158"":[49.1287,-123.7029],""PMLS:261"":[49.1287,-123.7029],""PMLS:376"":[49.1287,-123.7029],""PMLS:477"":[49.1287,-123.7029],""PMLS:567"":[49.12667,-123.69167],""PMLS:667"":[49.1287,-123.7029],""PMLS:858"":[49.1287,-123.7029],""PMLS:977"":[49.1287,-123.7029],""PMLS:1058"":[49.055777,-123.657959],""PMLS:1169"":[49.04,-123.595],""PMLS:1292"":[49.03,-123.58667],""PMLS:1442"":[49.01667,-123.595],""PMLS:1566"":[49.03,-123.58667],""PMLS:1662"":[49.1287,-123.7029],""PMLS:1781"":[49.03,-123.58667],""PMLS:1881"":[49.03,-123.58667],""PMLS:1988"":[49.03,-123.58667],""PMLS:2075"":[49.03,-123.58667],""PMLS:2158"":[49.01833,-123.59],""PMLS:2285"":[49.03,-123.58667],""PMLS:2377"":[49.03,-123.58667],""PMLS:2452"":[49.03,-123.58667],""PMLS:2521"":[49.1287,-123.7029],""PMLS:2606"":[49.03,-123.58667],""PMLS:2705"":[49.1287,-123.7029],""PMLS:2819"":[49.03,-123.58667],""PMLS:2934"":[49.01833,-123.59],""PMLS:3042"":[49.01833,-123.59],""PMLS:3143"":[49.03,-123.58667],""PMLS:3240"":[49.03,-123.58667],""PMLS:3340"":[49.03,-123.58667],""PMLS:3428"":[49.03,-123.58667],""PMLS:3511"":[49.1287,-123.7029],""PMLS:3611"":[49.02333,-123.585],""PMLS:3689"":[49.03,-123.58667],""PMLS:3781"":[49.1287,-123.7029],""PMLS:3912"":[49.03,-123.58667],""PMLS:3969"":[49.1287,-123.7029],""PMLS:4045"":[49.03,-123.58667],""PMLS:4094"":[49.1287,-123.7029],""PMLS:4206"":[49.1287,-123.7029],""PMLS:4302"":[49.087832,-123.684704],""PMLS:4318"":[49.087832,-123.684704],""PMLS:4332"":[49.087832,-123.684704],""PMLS:4342"":[49.087832,-123.684704]}",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Dendrophylliidae,,,Balanophyllia,Balanophyllia elegans,Balanophyllia elegans,1968-08-02T13:00:00,,,orange cup coral,,
Ptilosarcus gurneyi,448320,24,PMLS,"{""PMLS:16"":[49.040699,-123.644925],""PMLS:159"":[49.1287,-123.7029],""PMLS:859"":[49.1287,-123.7029],""PMLS:1059"":[49.055777,-123.657959],""PMLS:1171"":[49.04,-123.595],""PMLS:1294"":[49.03,-123.58667],""PMLS:1444"":[49.01667,-123.595],""PMLS:1568"":[49.03,-123.58667],""PMLS:1783"":[49.03,-123.58667],""PMLS:1883"":[49.03,-123.58667],""PMLS:1990"":[49.03,-123.58667],""PMLS:2077"":[49.03,-123.58667],""PMLS:2379"":[49.03,-123.58667],""PMLS:2454"":[49.03,-123.58667],""PMLS:2608"":[49.03,-123.58667],""PMLS:2706"":[49.1287,-123.7029],""PMLS:2821"":[49.03,-123.58667],""PMLS:3145"":[49.03,-123.58667],""PMLS:3242"":[49.03,-123.58667],""PMLS:3342"":[49.03,-123.58667],""PMLS:3430"":[49.03,-123.58667],""PMLS:3613"":[49.02333,-123.585],""PMLS:3691"":[49.03,-123.58667],""PMLS:4205"":[49.1287,-123.7029]}",Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subselliflorae,,,Pennatulidae,,,Ptilosarcus,Ptilosarcus gurneyi,Ptilosarcus gurneyi,1968-08-02T13:00:00,,,orange sea pen,,
Balanus glandula,81610,31,PMLS,"{""PMLS:17"":[49.040699,-123.644925],""PMLS:103"":[49.087832,-123.684704],""PMLS:314"":[49.1287,-123.7029],""PMLS:1083"":[49.055777,-123.657959],""PMLS:1139"":[49.01585,-123.611406],""PMLS:1213"":[49.04,-123.595],""PMLS:1721"":[49.1287,-123.7029],""PMLS:1816"":[49.03,-123.58667],""PMLS:1923"":[49.03,-123.58667],""PMLS:2024"":[49.03,-123.58667],""PMLS:2220"":[49.01833,-123.59],""PMLS:2412"":[49.03,-123.58667],""PMLS:2558"":[49.1287,-123.7029],""PMLS:2635"":[49.03,-123.58667],""PMLS:3187"":[49.03,-123.58667],""PMLS:3559"":[49.1287,-123.7029],""PMLS:3711"":[49.03,-123.58667],""PMLS:3826"":[49.1287,-123.7029],""PMLS:3893"":[49.01585,-123.611406],""PMLS:3920"":[49.03,-123.58667],""PMLS:3992"":[49.1287,-123.7029],""PMLS:4139"":[49.1287,-123.7029],""PMLS:4248"":[49.1287,-123.7029],""PMLS:4310"":[49.087832,-123.684704],""PMLS:4334"":[49.087832,-123.684704],""PMLS:4351"":[49.087832,-123.684704],""iNat:13962775"":[49.042666,-123.609894],""VIC:207"":[49.059442,-123.624488]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,,Sessilia,Balanomorpha,,Balanoidea,Balanidae,,,Balanus,Balanus glandula,Balanus glandula/Balanus crenatus,1968-08-02T13:00:00,,,common acorn barnacles,,
Stylasterias forreri,255883,2,PMLS,"{""PMLS:18"":[49.040699,-123.644925],""PMLS:3638"":[49.02333,-123.585]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Stylasterias,Stylasterias forreri,Stylasterias forreri,1968-08-02T13:00:00,,,velcro star,,
Ascidia paratropa,415129,2,PMLS,"{""PMLS:21"":[49.040699,-123.644925],""PMLS:127"":[49.087832,-123.684704]}",Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,,Ascidiidae,,,Ascidia,Ascidia paratropa,Ascidia paratropa,1968-08-02T13:00:00,collected,,glassy tunicate,,
Scorpaenichthys marmoratus,47638,16,PMLS,"{""PMLS:27"":[49.040699,-123.644925],""PMLS:349"":[49.1287,-123.7029],""PMLS:450"":[49.1287,-123.7029],""PMLS:636"":[49.12667,-123.69167],""PMLS:1409"":[49.03,-123.58667],""PMLS:1971"":[49.03,-123.58667],""PMLS:2119"":[49.03,-123.58667],""PMLS:2346"":[49.03,-123.58667],""PMLS:2447"":[49.03,-123.58667],""PMLS:2667"":[49.03,-123.58667],""PMLS:2780"":[49.1287,-123.7029],""PMLS:2904"":[49.03,-123.58667],""PMLS:3023"":[49.01833,-123.59],""PMLS:3315"":[49.03,-123.58667],""PMLS:3473"":[49.03,-123.58667],""PMLS:3668"":[49.02333,-123.585]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Cottidae,,,Scorpaenichthys,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,1968-08-02T13:00:00,,,cabezon,,
Ectopleura marina,492142,10,PMLS,"{""PMLS:30"":[49.126005,-123.717882],""PMLS:867"":[49.1287,-123.7029],""PMLS:982"":[49.1287,-123.7029],""PMLS:1305"":[49.03,-123.58667],""PMLS:3517"":[49.1287,-123.7029],""PMLS:3907"":[49.03,-123.58667],""PMLS:3960"":[49.1287,-123.7029],""PMLS:4038"":[49.03,-123.58667],""PMLS:4100"":[49.1287,-123.7029],""PMLS:4199"":[49.1287,-123.7029]}",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,,Tubulariidae,,,Ectopleura,Ectopleura marina,Pinauay marina,1970-04-03T14:30:00,,,solitary pink-mouth hydroid,,
