id,time_observed_at,observed_on,user_login,user_name,quality_grade,coordinates_obscured,image_url,positional_accuracy,positioning_method,positioning_device,scientific_name,common_name,captive,taxon_id,taxon_rank,latitude,longitude,private_latitude,private_longitude,phylum
17227876,2018-10-05T15:03:20-07:00,2018-10-05,catrionamallows,Catriona Mallows,research,false,https://static.inaturalist.org/photos/26123613/square.jpg,5,,,Acer macrophyllum,bigleaf maple,false,48227,species,49.7565895692,-124.5598516056,,,Tracheophyta
17231944,2018-10-05T17:53:30-07:00,2018-10-05,catrionamallows,Catriona Mallows,casual,false,https://static.inaturalist.org/photos/26130356/square.jpg,65,,,Picea pungens,blue spruce,true,119092,species,49.7584064077,-124.5585030994,,,Tracheophyta
26142650,2017-06-13T15:49:00-07:00,2017-06-13,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/40564940/square.jpg,4,,,Opuntia fragilis,Brittle Pricklypear,false,62474,species,49.7210701784,-124.612875382,,,Tracheophyta
26152250,2017-06-13T19:13:00-07:00,2017-06-13,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/40581674/square.jpg,10,,,Erigeron flagellaris,trailing fleabane,false,76919,species,49.7211450913,-124.6092714522,,,Tracheophyta
26307818,2019-06-02T14:54:49-07:00,2019-06-02,willko5,,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/40841286/square.jpeg,175,,,Vetrix,sallows and osiers,false,1237140,subgenus,49.7916778533,-124.6173157543,,,Tracheophyta
26308111,2019-06-02T14:51:04-07:00,2019-06-02,willko5,,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/40841866/square.jpeg,88,,,Pyracantha coccinea,Firethorn,false,57254,species,49.7917243887,-124.6155448258,,,Tracheophyta
26308345,2019-06-02T14:36:38-07:00,2019-06-02,willko5,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/40842296/square.jpeg,44,,,Ambrosia chamissonis,silver beachweed,false,71135,species,49.7948850106,-124.6128629521,,,Tracheophyta
26308443,2019-06-02T14:19:43-07:00,2019-06-02,willko5,,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/40842466/square.jpeg,175,,,Geranium molle,Dove's-foot crane's-bill,false,53076,species,49.7984418973,-124.6126068011,,,Tracheophyta
26308515,2019-06-02T13:09:05-07:00,2019-06-02,willko5,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/40842738/square.jpeg,175,,,Leucanthemum vulgare,oxeye daisy,false,56057,species,49.8016351899,-124.6066677198,,,Tracheophyta
26550324,2018-03-18T13:15:00-07:00,2018-03-18,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/41235683/square.jpg,5,,,Toxicodendron diversilobum,Pacific poison oak,false,51080,species,49.720927,-124.612677,,,Tracheophyta
26604552,2018-03-19T15:04:13-07:00,2018-03-19,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/41322147/square.jpg,55,,,Petasites frigidus palmatus,Western Sweet Coltsfoot,false,55778,variety,49.7466761412,-124.6251814752,,,Tracheophyta
26791486,2019-06-08T19:28:00-07:00,2019-06-08,craigpigott,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/41622817/square.jpg,16,,,Lonicera hispidula,Pink Honeysuckle,false,53416,species,49.6930777778,-124.5315638889,,,Tracheophyta
26792010,2019-06-08T18:43:00-07:00,2019-06-08,craigpigott,,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/41623174/square.jpg,486,,,Bolboschoenus maritimus,sea clubrush,false,58345,species,49.6925583333,-124.5285944444,,,Tracheophyta
26792305,2019-06-08T18:44:00-07:00,2019-06-08,craigpigott,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/41624249/square.jpg,12,,,Iris pseudacorus,Yellow Iris,false,47779,species,49.692525,-124.5288166667,,,Tracheophyta
26840175,2019-06-08T18:51:19-07:00,2019-06-08,craigpigott,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/41702141/square.jpg,24,,,Digitalis purpurea,purple foxglove,false,53983,species,49.69275,-124.52948,,,Tracheophyta
26840746,2019-06-08T19:35:06-07:00,2019-06-08,craigpigott,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/41702938/square.jpg,96,,,Rubus spectabilis,Salmonberry,false,47543,species,49.6928866667,-124.5302966667,,,Tracheophyta
26840921,2019-06-08T19:40:26-07:00,2019-06-08,craigpigott,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/41703161/square.jpg,24,,,Rubus parviflorus,thimbleberry,false,51646,species,49.693005,-124.530205,,,Tracheophyta
26841033,2019-06-08T19:53:37-07:00,2019-06-08,craigpigott,,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/41703356/square.jpg,22,,,Achillea millefolium,common yarrow,false,52821,species,49.6925866733,-124.52793,,,Tracheophyta
27411505,2017-06-12T13:35:00-07:00,2017-06-12,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42648447/square.jpg,28,,,Brodiaea coronaria,crown brodiaea,false,57126,species,49.618800785,-124.4295980526,,,Tracheophyta
27411584,2017-06-12T13:50:00-07:00,2017-06-12,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42648583/square.jpg,52,,,Koeleria macrantha,Prairie Junegrass,false,57183,species,49.617526906,-124.4263826538,,,Tracheophyta
27411631,2017-06-12T19:15:00-07:00,2017-06-12,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42648740/square.jpg,15,,,Opuntia fragilis,Brittle Pricklypear,false,62474,species,49.6188050113,-124.429517362,,,Tracheophyta
27411668,2017-06-12T13:55:00-07:00,2017-06-12,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42648817/square.jpg,31,,,Aphyllon californicum,California Broomrape,false,802458,species,49.6188396119,-124.42943237,,,Tracheophyta
27411728,2017-06-12T13:55:00-07:00,2017-06-12,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42648946/square.jpg,31,,,Aspidotis densa,serpentine fern,false,63868,species,49.6188262602,-124.4302334718,,,Tracheophyta
27411824,2017-06-12T15:55:00-07:00,2017-06-12,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42649067/square.jpg,51,,,Collomia heterophylla,variableleaf collomia,false,52996,species,49.7024087317,-124.4738113527,,,Tracheophyta
27412105,2017-06-12T14:01:00-07:00,2017-06-12,danielstewart,Daniel Stewart,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42649601/square.jpg,32,,,Sabulina macra,Slender Stitchwort,false,836878,species,49.6188542642,-124.4304410392,,,Tracheophyta
27468113,2017-06-13T12:55:00-07:00,2017-06-13,danielstewart,Daniel Stewart,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42740886/square.jpeg,5,,,Magnoliopsida,dicots,false,47124,class,49.7206944444,-124.6099166667,,,Tracheophyta
27468236,2017-06-13T14:18:00-07:00,2017-06-13,danielstewart,Daniel Stewart,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42741070/square.jpeg,10,,,Carex feta,green-sheathed sedge,false,76037,species,49.7213638889,-124.6095277778,,,Tracheophyta
27468554,2017-06-14T13:25:00-07:00,2017-06-14,danielstewart,Daniel Stewart,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42741693/square.jpg,61,,,Ribes lacustre,swamp currant,false,78858,species,49.5469371251,-124.2464121393,,,Tracheophyta
27468746,2017-06-14T14:32:00-07:00,2017-06-14,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42741984/square.jpg,98,,,Juniperus maritima,Seaside Juniper,false,164313,species,49.5440368286,-124.246087187,,,Tracheophyta
27468880,2017-06-14T15:24:00-07:00,2017-06-14,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42742152/square.jpg,74,,,Aspidotis densa,serpentine fern,false,63868,species,49.5440965254,-124.2453079542,,,Tracheophyta
27469049,2017-06-14T16:00:00-07:00,2017-06-14,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42742297/square.jpg,46,,,Pyrola aphylla,Leafless wintergreen,false,630966,species,49.5459955354,-124.2467856225,,,Tracheophyta
27469336,2017-06-14T14:14:00-07:00,2017-06-14,danielstewart,Daniel Stewart,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/42742853/square.jpg,26,,,Carex feta,green-sheathed sedge,false,76037,species,49.5435580025,-124.2436643689,,,Tracheophyta
28475461,2015-04-25,2015-04-25,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/44391333/square.jpg,8,,,Kopsiopsis hookeri,small ground-cone,false,77611,species,49.7369937309,-124.6345662978,,,Tracheophyta
28475736,2015-04-25T19:14:00-07:00,2015-04-25,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/44391547/square.jpg,20,,,Epilobium minutum,little willowherb,false,57150,species,49.7381617822,-124.6347941667,,,Tracheophyta
28475843,2015-04-26T19:35:00-07:00,2015-04-26,danielstewart,Daniel Stewart,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/44391892/square.jpg,14,,,Toxicoscordion venenosum,Meadow Deathcamas,false,59087,species,49.738195617,-124.6349350773,,,Tracheophyta
28476144,2015-04-26T08:32:00-07:00,2015-04-26,danielstewart,Daniel Stewart,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/44392421/square.jpg,8,,,Amsinckia spectabilis,woolly breeches,false,71045,species,49.7410406335,-124.6338781979,,,Tracheophyta
28481987,2019-07-05T17:11:50-07:00,2019-07-05,melaniebrell,Melanie Moncrieff Ells,research,false,https://static.inaturalist.org/photos/44402987/square.jpeg,9,,,Equisetum telmateia braunii,Braun's Giant Horsetail,false,57032,subspecies,49.6777839864,-124.4920917973,,,Tracheophyta
28481993,2019-07-06T20:19:59-07:00,2019-07-06,melaniebrell,Melanie Moncrieff Ells,research,false,https://static.inaturalist.org/photos/44403002/square.jpeg,,,,Hypericum calycinum,Rose-of-sharon,false,77481,species,49.6779327393,-124.492515564,,,Tracheophyta
