previousIdentifications,taxonName,iNaturalistTaxonName,iNaturalistTaxonId,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,species,authority,commonName,collected,collector,collection,firstObserved,observer,documenting,notes,origin,criticalNotes,index
Aplysilla sp. nov.,Aplysilla sp.nov.,Aplysilla,63646,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,,Aplysilla,,,slippery rose sponge,1985-12-07,Andy Lamb,DATA,,,unobserved,sp. nov.,,,598
Pleraplysilla sp. nov.,Pleraplysilla sp.nov.,Pleraplysilla,623055,Animalia,Porifera,,,Demospongiae,Keratosa,,Dictyoceratida,,,Dysideidae,,,Pleraplysilla,,,slippery white sponge,2006-09-29,Andy Lamb,DATA,,,unobserved,sp. nov.,,,621
Leucandra sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myxilla incrustans,Myxilla (Myxilla) incrustans,Myxilla incrustans,256019,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Myxillidae,,,Myxilla,Myxilla incrustans,"(Johnston, 1842)",rough scallop sponge,1973-06-14,Philip Lambert,DATA,,,unobserved,,native,,618
Stylissa stipitata,Semisuberites cribrosa,Semisuberites cribrosa,194571,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,,Semisuberites,Semisuberites cribrosa,"(Miklucho-Maclay, 1870)",funnel sponge,1985-08-02,Andy Lamb,DATA,,,unobserved,,native,,624
Iophon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetilla,Tetilla sp.,Tetilla,247194,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Tetractinellida,Spirophorina,,Tetillidae,,,Tetilla,,,,2008-05-21,Jackson Chu,DATA,,,unobserved,,,,629
Obelia spp.,Obelia sp.,Obelia,49536,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,Obelia,,,wine-glass hydroid,1968-08-02,Andy Lamb,DATA,,,unobserved,,,,207
Balanophyllia elegans,Balanophyllia (Balanophyllia) elegans,Balanophyllia elegans,51799,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Dendrophylliidae,,,Balanophyllia,Balanophyllia elegans,"Verrill, 1864",orange cup coral,1969-02-21,Andy Lamb,DATA,2007-10-23,Jackson Chu,observed,,native,,183
Aglaophenia spp.,Aglaophenia sp.,Aglaophenia,51218,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Aglaopheniidae,,,Aglaophenia,,,ostrich-plume hydroid,1971-08-21,Andy Lamb,DATA,,,unobserved,,,,205
Abietinaria spp.,Abietinaria sp.,Abietinaria,55322,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Abietinaria,,,coarse sea fir hydroid,1981-05-31,Andy Lamb,DATA,,,unobserved,,,,221
Aequorea spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sertularella spp. / Sertularia spp.,Sertularella sp.,Sertularella,60656,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertularellidae,,,Sertularella,,,garland hydroid,1985-08-02,Andy Lamb,DATA,,,unobserved,,,,219
Alcyonium sp.?,Alcyonium sp.,Alcyonium,338004,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,,Alcyonium,,,orange soft coral,1985-12-07,Andy Lamb,DATA,2016-02-07,Peter Luckham,observed,,,"Both the 'Gulf Island soft coral' and the 'Race Rocks/Browning Passage/Weynton Passage soft coral' are in the genus Alcyonium. However, they are genetically different and have not yet been circumscribed.",174
