iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Apodichthys flavidus,67408,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Apodichthys,Apodichthys flavidus,Apodichthys flavidus,"Girard, 1854",penpoint gunnel,1982-06-09,K.D. Genereux,DATA,2013-06-22,Karolle Wall,observed
Pholis clemensi,67405,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Pholis,Pholis clemensi,Pholis clemensi,"Rosenblatt, 1964",longfin gunnel,1994-10-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pholis laeta,67362,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,Pholis,Pholis laeta,Pholis laeta,"(Cope, 1873)",crescent gunnel,1982-06-09,K.D. Genereux,DATA,2013-07-07,Karolle Wall,observed
Ptilichthys goodei,229394,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Ptilichthyidae,,,Ptilichthys,Ptilichthys goodei,Ptilichthys goodei,"Bean, 1881",quillfish,2006-06-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Anoplarchus purpurescens,67316,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,,Anoplarchus,Anoplarchus purpurescens,Anoplarchus purpurescens,"Gill, 1861",high cockscomb,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2015-08-28,Andrew Simon,observed
Chirolophis decoratus,216742,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Chirolophinae,,Chirolophis,Chirolophis decoratus,Chirolophis decoratus,"(Jordan & Snyder, 1902)",decorated warbonnet,1993-08-16,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Chirolophis nugator,216743,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Chirolophinae,,Chirolophis,Chirolophis nugator,Chirolophis nugator,"(Jordan & Williams in Jordan & Starks, 1895)",mosshead warbonnet,1981-05-31,Andy Lamb & Donna Gibbs,DATA,2019-05-04,Isabelle M. Côté,observed
Lumpenus sagitta,224164,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Lumpeninae,,Lumpenus,Lumpenus sagitta,Lumpenus sagitta,"Wilimovsky, 1956",snake prickleback,,,DATA,2017-05-30,Karolle Wall,observed
Phytichthys chirus,228101,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,,Phytichthys,Phytichthys chirus,Phytichthys chirus,"(Jordan & Gilbert, 1880)",ribbon prickleback,1960-12-22,Donald E. McAllister & M. O. Yesaki,DATA,,,unobserved
Xiphister mucosus,67628,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Stichaeidae,Xiphisterinae,,Xiphister,Xiphister mucosus,Xiphister mucosus,"(Girard, 1858)",rock eel,,,DATA,2020-08-15,Andrew Simon,observed
Citharichthys stigmaeus,117542,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Paralichthyidae,,,Citharichthys,Citharichthys stigmaeus,Citharichthys stigmaeus,"Jordan & Gilbert, 1882",speckled sanddab,1993-05-09,Andy Lamb & Donna Gibbs,DATA,2016-07-05,Karolle Wall,observed
Lepidopsetta bilineata,183018,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Lepidopsetta,Lepidopsetta bilineata,Lepidopsetta bilineata,"(Ayres, 1855)",rock sole,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Lyopsetta exilis,104926,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Lyopsetta,Lyopsetta exilis,Lyopsetta exilis,"(Jordan & Gilbert, 1880)",slender sole,,,DATA,2008-05-24,J.W.F. Chu,observed
Parophrys vetulus,117545,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Parophrys,Parophrys vetulus,Parophrys vetulus,"Girard, 1854",English sole,1982-06-09,J. M. Ellis,DATA,,,unobserved
Platichthys stellatus,83170,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Platichthys,Platichthys stellatus,Platichthys stellatus,"(Pallas, 1787)",starry flounder,1982-06-09,J. M. Ellis,DATA,,,unobserved
Pleuronichthys coenosus,228393,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Pleuronectidae,Pleuronectinae,,Pleuronichthys,Pleuronichthys coenosus,Pleuronichthys coenosus,"Girard, 1854",C-O sole,1994-02-27,Andy Lamb & Donna Gibbs,DATA,2013-06-22,Karolle Wall,observed
Oncorhynchus clarkii,68075,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarkii,"(Richardson, 1836)",cutthroat trout,2000-01-01,Keith Erickson,DATA,,,unobserved
Oncorhynchus keta,107572,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta,"(Walbaum in Artedi, 1792)",chum salmon,2013-05-17,Andy Lamb & Donna Gibbs,DATA,,,unobserved
