iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Phyllochaetopterus,374226,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,,Phyllochaetopterus,,Phyllochaetopterus sp.,,tangled-straw three-section tubeworm,2007-10-14,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Spiochaetopterus costarum pottsi,552559,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,,Spiochaetopterus,Spiochaetopterus costarum,Spiochaetopterus costarum pottsi,"(Berkeley, 1927)",jointed three-section tubeworm,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Diopatra ornata,339286,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,Onuphinae,,Diopatra,Diopatra ornata,Diopatra ornata,"Moore, 1911",ornate tubeworm,1999-10-02,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Aphrodita negligens,733687,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Aphroditidae,,,Aphrodita,Aphrodita negligens,Aphrodita negligens,"Moore, 1905",sea mouse,1914-06-26,,DATA,,,unobserved
Oxydromus pugettensis,494514,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,Ophiodrominae,Ophiodromini,Oxydromus,Oxydromus pugettensis,Oxydromus pugettensis,"(Johnson, 1901)",bat star commensal worm,2006-06-23,Andy Lamb & Donna Gibbs,DATA,2018-08-10,Karolle Wall,observed
Nephtys,117607,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Nephtyidae,,,Nephtys,,Nephtys sp.,,goddess-worm,1969-02-22,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Nereis,81791,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Nereis,,Nereis sp.,,little pileworm sea-nymph,2008-03-01,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Nereis zonata,347330,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Nereis,Nereis zonata,Nereis zonata,"Malmgren, 1867",,1986-09-30,,DATA,,,unobserved
Nereis vexillosa,81790,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Nereis,Nereis vexillosa,Nereis vexillosa,"Grube, 1851",banner sea-nymph,1969-02-22,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Platynereis bicanaliculata,129876,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Platynereis,Platynereis bicanaliculata,Platynereis bicanaliculata,"(Baird, 1863)",polychaete worm,,,DATA,2019-05-04,Emily Adamczyk,observed
Trypanosyllis,195014,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Syllinae,,Trypanosyllis,,Trypanosyllis sp.,,purple-stub necklace-worm,1985-08-02,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Arctonoe fragilis,69914,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,Arctonoe fragilis,Arctonoe fragilis,"(Baird, 1863)",fragile ruffled scaleworm,1975-06-18,T. Kessler,DATA,,,unobserved
Arctonoe pulchra,465156,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,Arctonoe pulchra,Arctonoe pulchra,"(Johnson, 1897)",red commensal scaleworm,1975-06-18,T. Kessler,DATA,2019-05-04,Norah Brown,observed
Arctonoe vittata,122163,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,Arctonoe vittata,Arctonoe vittata,"(Grube, 1855)",red-banded commensal scaleworm,1975-06-18,T. Kessler,DATA,,,unobserved
Halosydna brevisetosa,71236,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,,Halosydna,Halosydna brevisetosa,Halosydna brevisetosa,"Kinberg, 1856",eighteen-scaled worm,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2019-05-05,Dave Metzger,observed
Harmothoe fragilis,873903,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Polynoinae,,Harmothoe,Harmothoe fragilis,Harmothoe fragilis,"Moore, 1910",chocolate & white scaleworm,2012-10-06,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Tomopteris pacifica,693689,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Tomopteridae,,,Tomopteris,Tomopteris pacifica,Tomopteris pacifica,"(Izuka, 1914)",tailed Pacific transparent-worm,2010-05-30,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Neosabellaria cementarium,339237,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Sabellariidae,,,Neosabellaria,Neosabellaria cementarium,Neosabellaria cementarium,"(Moore, 1906)",cemented sandmason tubeworm,1996-09-28,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Acromegalomma,781286,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Acromegalomma,,Acromegalomma sp.,"Gil & Nishi, 2017",,1995-02-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Chone aurantiaca,356415,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Chone,Chone aurantiaca,Chone aurantiaca,"(Johnson, 1901)",orange feather-duster,1999-05-04,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Eudistylia vancouveri,84864,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Eudistylia,Eudistylia vancouveri,Eudistylia vancouveri,"(Kinberg, 1866)",Vancouver feather-duster,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2015-01-01,Peter Luckham,observed
Myxicola,49534,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Myxicola,,Myxicola sp.A,Harris (provisional species name),petite slime-tube feather-duster,2018-06-19,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Parasabella media,367054,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Parasabella,Parasabella media,Parasabella media,Bush 1905,parasol feather-duster,1994-09-10,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Schizobranchia insignis,339561,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Schizobranchia,Schizobranchia insignis,Schizobranchia insignis,"Bush, 1905",split-branch feather-duster,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2017-05-26,Karolle Wall,observed
Pseudopotamilla occelata,485471,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Pseudopotamilla,Pseudopotamilla occelata,Pseudopotamilla occelata,,,1986-09-30,,DATA,,,observed
Apomatus geniculatus,939557,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Apomatus,Apomatus geniculatus,Apomatus geniculatus,"(Moore & Bush, 1904)",pearl-topped calcareous worm,2007-10-14,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Crucigera zygophora,543574,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Crucigera,Crucigera zygophora,Crucigera zygophora,"(Johnson, 1901)",pale calcareous tubeworm,1986-09-30,,DATA,,,unobserved
Pileolaria,533325,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Spirorbinae,Pileolariini,Pileolaria,,Pileolaria spp.,,dwarf calcareous worm,1994-10-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Protula pacifica,538108,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Protula,Protula pacifica,Protula pacifica,"Pixell, 1912",white-crown calcareous tubeworm,1981-05-31,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pseudochitinopoma occidentalis,538107,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Pseudochitinopoma,Pseudochitinopoma occidentalis,Pseudochitinopoma occidentalis,"(Bush, 1905)",western calcareous tubeworm,2006-03-05,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Salmacina tribranchiata,194972,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Salmacina,Salmacina tribranchiata,Salmacina tribranchiata,"(Moore, 1923)",three-branch calcareous tubeworm,2006-11-18,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Serpula columbiana,131207,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Serpula,Serpula columbiana,Serpula columbiana,"Johnson, 1901",red-trumpet calcareous tubeworm,1986-04-08,,DATA,2015-09-25,Karolle Wall,observed
Dodecaceria concharum,464813,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,,Dodecaceria,Dodecaceria concharum,Dodecaceria concharum,"Örsted, 1843",coralline-encased filament-worm,1999-07-31,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Dodecaceria fewkesi,192656,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,,Dodecaceria,Dodecaceria fewkesi,Dodecaceria fewkesi,"Berkeley & Berkeley, 1954",fringed filament-worm,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2016-02-07,Peter Luckham,observed
Pista elongata,338339,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,Terebellidae,Terebellinae,,Pista,Pista elongata,Pista elongata,"Moore, 1909",basket-top spaghetti-worm,1993-08-16,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Thelepus,117588,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,Terebellidae,Thelepodinae,,Thelepus,,Thelepus sp.,,curly-head spaghetti-worm,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Parasagitta elegans,448318,Animalia,Chaetognatha,,,Sagittoidea,,,Aphragmophora,,,Sagittidae,,,Parasagitta,Parasagitta elegans,Parasagitta elegans,"(Verrill, 1873)",arrow worm,1994-02-27,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Tubulanus albocinctus,873878,Animalia,Nemertea,,,Palaeonemertea,,,,,,Tubulanidae,,,Tubulanus,Tubulanus albocinctus,Tubulanus albocinctus,"(Coe, 1904)",white-ringed ribbon worm,1996-05-29,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Tubulanus polymorphus,117581,Animalia,Nemertea,,,Palaeonemertea,,,,,,Tubulanidae,,,Tubulanus,Tubulanus polymorphus,Tubulanus polymorphus,"Renier, 1804",orange ribbon worm,2008-08-23,Andy Lamb & Donna Gibbs,DATA,2017-05-27,Karolle Wall,observed
Tubulanus sexlineatus,121950,Animalia,Nemertea,,,Palaeonemertea,,,,,,Tubulanidae,,,Tubulanus,Tubulanus sexlineatus,Tubulanus sexlineatus,"(Griffin, 1898)",six-lined ribbon worm,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2018-08-10,Karolle Wall,observed
Emplectonema gracile,337279,Animalia,Nemertea,,,Hoplonemertea,,,Monostilifera,Eumonostilifera,,Emplectonematidae,,,Emplectonema,Emplectonema gracile,Emplectonema gracile,"(Johnstone, 1837)",green ribbon worm,1969-02-22,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Micrura verrilli,117598,Animalia,Nemertea,,,Pilidiophora,,,Heteronemertea,,,Lineidae,,,Micrura,Micrura verrilli,Micrura verrilli,"Coe, 1901",purple ribbon worm,2006-09-28,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Eurylepta leoparda,447179,Animalia,Platyhelminthes,Rhabditophora,,,,,Polycladida,Cotylea,,Euryleptidae,,,Eurylepta,Eurylepta leoparda,Eurylepta leoparda,"Freeman, 1933",spotted flatworm,1996-09-28,Andy Lamb & Donna Gibbs,DATA,2015-04-22,Karolle Wall,observed
Kaburakia excelsa,56699,Animalia,Platyhelminthes,Rhabditophora,,,,,Polycladida,Acotylea,Stylochoidea,Stylochidae,,,Kaburakia,Kaburakia excelsa,Kaburakia excelsa,"Bock, 1925",giant flatworm,2016-07-24,Andy Lamb & Donna Gibbs,DATA,2019-04-27,Andrew Simon,observed
Golfingia vulgaris,874030,Animalia,Sipuncula,,,Sipunculidea,,,Golfingiida,,,Golfingiidae,,,Golfingia,Golfingia vulgaris,Golfingia vulgaris,"(de Blainville, 1827)",brown peanut worm,2007-12-15,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Terebratalia transversa,122157,Animalia,Brachiopoda,Rhynchonelliformea,,Rhynchonellata,,,Terebratulida,Terebratellidina,Laqueoidea,Terebrataliidae,Terebrataliinae,,Terebratalia,Terebratalia transversa,Terebratalia transversa,"(Sowerby, 1846)",transverse lamp shell,1981-05-31,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Bugulina californica,551808,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Bugulina,Bugulina californica,Bugulina californica,"(Robertson, 1905)",spiral bryozoan,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2017-05-26,Karolle Wall,observed
Caulibugula californica,802658,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Caulibugula,Caulibugula californica,Caulibugula californica,"(Robertson, 1905)",parasol bryozoan,2002-03-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Dendrobeania lichenoides,339213,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Dendrobeania,Dendrobeania lichenoides,Dendrobeania lichenoides,"(Robertson, 1900)",leaf crust bryozoan,1985-07-29,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Dendrobeania murrayana,205170,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Dendrobeania,Dendrobeania murrayana,Dendrobeania murrayana,"(Johnston, 1847)",fan bryozoan,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Cellaria diffusa,196077,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Cellarioidea,Cellariidae,,,Cellaria,Cellaria diffusa,Cellaria diffusa,"Robertson, 1905",spindly rabbit-ear bryozoan,1995-02-24,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Celleporina robertsoniae,485340,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Celleporoidea,Celleporidae,,,Celleporina,Celleporina robertsoniae,Celleporina robertsoniae,"(Canu & Bassler, 1923)",rusty bryozoan,1997-04-15,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Membranipora villosa,360867,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Membraniporina,Membraniporoidea,Membraniporidae,,,Membranipora,Membranipora villosa,Membranipora villosa,"Hincks, 1880",kelp-encrusting bryozoan,1993-08-16,Andy Lamb & Donna Gibbs,DATA,2016-08-17,Andrew Simon,unobserved
Primavelans insculpta,429861,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Schizoporelloidea,Pacificincolidae,,,Primavelans,Primavelans insculpta,Primavelans insculpta,"(Hincks, 1883)",fluted bryozoan,1995-02-26,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Phidolopora pacifica,51796,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Celleporoidea,Phidoloporidae,,,Phidolopora,Phidolopora pacifica,Phidolopora pacifica,"(Robertson, 1908)",lattice-work bryozoan,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Schizoporella japonica,519486,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Schizoporelloidea,Schizoporellidae,,,Schizoporella,Schizoporella japonica,Schizoporella japonica,"Ortmann, 1890",orange encrusting bryozoan,1973-09-20,Andy Lamb & Donna Gibbs,DATA,2019-05-04,Joan Septembre,observed
Alcyonidium pedunculatum,873864,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,Alcyonidioidea,Alcyonidiidae,,,Alcyonidium,Alcyonidium pedunculatum,Alcyonidium pedunculatum,"Robertson, 1902",smooth leather bryozoan,1994-02-26,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Bowerbankia,345483,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Vesicularina,Vesicularioidea,Vesiculariidae,,,Bowerbankia,,Bowerbankia sp.,"Farre, 1837",tubeworm fuzz,2006-06-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pectinatella magnifica,68103,Animalia,Bryozoa,,,Phylactolaemata,,,Plumatellida,,,Pectinatellidae,,,Pectinatella,Pectinatella magnifica,Pectinatella magnifica,"(Leidy, 1851)",magnificent bryozoan,,,DATA,2009-10-02,Rene Zich,observed
Crisia,192680,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Articulina,,Crisiidae,,,Crisia,,Crisia sp.,,white tuft bryozoan,1985-07-29,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Diaperoforma californica,345872,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,,,,,,Diaperoforma,Diaperoforma californica,Diaperoforma californica,"(D'orbigny, 1852)",southern staghorn bryozoan,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Heteropora alaskensis,873902,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,,Heteropora,Heteropora alaskensis,Heteropora alaskensis,"Borg, 1933",delicate staghorn bryozoan,2008-07-19,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Heteropora pacifica,465163,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,,Heteropora,Heteropora pacifica,Heteropora pacifica,"Borg, 1933",northern staghorn bryozoan,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Disporella separata,465160,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Rectangulata,,Lichenoporidae,,,Disporella,Disporella separata,Disporella separata,"Osburn, 1953",purple encrusting bryozoan,1997-04-15,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Barentsia,211513,Animalia,Entoprocta,,,,,,,,,Barentsiidae,,,Barentsia,,Barentsia sp.,,nodding heads,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Phoronis ijimai,372139,Animalia,Phoronida,,,,,,,,,Phoronidae,,,Phoronis,Phoronis ijimai,Phoronis ijimai,"Oka, 1897",white colonial Phoronid,,,DATA,2013-06-26,Karolle Wall,observed
Anthopleura artemisia,51658,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Anthopleura,Anthopleura artemisia,Anthopleura artemisia,"(Pickering in Dana, 1846)",burrowing anemone,1996-09-29,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Anthopleura elegantissima,52564,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Anthopleura,Anthopleura elegantissima,Anthopleura elegantissima,"(Brandt, 1835)",pink-tipped anemone,1985-12-07,Andy Lamb & Donna Gibbs,DATA,2015-08-28,Andrew Simon,observed
Cribrinopsis fernaldi,465158,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Cribrinopsis,Cribrinopsis fernaldi,Cribrinopsis fernaldi,"Siebert & Spaulding, 1976. ",snakelock anemone,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Cribrinopsis rubens,936577,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Cribrinopsis,Cribrinopsis rubens,Cribrinopsis rubens,"Sanamyan, Sanamyan, McDaniel, Martynov, Korshunova & Bocharova, 2019",crimson anemone,2006-11-11,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Epiactis lisbethae,429853,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Epiactis,Epiactis lisbethae,Epiactis lisbethae,"Fautin & Chia, 1986",brooding anemone,1999-07-31,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Epiactis prolifera,49060,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Epiactis,Epiactis prolifera,Epiactis prolifera,"Verrill, 1869",proliferating anemone,1973-09-20,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Urticina clandestina,898651,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Urticina,Urticina clandestina,Urticina clandestina,"Sanamyan, N., Sanamyan, K. & McDaniel, 2013",stubby rose anemone,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2016-02-07,Peter Luckham,observed
Urticina crassicornis,127236,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Urticina,Urticina crassicornis,Urticina crassicornis,"(Müller, 1776)",,1986-09-30,,DATA,,,unobserved
Urticina grebelnyi,492672,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Urticina,Urticina grebelnyi,Urticina grebelnyi,"Sanamyan & Sanamyan, 2006",painted anemone,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Stomphia coccinea,459981,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinostoloidea,Actinostolidae,,,Stomphia,Stomphia coccinea,Stomphia coccinea,"(O.F. Müller, 1776)",spotted swimming anemone,2009-04-04,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Stomphia didemon,501276,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinostoloidea,Actinostolidae,,,Stomphia,Stomphia didemon,Stomphia didemon,"Siebert, 1973",swimming anemone,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Diadumene lineata,81783,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Diadumenidae,,,Diadumene,Diadumene lineata,Diadumene lineata,"(Verrill, 1869)",striped green sea anemone,,,DATA,2018-08-05,Kristian Sigvardsen,observed
Halcampa decemtentaculata,124510,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Halcampidae,,,Halcampa,Halcampa decemtentaculata,Halcampa decemtentaculata,"Hand, 1955",ten-tentacled burrowing anemone,2008-06-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Peachia quinquecapitata,47814,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Haloclavidae,,,Peachia,Peachia quinquecapitata,Peachia quinquecapitata,"McMurrich, 1913",jelly-dwelling anemone,2006-06-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Metridium farcimen,51812,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,,Metridium,Metridium farcimen,Metridium farcimen,"(Brandt, 1835)",giant plumose anemone,1973-09-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Metridium senile,49071,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,,Metridium,Metridium senile,Metridium senile,"(Linnaeus, 1761)",short plumose anemone,1968-08-02,Andy Lamb & Donna Gibbs,DATA,2017-04-30,Andrew Simon,observed
Alcyonium,338004,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,,Alcyonium,,Alcyonium sp.,,orange soft coral,1985-12-07,Andy Lamb & Donna Gibbs,DATA,2015-05-16,Peter Luckham,unobserved
Discophyton rudyi,460061,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,,Discophyton,Discophyton rudyi,Discophyton rudyi,"Verseveldt & van Ofwegen, 1992",white soft coral,1995-02-24,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Thrombophyton trachydermum,424307,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,,Thrombophyton,Thrombophyton trachydermum,Thrombophyton trachydermum,"McFadden & Hochberg, 2003",pale soft coral,2009-01-30,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pachycerianthus fimbriatus,47702,Animalia,Cnidaria,,,Anthozoa,Ceriantharia,,Spirularia,,,Cerianthidae,,,Pachycerianthus,Pachycerianthus fimbriatus,Pachycerianthus fimbriatus,"McMurrich, 1910",tube-dwelling anemone,1973-09-20,Andy Lamb & Donna Gibbs,DATA,2016-07-05,Karolle Wall,observed
Halipteris willemoesi,460078,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subselliflorae,,Halipteridae,,,Halipteris,Halipteris willemoesi,Halipteris willemoesi,"(Kölliker, 1880)",sea whip,2007-12-09,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Ptilosarcus gurneyi,448320,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subselliflorae,,Pennatulidae,,,Ptilosarcus,Ptilosarcus gurneyi,Ptilosarcus gurneyi,"(Gray, 1860)",orange sea pen,1923-06-18,,DATA,2016-02-07,Peter Luckham,observed
Virgularia,195571,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subselliflorae,,Virgulariidae,,,Virgularia,,Virgularia sp.,,white sea pen,1995-02-25,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Acanthoptilum,52538,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subselliflorae,,Virgulariidae,,,Acanthoptilum,,Acanthoptilum sp.,,,2016-01-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Caryophyllia alaskensis,459907,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Caryophylliidae,,,Caryophyllia,Caryophyllia alaskensis,Caryophyllia (Caryophyllia) alaskensis,"Vaughan, 1941",round tan cup coral,2009-02-14,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Paracyathus stearnsii,293284,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Caryophylliidae,,,Paracyathus,Paracyathus stearnsii,Paracyathus stearnsii,"Verrill, 1869",brown oval cup coral,2006-06-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
