observed_on,user_login,created_at,url,image_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,scientific_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
"May 16, 2015",divemaster,2016-03-31 00:17:45 UTC,http://www.inaturalist.org/observations/2854926,https://static.inaturalist.org/photos/3257076/medium.jpg?1459383467,48.964565,-123.554564,,,FALSE,Acanthodoris hudsoni,48447,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,,Acanthodoris,,Acanthodoris hudsoni,,,,
"May 6, 2016",hermissenda,2016-07-20 04:10:38 UTC,http://www.inaturalist.org/observations/3707780,https://static.inaturalist.org/photos/4306297/medium.jpg?1468987809,48.9402164707,-123.5019396541,,,FALSE,Acanthodoris hudsoni,48447,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,,Acanthodoris,,Acanthodoris hudsoni,,,,
"Oct 13, 2013",divemaster,2016-04-19 20:52:53 UTC,http://www.inaturalist.org/observations/2976276,https://static.inaturalist.org/photos/3420536/medium.jpg?1461099177,48.940211,-123.502679,,,FALSE,Acanthodoris nanaimoensis,47476,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,,Acanthodoris,,Acanthodoris nanaimoensis,,,,
"Jul 2, 2015",hermissenda,2016-07-19 20:59:24 UTC,http://www.inaturalist.org/observations/3705623,https://static.inaturalist.org/photos/4302963/medium.jpg?1468961423,48.9411311881,-123.5044169426,,,FALSE,Acanthodoris nanaimoensis,47476,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,,Acanthodoris,,Acanthodoris nanaimoensis,,,,
"Feb 18, 2016",divemaster,2016-03-07 21:20:20 UTC,http://www.inaturalist.org/observations/2755485,https://static.inaturalist.org/photos/3116337/medium.jpg?1457385624,49.013577,-123.58778,,,FALSE,Acanthodoris nanaimoensis,47476,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,,Acanthodoris,,Acanthodoris nanaimoensis,,,,
"Apr 1, 2016",hermissenda,2018-07-15 17:12:07 UTC,https://www.inaturalist.org/observations/14385958,https://static.inaturalist.org/photos/21391886/medium.jpg?1531674447,48.9403823422,-123.5045416218,,,FALSE,Aeolidia loui,498117,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,,Aeolidia,,Aeolidia loui,,,,
"Feb 7, 2016",divemaster,2016-03-10 02:43:48 UTC,http://www.inaturalist.org/observations/2763439,https://static.inaturalist.org/photos/3127704/medium.jpg?1457577832,48.929052,-123.476028,,,FALSE,Aeolidia papillosa,498116,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,,Aeolidia,,Aeolidia papillosa,,,,
"May 14, 2017",fmgee,2017-05-15 18:50:56 UTC,https://www.inaturalist.org/observations/6223679,https://static.inaturalist.org/photos/7819175/medium.jpeg?1494873616,48.9294356828,-123.4756422043,,,FALSE,Aeolidia papillosa,498116,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,,Aeolidia,,Aeolidia papillosa,,,,
"Aug 6, 2017",tyson_ehlers,2017-11-18 17:19:34 UTC,https://www.inaturalist.org/observations/8849049,https://static.inaturalist.org/photos/11892663/medium.jpeg?1511025555,48.8724283333,-123.3881833333,,,FALSE,Aeolidia papillosa,498116,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,,Aeolidia,,Aeolidia papillosa,,,,
"Jul 13, 2018",hermissenda,2018-07-15 17:12:07 UTC,https://www.inaturalist.org/observations/14385957,https://static.inaturalist.org/photos/21391819/medium.jpg?1531674396,48.9405552842,-123.5031917433,,,FALSE,Aeolidia papillosa,498116,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,,Aeolidia,,Aeolidia papillosa,,,,
"May 4, 2019",galianobserver,2019-08-01 23:50:37 UTC,https://www.inaturalist.org/observations/30012086,https://static.inaturalist.org/photos/46864107/medium.jpeg?1564701539,48.9235152513,-123.4942589477,,,FALSE,Aeolidia papillosa,498116,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,,Aeolidia,,Aeolidia papillosa,,,,
"May 28, 2017",beesndaisies_waspsnfigs_antsnpeonies,2017-06-10 04:50:50 UTC,https://www.inaturalist.org/observations/6570913,https://static.inaturalist.org/photos/8336327/medium.jpeg?1497070255,48.9400285598,-123.5010903329,,,FALSE,Aequorea forskalea,345076,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,,,Aequorea,,Aequorea forskalea,,,,
"May 26, 2017",hermissenda,2017-08-25 19:21:42 UTC,https://www.inaturalist.org/observations/7648048,https://static.inaturalist.org/photos/10006808/medium.jpg?1503688548,48.939944,-123.501924,,,FALSE,Aequorea victoria,325995,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,,,Aequorea,,Aequorea victoria,,,,
"May 27, 2017",danaturalist,2017-05-28 05:05:39 UTC,https://www.inaturalist.org/observations/6391046,https://static.inaturalist.org/photos/8068780/medium.jpeg?1495946499,48.9620746643,-123.5470104218,,,FALSE,Aequorea victoria,325995,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,,,Aequorea,,Aequorea victoria,,,,
"May 30, 2017",hermissenda,2017-08-25 18:18:09 UTC,https://www.inaturalist.org/observations/7647290,https://static.inaturalist.org/photos/10005489/medium.jpg?1503684773,48.939606,-123.501753,,,FALSE,Aequorea victoria,325995,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,,,Aequorea,,Aequorea victoria,,,,
"May 29, 2018",hermissenda,2018-05-31 01:27:47 UTC,https://www.inaturalist.org/observations/12970659,https://static.inaturalist.org/photos/18857065/medium.jpg?1527728519,48.940267093,-123.5016762613,,,FALSE,Aequorea victoria,325995,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,,,Aequorea,,Aequorea victoria,,,,
