id,observed_on,user_login,user_name,quality_grade,coordinates_obscured,image_url,positional_accuracy,scientific_name,common_name,taxon_id,latitude,longitude,private_latitude,private_longitude
167227,2012-04-19,finatic,BJ Stacey,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/223621/square.jpg?1444475980,,Chroicocephalus philadelphia,Bonaparte's Gull,144502,48.85682,-123.31239,,
167228,2012-04-19,finatic,BJ Stacey,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/223622/square.jpg?1444475983,,Branta canadensis,Canada Goose,7089,48.85682,-123.31239,,
167229,2012-04-19,finatic,BJ Stacey,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/223623/square.jpg?1444475987,,Bucephala clangula,Common Goldeneye,6990,48.85682,-123.31239,,
167230,2012-04-19,finatic,BJ Stacey,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/223624/square.jpg?1444475989,,Gavia immer,Common Loon,4626,48.85682,-123.31239,,
167231,2012-04-19,finatic,BJ Stacey,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/223625/square.jpg?1444475991,,Bucephala albeola,Bufflehead,6993,48.85682,-123.31239,,
716515,2014-06-03,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/900252/square.jpg?1401862622,6,Scaphinotus angusticollis,Narrow-collared Snail-eating Beetle,63575,48.923935,-123.447136,,
726389,2014-06-08,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/912388/square.jpg?1402287574,101,Blera humeralis,Yellow-legged Wood Fly,869841,48.920781,-123.451406,,
726629,2014-06-05,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/912691/square.jpg?1402296007,26,Papilio eurymedon,Pale Swallowtail,55521,48.920224,-123.450859,,
726916,2014-06-05,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/913044/square.jpg?1402325437,55,Spilosoma virginica,Virginian Tiger Moth,60839,48.920153,-123.450515,,
728018,2014-06-09,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/914427/square.jpg?1402361252,19,Sergiolus columbianus,,230819,48.920217,-123.450848,,
730361,2014-06-10,chlorophilia,Andrew Simon,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/917786/square.jpg?1402454541,14,Lontra canadensis,North American River Otter,41777,48.920064,-123.450907,,
