observed_on,user_login,created_at,quality_grade,url,image_url,latitude,longitude,positional_accuracy,private_latitude,private_longitude,taxon_geoprivacy,coordinates_obscured,scientific_name
2015-05-16,divemaster,2016-03-31 00:17:45 UTC,research,http://www.inaturalist.org/observations/2854926,https://static.inaturalist.org/photos/3257076/medium.jpg?1459383467,48.964565,-123.554564,174,,,,FALSE,Acanthodoris hudsoni
2016-05-06,hermissenda,2016-07-20 04:10:38 UTC,research,http://www.inaturalist.org/observations/3707780,https://static.inaturalist.org/photos/4306297/medium.jpg?1468987809,48.9402164707,-123.5019396541,31,,,,FALSE,Acanthodoris hudsoni
2016-02-18,divemaster,2016-03-07 21:20:20 UTC,research,http://www.inaturalist.org/observations/2755485,https://static.inaturalist.org/photos/3116337/medium.jpg?1457385624,49.013577,-123.58778,661,,,,FALSE,Acanthodoris nanaimoensis
2013-10-13,divemaster,2016-04-19 20:52:53 UTC,research,http://www.inaturalist.org/observations/2976276,https://static.inaturalist.org/photos/3420536/medium.jpg?1461099177,48.940211,-123.502679,184,,,,FALSE,Acanthodoris nanaimoensis
2015-07-02,hermissenda,2016-07-19 20:59:24 UTC,research,http://www.inaturalist.org/observations/3705623,https://static.inaturalist.org/photos/4302963/medium.jpg?1468961423,48.9411311881,-123.5044169426,31,,,,FALSE,Acanthodoris nanaimoensis
2016-04-01,hermissenda,2018-07-15 17:12:07 UTC,research,https://www.inaturalist.org/observations/14385958,https://static.inaturalist.org/photos/21391886/medium.jpg?1531674447,48.9403823422,-123.5045416218,10,,,,FALSE,Aeolidia loui
2016-02-07,divemaster,2016-03-10 02:43:48 UTC,research,http://www.inaturalist.org/observations/2763439,https://static.inaturalist.org/photos/3127704/medium.jpg?1457577832,48.929052,-123.476028,174,,,,FALSE,Aeolidia papillosa
2017-05-14,fmgee,2017-05-15 18:50:56 UTC,research,https://www.inaturalist.org/observations/6223679,https://static.inaturalist.org/photos/7819175/medium.jpeg?1494873616,48.9294356828,-123.4756422043,8,,,,FALSE,Aeolidia papillosa
2017-08-06,tyson_ehlers,2017-11-18 17:19:34 UTC,research,https://www.inaturalist.org/observations/8849049,https://static.inaturalist.org/photos/11892663/medium.jpeg?1511025555,48.8724283333,-123.3881833333,,,,,FALSE,Aeolidia papillosa
2018-07-13,hermissenda,2018-07-15 17:12:07 UTC,research,https://www.inaturalist.org/observations/14385957,https://static.inaturalist.org/photos/21391819/medium.jpg?1531674396,48.9405552842,-123.5031917433,10,,,,FALSE,Aeolidia papillosa
2017-05-27,danaturalist,2017-05-28 05:05:39 UTC,research,https://www.inaturalist.org/observations/6391046,https://static.inaturalist.org/photos/8068780/medium.jpeg?1495946499,48.9620746643,-123.5470104218,244,,,,FALSE,Aequorea victoria
2017-05-28,beesndaisies_waspsnfigs_antsnpeonies,2017-06-10 04:50:50 UTC,research,https://www.inaturalist.org/observations/6570913,https://static.inaturalist.org/photos/8336327/medium.jpeg?1497070255,48.9400285598,-123.5010903329,129,,,,FALSE,Aequorea victoria
2017-05-30,hermissenda,2017-08-25 18:18:09 UTC,research,https://www.inaturalist.org/observations/7647290,https://static.inaturalist.org/photos/10005489/medium.jpg?1503684773,48.939606,-123.501753,,,,,FALSE,Aequorea victoria
2017-05-26,hermissenda,2017-08-25 19:21:42 UTC,research,https://www.inaturalist.org/observations/7648048,https://static.inaturalist.org/photos/10006808/medium.jpg?1503688548,48.939944,-123.501924,,,,,FALSE,Aequorea victoria
2018-05-29,hermissenda,2018-05-31 01:27:47 UTC,research,https://www.inaturalist.org/observations/12970659,https://static.inaturalist.org/photos/18857065/medium.jpg?1527728519,48.940267093,-123.5016762613,15,,,,FALSE,Aequorea victoria
