taxonName,originalName
Ennucula tenuis,Ennucula tenuis
Entomobrya clitellaria,Entomobrya clitellaria
Golfingia margaritacea,Golfingia margaritacea
Nephasoma diaphanes,Nephasoma diaphanes
Noctiluca scintillans,Noctiluca scintillans
Scrippsiella trochoidea,Scrippsiella trochoidea
Sirotrema pusilla,Sirotrema pusilla
Agrostis thurberiana,Agrostis thurberiana
Chrysoperla carnea-group,Chrysoperla carnea-group
Neptunea phoenicia,Neptunea phoenicia
Solorina saccata,Solorina saccata
Bryoria fremontii,Bryoria fremontii
Despaxia angusta,Despaxia angusta
Festuca rubra s. lat,Festuca rubra s. lat
Hybomitra sequax,Hybomitra sequax
Lophozia ventricosa var. silvacola,Lophozia ventricosa var. silvacola
Mopalia kennerlyi,Mopalia kennerlyi
Plenogemma-phyllantha,Plenogemma-phyllantha
Polycauliopolycarpa,Polycauliopolycarpa
Trochosa terricolla,Trochosa terricolla
Vulpia brom oides,Vulpia brom oides
Pilophorus clavatus,Pilophorus clavatus
Arion rufus,Arion rufus
Chamaemelanium section of Viola,Chamaemelanium section of Viola
Enchytraeus kincaidi,Enchytraeus kincaidi
Erythranthe Simiolus section (E. caespitosa?),Erythranthe Simiolus section (E. caespitosa?)
Laurus glaucescens ssp. occidentalis,Laurus glaucescens ssp. occidentalis
Leucanthemum superbum,Leucanthemum superbum
Rhododendron sect. Sciadorhodion,Rhododendron sect. Sciadorhodion
Sciadorhodion section,Sciadorhodion section
Cladonia gracilisssp. turbinata,Cladonia gracilisssp. turbinata
Taraxacum erythrospermum agg,Taraxacum erythrospermum agg
Amphiporus bimaculatus,Amphiporus bimaculatus
Botrychium lunaria A717,Botrychium lunaria A717
Catallagia charlottensis,Catallagia charlottensis
Cerebratulus californiensis,Cerebratulus californiensis
Golfingia vulgaris,Golfingia vulgaris
Henricia leviuscula ssp. leviuscula,Henricia leviuscula ssp. leviuscula
Laqueus vancouverensis,Laqueus vancouverensis
Munidon parvum / pseudione,Munidon parvum / pseudione
Myxicola aesthetica ssp. petite,Myxicola aesthetica ssp. petite
Oidaematophorus stramineus,Oidaematophorus stramineus
Phyllochaeopterus claparedii,Phyllochaeopterus claparedii
Phyllochaeopterus prolifica,Phyllochaeopterus prolifica
Quasitetrastemma nigrifrons,Quasitetrastemma nigrifrons
Tubulanus albocinctus,Tubulanus albocinctus
Tubulanus polymorphus,Tubulanus polymorphus
Tubulanus sexlineatus,Tubulanus sexlineatus
Veronica alpina ?,Veronica alpina ?
Neanthophylax rubida,Neanthophylax rubida
P agurus ssp. kennerlyi,P agurus ssp. kennerlyi
Prophysaon andersonii,Prophysaon andersonii
Xylotrechus longitarsus,Xylotrechus longitarsus
Callophrys irioides,Callophrys irioides
Callophrys irioides ssp. irioides,Callophrys irioides ssp. irioides
Chrysemys picta pop. 1,Chrysemys picta pop. 1
Coreorgonal monoceras,Coreorgonal monoceras
Dermatocarpon miniatum,Dermatocarpon miniatum
Dermatocarpon reticulatum,Dermatocarpon reticulatum
Microtus richardsonii,Microtus richardsonii
Nemosoma punctulatum,Nemosoma punctulatum
Odocoileus virgianus,Odocoileus virgianus
Pugettia foliatus,Pugettia foliatus
Sebastes brevispinus,Sebastes brevispinus
Tanacetum officinale,Tanacetum officinale
Accipiter�gentilis�ssp. laingi,Accipiter�gentilis�ssp. laingi
