Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Acalypta parvula,,,Animalia,Arthropoda,,,Insecta,,,Hemiptera,,,Tingidae,,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Mary Hill/DND;,,ART
Acanthodoris hudsoni,,Hudson's horned dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,,,unobserved,1-Oct-03,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Accipiter cooperii,,Cooper's hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,,,observed,5-May-12,Ann Nightingale,Birding Team 12,,,,,,Mary Hill/DND;,,BIR
Acleris,,,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Tortricidae,,,,,observed,5-May-12,Libby Avis,Avis Camas 12,,,,,,Camas Hill;,,ART
Acmaea mitra,,,Animalia,Mollusca,,,Gastropoda,,,,,,Acmaeidae,,,,,observed,30-Apr-11,Philip Lambert,Lambert Race Rocks 11,,,,,,Race Rocks;,,MOL
Adejeania vexatrix,,Tachnid fly,Animalia,Arthropoda,,,Insecta,,,Diptera,,,Tachinidae,,,,,observed,30-Apr-11,Richard Winder,Winder Rafuse Matheson 11,,,,,,Garry Fletcher property;,,ART
Adela septentrionella,,fairy longhorn moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Adeloidea,Adelidae,Adelinae,,,,observed,24-May-14,Moralea Milne,Camas Hill 14,,,,,,Camas Hill;,,ART
Adela trigrapha,,three-striped longhorn,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Adeloidea,Adelidae,Adelinae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,ART
Aechmophorus occidentalis,,western grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Aegolius funereus,,Boreal Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,,,,unobserved,28-Dec-14,Val George,Race Rocks Inventory,,,,,,Metchosin ? see Compiler Notes;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Aeolidia papillosa,,papillate sea slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,,,observed,27-Apr-13,Philip Lambert,Lambert 13,,,,,,Race Rocks;,,MOL
Aequorea victoria,,crystal jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,,,unobserved,1-Jan-06,Dr. Anita Brinckmann-Voss,Race Rocks Inventory,,,,,,Race Rocks;,,JEL
Agelaius phoeniceus,,red-winged blackbird,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Aglais milberti,,Milbert's Tortoiseshell,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Nymphalidae,,,,,observed,13-Jun-15,Jeremy Tatum,Tatum 15,,,,,,Matheson;,,ART
Agonopterix alstroemeriana,,,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Depressariidae,,,,,observed,5-May-12,Libby Avis,Avis Pearson 12,,,,,,Pearson College;,,ART
Agulla,,snake fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Raphidioptera,,,Raphidiidae,Raphidiinae,,,,observed,9-May-16,"Copley, Claudia R.",Albert Head 16,,,,,,Matheson Park;,,ART
Aix sponsa,,wood duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Alopecosa kochi,,koch fox spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,"Camas Hill, Impala Road;",,ART
Alucita montana,,Montana six-plume moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Alucitoidea,Alucitidae,,,,,observed,27-Apr-13,Libby Avis,Pearson Avis 13,,,,,,Pearson College lands;,,ART
Ambystoma gracile,,northwestern salamander,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,,,observed,30-Apr-11,Christian Englestoft,Sopuck Englestoff Matheson 11,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,HER
Ambystoma macrodactylum,,long-toed salamander,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Ambystomatidae,,,,,observed,24-May-14,Lennart Sopuck,Matheson West 14,,,,,,Trail to Sugarloaf Mountain from Sooke Hwy;,,HER
Ammodytes hexapterus,,pacific sand lance,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Ammodytidae,,,,,observed,27-Apr-13,Michelle Spani,Spani Witty 13,,,,,,Metchosin;,,FIS
Amphiporus,,,Animalia,Nemertea,,,Enopla,,,Monostilifera,,,Amphiporidae,,,,,observed,30-Apr-11,Philip Lambert,Lambert Race Rocks 11,,,,,,Pearson College Docks;,,MAR
Amphissa columbiana,,Wrinkled Amphissa,Animalia,Mollusca,,,Gastropoda,,,Neogastropoda,,,Columbellidae,,,,,observed,30-May-14,Philip Lambert,Taylor Beach 14,,,,,,Pearson College waterfront;,,MOL
Anas acuta,,northern pintail,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Anas crecca,,Green-winged teal,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Anas platyrhynchos,,mallard,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Anavitrinella pampinaria,,Common Gray Moth,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Geometridae,,,,,observed,24-May-14,Libby Avis,Avis 14,,,,,,Camas Hill;,,ART
Ancotrema,,,Animalia,Mollusca,,,Gastropoda,,,Stylommatophora,,,Haplotrematidae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,MOL
Aneides vagrans,,Wandering Salamander,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Plethodontidae,,,,,unobserved,n.d.,CDC ? See Obs Notes,CDC Extractions,,,,,,"Metch crown lands secs 64,66,67;Hand-collecting; Pantraps; Berlese Extractions;adult ",,HER
Anisolabis maritima,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Dermaptera,Forficulina,,Anisolabididae,Anisolabidinae,,,,observed,9-May-16,"Copley, Claudia R.",William Head 16,,,,,,Albert Head DND;specimen collected,,ART
Anser albifrons,,greater white-fronted goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,unobserved,15-May-07,Carol and Mike Slater,Race Rocks Inventory,,,,,,"Metch crown lands secs 64,66,67;Hand-collecting; Pantraps; Berlese Extractions;adult ",,BIR
Anthaxia,,metallic wood-boring beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,,,,observed,9-May-16,"Copley, Claudia R.",Albert Head 16,,,,,,William Head Prison;,,ART
Antheraea polyphemus,,polyphemus moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Saturniidae,Saturniinae,,,,observed,13-Jun-15,Libby Avis,Camas Hill 15,,,,,,Camas Hill;outcrops,,ART
Anthocharis sara,,Sara's orangtip butterfly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Pierinae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;outcrops,,ART
Anthopleura elegantissima,,aggregate anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,,,observed,30-Apr-11,Philip Lambert,Lambert Race Rocks 11,,,,,,Race Rocks;,,JEL
Anthopleura xanthogrammica,,,Animalia,Cnidaria,,,Anthozoa,,,Actiniaria,,,Actiniidae,,,,,observed,30-Apr-11,Philip Lambert,Lambert Race Rocks 11,,,,,,Race Rocks;,,JEL
Antrodiaetus pacificus,,common foldingdoor spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Mygalomorphae,Atypoidea,Antrodiaetidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Pearson College;,,ART
Anyphaena aperta,,west coast ghost spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Anyphaenidae,,,,,observed,27-Apr-13,"R. Bennett, D. Copley",Bennett Copley 13,,,,,,Pearson College;,,ART
Apamea sordens,,Rustic Shoulder-knot,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Noctuidae,,,,,observed,5-May-12,Moralea Milne,Milne Camas 12,,,,,,Camas Hill;outcrops,,ART
Aphaenogaster occidentalis,,Spine-waisted Ant,Animalia,Arthropoda,,,Insecta,,,Hymenoptera,,,Formicidae,,,,,observed,13-Jun-15,Rick Avis,Witty's Lagoon,,,,,,Witty's Lagoon;,,ART
Apis mellifera,,honey bee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,,,observed,5-May-12,Elle/Elwell,Elle Elwell B&G 12,,,,,,Metchosin Boys/Girls Club;,,ART
Aplysilla glacialis,,Slippery Rose Sponge,Animalia,Porifera,,,Demospongiae,,,Dendroceratida,,,Darwinellidae,,,,,observed,9-May-16,Phil Lambert,William Head 16,,,,,,Parry Bay Beach below Swanwick Centre;,,MAR
Apodichthys flavidus,,penpoint gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,Pholidae,,,,,observed,27-Apr-13,Michelle Spani,Spani Witty 13,,,,,,Metchosin;,,FIS
Archips rosana,,,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Tortricidae,,,,,observed,13-Jun-15,Jeremy Tatum,Tatum 15,,,,,,Matheson;COSEWIC 28,,ART
Arctonoe pulchra,,Red-banded scale worm,Animalia,Annelida,,,Polychaeta,,,Phyllodocida,,,Polynoidae,,,,,unobserved,15-Oct-06,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;,,MAR
Arctonoe vittata,,Red-banded Commensel Scaleworm,Animalia,Annelida,,,Polychaeta,,,Phyllodocida,,,Polynoidae,,,,,observed,9-May-16,Phil Lambert,Albert Head 16,,,,,,Witty's Lagoon Park;,,MAR
Ardea herodias,,great blue heron,Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,Ardeidae,Ardeinae,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Arenaria interpres,,ruddy turnstone,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,unobserved,14-May-10,Ryan Murphy,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Arenaria melanocephala,,black turnstone,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Ariolimax columbianus,,Pacific banana slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Ariolimacidae,Ariolimacinae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,"Pond, Boys and Girls Club;",,MOL
Arion circumscriptus,,Gastropods,Animalia,Mollusca,,,Gastropoda,,,Stylommatophora,,,Arionidae,,,,,observed,24-May-14,Kristiina Ovaska,Ovaska B&G Club,,,,,,Matheson Lake proper;,,MOL
Arion distinctus,,Darkface Arion,Animalia,Mollusca,,,Gastropoda,,,Stylommatophora,,,Arionidae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,MOL
Arion intermedius,,Gastropods,Animalia,Mollusca,,,Gastropoda,,,Stylommatophora,,,Arionidae,,,,,observed,24-May-14,Kristiina Ovaska,Ovaska B&G Club,,,,,,Camas Hill;,,MOL
Arion rufus,,chocolate slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,Arioninae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,"Pond, Boys and Girls Club;",,MOL
Arion silvaticus,,Forest Arion,Animalia,Mollusca,,,Gastropoda,,,Stylommatophora,,,Arionidae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,MOL
Armadillidium vulgare,,common pill-bug,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Armadillidiidae,,,,,observed,5-May-12,Melissa Frey,Frey Devonian 12,,,,,,William Head Prison;,,ART
Artedius fenestralis,,padded sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,,,observed,9-May-16,Phil Lambert,William Head 16,,,,,,Weir's Beach to Witty's Beach;,,FIS
Artedius lateralis,,Smoothhead Sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,,,observed,30-May-14,Philip Lambert,Taylor Beach 14,,,,,,Witty's Lagoon shoreline;,,FIS
Arytainilla spartiophila,,,Animalia,Arthropoda,,,Insecta,,,Hemiptera,,,Psyllidae,,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Devonian Park;Found by Ben Hircock,,ART
Aythya collaris,,ring-necked duck,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;on decorticated wood,,BIR
Aythya marila,,greater scaup,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,27-Apr-13,Ann Nightingale,Birding Team 13,,,,,,Metchosin;,,BIR
Balaenoptera acutorostrata,,Minke whale,Animalia,Chordata,Vertebrata,,Mammalia,,,Artiodactyla,,,Balaenopteridae,,,,,unobserved,7-Oct-15,Anne Stewart,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MAM
Balanophyllia elegans,,Orange cup coral,Animalia,Cnidaria,,,Anthozoa,,,Scleractinia,,,Dendrophylliidae,,,,,unobserved,15-Feb-02,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;,,JEL
Balanus cariosus,,,Animalia,Arthropoda,,,Hexanauplia,,,Sessilia,,,Balanidae,,,,,observed,5-May-12,Gretchen Markle,Markle Pearson 12,,,,,,Pearson College waterfront by kayak;,,ART
Balanus crenatus,,Crenate barnacle,Animalia,Arthropoda,,,Hexanauplia,,,Sessilia,,,Balanidae,,,,,observed,30-Apr-11,Melissa Frey,Frey Pearson Intertidal 11,,,,,,Pearson College Seashore;,,ART
Balanus glandula,,acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Cirripedia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,,,observed,30-Apr-11,Melissa Frey,Frey Pearson Intertidal 11,,,,,,Pearson College Seashore;shaded side of outcrop,,ART
Balanus nubilus,,giant acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Cirripedia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,,,observed,5-May-12,Gretchen Markle,Markle Pearson 12,,,,,,Pearson College waterfront by kayak;shaded side of outcrop,,ART
Bembix americana,,sand wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Bembicinae,,,,observed,13-Jun-15,Libby Avis,Witty's Lagoon,,,,,,Witty's Lagoon;ground and on logs,,ART
Biston betularia,,Pepper & Salt Geometer,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Geometridae,,,,,observed,13-Jun-15,Libby Avis,Camas Hill 15,,,,,,Camas Hill;tree bark,,ART
Boltenia villosa,,spiny-headed tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Pleurogona,,,Pyuridae,,,,,observed,1-May-17,Philip Lambert,Mary Hill 17,,,,,,Matheson Lake  ;,,MAR
Bombus bifarius,,two-form bumblebee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,,,observed,5-May-12,Elle/Elwell,Elle Elwell B&G 12,,,,,,Metchosin Boys/Girls Club;ground and on logs,,ART
Bombus flavifrons,,yellow-headed bumblebee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,,,observed,5-May-12,Elle/Elwell,Antos Allen Tower Point 12,,,,,,Tower Point;,,ART
Bombus melanopygus,,black-tailed bumblebee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,,,observed,5-May-12,Elle/Elwell,Roemer Mary Hill 12,,,,,,Mary Hill/DND;,,ART
Bombus mixtus,,fuzzy-horned bumblebee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,,,observed,5-May-12,Elle/Elwell,Antos Allen Tower Point 12,,,,,,Tower Point;,,ART
Bombus vosnesenskii,,yellow-faced bumblebee,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,,,observed,5-May-12,Libby Avis,Roemer Mary Hill 12,,,,,,Mary Hill/DND;,,ART
Bombycilla cedrorum,,cedar waxwing,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Bombycillidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Bombylius major,,greater bee fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Bombyliidae,Bombyliinae,,,,observed,5-May-12,Libby Avis,Roemer Mary Hill 12,,,,,,Metchosin;,,ART
Bonasa umbellus,,ruffed grouse,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Phasianidae,,,,,observed,27-Apr-13,Ann Nightingale,Birding Team 13,,,,,,Metchosin;,,BIR
Brachyramphus marmoratus,,marbled murrelet,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Alcidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Branta bernicla,,Brant,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;on decorticated wood,,BIR
Branta canadensis,,Canada goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Branta hutchinsii,,cackling goose,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,27-Apr-13,Ann Nightingale,Birding Team 13,,,,,,Metchosin;,,BIR
Bruchidius villosus,,broom seed beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Bruchinae,,,,observed,13-Jun-15,Libby Avis,Witty's Lagoon,,,,,,Mary Hill/DND;,,ART
Bubo scandiacus,,Snowy Owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,,,,unobserved,13-Nov-06,Pam Birley,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Bubo virginianus,,great horned owl,Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,Strigidae,,,,,observed,27-Apr-13,Ann Nightingale,Birding Team 13,,,,,,Metchosin;,,BIR
Bucephala albeola,,bufflehead,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Bucephala clangula,,common goldeneye,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Bugulina californica,,arborescent bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,,,Bugulidae,,,,,unobserved,24-Aug-10,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;,,MAR
Buteo jamaicensis,,red-tailed hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Buteo swainsoni,,Swainson's Hawk,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,,,,,observed,13-Jun-15,Ann Nightingale,Birding Team 15,,,,,,Metchosin;,,BIR
Cadlina luteomarginata,,yellow-edged cadlina,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Euctenidiacea,Doridoidea,Cadlinidae,,,,,unobserved,1-Jan-05,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Calcarius lapponicus,,Lapland Longspur,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Calcariidae,,,,,unobserved,1-Oct-07,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Calidris alba,,Sanderling,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,unobserved,1-Oct-11,Adam Harding,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Calidris alpina,,Dunlin,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,observed,5-May-12,Ann Nightingale,Birding Team 12,,,,,,Metchosin;,,BIR
Calidris canutus,,Red Knot,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,unobserved,9-May-10,Raisa Mirza,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Calidris mauri,,western sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Calidris minutilla,,Least Sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Calidris ptilocnemis,,Rock sandpiper,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,unobserved,15-Oct-09,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Callibaetis ferrugineus,,Mayfly,Animalia,Arthropoda,,,Insecta,,,Ephemeroptera,,,Baetidae,,,,,observed,24-May-14,Libby Avis,Avis 14,,,,,,Tower Point;,,ART
Calliostoma annulatum,,Top snail,Animalia,Mollusca,,,Gastropoda,,,Trochida,,,Calliostomatidae,,,,,unobserved,1-May-00,Scott Wallace,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MOL
Calliostoma ligatum,,blue-ringed top snail,Animalia,Mollusca,,,Gastropoda,,,Archaeogastropoda,,,Calliostomatidae,,,,,observed,30-Apr-11,Melissa Frey,Frey Pearson Docks 11,,,,,,Blinkhorn Lake Park and mountain;,,MOL
Callipepla californica,,California quail,Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,Odontophoridae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Callizzia amorata,,gray scoopwing,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Uraniidae,Epipleminae,,,,observed,24-May-14,Libby Avis,Avis 14,,,,,,Camas Hill;tree bark,,ART
Callobius pictus,,truncated laceweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,,,,observed,30-Apr-11,Robb Bennett,Bennett Copley 11,,,,,,Race Rocks EcoReserve ;,,ART
Callobius severus,,west coast laceweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,,,,observed,27-Apr-13,"R. Bennett, D. Copley",Bennett Copley 13,,,,,,Pearson College;,,ART
Callophrys eryphon,,Western Pine Elfin,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Theclinae,,,,observed,5-May-12,Jeremy Gatten,Fenneman Gatten Blinkhorn 12,,,,,,Mt Blinkhorn and Mt. Helmcken;outcrop; as Bryum canariense in CDC,,ART
Callophrys iroides,,Western (Brown) Elfin,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Theclinae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,ART
Callophrys mossii,,moss? elfin,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Theclinae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Camas Hill;,,ART
Callorhinus ursinus,,Alaska Fur Seal,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,,,Otariidae,,,,,unobserved,1-Jan-06,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MAM
Calypte anna,,Anna's hummingbird,Animalia,Chordata,Vertebrata,,Aves,,,Apodiformes,,,Trochilidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Campaea perlata,,pale beauty,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,,,,observed,13-Jun-15,Libby Avis,Camas Hill 15,,,,,,Camas Hill;thin soil on outcrops and ledges,,ART
