Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Petrolisthes eriomerus,,flattop crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Galatheoidea,Porcellanidae,,,,,observed,5-May-12,Philip Lambert,Lambert Weir Witty 12,,,,,,Weir's Beach to Witty's Beach;,,ART
Phalacrocorax auritus,,double-crested cormorant,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,Phalacrocoracidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Phalacrocorax pelagicus,,pelagic cormorant,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,Phalacrocoracidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Phalacrocorax penicillatus,,Brandt's cormorant,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,Phalacrocoracidae,,,,,observed,5-May-12,Ann Nightingale,Birding Team 12,,,,,,Metchosin;under intertidal rocks,,BIR
Phalaropus fulicarius,,red phalarope,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,unobserved,1-Mar-12,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Phalaropus lobatus,,red-necked phalarope,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Scolopacidae,,,,,unobserved,1-Aug-07,Barry Herring,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Phanias albeolus,,,Animalia,Arthropoda,,,Arachnida,,,Araneae,,,Salticidae,,,,,observed,27-Apr-13,"R. Bennett, D. Copley",Bennett Copley 13,,,,,,Albert Head DND;,,ART
Phascolosoma agassizii,,peanut worm,Animalia,Sipuncula,,,Phascolosomatidea,,,Phascolosomatida,,,Phascolosomatidae,,,,,unobserved,7-Dec-02,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,ANN
Phellopsis obcordata,,,Animalia,Arthropoda,,,Insecta,,,Coleoptera,,,Zopheridae,,,,,observed,27-Apr-13,Charlene Wood,Bennett Copley 13,,,,,,Camp Thunderbird;,,ART
Pheosia rimosa,,Black-rimmed Prominent,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Notodontidae,,,,,observed,13-Jun-15,Libby Avis,Camas Hill 15,,,,,,Camas Hill;,,ART
