iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Subtaxon Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting,Notes,Origin,Critical Notes
Stomphia didemon,501276,Stomphia didemon,"Siebert, 1973",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinostoloidea,Actinostolidae,,,Stomphia,didemon,,swimming anemone,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,
Diadumene lineata,81783,Diadumene lineata,"(Verrill, 1869)",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Diadumenidae,,,Diadumene,lineata,,striped green sea anemone,1859,Alexander Agassiz,"McMurrich,1921",2018-08-05,Kristian Sigvardsen,observed,,non-native,
Halcampa decemtentaculata,124510,Halcampa decemtentaculata,"Hand, 1955",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Halcampidae,,,Halcampa,decemtentaculata,,ten-tentacled burrowing anemone,2008-06-21,Andy Lamb,PMLS,,,unobserved,,native,
Peachia quinquecapitata,47814,Peachia quinquecapitata,"McMurrich, 1913",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Haloclavidae,,,Peachia,quinquecapitata,,jelly-dwelling anemone,2006-06-23,Andy Lamb,PMLS,,,unobserved,,native,
Metridium farcimen,51812,Metridium farcimen,"(Brandt, 1835)",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,farcimen,,giant plumose anemone,1973-09-21,Andy Lamb,PMLS,2009-10-03,Jackson Chu,observed,,native,
Metridium senile,49071,Metridium senile,"(Linnaeus, 1761)",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,senile,,short plumose anemone,1968-08-02,Andy Lamb,PMLS,2017-04-30,Andrew Simon,observed,,native,
Alcyonium,338004,Alcyonium sp.,,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Malacalcyonacea,,,,Alcyoniidae,,,Alcyonium,,,orange soft coral,1985-12-07,Andy Lamb,PMLS,2016-02-07,Peter Luckham,observed,,,The genus Alcyonium has been documented from both the southern Gulf Islands and from Race Rocks / Browning Passage / Weynton Passage. These populations are genetically different though they have not yet been circumscribed as species.
Discophyton rudyi,460061,Discophyton rudyi,"(Verseveldt & van Ofwegen, 1992)",Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Malacalcyonacea,,,,Discophytidae,,,Discophyton,rudyi,,white soft coral,1995-02-24,Charlie Gibbs,PMLS,,,unobserved,,native,
Thrombophyton trachydermum,424307,Thrombophyton trachydermum,"McFadden & Hochberg, 2003",Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Malacalcyonacea,,,,Paramuriceidae,,,Thrombophyton,trachydermum,,pale soft coral,2009-01-30,Andy Lamb,PMLS,,,unobserved,,native,
Balticina willemoesi,1283181,Balticina willemoesi,"(Kölliker, 1880)",Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Scleralcyonacea,,,Pennatuloidea,Balticinidae,,,Balticina,willemoesi,,sea whip,2007-12-09,Andy Lamb,PMLS,,,unobserved,,native,"Reported as Halipteris willemoesi (Kölliker, 1880)"
Ptilosarcus gurneyi,448320,Ptilosarcus gurneyi,"(Gray, 1860)",Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Scleralcyonacea,,,Pennatuloidea,Pennatulidae,,,Ptilosarcus,gurneyi,,orange sea pen,1923-06-18,,RBCM,2013-10-13,Peter Luckham,observed,,native,
Stylatula elongata,61459,Stylatula elongata,"(Gabb, 1862)",Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Scleralcyonacea,,,Pennatuloidea,Virgulariidae,,,Stylatula,elongata,,spiny white sea pen,2016-01-23,Andy Lamb,PMLS,,,unobserved,,native,
Virgularia,195571,Virgularia sp.,,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Scleralcyonacea,,,Pennatuloidea,Virgulariidae,,,Virgularia,,,white sea pen,1995-02-25,Charlie Gibbs,PMLS,2013-10-13,Peter Luckham,observed,,,
Caryophyllia alaskensis,459907,Caryophyllia (Caryophyllia) alaskensis,"Vaughan, 1941",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Caryophylliidae,,,Caryophyllia,alaskensis,,round tan cup coral,2009-02-14,Andy Lamb,PMLS,,,unobserved,,native,
Paracyathus stearnsii,293284,Paracyathus stearnsii,"Verrill, 1869",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Caryophylliidae,,,Paracyathus,stearnsii,,brown oval cup coral,2006-06-23,Andy Lamb,PMLS,,,unobserved,,native,
Balanophyllia elegans,51799,Balanophyllia (Balanophyllia) elegans,"Verrill, 1864",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Dendrophylliidae,,,Balanophyllia,elegans,,orange cup coral,1969-02-21,Andy Lamb,PMLS,2007-10-23,Jackson Chu,observed,,native,
Pachycerianthus fimbriatus,47702,Pachycerianthus fimbriatus,"McMurrich, 1910",Animalia,Cnidaria,,,Anthozoa,Ceriantharia,,Spirularia,,,,Cerianthidae,,,Pachycerianthus,fimbriatus,,tube-dwelling anemone,1973-09-20,Andy Lamb,PMLS,2016-07-05,Peter Luckham,observed,,native,
Epizoanthus scotinus,429859,Epizoanthus scotinus,"Wood, 1957",Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,,Epizoanthidae,,,Epizoanthus,scotinus,,orange zoanthid,1981-05-31,Andy Lamb,PMLS,,,unobserved,,native,
Bougainvillia,247135,Bougainvillia sp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Bougainvilliidae,,,Bougainvillia,,,cluster-tentacled jelly,2008-10-05,Andy Lamb,PMLS,,,unobserved,,,
Garveia annulata,63662,Garveia annulata,"Nutting, 1901",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Bougainvilliidae,,,Garveia,annulata,,orange hydroid,1985-08-02,Andy Lamb,PMLS,,,unobserved,,native,
Euphysa,247163,Euphysa spp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,,Corymorphidae,,,Euphysa,,,tiny red sausage jellies,1993-05-09,Charlie Gibbs,PMLS,2013-05-09,Karolle Wall,observed,,,"Multiple Euphysa species are likely present in the region. ""Differences are apparently in the young specimens, but generally we only ever see the adults. Euphysa japonica has four tentacles, all alike, including the youngest stages. Euphysa flammea has four tentacles as an adult, but it is released with only one tentacle and the rest develop successively. Euphysa tentaculata (which may well be an Arctic species) is said to have one long tentacle, two half as long, and one bulb without tentacles. I’ve noticed Euphysa medusae both in the spring and in the fall (rarely if ever in the summer)—this seasonality suggests the occurrence of two different species.” (Claudia Mills pers. comm. 2020)."
Polyorchis penicillatus,51640,Polyorchis penicillatus,"(Eschscholtz, 1829)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,,Corynidae,,,Polyorchis,penicillatus,,red-eye medusa,2009-04-04,Andy Lamb,PMLS,2010-07-09,Karolle Wall,observed,,native,
Sarsia,51653,Sarsia spp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,,Corynidae,,,Sarsia,,,thimble jellyfishes,2009-04-13,Andy Lamb,PMLS,,,unobserved,,,
Sarsia tubulosa,448319,Sarsia tubulosa,"(M. Sars, 1835)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,,Corynidae,,,Sarsia,tubulosa,,clapper hydroid,1913-06-06,,RBCM,2011-05-18,Karolle Wall,observed,,native,
Hydractinia,203798,Hydractinia sp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Hydractiniidae,,,Hydractinia,,,barnacle fur hydroid,2008-03-22,Andy Lamb,PMLS,,,unobserved,,,
Schuchertinia allmanii,1118982,Schuchertinia allmanii,"(Bonnevie, 1898)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Hydractiniidae,,,Schuchertinia,allmanii,,snail fur hydroid,1985-08-02,Andy Lamb,PMLS,,,unobserved,Reported as Hydractinia cf aggregata,native,
Schuchertinia milleri,854771,Schuchertinia milleri,"(Torrey, 1902)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Hydractiniidae,,,Schuchertinia,milleri,,hedge-hog hydroid,1985-12-07,Andy Lamb,PMLS,,,unobserved,Reported as Clavactinia milleri,native,
Catablema vesicarium nodulosum,888777,Catablema vesicarium nodulosum,"(A. Agassiz, 1862)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Pandeidae,,,Catablema,vesicarium,"Bigelow, 1913",,,,,2021-04-11,Andrew Simon,observed,,native,
Leuckartiara longicalcar,776381,Leuckartiara longicalcar,"Schuchert, 2018",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Pandeidae,,,Leuckartiara,longicalcar,,,,,,2020-05-09,catiemac,observed,,native,
Neoturris breviconis,491131,Neoturris breviconis,"(Murbach & Shearer, 1902)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Pandeidae,,,Neoturris,breviconis,,blob-top jelly,2007-09-29,Andy Lamb,PMLS,2011-05-18,Karolle Wall,observed,,native,
Stomotoca atra,255140,Stomotoca atra,"L. Agassiz, 1862",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Pandeidae,,,Stomotoca,atra,,hanging stomach jelly,,,,2015-07-07,Karolle Wall,observed,,native,
Similiclava nivea,873890,Similiclava nivea,"Calder, Choong & McDaniel, 2015",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Similiclavidae,,,Similiclava,nivea,,white hydroid,1985-08-02,Andy Lamb,PMLS,,,unobserved,,native,
Stylantheca papillosa,131205,Stylantheca papillosa,"(Dall, 1884)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Stylasteridae,,,Stylantheca,papillosa,,encrusting hydrocoral,1985-08-02,Andy Lamb,PMLS,,,unobserved,,native,
Stylaster verrillii,459985,Stylaster verrillii,"(Dall, 1884)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,,Stylasteridae,,,Stylaster,verrillii,,,,,,2007-10-23,Jackson Chu,observed,https://static.inaturalist.org/photos/95758142/large.jpeg?1600374698,native,
Ectopleura crocea,324497,Ectopleura crocea,"(Agassiz, 1862)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,,Tubulariidae,,,Ectopleura,crocea,,bushy pink-mouth hydroid,1993-08-16,Andy Lamb,PMLS,,,unobserved,Reported as Pinauay crocea,native,
Ectopleura marina,492142,Ectopleura marina,"(Torrey, 1902)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,,Tubulariidae,,,Ectopleura,marina,,solitary pink-mouth hydroid,1981-05-31,Andy Lamb,PMLS,,,unobserved,Reported as Pinauay marina,native,
Tubularia indivisa,461660,Tubularia indivisa,"Linnaeus, 1758",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,,Tubulariidae,,,Tubularia,indivisa,,giant pink-mouth hydroid,2008-03-07,Andy Lamb,PMLS,,,unobserved,,native,
Aequorea victoria,325995,Aequorea victoria s.lat.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Aequoreidae,,,Aequorea,victoria,,water jelly,1985-07-29,Andy Lamb,PMLS,2017-05-26,Karolle Wall,observed,,native,"""Aequorea victoria is our native species, named nearby, whereas A. forskalea is native to Europe or the East Coast. Sarah Abboud's recent molecular analysis of Pacific coast Aequorea showed they belonged to a 'victoria' clade, including many potential species or subspecies."" (Wyatt Patry pers. comm. 2020)."
Aglaophenia,51218,Aglaophenia spp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Plumularioidea,Aglaopheniidae,,,Aglaophenia,,,ostrich-plume hydroid,1971-08-21,Andy Lamb,PMLS,,,unobserved,,,"At least two other taxa—A. struthionides and A. latirostris—are expected in the region. The former may be more likely to be observed, though it is impossible to be certain without close examination."
Clytia gregaria,195428,Clytia gregaria,"(Agassiz, 1862)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Campanulariidae,,,Clytia,gregaria,,gregarious jellyfish,1976-06-20,Rita M. O'Clair,CMN,,,unobserved,,native,"Reported as Phialidium gregarium in CMN collections, an unaccepted synonym (WoRMS Editorial Board 2021)."
Obelia,49536,Obelia spp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Campanulariidae,,,Obelia,,,wine-glass hydroid,1968-08-02,Andy Lamb,PMLS,,,unobserved,,,At least two species are present in the genus—O. dichotoma and O. longissima—but they cannot be determined in the field.
Orthopyxis,500952,Orthopyxis sp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Campanulariidae,,,Orthopyxis,,,spider web hydroid,1994-09-10,Andy Lamb,PMLS,,,unobserved,,,
Rhizocaulus verticillatus,127158,Rhizocaulus verticillatus,"(Linnaeus, 1758)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Campanulariidae,,,Rhizocaulus,verticillatus,,horse-tail hydroid,2008-03-22,Andy Lamb,PMLS,,,unobserved,,native,
Eutonina indicans,348053,Eutonina indicans,"(Romanes, 1876)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Eirenidae,,,Eutonina,indicans,,aggregating jelly,1996-05-29,Charlie Gibbs,PMLS,,,unobserved,,native,
Halecium beanii,668120,Halecium beanii,"(Johnston, 1838)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Haleciidae,,,Halecium,beanii,,candalabrum hydroid,2010-04-18,Andy Lamb,PMLS,,,unobserved,,native,
Halecium densum,874028,Halecium densum,"Calkins, 1899",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Haleciidae,,,Halecium,densum,,dense bushy hydroid,2006-06-30,Andy Lamb,PMLS,,,unobserved,,native,
Grammaria,874029,Grammaria spp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Lafoeidae,,,Grammaria,,,spindly embedded hydroid,2009-04-13,Andy Lamb,PMLS,,,unobserved,,,
Lafoea dumosa,423721,Lafoea dumosa,"(Fleming, 1820)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Lafoeidae,,,Lafoea,dumosa,,muff hydroid,1985-08-02,Andy Lamb,PMLS,,,unobserved,,native,
Melicertum octocostatum,550154,Melicertum octocostatum,"(M. Sars, 1835)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Melicertidae,,,Melicertum,octocostatum,,eight-strand jelly,2009-04-13,Andy Lamb,PMLS,,,unobserved,,native,
Mitrocoma cellularia,493918,Mitrocoma cellularia,"(Agassiz, 1862)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Mitrocomidae,,,Mitrocoma,cellularia,,cross jellyfish,1928-07-20,"Fisheries Research Board of Canada, Nanaimo",CMN,2020-05-08,Andrew Simon,observed,,native,"Reported as Halistaura cellularia in CMN collections, an unaccepted synonym (WoRMS Editorial Board 2021)."
Plumularia setacea,209141,Plumularia setacea,"(Linnaeus, 1758)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Plumularioidea,Plumulariidae,,,Plumularia,setacea,,glassy plume hydroid,1913-06-06,,RBCM,,,unobserved,,native,
Plumularia,60609,Plumularia sp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Plumularioidea,Plumulariidae,,,Plumularia,,,delicate plume hydroid,1985-08-02,Andy Lamb,PMLS,,,unobserved,,,
Sertularella,60656,Sertularella sp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertularellidae,,,Sertularella,,,garland hydroid,1985-08-02,Andy Lamb,PMLS,,,unobserved,,,
Amphisbetia greenei,1353331,Amphisbetia greenei,"(Murray, 1860)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Amphisbetia,greenei,,fibre-optic hydroid,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,"Reported as Abietinaria greenei, an unaccepted synonym (WoRMS Editorial Board 2021)."
Abietinaria,55322,Abietinaria spp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Abietinaria,,,coarse sea fir hydroids,1981-05-31,Andy Lamb,PMLS,,,unobserved,,,"Sturdy hydroids with alternating zoantheca structures. According to Fraser 1937, numerous species in this genus are known to the region."
Hydrallmania franciscana,873899,Hydrallmania franciscana,"(Trask, 1857)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Hydrallmania,franciscana,,loose spiral hydroid,2006-06-30,Andy Lamb,PMLS,,,unobserved,,native,
Geminella,468278,Thuiaria sp.1,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Geminella,,,fish-bone hydroid,1985-08-02,Andy Lamb,PMLS,,,unobserved,,,"Reported as Selaginopsis sp., an unaccepted synonym (WoRMS Editorial Board 2022)."
Thuiaria,514521,Thuiaria spp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Thuiaria,,,embedded sea fir hydroids,2006-09-28,Andy Lamb,PMLS,,,unobserved,,,
Thuiaria thuja,873882,Thuiaria thuja,"(Linnaeus, 1758)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Sertularioidea,Sertulariidae,,,Thuiaria,thuja,,bottlebrush hydroid,1985-08-02,Andy Lamb,PMLS,,,unobserved,,native,
Gonionemus vertens,501046,Gonionemus vertens,"A. Agassiz, 1862",Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Limnomedusae,,,,Olindiidae,,,Gonionemus,vertens,,clinging jellyfish,,,,2013-07-07,Karolle Wall,observed,,native,
Solmissus,247208,Solmissus spp.,,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,,Cuninidae,,,Solmissus,,,scalloped jelly,2009-04-04,Andy Lamb,PMLS,,,unobserved,,,
Solmundaegina nematophora,1156476,Solmundaegina nematophora,"Lindsay, 2017",Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,,Solmundaeginidae,,,Solmundaegina,nematophora,,four tentacled jelly,2009-04-04,Andy Lamb,PMLS,2021-03-27,Dave Cochrane,observed,,native,"This cryptic species was recently separated from Aegina citrea. ""Everything from surface waters in the Salish Sea is Solmundaegina nematophora"" (Claudia Mills pers. comm. 2021)"
Nanomia bijuga,506580,Nanomia bijuga,"(Delle Chiaje, 1844)",Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Physonectae,,,Agalmatidae,,,Nanomia,bijuga,,tailed jelly,1993-05-09,Charlie Gibbs,PMLS,2014-09-18,Karolle Wall,observed,,native,
Muggiaea,201710,Muggiaea sp.,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Calycophorae,,,Diphyidae,Diphyinae,,Muggiaea,,,dwarf tailed jelly,2009-04-11,Andy Lamb,PMLS,,,unobserved,,,
Aglantha digitale,256085,Aglantha digitale,"(O. F. Müller, 1776)",Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Trachymedusae,,,,Rhopalonematidae,,,Aglantha,digitale,,pink helmit,1861,Alexander Agassiz,"Agassiz, A. 1861. Notes on the described species of Holconoti, found on the western coast of North America. March 20, 1861. Proceedings of the Boston Society of Natural History, v.8, pp. 122–134.",,,unobserved,,native,
Cyanea ferruginea,786996,Cyanea ferruginea,"Eschscholtz, 1829",Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Cyaneidae,,,Cyanea,ferruginea,,lion's mane,1999-10-02,Andy Lamb,PMLS,2015-05-16,Karolle Wall,observed,reported as Cyanea capillata,native,
Phacellophora camtschatica,52966,Phacellophora camtschatica,"Brandt, 1835",Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Phacellophoridae,,,Phacellophora,camtschatica,,fried egg jellyfish,1994-09-10,Andy Lamb,PMLS,2016-06-14,Karolle Wall,observed,,native,
Aurelia labiata,130235,Aurelia labiata,"Chamisso & Eysenhardt, 1821",Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Ulmaridae,Aureliinae,,Aurelia,labiata,,moon jelly,1996-09-28,Charlie Gibbs,PMLS,2015-06-21,Karolle Wall,observed,,native,
Beroe abyssicola,1090851,Beroe abyssicola,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,,transluscent comb jelly,1993-05-09,Charlie Gibbs,PMLS,2020-05-09,catiemac,observed,,native,
Euplokamis dunlapae,873875,Euplokamis dunlapae,"Mills, 1987",Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,,Euplokamididae,,,Euplokamis,dunlapae,,oval sea gooseberry,1995-02-25,Charlie Gibbs,PMLS,,,unobserved,,native,
Pleurobrachia bachei,117705,Pleurobrachia bachei,"A. Agassiz, 1860",Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,,Pleurobrachiidae,,,Pleurobrachia,bachei,,sea gooseberry,1981-05-31,Andy Lamb,PMLS,2011-05-17,Karolle Wall,observed,,native,
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,,lobed sea gooseberry,1996-05-29,Charlie Gibbs,PMLS,2013-10-13,Peter Luckham,observed,,native,
Balanus crenatus,117672,Balanus crenatus,"Bruguière, 1789",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,crenatus,,common acorn barnacle,1969-02-22,Andy Lamb,PMLS,2019-01-25,awworld,observed,,native,
Balanus glandula,81610,Balanus glandula,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,,common acorn barnacle,1969-02-22,Andy Lamb,PMLS,2015-08-28,Andrew Simon,observed,,native,
Balanus nubilus,49127,Balanus nubilus,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,nubilus,,giant acorn barnacle,1986-04-08,,RBCM,2013-10-13,Peter Luckham,observed,,native,
Balanus rostratus,782656,Balanus rostratus,"Hoek, 1883",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,rostratus,,large acorn barnacle,1986-09-30,,RBCM,,,unobserved,,native,
Semibalanus cariosus,47658,Semibalanus cariosus,"(Pallas, 1788)",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Semibalanus,cariosus,,thatched acorn barnacle,1985-12-08,Andy Lamb,PMLS,2016-08-17,Andrew Simon,observed,,native,
Chthamalus dalli,129910,Chthamalus dalli,"Pilsbry, 1916",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Chthamaloidea,Chthamalidae,,,Chthamalus,dalli,,small acorn barnacle,2008-02-16,Andy Lamb,PMLS,2015-08-28,Andrew Simon,observed,,native,
Lepeophtheirus,329133,Lepeophtheirus sp.,,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Podoplea,Siphonostomatoida,,,,Caligidae,,,Lepeophtheirus,,,parasitic copepod,2008-02-03,Andy Lamb,PMLS,,,unobserved,,,Two taxa are known in the genus Lepeophtheirus: one associated with salmonids (reported in PMLS records as 'sp.A'); the other with lingcod ('sp.B'). The species associated with lingcod is reported for Galiano Island; the other species likely also occurs locally.
Ampelisca hancocki,295404,Ampelisca hancocki,"J.L. Barnard, 1954",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassida,Synopioidea,Ampeliscidae,,,Ampelisca,hancocki,,amphipod,1961-06-22,,RBCM,,,unobserved,,native,
Ampelisca lobata,295407,Ampelisca lobata,"Holmes, 1908",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassida,Synopioidea,Ampeliscidae,,,Ampelisca,lobata,,amphipod,1961-06-22,,RBCM,,,unobserved,,native,
Ampelisca unsocalae,1265117,Ampelisca unsocalae,"J.L. Barnard, 1960",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassida,Synopioidea,Ampeliscidae,,,Ampelisca,unsocalae,,amphipod,1961-06-22,,RBCM,,,unobserved,,native,
Ampithoe lacertosa,260501,Ampithoe lacertosa,"Spence Bate, 1858",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophiida,Corophioidea,Ampithoidae,,,Ampithoe,lacertosa,,sea lettuce sea flea,2009-02-14,Andy Lamb,PMLS,,,unobserved,,native,
Caprella alaskana,508889,Caprella alaskana,"Mayer, 1903",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophiida,Caprelloidea,Caprellidae,Caprellinae,,Caprella,alaskana,,Alaskan skeleton shrimp,2008-06-21,Andy Lamb,PMLS,,,unobserved,,native,
Caprella mutica,64634,Caprella mutica,"Schurin, 1935",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophiida,Caprelloidea,Caprellidae,Caprellinae,,Caprella,mutica,,Japanese skeleton shrimp,,,,2019-05-04,Emily Adamczyk,observed,,native,
Desdimelita californica,1128629,Desdimelita californica,"(Alderman, 1936)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadziida,Hadzioidea,Melitidae,,,Desdimelita,californica,,amphipod,1976-06-20,Rita M. O'Clair,CMN,,,unobserved,,native,
