iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Subtaxon Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting,Notes,Origin,Critical Notes
Ammodytes personatus,201784,Ammodytes personatus,"Girard, 1856",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Trachinoidei,,,Ammodytidae,,,Ammodytes,personatus,,Pacific sand lance,1993-08-16,Andy Lamb,PMLS,2011-05-20,Karolle Wall,observed,,native,
Anarrhichthys ocellatus,60635,Anarrhichthys ocellatus,"Ayres, 1855",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Anarhichadidae,,,Anarrhichthys,ocellatus,,wolf-eel,1994-02-26,Charlie Gibbs,PMLS,,,unobserved,,native,
Ronquilus jordani,230312,Ronquilus jordani,"(Gilbert, 1889)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Bathymasteridae,,,Ronquilus,jordani,,northern ronquil,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,
Brachyistius frenatus,117553,Brachyistius frenatus,"Gill, 1862",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cichliformes,,,,Embiotocidae,,,Brachyistius,frenatus,,kelp perch,1985-12-07,Andy Lamb,PMLS,2020-08-13,Andrew Simon,observed,,native,
Cymatogaster aggregata,98855,Cymatogaster aggregata,"Gibbons, 1854",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cichliformes,,,,Embiotocidae,,,Cymatogaster,aggregata,,shiner perch,1982-06-09,K.D. Genereux,CMN,2018-08-29,Tom Appleby,observed,,native,
Embiotoca lateralis,117555,Embiotoca lateralis,"Agassiz, 1854",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cichliformes,,,,Embiotocidae,,,Embiotoca,lateralis,,striped seaperch,1982-06-08,Claudia E. Kasserra,CMN,2020-05-07,Penelope Bridge,observed,,native,
Phanerodon vacca,1316654,Rhacochilus vacca,"(Girard, 1855)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Cichliformes,,,,Embiotocidae,,,Phanerodon,vacca,,pile perch,1973-09-20,Andy Lamb,PMLS,2020-08-13,Andrew Simon,observed,reported as Damalichthys vacca,native,
Clevelandia ios,117564,Clevelandia ios,"(Jordan & Gilbert, 1882)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiiformes,,,,Gobiidae,Gobionellinae,,Clevelandia,ios,,arrow goby,,,,2017-05-26,Karolle Wall,observed,,native,
Rhinogobiops nicholsii,132521,Rhinogobiops nicholsii,"(Bean, 1882)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiiformes,,,,Gobiidae,Gobiinae,,Rhinogobiops,nicholsii,,blackeye goby,1968-08-02,Andy Lamb,PMLS,2013-10-13,Peter Luckham,observed,,native,
Apodichthys flavidus,67408,Apodichthys flavidus,"Girard, 1854",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Pholidae,Apodichthyinae,,Apodichthys,flavidus,,penpoint gunnel,1982-06-09,K.D. Genereux,CMN,2013-06-22,Karolle Wall,observed,,native,
Pholis clemensi,67405,Pholis clemensi,"Rosenblatt, 1964",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Pholidae,Pholinae,,Pholis,clemensi,,longfin gunnel,1994-10-07,Andy Lamb,PMLS,,,unobserved,,native,
Pholis laeta,67362,Pholis laeta,"(Cope, 1873)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Pholidae,Pholinae,,Pholis,laeta,,crescent gunnel,1982-06-09,K.D. Genereux,CMN,2013-07-07,Karolle Wall,observed,,native,
Ptilichthys goodei,229394,Ptilichthys goodei,"Bean, 1881",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Ptilichthyidae,,,Ptilichthys,goodei,,quillfish,2006-06-23,Andy Lamb,PMLS,,,unobserved,,native,
Anoplarchus purpurescens,67316,Anoplarchus purpurescens,"Gill, 1861",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Stichaeidae,Xiphisterinae,,Anoplarchus,purpurescens,,high cockscomb,1969-02-22,Andy Lamb,PMLS,2015-08-28,Andrew Simon,observed,,native,
Chirolophis decoratus,216742,Chirolophis decoratus,"(Jordan & Snyder, 1902)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Stichaeidae,Chirolophinae,,Chirolophis,decoratus,,decorated warbonnet,1993-08-16,Andy Lamb,PMLS,,,unobserved,,native,
Chirolophis nugator,216743,Chirolophis nugator,"(Jordan & Williams, 1895)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Stichaeidae,Chirolophinae,,Chirolophis,nugator,,mosshead warbonnet,1981-05-31,Andy Lamb,PMLS,2019-05-04,Isabelle M. Côté,observed,,native,
Lumpenus sagitta,224164,Lumpenus sagitta,"Wilimovsky, 1956",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Lumpenidae,,,Lumpenus,sagitta,,snake prickleback,,,,2017-05-29,Karolle Wall,observed,,native,
Phytichthys chirus,228101,Phytichthys chirus,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Stichaeidae,Xiphisterinae,,Phytichthys,chirus,,ribbon prickleback,1960-12-22,Donald E. McAllister & M. O. Yesaki,CMN,,,unobserved,,native,
Xiphister mucosus,67628,Xiphister mucosus,"(Girard, 1858)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Stichaeidae,Xiphisterinae,,Xiphister,mucosus,,rock eel,,,,2020-08-15,Andrew Simon,observed,,native,
Citharichthys stigmaeus,117542,Citharichthys stigmaeus,"Jordan & Gilbert, 1882",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,,Cyclopsettidae,,,Citharichthys,stigmaeus,,speckled sanddab,1993-05-09,Andy Lamb,PMLS,2016-07-05,Karolle Wall,observed,,native,
Lepidopsetta bilineata,183018,Lepidopsetta bilineata,"(Ayres, 1855)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,,Pleuronectidae,Pleuronectinae,,Lepidopsetta,bilineata,,rock sole,1985-12-07,Andy Lamb,PMLS,,,unobserved,,native,
Lyopsetta exilis,104926,Lyopsetta exilis,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,,Pleuronectidae,Hippoglossinae,,Lyopsetta,exilis,,slender sole,2008-05-24,Jackson Chu,Chu (2010),2007-10-23,Jackson Chu,observed,,native,
Parophrys vetulus,117545,Parophrys vetulus,"Girard, 1854",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,,Pleuronectidae,Pleuronectinae,,Parophrys,vetulus,,English sole,1982-06-09,J. M. Ellis,CMN,,,unobserved,,native,
Platichthys stellatus,83170,Platichthys stellatus,"(Pallas, 1787)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,,Pleuronectidae,Pleuronectinae,,Platichthys,stellatus,,starry flounder,1982-06-09,J. M. Ellis,CMN,2020-08-02,pacificwhitesideddolphin,observed,,native,
Pleuronichthys coenosus,228393,Pleuronichthys coenosus,"Girard, 1854",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Carangiformes,Pleuronectoidei,,,Pleuronectidae,Pleuronichthyinae,,Pleuronichthys,coenosus,,C-O sole,1994-02-27,Andy Lamb,PMLS,2013-06-22,Karolle Wall,observed,,native,
Oncorhynchus clarkii,68075,Oncorhynchus clarkii,"(Richardson, 1836)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,,Salmonidae,Salmoninae,,Oncorhynchus,clarkii,,cutthroat trout,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",,,unobserved,,native,
Oncorhynchus keta,107572,Oncorhynchus keta,"(Walbaum, 1792)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,,Salmonidae,Salmoninae,,Oncorhynchus,keta,,chum salmon,2013-05-17,Andy Lamb,PMLS,,,unobserved,,native,
Oncorhynchus kisutch,53692,Oncorhynchus kisutch,"(Walbaum, 1792)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,,Salmonidae,Salmoninae,,Oncorhynchus,kisutch,,coho salmon,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",,,unobserved,,native,
Oncorhynchus tshawytscha,54191,Oncorhynchus tshawytscha,"(Walbaum, 1792)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,,Salmonidae,Salmoninae,,Oncorhynchus,tshawytscha,,chinook salmon,,,,2017-02-12,Christina Robinson,observed,,native,
Agonopsis vulsa,180027,Agonopsis vulsa,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Agonidae,Agoninae,,Agonopsis,vulsa,,northern spearnose poacher,1995-02-25,Charlie Gibbs,PMLS,,,unobserved,,native,
Odontopyxis trispinosa,226210,Odontopyxis trispinosa,"Lockington, 1880",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Agonidae,Bathyagoninae,,Odontopyxis,trispinosa,,pygmy poacher,2006-06-30,Andy Lamb,PMLS,2017-07-25,Karolle Wall,observed,,native,
