Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Provincial Status,National Status,Global Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Ceramaster patagonicus,"(Sladen, 1889)",,orange cookie star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,,Ceramaster,native,,,,new 2009,observed,,,,,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/61341019,,537859,
Hippasteria phrygiana,"(Parelius, 1768)",,spiny red star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Hippasterinae,Hippasteria,native,,,,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,464048,
Mediaster aequalis,"Stimpson, 1857",,vermilion star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Mediasterinae,Mediaster,native,,,,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/61341026,,293174,
Crossaster papposus,"(Linnaeus, 1767)",,rose star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Crossaster,native,,,,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-010,1898297964,,,,,192687,
Solaster dawsoni,"Verrill, 1880",,morning sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Solaster,native,,,,reported,unobserved,,,RBCM,976-01146-012,1898264650,,,,,117692,
Solaster endeca,"(Linnaeus, 1771)",,northern sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Solaster,native,,,,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,,,,,,371725,
Solaster stimpsoni,"Verrill, 1880",,striped sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Solaster,native,,,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2013-07-23,Karolle Wall,http://www.inaturalist.org/observations/4015173,,208013,
Amphiodia periercta,"H.L. Clark, 1911",,long-armed burrowing brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea ,Ophintegrida ,Amphilepidida,Gnathophiurina ,Amphiuroidea,Amphiuridae,,Amphiodia,native,,,,reported,unobserved,1975-06-17,Philip Lambert,RBCM,975-00224-007,1898321940,,,,,957349,"Accessioned in RBCM collections as Diamphiodia periercta, an unrecognized name (WoRMS Editorial Board 2021)."
Ophiopholis kennerlyi,"Lyman, 1860",,daisy brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,Ophiactoidea,Ophiopholidae,,Ophiopholis,native,,,,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,,2014-03-24,Karolle Wall,http://www.inaturalist.org/observations/3705819,,129228,
Gorgonocephalus eucnemis,"(Müller & Troschel, 1842)",,basket star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Euryalida,,,Gorgonocephalidae,Gorgonocephalinae,Gorgonocephalus,native,,,,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,465153,
Ophiura luetkenii,"(Lyman, 1860)",,gray brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,Ophiura,native,,,,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-009,1898306018,,,,misspelled 'Ophiura lutkeni' in GBIF dataset,255865,
Ophiura sarsii,"Lütken, 1855",,notched brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,Ophiura,native,,,,reported,unobserved,1993-05-09,Charlie Gibbs,PMLS,,,,,,,202051,
Florometra serratissima,"(AH Clark, 1907)",,feather star,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,Antedonoidea,Antedonidae,Heliometrinae,Florometra,native,,,,confirmed,observed,1960-06-21,Dan Quayle,RBCM,009-00308-001,1898303669,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854130,,195902,
Mesocentrotus franciscanus,"(A. Agassiz, 1863)",,red sea urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,Mesocentrotus,native,,,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2013-07-23,Karolle Wall,http://www.inaturalist.org/observations/4015169,,992313,
Strongylocentrotus droebachiensis,"(O.F. Müller, 1776)",,green sea urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,Strongylocentrotus,native,,,,confirmed,observed,1986-04-08,BC Hydro - submerged cable,RBCM,986-00191-021,,2018-08-11,Samantha Fulgham,https://www.inaturalist.org/observations/18992768,,120070,
Strongylocentrotus pallidus,"(G.O. Sars, 1871)",,white sea urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,Strongylocentrotus,native,,,,reported,unobserved,1986-04-08,,RBCM,986-00191-013,,,,,,129221,Previously misidentified as Strongylocentrotus fragilis.
Strongylocentrotus purpuratus,"(Stimpson, 1857)",,purple urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea ,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,Strongylocentrotus,native,,,,reported,unobserved,1986-04-08,,RBCM,986-00191-012,,,,,,48035,
Dendraster excentricus,"(Eschscholtz, 1831)",,eccentric sand dollar,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Neognathostomata,Clypeasteroida,Scutellina,Scutelloidea,Dendrasteridae,,Dendraster,native,,,,confirmed,observed,1964-12-07,,RBCM,976-01146-014,1898270561,2018-05-22,Karolle Wall,https://www.inaturalist.org/observations/12744158,,117696,
Leptosynapta transgressor,"Heding, 1928",,subtidal burrowing sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Paractinopoda,,Apodida,,,Synaptidae,,Leptosynapta,native,,,,reported,unobserved,2013-10-20,Andy Lamb,PMLS,,,,,,,873898,
Cucumaria miniata,"(Brandt, 1835)",,red sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Cucumariidae,,Cucumaria,native,,,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2013-08-07,Karolle Wall,http://www.inaturalist.org/observations/3705818,,117695,
Cucumaria pallida,"Kirkendale & Lambert, 1995",,pale sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Cucumariidae,,Cucumaria,native,,,,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,,,,,,356416,
Cucumaria piperata,"(Stimpson, 1864)",,salt & pepper sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Cucumariidae,,Cucumaria,native,,,,reported,unobserved,1994-10-07,Andy Lamb,PMLS,,,,,,,424353,
Pentamera sp.,,,sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Phyllophoridae,,Pentamera,,,,,reported,unobserved,2006-06-30,Andy Lamb,PMLS,,,,,,,171674,
Psolidium bidiscum,"Lambert, 1996",,pale creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,Psolidium,native,,,,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,,,,,,,873892,
Psolus chitonoides,"Clark, 1901",,creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,Psolus,native,,,,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,473064,
Psolus squamatus,"(O.F. Müller, 1776)",,white creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,Psolus,native,,,,reported,unobserved,2008-10-09,Andy Lamb,PMLS,,,,,,,293149,
Eupentacta quinquesemita,"(Selenka, 1867)",,stiff-footed sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Sclerodactylidae,,Eupentacta,native,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-030,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763482,,51695,
Apostichopus californicus,"(Stimpson, 1857)",,giant sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,Stichopodidae,,Apostichopus,native,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-032,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854136,,202640,"Accessioned in RBCM collections as Parastichopus californicus, an unaccepted synonym (WoRMS Editorial Board 2021)."
Balaenoptera acutorostrata,"Lacépède, 1804",,northern minke whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,Balaenoptera,native,,,,reported,unobserved,2004-10-04,Amy Rowley,BCCSN,,,,,,,41550,
Balaenoptera physalus,"(Linnaeus, 1758)",,fin whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,Balaenoptera,native,,,,reported,unobserved,2007-05-17,Amy Rowley,BCCSN,,,,,,,41562,
Megaptera novaeangliae,"(Borowski, 1781)",,humpback whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,Megaptera,native,,,,confirmed,observed,2001-04-20,Amy Rowley,BCCSN,,,2017-06-06,Andrew Simon,http://inaturalist.ca/observations/6532303,,41566,
Lagenorhynchus obliquidens,"Gill, 1865",,Pacific white-sided dolphin,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Delphinidae,,Lagenorhynchus,native,,,,reported,unobserved,2002-08-15,Amy Rowley,BCCSN,,,,,,,41510,
Orcinus orca,"(Linnaeus, 1758)",,orca,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Delphinidae,,Orcinus,native,,,,confirmed,observed,2001-01-14,Amy Rowley,BCCSN,,,2011-06-26,Kris Krüg,http://inaturalist.ca/observations/3291897,,41521,
Eschrichtius robustus,"(Lilljeborg, 1861)",,grey whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Eschrichtiidae,,Eschrichtius,native,,,,reported,unobserved,2001-04-15,Amy Rowley,BCCSN,,,,,,,41478,
Phocoena phocoena,"(Linnaeus, 1758)",,harbour porpoise,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Phocoenidae,,Phocoena,native,,,,confirmed,observed,2001-12-15,Amy Rowley,BCCSN,,,2019-03-25,Karen Steve Smith,https://www.inaturalist.org/observations/21616577,,41440,
Phocoenoides dalli,"(True, 1885)",,Dall’s porpoise,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Phocoenidae,,Phocoenoides,native,,,,reported,unobserved,2001-11-19,Amy Rowley,BCCSN,,,,,,,41446,
Lontra canadensis,"Schreber, 1777",,North American river otter,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Caniformia,,Mustelidae,Mustelidae,Lontra,native,,,,confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2006-09-04,Shera Street,http://www.inaturalist.org/observations/2635258,,41777,
Neogale vison,"(Schreber, 1777)",,American mink,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Caniformia,,Mustelidae,Mustelidae,Neovison,native,,,,confirmed,observed,2011-05-14,Kent Brothers,VMS,,,2017-05-28,Ayla Malcolm,https://www.inaturalist.org/observations/6485976,,74758,
Eumetopias jubatus,"(Schreber, 1776)",,Steller sea lion,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Otariidae,Otariidae,Eumetopias,native,,,,confirmed,observed,1985-12-07,Andy Lamb,Ocean Wise,,,2016-12-22,Lauren Magner & Andrew Simon,https://www.inaturalist.org/observations/4833811,,41755,
Zalophus californianus,"(Lesson, 1828)",,California sea lion,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Otariidae,Otariidae,Zalophus,native,,,,new 2016,observed,,,,,,2016-05-27,Chessi Miltner,http://www.inaturalist.org/observations/3598720,,41740,
Phoca vitulina richardii,"Linnaeus, 1758","Gray, 1864",Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Phocidae,Phocidae,Phoca,native,,,,confirmed,observed,1995-02-24,Andy Lamb,Ocean Wise,,,2015-02-12,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2565228,,41708,
Panomya ampla,"Dall, 1898",,ample roughmya,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Hiatelloidea,Hiatellidae,,Panomya,native,,,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00316,1898318849,,,,,865774,
Panopea generosa,"Gould, 1850",,Pacific geoduck,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Hiatelloidea,Hiatellidae,,Panopea,native,,,,confirmed,observed,1994-10-23,Andy Lamb,PMLS,,,2019-05-04,Isabelle Côte,https://www.inaturalist.org/observations/24792030,,117618,
Solen sicarius,"Gould, 1850",,sickle jackknife-clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,Solenoidea,Solenidae,,Solen,native,,,,reported,unobserved,2007-12-09,Andy Lamb,PMLS,,,,,,,54529,
Glycymeris septentrionalis,"(Middendorff, 1849)",,western bittersweet,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Arcida,,Arcoidea,Glycymerididae,,Glycymeris,native,,,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00294,1898292826,,,,,479438,"Accessioned in collections at the RBCM as Glycymeris subobsoleta, an unaccepted synonym (WoRMS Editorial Board 2021)."
Ciliatocardium ciliatum,"(Fabricius, 1780)",,hairy cockle,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,Ciliatocardium,native,,,,reported,unobserved,2008-10-10,Andy Lamb,PMLS,,,,,,,940646,"Reported as Clinocardium ciliatum, an unaccepted synonym (WoRMS Editorial Board 2021)."
Clinocardium nuttallii,"(Conrad, 1837)",,Nuttall's cockle,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,Clinocardium,native,,,,confirmed,observed,1995-02-23,Charlie Gibbs,PMLS,,,2009-07-08,Shera Street,http://www.inaturalist.org/observations/2635143,,69925,
Keenaea centifilosa,"(Carpenter, 1864)",,cockle,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,,Keenaea,native,,,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00327,1898273217,,,,Reported as Nemocardium centifilosum (RBCM 979-00327),962184,
Keenocardium blandum,"(Gould, 1850)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Cardioidea,Cardiidae,Clinocardiinae,Keenocardium,native,,,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-017,1898304642,,,,,940598,
Gari californica,"(Conrad, 1849)",,California sunsetclam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Psammobiidae,,Gari,native,,,,reported,unobserved,2005-12-10,Andy Lamb,PMLS,,,,,,,354323,
Nuttallia obscurata,"(Reeve, 1857)",,purple mahogany clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Psammobiidae,,Nuttallia,non-native,,,,new 2016,observed,,,,,,2016-08-21,Tyrel Froese,http://www.inaturalist.org/observations/4005286,,430211,
Semele rubropicta,"Dall, 1871",,rose-painted clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Semelidae,,Semele,native,,,,reported,unobserved,1999-05-05,Andy Lamb,PMLS,,,,,,,371110,
Macoma brota,"Dall, 1916",,heavy macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,,,,new 2016,observed,,,,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910109,,504353,
Macoma calcarea,"(Gmelin, 1791)",,chalky macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,,,,reported,unobserved,1961-06-22,,RBCM,976-01146-008,1898275200,,,,,861604,
Macoma carlottensis,"Whiteaves, 1880",,Charlotte macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,,,,reported,unobserved,1961-06-22,,RBCM,976-01146-009,1898266087,,,,,957354,"Accessioned in collections at the RBCM as Macoma inflatula, an unaccepted synonym (WoRMS Editorial Board 2021)."
Macoma nasuta,"(Conrad, 1837)",,bent-nose macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,,,,confirmed,observed,2009-11-14,Andy Lamb,PMLS,,,2016-08-21,Tyrel Froese,http://www.inaturalist.org/observations/4005328,,117612,
Macoma obliqua,"(J. Sowerby, 1817)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,,,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-002,1898316814,,,,,861605,
Coanicardita ventricosa,"(Gould, 1850)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Carditida,,Carditoidea,Carditidae,Scalaricarditinae,Cyclocardia,native,,,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-006,1898313988,,,,,492137,"Reported as Cyclocardia ventricosa, an unaccepted synonym (WoRMS Editorial Board 2021)."
Kellia suborbicularis,"(Montagu, 1803)",,suborbicular kellyclam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Galeommatida,,Galeommatoidea,Lasaeidae,,Kellia,native,,,,reported,unobserved,2006-06-30,Andy Lamb,PMLS,,,,,,,253475,
Parvilucina tenuisculpta,"(Carpenter, 1864)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Lucinida,,Lucinoidea,Lucinidae,Lucininae,Parvilucina,native,,,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-005,1898273623,,,,,493882,
Axinopsida serricata,"(Carpenter, 1864)",,lenticular axinopsid,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Lucinida,,Thyasiroidea,Thyasiridae,,Axinopsida,native,,,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03315,1898280832,,,,,977317,
Mya arenaria,"Linnaeus, 1758",,soft-shelled clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Myoidea,Myidae,,Mya,non-native,,,,new 2016,observed,,,,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910084,,81634,
Mya truncata,"Linnaeus, 1758",,truncated softshell-clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Myoidea,Myidae,,Mya,native,,,,reported,unobserved,2008-04-27,Andy Lamb,PMLS,,,,,,,447416,
Zirfaea pilsbryi,"H. N. Lowe, 1931",,rough piddock,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Pholadoidea,Pholadidae,Pholadinae,Zirfaea,native,,,,reported,unobserved,2016-07-24,Andy Lamb,PMLS,,,,,,,117472,
Bankia setacea,"(Tryon, 1863)",,feathery shipworm,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Pholadoidea,Teredinidae,Bankiinae,Bankia,native,,,,reported,unobserved,1999-10-02,Andy Lamb,PMLS,,,,,,,347368,
Crenella decussata,"(Montagu, 1808)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Crenellinae,Crenella,native,,,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-013,1898267985,,,,,193939,
Modiolus modiolus,"(Linnaeus, 1758)",,northern horsemussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Modiolinae,Modiolus,native,,,,reported,unobserved,2005-12-10,Andy Lamb,PMLS,,,,,,,123772,
Modiolus rectus,"(Conrad, 1837)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Modiolinae,Modiolus,native,,,,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-015,1898316253,,,,,196218,
Musculus discors,"(Linnaeus, 1767)",,discord mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Musculinae,Musculus,native,,,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00346,1898284913,,,,,482998,
Mytilus edulis complex,,,blue mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Mytilinae,Mytilus,native,,,,confirmed,observed,1982-05-28,Philip Lambert,RBCM,982-00155-001,1898293540,2015-08-05,Andrew Simon,https://www.inaturalist.org/observations/2599512,,62807,"In the field, mature Mytilus trossulus can often be distinguished from M. galloprovincialis, M. edulis, and related hybrids by examing the siphon-mantle features of the live animal. Identification by shell shapes and sizes is otherwise inconclusive and remains limited to the level of species complex."
Musculus niger,"(J.E. Gray, 1824)",,black mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae ,Musculinae,Musculus,native,,,,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00347,1898295371,,,,,483000,
Nuculana leonina,"(Dall, 1896)",,nuculanid clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Nuculanidae,Nuculaninae,Nuculana,native,,,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03316,1898319922,,,,,957348,
Megayoldia thraciaeformis,"(Storer, 1838)",,broad yoldia,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,Megayoldia,native,,,,reported,unobserved,1942-06-01,Dan Quayle,RBCM,991-00500-001,1898270739,,,,,957355,"Accessioned in collections at the RBCM as Yoldia thraciaeformis, an unaccepted synonym (WoRMS Editorial Board 2021)."
Yoldia aeolica,"(Valenciennes, 1846)",,yoldia clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,Yoldia,native,,,,reported,unobserved,1917-06-29,,RBCM,991-00498-001,1898316827,,,,,957342,"Accessioned in collections at the RBCM as Yoldia scissurata and Yoldia ensifera, unaccepted synonyms (WoRMS Editorial Board 2021)."
Yoldia hyperborea,"(Gould, 1841)",,yoldia clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,Yoldia,native,,,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03304,,,,,,996928,"Accessioned in collections at the RBCM as Yoldia hyperborea limatuloides, an unaccepted subspecies (WoRMS Editorial Board 2021); also reported as Yoldia amygdalea (Valenciennes, 1846), an unaccepted taxon (WoRMS Editorial Board 2021)"
Ennucula tenuis,"(Montagu, 1808)",,smooth nutclam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida,,Nuculoidea,Nuculidae,,Ennucula,native,,,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03318,1898321136,,,,,202045,
Acila castrensis,"(Hinds, 1843)",,nutclam or nutshell,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida ,,Nuculoidea,Nuculidae,,Acila,native,,,,reported,unobserved,1961-05-13,Dan B. Quayle,RBCM,982-00207-002,1898323311,,,,,339158,
Magallana gigas,"(Thunberg, 1793)",,Pacific oyster,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Ostreida,,Ostreoidea,Ostreidae,,Magallana,non-native,,,,new 2016,observed,,,,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910078,,605992,
Pododesmus macrochisma,"(Deshayes, 1839)",,green false-jingle,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Anomiidae,,Pododesmus,native,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-016,,2016-04-06,Karolle Wall,http://www.inaturalist.org/observations/4052032,,68652,
Chlamys hastata,"(G. B. Sowerby II, 1842)",,spiny pink scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Chlamys,native,,,,confirmed,observed,1962-01-01,Dan Quayle,RBCM,989-00923-001,1898302672,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976031,,180013,"The name Chlamys hastata hericia, reported by Dan Quayle (RBCM 989-00923-001), is unaccepted (WoRMS Editorial Board 2021)."
Chlamys rubida,"(Hinds, 1845)",,smooth pink scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Chlamys,native,,,,reported,unobserved,1961-05-13,Dan Quayle,RBCM,982-00207-003,1898263421,,,,,84496,RBCM records report this specimen under the name of Chlamys islandica—an erroneous application of an Atlantic species concept.
Crassadoma gigantea,"(J.E. Gray, 1825)",,giant rock scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Crassadoma,native,,,,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2015-05-16,Karolle Wall,http://www.inaturalist.org/observations/2854818,,54526,
Patinopecten caurinus,"(Gould, 1850)",,giant Pacific sea scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,,Patinopecten,native,,,,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03311,1898283425,,,,,203116,
Tresus capax,"(Gould, 1850)",,fat gaper,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Mactroidea,Mactridae,Lutrariinae,Tresus,native,,,,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,,,2016-02-07,Peter Luckham,https://www.inaturalist.org/observations/2763417,,126927,
