id,name,ancestry
461218,Abia fasciata,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223
525537,Abia sericea,48460/1/47120/372739/47158/184884/47201/84643/49452/53844/877391/461223
498926,Abispa ephippium,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/465565
212218,Acantholyda erythrocephala,48460/1/47120/372739/47158/184884/47201/84643/143250/143249/902722/172673
1026356,Acraspis alaria,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/252996
473378,Acraspis erinacei,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/252996
429927,Acraspis macrocarpae,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/252996
782135,Acraspis pezomachoides,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/252996
1089419,Acraspis prinoides,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/252996
1090261,Acraspis quercushirta,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/252996
764604,Acraspis villosa,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/252996
265941,Acromyrmex octospinosus,48460/1/47120/372739/47158/184884/47201/124417/326777/1269340/47336/69143/322028/891179/50162/1436523
50161,Acromyrmex versicolor,48460/1/47120/372739/47158/184884/47201/124417/326777/1269340/47336/69143/322028/891179/50162
366777,Acrotaphus wiltii,48460/1/47120/372739/47158/184884/47201/124417/47200/47199/363128/363129/250234
794205,Adurgoa gonagra,48460/1/47120/372739/47158/184884/47201/84643/49452/82227/706476/794204
50087,Agapostemon melliventris,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/50086/606634
154682,Agapostemon sericeus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/50086/606634
199056,Agapostemon splendens,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/50086/606634
133797,Agapostemon texanus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/50086/606634
82530,Agapostemon virescens,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/49707/134106/335597/50086/606634
266261,Agelaia areata,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/343248/531700/250869
300805,Agelaia centralis,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/343248/531700/250869
542665,Agelaia pallipes,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/343248/531700/250869
266353,Agelaia yepocapa,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/343248/531700/250869
482989,Aleiodes politiceps,48460/1/47120/372739/47158/184884/47201/124417/47200/63187/373534/250685
321568,Allantus cinctus,48460/1/47120/372739/47158/184884/47201/84643/49452/60628/340764/906137/321569
408378,Amblyopone australis,48460/1/47120/372739/47158/184884/47201/124417/326777/1269340/47336/338917/68922
127719,Amblyteles armatorius,48460/1/47120/372739/47158/184884/47201/124417/47200/47199/336926/465331/1422571/127721
570541,Amegilla andrewsi,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/203135/199450/578059
543954,Amegilla bombiformis,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/203135/199450/578055
335542,Amegilla cingulata,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/203135/199450/578059
333438,Amegilla quadrifasciata,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/47221/199939/203135/199450/578056
313038,Ammophila aberti,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/48742/334320/370786/83951
502287,Ammophila clavus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/48742/334320/370786/83951
134225,Ammophila nigricans,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/48742/334320/370786/83951
143571,Ammophila pictipennis,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/48742/334320/370786/83951/1445950
129147,Ammophila procera,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/48742/334320/370786/83951
118841,Ammophila sabulosa,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/48742/334320/370786/83951
703482,Amphibolips acuminata,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/143875
135271,Amphibolips confluenta,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/143875
143877,Amphibolips cookii,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/143875
877350,Amphibolips nubilipennis,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/143875
143876,Amphibolips quercusinanis,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/143875
145570,Amphibolips quercusjuglans,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/143875
1090186,Amphibolips quercusostensackenii,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/143875
1097639,Amphibolips quercuspomiformis,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/143875
348362,Ampulex compressa,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/186860/1353028/604442/250768
153969,Anacharis zealandica,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/203209/367446/252981
300220,Anacrabro ocellatus,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/51955/337421/416784/574792/250796
203488,Ancistrocerus adiabatus,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/127788
482636,Ancistrocerus albophaleratus,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/127788/1434761
203489,Ancistrocerus antilope,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/127788
427021,Ancistrocerus campestris,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/127788
203487,Ancistrocerus catskill,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/127788/1434761
318882,Ancistrocerus gazella,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/127788
266081,Ancistrocerus tuberculocephalus,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/127788
474175,Ancistrocerus unifasciatus,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/127788
454731,Ancistrocerus waldenii,48460/1/47120/372739/47158/184884/47201/124417/326777/48740/52747/119344/127788
484501,Andrena agilissima,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571426/1258781
199008,Andrena asteris,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571367
127718,Andrena bicolor,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571387
199001,Andrena carlini,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571409
346238,Andrena cerasifolii,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669
70400,Andrena cineraria,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571409
198998,Andrena clarkella,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571358
199011,Andrena crataegi,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571426
127780,Andrena denticulata,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571188
198997,Andrena dunningi,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571409
198996,Andrena erigeniae,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571432
124358,Andrena flavipes,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571409
416294,Andrena florea,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571451
198991,Andrena frigida,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571358
60579,Andrena fulva,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571358
69202,Andrena haemorrhoa,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571447
424814,Andrena hattorfiana,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571372
198989,Andrena helianthi,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571367
198987,Andrena hirticincta,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571188
198981,Andrena milwaukeensis,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571358
198979,Andrena miserabilis,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571398
127726,Andrena nigroaenea,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571409
460837,Andrena nitida,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571409
198973,Andrena nubecula,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571188
57667,Andrena prunorum,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571426
513974,Andrena rudbeckiae,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571367
484528,Andrena scotica,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571401
355696,Andrena vaga,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571409
198958,Andrena vicina,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571409
127785,Andrena wilkella,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955/57668/451978/958234/57669/571443
1113016,Andricus aciculatus,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
513296,Andricus aries,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
334112,Andricus atrimentus,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
1113014,Andricus biconicus,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
334691,Andricus brunneus,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
944906,Andricus capillatus,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
336894,Andricus caputmedusae,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
882557,Andricus chinquapin,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
326686,Andricus confertus,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
489618,Andricus coriarius,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
155380,Andricus crystallinus,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
127729,Andricus curvator,48460/1/47120/372739/47158/184884/47201/124417/981280/55593/55594/471867/205775/55596
