Taxon,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Author,Common Name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First observed,iNaturalist Link,iNaturalist taxon name,iNaturalist taxon ID,iNaturalist Photo,Notes
Fucus distichus,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,,,Fucus,L.,rockweed,unlisted,unlisted,confirmed,1914-05,John Macoun,UBC,A66169,,https://www.inaturalist.org/observations/7536406,Fucus distichus,69155,https://static.inaturalist.org/photos/9831120/medium.jpeg?1503013476,
Cumathamnion decipiens,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Delesseriaceae,,,Cumathamnion,,winged rib,,,reported,1/16/1999,Andy Lamb,PMLS,,,,Cumathamnion decipiens,496909,,reported as Delesseria decipiens
Sargassum muticum,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Sargassaceae,,,Sargassum,(Yendo) Fensholt,Japanese seaweed,unlisted,unlisted,confirmed,1/14/1984,Andy Lamb,PMLS,,,https://www.inaturalist.org/observations/12526835,Sargassum muticum,130177,https://static.inaturalist.org/photos/18089039/medium.jpg?1526509413,
Stephanocystis geminata,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Sargassaceae,,,Stephanocystis,"(C.Agardh) Draisma, Ballesteros, F.Rousseau & T.Thibaut",northern bladder chain,unlisted,unlisted,reported,1914-06,John Macoun,UBC,A63400,,,Stephanocystis geminata,866748,,
Stephanocystis osmundacea,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Sargassaceae,,,Stephanocystis,,bladder chain,,,reported,4/26/2008,Andy Lamb,PMLS,,,,Stephanocystis osmundacea,126126,,reported as Cystoseira osmundacea
Agarum clathratum,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Agaraceae,,,Agarum,,sea colander kelp,,,reported,2/12/2006,Andy Lamb,PMLS,,,,Agarum clathratum,182956,,
Agarum fimbriatum,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Agaraceae,,,Agarum,Harvey,fringed sieve kelp,unlisted,unlisted,reported,1984-02-02,P.W. Gabrielson & F.J. Shaughnessy,UBC,A70235,,,Agarum fimbriatum,182954,,
Neoagarum fimbriatum,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Agaraceae,,,Neoagarum,,fringed sea colander kelp,,,reported,8/28/1988,Andy Lamb,PMLS,,,,Neoagarum fimbriatum,895193,,
Alaria marginata,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Alariaceae,,,Alaria,,winged kelp,,,confirmed,1915-02-06,anonymous,UBC,A39346,,https://www.inaturalist.org/observations/24711334,Alaria marginata,124814,https://static.inaturalist.org/photos/38213537/medium.jpeg?1557198897,reported: Alaria sp.
Pleurophycus gardneri,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Alariaceae,,,Pleurophycus,,broad-rib kelp,,,reported,9/4/2005,Andy Lamb,PMLS,,,,Pleurophycus gardneri,429872,,
Pterygophora californica,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Alariaceae,,,Pterygophora,,old growth kelp,,,reported,5/21/1978,Andy Lamb,PMLS,,,,Pterygophora californica,124146,,
Costaria costata,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Costaria,(C. Agardh) De A. Saunders,seersucker kelp,unlisted,unlisted,confirmed,1985-03-14,P.W. Gabrielson,UBC,A67711,,https://www.inaturalist.org/observations/28204807,Costaria costata,125877,https://static.inaturalist.org/photos/43949533/medium.jpeg?1562284089,
Cymathere triplicata,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Cymathaere,,three-ribbed kelp,,,reported,10/12/1991,Andy Lamb,PMLS,,,,Cymathaere triplicata,429947,,
Laminaria setchellii,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Laminaria,,split kelp,,,reported,4/3/1999,Andy Lamb,PMLS,,,,Laminaria setchellii,81896,,
Nereocystis luetkeana,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Lessoniaceae,,,Nereocystis,(K.Mertens) Postels & Ruprecht,bull kelp,unlisted,unlisted,reported,1915-02-06,anonymous,UBC,A39376,,,Nereocystis luetkeana,120499,,
Saccharina latissima,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Saccharina,"(L.) C.E. Lane, C. Mayes, Druehl & G.W. Saunders",sea belt,unlisted,unlisted,confirmed,1915-02-06,anonymous,UBC,A39375,,https://www.inaturalist.org/observations/24521128,Saccharina latissima,130231,https://static.inaturalist.org/photos/37916899/medium.jpg?1556988978,
Saccharina sessilis,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Saccharina,,sea cabbage,,,reported,9/23/1995,Andy Lamb,PMLS,,,,Saccharina sessilis,483219,,
Lessoniopsis littoralis,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Lessoniaceae,,,Lessoniopsis,,strap kelp,,,reported,3/19/1995,Andy Lamb,PMLS,,,,Lessoniopsis littoralis,464963,,
Colpomenia peregrina,Chromista,Ochrophyta,,,Phaeophyceae,,,Scytosiphonales,,,Scytosiphonaceae,,,Colpomenia,Sauvageau,oyster-thief,unlisted,unlisted,reported,5/20/2001,Andy Lamb,PMLS,,,,Colpomenia peregrina,129737,,
Scytosiphon lomentaria,Chromista,Ochrophyta,,,Phaeophyceae,,,Scytosiphonales,,,Scytosiphonaceae,,,Scytosiphon,"(Lyngbye) Link, nom. cons.",beanweed,unlisted,unlisted,confirmed,5/24/1999,Andy Lamb,PMLS,,,https://www.inaturalist.org/observations/24522968,Scytosiphon lomentaria,182932,https://static.inaturalist.org/photos/37919169/medium.jpg?1556990499,
Anthoceros punctatus,Plantae,Anthocerotophyta,,,Anthocerotopsida,,,Anthocerotales,,,Anthocerotaceae,,,Anthoceros,L.,dotted hornwort,native,S2S3 (2016),reported,2016-04-09,Terry McIntosh,UBC,B238981,,,Anthoceros punctatus,158432,,
Aspiromitus punctatus,Plantae,Anthocerotophyta,,,Anthocerotopsida,,,Anthocerotales,,,Anthocerotaceae,,,Anthoceros,(L.) Schljakov,hornwort,native,unlisted,reported,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,Anthoceros punctatus,158432,,
Anacolia menziesii,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Anacolia,(Turner) Paris,Menzies’ anacolia moss,native,S4S5 (2015),confirmed,1969-08-21,C.C. Chuang,UBC,B208328,,https://www.inaturalist.org/observations/25649052,Anacolia menziesii,128572,https://static.inaturalist.org/photos/39751176/medium.jpeg?1558658052,
Bartramia pomiformis,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Bartramia,Hedw.,common apple-moss,native,S4S5 (2015),reported,1962-06-04,Wilfred B. Schofield,UBC,B34775,,,Bartramia pomiformis,320575,,
Philonotis capillaris,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Philonotis,Lindb.,apple-moss,native,S4 (2015),confirmed,2016-04-09,Terry McIntosh,UBC,B238969,,https://www.inaturalist.org/observations/24706307,Philonotis capillaris,123642,https://static.inaturalist.org/photos/38205180/medium.jpeg?1557192970,
Philonotis fontana,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,,Philonotis,(Hedw.) Brid.,fountain apple-moss,native,S5,reported,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,,Philonotis fontana,133809,,
