Taxon,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Author,Common Name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First observed,iNaturalist Link,iNaturalist taxon name,iNaturalist taxon ID,iNaturalist Photo,Notes
Equisetum telmateia ssp. braunii,Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,Equisetum,(J. Milde) Hauke,great horsetail,native,S5,reported,1979-04-06,Harvey Janszen,RBCM,V098044,,,Equisetum telmateia braunii,57032,,
Huperzia occidentalis,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Huperzioideae,,Huperzia,(Clute) Kartesz & Gandhi,western fir clubmoss,native,S4 (2004),reported,1914-05-19,John Macoun,RBCM,V000277X,,,Huperzia occidentalis,143696,,
Selaginella wallacei,Plantae,Tracheophyta,,,Lycopodiopsida,,,Selaginellales,,,Selaginellaceae,,,Selaginella,Hieron.,Wallace's spikemoss,native,S5,confirmed,2016-11-02,MICS,St. John Point Conservation Report,,,https://www.inaturalist.org/observations/19703783,Selaginella wallacei,63875,https://static.inaturalist.org/photos/30352992/medium.jpeg?1547775609,
Lemna minor,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,,Lemna,L.,common duckweed,native,S5,reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Lemna minor,54518,,
Triglochin concinna,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Juncaginaceae,,,Triglochin,Burtt Davy,graceful arrow-grass,native,S3S4 (2017),reported,1980-05-13,Harvey Janszen,RBCM,V107436Y,,,Triglochin concinna,79435,,
Triglochin maritima,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Juncaginaceae,,,Triglochin,L.,seaside arrow-grass,native,S5 (2000),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Triglochin maritima,60264,,
Potamogeton berchtoldii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,Fieber,small pondweed,native,S4 (2001),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Potamogeton berchtoldii,78706,,
Potamogeton natans,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Potamogetonaceae,,,Potamogeton,L.,floating pondweed,native,S5,confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/26153581,Potamogeton natans,78712,https://static.inaturalist.org/photos/40581640/medium.jpeg?1559355176,
Zostera marina,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Zosteraceae,,,Zostera,L.,common eelgrass,native,S5,confirmed,6/20/1915,John Davidson,UBC,V46481,,https://www.inaturalist.org/observations/28204817,Zostera marina,52614,https://static.inaturalist.org/photos/43949705/medium.jpeg?1562284200,
Allium acuminatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,Hook.,Hooker's onion,native,S5,confirmed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,https://www.inaturalist.org/observations/13350670,Allium acuminatum,59782,https://static.inaturalist.org/photos/19567459/medium.jpeg?1528762392,
Allium amplectens,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,Torr.,slimleaf onion,native,S3 (2015); N3 Vulnerable,reported,5/22/1996,Jenifer L. Penny,UBC,V223862,,,Allium amplectens,60267,,Georgina Point
Allium cernuum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,Roth,nodding onion,native,S5,confirmed,6/21/1974,Gerda Krause,UBC,V157823,,https://www.inaturalist.org/observations/25247938,Allium cernuum,116364,https://static.inaturalist.org/photos/39085369/medium.jpeg?1558061905,
Allium geyeri var. tenerum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,M.E. Jones,Geyer's onion,native,S3S4 (2018),reported,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,Allium geyeri tenerum,239144,,
Allium vineale,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Allioideae,Allieae,Allium,L.,wild garlic,exotic,unlisted,reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Allium vineale,75371,,
Narcissus pseudonarcissus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Amaryllidaceae,Amaryllidoideae,Narcisseae,Narcissus,L.,daffodil,exotic,unlisted,reported,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,Narcissus pseudonarcissus,55848,,
Brodiaea coronaria,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Brodiaeoideae,,Brodiaea,(Salisb.) Jeps.,crown brodiaea,native,S3S4 (2015),confirmed,1948-07-05,B. McGusty,RBCM,V021269,,https://www.inaturalist.org/observations/29734061,Brodiaea coronaria,57126,https://static.inaturalist.org/photos/46420105/medium.jpg?1564344464,
Camassia leichtlinii ssp. suksdorfii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,Camassia,(Greenm.) Gould,great camas,native,S4 (2015),confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/24711147,Camassia leichtlinii suksdorfii,79659,https://static.inaturalist.org/photos/38208315/medium.jpeg?1557195397,
Camassia quamash,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Agavoideae,,Camassia,(Pursh) Greene,small camas,native,S4,confirmed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,https://www.inaturalist.org/observations/25247935,Camassia quamash,62220,https://static.inaturalist.org/photos/39085305/medium.jpeg?1558061819,
Convallaria majalis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Convallaria,L.,lily-of-the-valley,unlisted,exotic,reported,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,Convallaria majalis,48206,,
Ornithogalum umbellatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Ornithogalum,L.,common star-of-Bethlehem,exotic,unlisted,reported,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,Ornithogalum umbellatum,56137,,
Iris pseudacorus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,Irideae,Iris,L.,yellow-flag iris,exotic,unlisted,reported,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,Iris pseudacorus,47779,,
Sisyrinchium idahoense,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,Sisyrinchieae,Sisyrinchium,E.P. Bicknell,Idaho blue-eyed grass,native,S3S4 (2001),confirmed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,https://www.inaturalist.org/observations/26153569,Sisyrinchium idahoense,79129,https://static.inaturalist.org/photos/40581101/medium.jpeg?1559354696,
Calypso bulbosa var. occidentalis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Calypsoeae,Calypso,(Holz.) Cockerell,western fairy slipper,native,S5,confirmed,1896-06,Albert J. Hill,UBC,V51948,,https://www.inaturalist.org/observations/12524578,Calypso bulbosa occidentalis,57724,https://static.inaturalist.org/photos/18085261/medium.jpg?1526504379,
Corallorhiza maculata var. occidentalis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Calypsoeae,Corallorhiza,(Lindl.) Ames,western spotted coralroot,native,SU,confirmed,6/21/1974,Gerda Krause,UBC,V157825,,https://www.inaturalist.org/observations/13351018,Corallorhiza maculata occidentalis,80615,https://static.inaturalist.org/photos/19568103/medium.jpeg?1528763012,
Goodyera oblongifolia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,Cranichideae,Goodyera,Raf.,western rattlesnake plantain,native,S5,confirmed,8/9/1956,T.R. Ashlee,UBC,V765787,,https://www.inaturalist.org/observations/13350968,Goodyera oblongifolia,50719,https://static.inaturalist.org/photos/19567995/medium.jpeg?1528762889,
Neottia cordata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Epidendroideae,Neottieae,Neottia,(L.) Rich.,heart-leaved twayblade,native,S4S5 (2015),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Neottia cordata,204364,,
Platanthera elegans,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,Orchideae,Platanthera,Lindl.,elegant rein orchid,native,S4 (2015),reported,7/3/1953,R. Pillsbury,UBC,V52054,,,Platanthera elegans,840641,,questionable = P. elongata ?
Platanthera transversa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,Orchideae,Platanthera,(Suksd.) R.M. Bateman,royal rein orchid,native,S3S4 (2001),reported,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,Platanthera transversa,355392,,
Platanthera unalascensis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,Orchideae,Platanthera,(Spreng.) Kurtz.,Alaska rein orchid,native,S5 (2000),reported,1914-06-02,John Macoun,RBCM,V001247B,,,Platanthera unalascensis,840638,,
Spiranthes romanzoffiana,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,Cranichideae,Spiranthes,Cham.,hooded ladies’ tresses,native,S4,reported,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,,Spiranthes romanzoffiana,50743,,
Maianthemum dilatatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Maianthemum,(Alph. Wood) A. Nelson & J.F. Macbr.,false lily-of-the-valley,native,S5 (2000),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Maianthemum dilatatum,63939,,
Maianthemum stellatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Maianthemum,(L.) Link,star-flowered Solomon's seal,native,S5 (2015),confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/26372169,Maianthemum stellatum,53268,https://static.inaturalist.org/photos/40945420/medium.jpeg?1559623822,
Triteleia hyacinthina,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Brodiaeoideae,,Triteleia,(Lindl.) Greene,white brodiaea,native,S4,reported,1895-06,Albert J. Hill,UBC,V24850,,,Triteleia hyacinthina,57132,,
Colchicum sp.,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Colchicaceae,,,Colchicum,,naked ladies,,,new 2019,,,,,,https://www.inaturalist.org/observations/17265478,Colchicum,131587,https://static.inaturalist.org/photos/26190756/medium.jpg?1538873485,
Erythronium oregonum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Erythronium,,white fawn lily,native,S4? (2015),confirmed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,https://www.inaturalist.org/observations/24824998,Erythronium oregonum,59520,https://static.inaturalist.org/photos/38396178/medium.jpeg?1557383660,
Fritillaria affinis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Fritillaria,(Schult. & Schult.f.) Sealy,chocolate lily,native,S5,confirmed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,https://www.inaturalist.org/observations/24706268,Fritillaria affinis,50618,https://static.inaturalist.org/photos/38204707/medium.jpeg?1557192590,
Lilium columbianum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Lilium,Leichtlin,Columbia lily,native,S5 (2015),reported,6/21/1974,Gerda Krause,UBC,V157824,,,Lilium columbianum,77744,,
Toxicoscordion venenosum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Melanthiaceae,,Melanthieae,Toxicoscordion,(S. Watson) Rydb.,meadow deathcamas,native,S5 (2000),confirmed,1986-1987,Brenan Simpson,Wild Flowers of Mayne Island,,,https://www.inaturalist.org/observations/25810561,Toxicoscordion venenosum,59087,https://static.inaturalist.org/photos/40010546/medium.jpg?1558881688,
Bolboschoenus maritimus var. paludosus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Fuireneae,Bolboschoenus,(A. Nelson) T. Koyama,seacoast bulrush,native,S5 (2015),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Bolboschoenus maritimus paludosus,79646,,
Carex aquatilis var. dives,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,(Holm) Kük.,Sitka sedge,native,S5 (2015),new 2019,,,,,,https://www.inaturalist.org/observations/26153584,Carex aquatilis dives,80511,https://static.inaturalist.org/photos/40581823/medium.jpeg?1559355350,
Carex arcta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Boott,northern clustered sedge,native,S5 (2015),confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/25454712,Carex arcta,76014,https://static.inaturalist.org/photos/39423095/medium.jpeg?1558373432,
Carex aurea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Nutt.,golden sedge,native,S5 (2015),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Carex aurea,76017,,
Carex cf rossii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Boott,Ross' sedge,native,S5 (2015),reported,2016-04-09,MICS,Edith Point Ecological Baseline Report,,,,Carex rossii,76099,,
Carex crawfordii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Fern.,Crawford's sedge,native,S5 (2015),reported,1979-06-04,Harvey Janszen,RBCM,V097977,,,Carex crawfordii,159921,,
Carex cusickii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Mack. ex Piper & Beattie,Cusick’s sedge,native,S5 (2015),reported,5/22/1996,Harvey Janszen,UBC,V215335,,,Carex cusickii,76028,,
Carex deweyana var. deweyana,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Schwein.,Dewey’s sedge,native,S5 (2015),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Carex deweyana deweyana,239769,,likely misapplied to Carex leptopoda
Carex exsiccata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,L.H. Bailey,inflated sedge,native,S5 (2015),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Carex exsiccata,76036,,
Carex feta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,L.H. Bailey,green-sheathed sedge,native,S3S4 (2018),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Carex feta,76037,,
Carex hendersonii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,L.H. Bailey,Henderson’s sedge,native,S5 (2015),confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/25454702,Carex hendersonii,76048,https://static.inaturalist.org/photos/39422473/medium.jpeg?1558373078,
Carex inops ssp. inops,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,L.H. Bailey,long-stolon sedge,native,S3S4 (2001); N3N4 Vulnerable in Canada,confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/22070936,Carex inops inops,79677,https://static.inaturalist.org/photos/34179322/medium.jpeg?1554526821,
Carex lenticularis var. limnophila,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,(Holm) Cronquist,lakeshore sedge,native,S4S5 (2015),reported,1975-05-29,Harvey Janszen,RBCM,V083296,,,Carex lenticularis limnophila,80516,,
Carex leporina,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,,oval sedge,,,new 2019,,,,,,https://www.inaturalist.org/observations/25454767,Carex leporina,76067,https://static.inaturalist.org/photos/39425093/medium.jpeg?1558374634,
Carex leptopoda,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Mack.,slender-footed sedge,native,S5 (2015),new 2019,,,,,,https://www.inaturalist.org/observations/25454790,Carex leptopoda,76070,https://static.inaturalist.org/photos/39425696/medium.jpeg?1558374990,
Carex lyngbyei,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Hornem.,Lyngbye’s sedge,native,S5 (2015),confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/25473402,Carex lyngbyei,76076,https://static.inaturalist.org/photos/39455219/medium.jpeg?1558393588,
Carex magellanica ssp. irrigua,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,(Wahl.) Hiit.,poor sedge,native,S5 (2015),reported,2009-01-01,Quentin Cronk,Mayne Flora List,,,,Carex magellanica irrigua,199300,,
Carex obnupta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,L.H. Bailey,slough sedge,native,S5 (2015),confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/25625971,Carex obnupta,61000,https://static.inaturalist.org/photos/39707308/medium.jpg?1558628983,
Carex ovalis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Gooden.,oval sedge,native,S5 (2015),reported,1996-05-22,"Jenifer Penny, Charlotte Norris & Harvey Janszen",RBCM,V186360,,,Carex leporina,76067,,reported as C. tracyi by H. Janszen
Carex pachystachya,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Cham. ex Steud.,thick-headed sedge,native,S5,confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/25720396,Carex pachystachya,76089,https://static.inaturalist.org/photos/39867630/medium.jpeg?1558768671,
Carex sylvatica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Huds.,European woodland sedge,exotic,unlisted,reported,2009-01-01,Quentin Cronk,Mayne Flora List,,,,Carex sylvatica,69640,,
Carex unilateralis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Mack.,one-sided sedge,native,S4 (2015),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Carex unilateralis,76123,,
Carex utriculata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Boott,beaked sedge,native,S5 (2015),confirmed,1975-07-09,Harvey Janszen,RBCM,V083230,,https://www.inaturalist.org/observations/26153591,Carex utriculata,76124,https://static.inaturalist.org/photos/40582018/medium.jpeg?1559355511,
Carex viridula,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Cariceae,Carex,Michx.,greenish sedge,native,S5 (2015),confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/26153599,Carex viridula,76128,https://static.inaturalist.org/photos/40582914/medium.jpeg?1559356312,
Eleocharis palustris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Eleocharideae,Eleocharis,(L.) Roem. & Schult.,common spike-rush,native,S5,confirmed,1975-07-09,Harvey Janszen,RBCM,V083202,,https://www.inaturalist.org/observations/26153571,Eleocharis palustris,76782,https://static.inaturalist.org/photos/40581232/medium.jpeg?1559354828,
Schoenoplectus acutus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Fuireneae,Schoenoplectus,(Muhl. ex Bigelow) Á. Löve & D. Löve,common tule,native,S5 (2000),confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/26153596,Schoenoplectus acutus,59205,https://static.inaturalist.org/photos/40582588/medium.jpeg?1559356026,
Scirpus cyperinus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Scirpeae,Scirpus,(L.) Kunth,woolgrass,native,S5 (2015),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Scirpus cyperinus,79002,,
Scirpus microcarpus ,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,Scirpeae,Scirpus,J. Presl & C. Presl,small-flowered bullrush,native,S5,confirmed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,https://www.inaturalist.org/observations/26153595,Scirpus microcarpus,59068,https://static.inaturalist.org/photos/40582557/medium.jpeg?1559355995,
Juncus acuminatus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Michx.,tapered rush,native,S4 (2001),reported,1975-07-09,Harvey Janszen,RBCM,V113218Y,,,Juncus acuminatus,77549,,specimen is not determined (J. cf. acuminatus)
Juncus articulatus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,L.,jointed rush,native,S5 (2000),confirmed,1975-07-09,Harvey Janszen,RBCM,V083238,,https://www.inaturalist.org/observations/28523907,Juncus articulatus,77552,https://static.inaturalist.org/photos/44468830/medium.jpeg?1562710024,
Juncus balticus ssp. ater,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Willd.,Baltic rush,native,S5 (2015),reported,1975-08-04,Harvey Janszen,RBCM,V083249,,,Juncus balticus ater,79959,,
Juncus bolanderi,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Engelm.,Bolander’s rush,native,S3S4 (2015),confirmed,1975-07-09,Harvey Janszen,RBCM,V083191,,https://www.inaturalist.org/observations/27420988,Juncus bolanderi,77553,https://static.inaturalist.org/photos/42665394/medium.jpeg?1561189074,
Juncus bufonius,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,L.,toad rush,native,S5 (2017),confirmed,1979-05-31,Harvey Janszen,RBCM,V097844,,https://www.inaturalist.org/observations/24874234,Juncus bufonius,57107,https://static.inaturalist.org/photos/38474935/medium.jpeg?1557466818,
Juncus effusus ssp. pacificus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,L.,common rush,exotic,unlisted,confirmed,1975-07-09,Harvey Janszen,RBCM,V083241,,https://www.inaturalist.org/observations/26031776,Juncus effusus pacificus,57108,https://static.inaturalist.org/photos/40385099/medium.jpeg?1559176219,Juncus effusus reported by H. Janszen; both J.e.solutus & J.e.pacificus reported by CRB in CQ's list
Juncus effusus ssp. solutus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,,eastern soft rush,,,new 2019,,,,,,https://www.inaturalist.org/observations/25720373,Juncus effusus solutus,79962,https://static.inaturalist.org/photos/39866149/medium.jpeg?1558766328,
Juncus ensifolius,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Wikstr.,dagger rush,native,S4,confirmed,1975-07-09,Harvey Janszen,RBCM,V083190,,https://www.inaturalist.org/observations/28523909,Juncus ensifolius,77569,https://static.inaturalist.org/photos/44468856/medium.jpeg?1562710048,
Juncus falcatus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,E. Mey.,sickle-leaved rush,native,S4 (2015),reported,1914-05-24,John Macoun,RBCM,V000847,,,Juncus falcatus,77571,,J. f. sitchensis reported by H. Janszen
Juncus hesperius,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,,Lamp rush,,,new 2019,,,,,,https://www.inaturalist.org/observations/27405438,Juncus hesperius,77574,https://static.inaturalist.org/photos/42636512/medium.jpeg?1561159983,
Juncus occidentalis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,(Coville) Wiegand,western rush,native,S3S4 (2015),reported,1975-07-09,Harvey Janszen,RBCM,V083192,,,Juncus occidentalis,61826,,
Juncus supiniformis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,,hair-leaved rush,,,new 2019,,,,,,https://www.inaturalist.org/observations/28523912,Juncus supiniformis,77594,https://static.inaturalist.org/photos/44468903/medium.jpeg?1562710089,
Juncus tenuis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Willd.,slender rush,native,S5 (2015),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Juncus tenuis,69930,,
Luzula comosa var. laxa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,E. Mey.,Pacific woodrush,native,S4,new 2019,,,,,,https://www.inaturalist.org/observations/25247925,Luzula comosa laxa,81080,https://static.inaturalist.org/photos/39085207/medium.jpeg?1558061713,
Luzula macrantha,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,,,,,new 2019,,,,,,https://www.inaturalist.org/observations/25247929,Luzula macrantha,890625,https://static.inaturalist.org/photos/39085254/medium.jpeg?1558061756,
Luzula multiflora s.lat.,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,,common woodrush,,,reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Luzula multiflora,164948,,reported by Harvey; taxon has been split up
Luzula parviflora,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Luzula,(Ehrh.) Desv.,small-flowered woodrush,native,S5 (2015),reported,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,Luzula parviflora,77897,,
