Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID
Desmarestia aculeata,,wiry acid weed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,,reported,unobserved,2/23/2008,Andy Lamb,PMLS,,,,,,,
Desmarestia herbacea,,,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,,new 2019,observed,,,,,5/4/2019,Katy Hind,https://www.inaturalist.org/observations/24521735,https://static.inaturalist.org/photos/37917726/medium.jpeg?1556989560,,345459
Desmarestia ligulata,(Stackhouse) J.V. Lamouroux,flat acid kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,unlisted,unlisted,reported,unobserved,5/27/1989,Andy Lamb,PMLS,,,,,,,328357
Desmarestia viridis,(O.F. Müller) J.V. Lamouroux,stringy acid kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,unlisted,unlisted,confirmed,observed,2/27/1993,Andy Lamb,PMLS,,5/4/2019,Katy Hind,https://www.inaturalist.org/observations/24523757,https://static.inaturalist.org/photos/37920624/medium.jpeg?1556991323,,182892
Analipus japonicus,,fir needle,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Chordariaceae,,,,reported,unobserved,5/24/1999,Andy Lamb,PMLS,,,,,,,
Elachista fucicola,,,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Chordariaceae,,,,new 2019,observed,,,,,5/4/2019,Katy Hind,https://www.inaturalist.org/observations/24521667,https://static.inaturalist.org/photos/37917638/medium.jpg?1556989491,,182866
Leathesia marina,(Lyngbye) Decaisne,sea cauliflower,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Chordariaceae,,unlisted,unlisted,reported,unobserved,6/13/1993,Andy Lamb,PMLS,,,,,,,502380
Soranthera ulvoidea,,studded sea balloon,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Chordariaceae,,,,new 2019,observed,,,,,5/4/2019,Katy Hind,https://www.inaturalist.org/observations/24524928,https://static.inaturalist.org/photos/37922302/medium.jpg?1556992470,,429866
Ralfsia fungiformis,,,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Ralfsiaceae,,,,confirmed,observed,10/9/1999,Andy Lamb,PMLS,,5/4/2019,Katy Hind,https://www.inaturalist.org/observations/24526452,https://static.inaturalist.org/photos/37924806/medium.jpg?1556993807,,465294
Cystoseira geminata,,northern bladder chain,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,Cystoseiraceae,,,,reported,unobserved,3/19/1995,Andy Lamb,PMLS,,,,,,,
