Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Observed,Observer,iNaturalist Link,iNaturalist photo,Notes,ID
Arthonia ilicina,Taylor,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Arthonia radiata,(Pers.) Ach.,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,native,unlisted,reported,unobserved,1974-06-19,Willa J. Noble,UBC,L12478,,,,,,
Chrysothrix candelaris,(L.) J.R. Laundon,gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,117938
Chrysothrix chlorina s.lat.,(Ach.) J.R. Laundon,sulphur dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,210537
Chrysothrix granulosa,G. Thor,cushioned gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,native,unlisted,confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336526,https://static.inaturalist.org/photos/19535489/medium.jpeg?1528727868,,203089
Opegrapha atra,,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Opegraphaceae,,,,new 2019,observed,,,,,3/5/2019,Andrew Simon,https://www.inaturalist.org/observations/20987797,https://static.inaturalist.org/photos/32412222/medium.jpeg?1551844079,,226466
Alyxoria varia,(Pers.) Ertz & Tehler,scribble lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Roccellaceae,,native,unlisted,confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336522,https://static.inaturalist.org/photos/19541967/medium.jpeg?1528735311,,226495
Lecanactis abietina,(Ehrh. ex Ach.) Körb.,old wood rim lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Roccellaceae,,native,unlisted,reported,unobserved,1914-05-25,John Macoun,UBC,L4344,,,,,,
Lichenostigma sp.,,,Fungi,Ascomycota,,,Dothideomycetes,,,incertae sedis,,,Lichenotheliaceae,,native,unlisted,new 2019,unobserved,2019-05-05,Juliet Pendray & James Holkko,Bioblitz 2019,,,,,,,
Arthopyrenia plumbea,?,crustose lichen,Fungi,Ascomycota,,,Dothideomycetes,,,Pleosporales,,,Arthopyreniaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Naetrocymbe punctiformis,(Schrank) R.C. Harris,,Fungi,Ascomycota,,,Dothideomycetes,Pleosporomycetidae,,Pleosporales,,,Naetrocymbaceae,,native,unlisted,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38221,,,,,Reported as Arthopyrenia punctiformis,
Collemopsidium foveolatum,(A.L. Sm.) F. Mohr,barnacle lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Pyrenulales,,,Xanthopyreniaceae,,native,unlisted,confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/9286374,https://static.inaturalist.org/photos/12587204/medium.jpeg?1514493080,,462769
Hypocenomyce castanocinerea,(Räsänen) Timdal,,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Umbilicariales,,,Ophioparmaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Hypocenomyce scalaris,(Ach.) M. Choisy,charcoal clamshell,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Umbilicariales,,,Ophioparmaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,117973
Ophioparma rubricosa,(Müll. Arg.) S. Ekman,epiphytic bloodspot,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Umbilicariales,,,Ophioparmaceae,,,,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Dermatocarpon miniatum,(L.) W.Mann,leather lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,S4 (2010),reported,unobserved,1974-06-17,Willa J. Noble,UBC,L10804,,,,,,154129
Dermatocarpon reticulatum,H.Magn.,sandpaper stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,S5 (2018),confirmed,observed,1974-06-19,Willa J. Noble,UBC,L10803,5/17/2019,Andrew Simon,https://www.inaturalist.org/observations/25648278,https://static.inaturalist.org/photos/39747606/medium.jpeg?1558655679,,218258
