key,latitude,longitude,iNaturalis,Corrected,Correction,Lat_new,Long_new
BCCSN:620,48.8682,-123.311,Orcinus orca,yes,location appears mostly accurate; moved offshore,48.8674241603659,-123.308995643872
CMN:CMNC 1982-0567,49.01,-123.58,Pentidotea wosnesenskii,yes,moved offshore Virago Point,49.0104044857045,-123.588028547018
CMN:CMNC 1982-0571,48.88,-123.32,Pentidotea wosnesenskii,yes,"location adjusted to precisely the area specified in CMN metadata; intertidal, west of Sturdies Bay ferry dock",48.877590777222,-123.316747038049
CMN:CMNC 1987-0202,48.88,-123.32,Gnorimosphaeroma oregonense,yes,"location adjusted to precisely the area specified in CMN metadata; intertidal, west of Sturdies Bay ferry dock",48.8775467160157,-123.316612033352
CMN:CMNC 1987-0215,48.88,-123.32,Gnorimosphaeroma oregonense,yes,"location adjusted to precisely the area specified in CMN metadata; intertidal, west of Sturdies Bay ferry dock",48.8775470396285,-123.316494149704
CMN:CMNC 2004-0232,48.88,-123.32,Gnathopleustes pachychaetus,yes,"location adjusted to precisely the area specified in CMN metadata; intertidal, west of Sturdies Bay ferry dock",48.8775357090229,-123.316747983297
CMN:CMNC 2004-3237,49.01,-123.58,Heptacarpus brevirostris,yes,moved offshore Virago Point,49.0105029347318,-123.587930440467
CMN:CMNC 2006-0611,49.01,-123.58,Desdimelita californica,yes,moved offshore Virago Point,49.0105343177844,-123.588178975096
CMN:CMNC 2007-0102,49.01,-123.58,Desdimelita microdentata,yes,moved offshore Virago Point,49.0105345707645,-123.588129345057
CMN:CMNFI 1985-0088.1,48.88,-123.33,Parophrys vetulus,yes,"location highly inaccurate; moved to adjacent offshore waters southwest of Galiano Island, as specified in CMN metadata",48.8666866460201,-123.387207467881
CMN:CMNFI 1985-0088.2,48.88,-123.33,Platichthys stellatus,yes,"location highly inaccurate; moved to adjacent offshore waters southwest of Galiano Island, as specified in CMN metadata",48.8656582098434,-123.386346871143
CMN:CMNFI 1985-0088.3,48.88,-123.33,Leptocottus armatus,yes,"location highly inaccurate; moved to adjacent offshore waters southwest of Galiano Island, as specified in CMN metadata",48.8660308437396,-123.387060296767
CMN:CMNFI 1985-0088.4,48.88,-123.33,Oligocottus maculosus,yes,"location highly inaccurate; moved to adjacent offshore waters southwest of Galiano Island, as specified in CMN metadata",48.8662216871129,-123.386066984953
CMN:CMNI 1989-0211,49.01,-123.58,Corella willmeriana,yes,moved offshore Virago Point,49.0104702869923,-123.587930056042
Gal-Salm:0,48.94204519,-123.500449,Oncorhynchus kisutch,no,record accurate; salmonid in stream,48.94204519,-123.500449
Gal-Salm:1,48.87841817,-123.350193,Oncorhynchus clarkii,no,location accurate; salmonid in stream,48.87841817,-123.350193
Gal-Salm:10,48.97868054,-123.557805,Gasterosteus aculeatus,no,location accurate; salmonid in stream,48.97868054,-123.557805
Gal-Salm:11,48.97876552,-123.55739,Gasterosteus aculeatus,no,location accurate; salmonid in stream,48.97876552,-123.55739
Gal-Salm:2,48.87839682,-123.350016,Oncorhynchus clarkii,no,location accurate; salmonid in stream,48.87839682,-123.350016
Gal-Salm:3,48.87851854,-123.35078,Oncorhynchus clarkii,no,location accurate; salmonid in stream,48.87851854,-123.35078
Gal-Salm:4,48.879003,-123.3546,Oncorhynchus clarkii,no,location accurate; salmonid in stream,48.879003,-123.3546
Gal-Salm:5,48.87901096,-123.35439,Oncorhynchus clarkii,no,location accurate; salmonid in stream,48.87901096,-123.35439
Gal-Salm:6,48.87905791,-123.35335,Oncorhynchus clarkii,no,location accurate; salmonid in stream,48.87905791,-123.35335
Gal-Salm:7,48.97432785,-123.559996,Oncorhynchus clarkii,no,location accurate; salmonid in stream,48.97432785,-123.559996
Gal-Salm:8,48.97661529,-123.558385,Gasterosteus aculeatus,no,location accurate; salmonid in stream,48.97661529,-123.558385
Gal-Salm:9,48.97679603,-123.558357,Gasterosteus aculeatus,no,location accurate; salmonid in stream,48.97679603,-123.558357
iNat:10714107,48.8606388889,-123.3604583333,Phoca vitulina richardii,yes,shunted to adjacent shoreline,48.8598249930584,-123.360452379085
iNat:10819152,49.0089448758,-123.5848290128,Dermasterias imbricata,yes,shunted to adjacent intertidal,49.0088819522613,-123.585312612113
iNat:10826346,48.8956796021,-123.4100323475,Dermasterias imbricata,yes,record appears mostly accurate; shunted into nearby intertidal on Grey Peninsula,48.8957581955505,-123.410541502775
iNat:11578309,48.8630533333,-123.373505,Cancer productus,yes,shunted to adjacent shoreline,48.8624537280712,-123.373710215128
iNat:12684290,48.9402414,-123.5043485,Pagurus beringanus,yes,shunted to adjacent waters in Retreat Cove,48.9398195070882,-123.504674519877
iNat:12684294,48.9407071879,-123.5046851635,Pycnopodia helianthoides,yes,shunted to adjacent waters in Retreat Cove,48.9412457277341,-123.504620720085
iNat:12744163,48.9408929968,-123.5044072864,Pisaster brevispinus,yes,shunted to adjacent waters in Retreat Cove,48.9411798521341,-123.504279157481
iNat:12970639,48.9405771681,-123.5033499606,Pisaster ochraceus,yes,shunted to adjacent waters in Retreat Cove,48.940819231143,-123.50329544831
iNat:12970650,48.940907091,-123.5040854213,Pholis laeta,yes,shunted to adjacent waters in Retreat Cove,48.9410915200483,-123.50393736969
iNat:12970653,48.9403728007,-123.5033070444,Gadus macrocephalus,yes,shunted to adjacent waters in Retreat Cove,48.9406020743904,-123.502884191382
iNat:12970657,48.9402107155,-123.5027598737,Oligocottus maculosus,yes,shunted to adjacent waters in Retreat Cove,48.9404513171577,-123.502695185351
iNat:13026269,48.9404319588,-123.5039213042,Crangon,yes,shunted to adjacent waters in Retreat Cove,48.9410368329453,-123.50360444405
iNat:13029356,48.9405447133,-123.5032990317,Pagurus granosimanus,yes,shunted to adjacent waters in Retreat Cove,48.940730041292,-123.503149670965
