Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name,Island,iNaturalist taxon name,iNaturalist taxon ID,Observation count
Acanthodoris hudsoni,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,Hudson's dorid,Saturna Island,Acanthodoris hudsoni,48447,1
Acanthodoris nanaimoensis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,Nanaimo nudibranch,Saturna Island,Acanthodoris nanaimoensis,47476,1
Aglaja ocelligera,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,,Aglaja,2019-05-05T09:39:00,egg mass only,Robertson II,48.81378,-123.2099,1,open,31,34,spotted aglajid,Saturna Island,Aglaja ocelligera,49842,1
Apostichopus californicus,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Synallactida,,,Stichopodidae,,,Apostichopus,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,giant sea cucumber,Saturna Island,Apostichopus californicus,202640,1
Artedius harringtoni,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,scalyhead sculpin,Saturna Island,Artedius harringtoni,117528,1
Balanophyllia elegans,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Dendrophylliidae,,,Balanophyllia,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,orange cup coral,Saturna Island,Balanophyllia elegans,51799,1
Balanus glandula/Balanus crenatus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,abundant,open,31,34,common acorn barnacles,Saturna Island,Balanus glandula,81610,1
Balanus nubilus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,some,open,31,34,giant acorn barnacle,Saturna Island,Balanus nubilus,49127,1
Callophyllis spp.,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Callophyllis,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,beautiful leaf seaweed,Saturna Island,Callophyllis,183048,1
Caulibugula californica,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Caulibugula,2019-05-05T09:39:00,on Neoagarum,Robertson II,48.81378,-123.2099,many,open,31,34,parasol bryozoan,Saturna Island,Caulibugula californica,802658,1
Clathromorphum etc.,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Clathromorphum,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,some,open,31,34,crustose corallines,Saturna Island,Clathromorphum,326286,1
Corella willmeriana,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,,Corella,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,transparent tunicate,Saturna Island,Corella willmeriana,447661,1
Costaria costata,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Costaria,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,seersucker kelp,Saturna Island,Costaria costata,125877,1
Crassadoma gigantea,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Crassadomini,Crassadoma,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,giant rock scallop,Saturna Island,Crassadoma gigantea,54526,1
Cucumaria miniata,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Cucumariidae,,,Cucumaria,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,many,open,31,34,red sea cucumber,Saturna Island,Cucumaria miniata,117695,1
Desmarestia ligulata,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,some,open,31,34,broad acid weed,Saturna Island,Desmarestia ligulata,328357,1
Didemnum carnulentum,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,Didemnum,2019-05-05T09:39:00,small patches,Robertson II,48.81378,-123.2099,some,open,31,34,Pacific white crust,Saturna Island,Didemnum carnulentum,344918,1
Didemnum/Trididemnum complex,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,,2019-05-05T09:39:00,small,Robertson II,48.81378,-123.2099,few,open,31,34,white glove leather,Saturna Island,Didemnidae,54931,1
Doris montereyensis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Dorididae,,,Doris,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,Monterey sea lemon,Saturna Island,Doris montereyensis,47469,1
Epizoanthus scotinus,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,Epizoanthidae,,,Epizoanthus,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,orange zoanthid,Saturna Island,Epizoanthus scotinus,429859,1
Eupentacta quinquesemita,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Dendrochirotida,,,Sclerodactylidae,,,Eupentacta,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,stiff-footed sea cucumber,Saturna Island,Eupentacta quinquesemita,51695,1
Evasterias troschelii,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Evasterias,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,mottled star,Saturna Island,Evasterias troschelii,84265,1
Flabellina trilineata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Flabellinidae,,,Orienthella,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,three-lined nudibranch,Saturna Island,Orienthella trilineata,764704,1
Halocynthia igaboja,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,Halocynthia,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,bristly tunicate,Saturna Island,Halocynthia igaboja,428524,1
Henricia leviuscula leviuscula,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,,Henricia,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,2,open,31,34,blood star,Saturna Island,Henricia leviuscula,47664,1
Heteropora pacifica,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,,Heteropora,2019-05-05T09:39:00,small colony,Robertson II,48.81378,-123.2099,1,open,31,34,northern staghorn bryozoan,Saturna Island,Heteropora pacifica,465163,1
Hexagrammos decagrammus,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,,Hexagrammos,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,kelp greenling,Saturna Island,Hexagrammos decagrammus,68596,1
Hildenbrandia spp.,Plantae,Rhodophyta,,,Florideophyceae,,,Hildenbrandiales,,,Hildenbrandiaceae,,,Hildenbrandia,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,many,open,31,34,red rock crust,Saturna Island,Hildenbrandia,68615,1
Hima mendica,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Nassariidae,,,Hima,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,western lean nassa,Saturna Island,Hima mendica,370749,1
Leucilla nuttingi,Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,Amphoriscidae,,,Leucilla,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,stalked vase sponge,Saturna Island,Leucilla nuttingi,117713,1
Lichenopora spp.,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Rectangulata,,Lichenoporidae,,,Lichenopora,2019-05-05T09:39:00,on kelp,Robertson II,48.81378,-123.2099,many,open,31,34,coral bryozoans,Saturna Island,Lichenopora,192676,1
Melibe leonina,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Dendronotoidea,Tethydidae,,,Melibe,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,hooded nudibranch,Saturna Island,Melibe leonina,48455,1
Membranipora serrilamella,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Malacostegina,Membraniporoidea,Membraniporidae,,,Membranipora,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,many,open,31,34,kelp-encrusting bryozoan,Saturna Island,Membranipora villosa,360867,1
Mesocentrotus franciscanus,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,,Strongylocentrotus,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,many,open,31,34,red sea urchin,Saturna Island,Strongylocentrotus franciscanus,49126,1
Metandrocarpa taylori,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,Metandrocarpa,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,few,open,31,34,orange social tunicate,Saturna Island,Metandrocarpa taylori,371195,1
Metridium farcimen,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,,Metridium,2019-05-05T09:39:00,tiny,Robertson II,48.81378,-123.2099,1,open,31,34,giant plumose anemone,Saturna Island,Metridium farcimen,51812,1
