Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name,Island,iNaturalist taxon name,iNaturalist taxon ID,Observation count
Abietinaria spp.,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Abietinaria,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,many,open,45,3,coarse sea fir hydroids,Pender Island,Abietinaria,55322,1
Aglaophenia spp.,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Aglaopheniidae,,,Aglaophenia,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,many,open,45,3,ostrich-plume hydroid,Pender Island,Aglaophenia,51218,1
Apostichopus californicus,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Synallactida,,,Stichopodidae,,,Apostichopus,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,few,open,45,3,giant sea cucumber,Pender Island,Apostichopus californicus,202640,1
Balanophyllia elegans,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Dendrophylliidae,,,Balanophyllia,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,some,open,45,3,orange cup coral,Pender Island,Balanophyllia elegans,51799,1
Balanus nubilus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,abundant,open,45,3,giant acorn barnacle,Pender Island,Balanus nubilus,49127,1
Boltenia villosa,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,Boltenia,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,1,open,45,3,hairy tunicate,Pender Island,Boltenia villosa,194568,1
Bugula californica,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Bugula,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,few,open,45,3,spiral bryozoan,Pender Island,Bugula californica,196131,1
Cadlina luteomarginata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Cadlinidae,,,Cadlina,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,1,open,45,3,yellow-rimmed nudibranch,Pender Island,Cadlina luteomarginata,50146,1
Calliostoma ligatum,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,Trochoidea,Calliostomatidae,,,Calliostoma,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,few,open,45,3,blue topsnail,Pender Island,Calliostoma ligatum,129920,1
Cancer oregonensis,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Glebocarcinus,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,many,open,45,3,pygmy rock crab,Pender Island,Glebocarcinus oregonensis,429951,1
