Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name,Island,iNaturalist taxon name,iNaturalist taxon ID,Observation count
Aglaophenia spp.,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Aglaopheniidae,,,Aglaophenia,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,many,open,45,29,ostrich-plume hydroid,Samuel Island,Aglaophenia,51218,1
Apostichopus californicus,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Synallactida,,,Stichopodidae,,,Apostichopus,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,giant sea cucumber,Samuel Island,Apostichopus californicus,202640,1
Balanophyllia elegans,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Dendrophylliidae,,,Balanophyllia,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,many,open,45,29,orange cup coral,Samuel Island,Balanophyllia elegans,51799,1
Balanus nubilus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,some,open,45,29,giant acorn barnacle,Samuel Island,Balanus nubilus,49127,1
Boltenia villosa,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,Boltenia,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,1,open,45,29,hairy tunicate,Samuel Island,Boltenia villosa,194568,1
Bugula californica,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Bugula,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,spiral bryozoan,Samuel Island,Bugula californica,196131,1
Cadlina luteomarginata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Cadlinidae,,,Cadlina,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,1,open,45,29,yellow-rimmed nudibranch,Samuel Island,Cadlina luteomarginata,50146,1
Cancer productus,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Cancer,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,red rock crab,Samuel Island,Cancer productus,47826,1
Ceratostoma foliatum,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,Ceratostoma,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,some,open,45,29,leafy hornmouth,Samuel Island,Ceratostoma foliatum,116687,1
Chone aurantiaca,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,Chone,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,1,open,45,29,orange feather-duster,Samuel Island,Chone aurantiaca,356415,1
Clathromorphum etc.,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Clathromorphum,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,many,open,45,29,crustose corallines,Samuel Island,Clathromorphum,326286,1
Cliona californiana,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,Clionaidae,,,Cliona,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,yellow boring sponge,Samuel Island,Cliona californiana,424811,1
Cnemidocarpa finmarkiensis,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,Cnemidocarpa,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,broadbase tunicate,Samuel Island,Cnemidocarpa finmarkiensis,47807,1
Crassadoma gigantea,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Crassadomini,Crassadoma,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,giant rock scallop,Samuel Island,Crassadoma gigantea,54526,1
Cryptobranchia concentrica,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,Lottioidea,Lepetidae,,,Cryptobranchia,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,1,open,45,29,ringed blind limpet,Samuel Island,Cryptobranchia concentrica,541593,1
Cyanea capillata,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Cyaneidae,,,Cyanea,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,1,open,45,29,lion's mane,Samuel Island,Cyanea capillata,69838,1
Dermasterias imbricata,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Asteropseidae,,,Dermasterias,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,2,open,45,29,leather star,Samuel Island,Dermasterias imbricata,63382,1
Desmarestia ligulata,Chromista,Ochrophyta,,,Phaeophyceae,,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,some,open,45,29,broad acid weed,Samuel Island,Desmarestia ligulata,328357,1
Didemnum carnulentum,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Didemnidae,,,Didemnum,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,some,open,45,29,Pacific white crust,Samuel Island,Didemnum carnulentum,344918,1
Dirona albolineata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Dironidae,,,Dirona,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,1,open,45,29,frosted nudibranch,Samuel Island,Dirona albolineata,47477,1
Distaplia occidentalis,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Holozoidae,,,Distaplia,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,abundant,open,45,29,mushroom compound tunicate,Samuel Island,Distaplia occidentalis,347339,1
Dodecaceria fewkesi,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Cirratulidae,,,Dodecaceria,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,very abundant,open,45,29,fringed filament-worm,Samuel Island,Dodecaceria fewkesi,192656,1
Epizoanthus scotinus,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,Epizoanthidae,,,Epizoanthus,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,few,open,45,29,orange zoanthid,Samuel Island,Epizoanthus scotinus,429859,1
Evasterias troschelii,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,Evasterias,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,some,open,45,29,mottled star,Samuel Island,Evasterias troschelii,84265,1
Flabellina trilineata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Flabellinidae,,,Orienthella,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,2,open,45,29,three-lined nudibranch,Samuel Island,Orienthella trilineata,764704,1
Heptacarpus tridens,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,2,open,45,29,threespine shrimp,Samuel Island,Heptacarpus tridens,459522,1
