Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name
Pandalus danae,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,coonstripe shrimp
Cancer productus,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,72,33,red rock crab
Cancer gracilis,2019-05-04T12:00:00,not sure if this should be graceful kelp crab,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,graceful crab
Pugettia producta,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,72,33,northern kelp crab
Balanus nubilus,2019-05-04T12:00:00,"this is there ""many""",Ballingall Islets Park,48.906568,-123.460574,very many,open,72,33,giant acorn barnacle
Evasterias troschelii,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,mottled star
Dermasterias imbricata,2019-05-04T12:00:00,"this is their ""many""",Ballingall Islets Park,48.906568,-123.460574,very many,open,72,33,leather star
Henricia leviuscula leviuscula,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,blood star
Pycnopodia helianthoides,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,72,33,sunflower star
Mesocentrotus franciscanus,2019-05-04T12:00:00,"this is their ""many""",Ballingall Islets Park,48.906568,-123.460574,very many,open,72,33,red sea urchin
Apostichopus californicus,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,giant sea cucumber
Cucumaria miniata,2019-05-04T12:00:00,"this is their ""many"" - assume their orange sea cuc is this one",Ballingall Islets Park,48.906568,-123.460574,very many,open,72,33,red sea cucumber
Rhinogobiops nicholsii,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,blackeye goby
Sebastes caurinus,2019-05-04T12:00:00,10-20cm,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,copper rockfish
Sebastes maliger,2019-05-04T12:00:00,10-20cm,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,quillback rockfish
Sebastes flavidus,2019-05-04T12:00:00,10-20cm,Ballingall Islets Park,48.906568,-123.460574,1,open,72,33,yellowtail rockfish
