Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name,Island,iNaturalist taxon name,iNaturalist taxon ID,Observation count
Abietinaria spp.,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Abietinaria,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,some,open,43,36,coarse sea fir hydroids,Mayne Island,Abietinaria,55322,1
Acanthodoris hudsoni,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,few,open,48,50,Hudson's dorid,Mayne Island,Acanthodoris hudsoni,48447,1
Acanthodoris nanaimoensis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Acanthodoris,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,1,open,27,28,Nanaimo nudibranch,Mayne Island,Acanthodoris nanaimoensis,47476,1
Adocia sp.,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Haplosclerida,,,Chalinidae,,,Adocia,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,few,open,35,30,pale orange carpet sponge,Mayne Island,Adocia,464717,2
Aglaja ocelligera,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,,Aglaja,2019-05-04T15:56:00,with eggs,Restricted island by Samuel Island,49.82885,-123.21502,2,open,35,30,spotted aglajid,Mayne Island,Aglaja ocelligera,49842,1
Apostichopus californicus,Animalia,Echinodermata,Echinozoa,,Holothuroidea,,,Synallactida,,,Stichopodidae,,,Apostichopus,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,giant sea cucumber,Mayne Island,Apostichopus californicus,202640,8
Artedius harringtoni,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,2019-05-04T12:00:00,,Campbell Bay,48.85833,-123.26833,very many,open,42,42,scalyhead sculpin,Mayne Island,Artedius harringtoni,117528,7
Ascidia paratropa,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,,Ascidia,2019-05-04T09:45:00,Andy - do you think this is correct or maybe Ciona?,Campbell Bay,48.85833,-123.26833,few,open,55,45,glassy tunicate,Mayne Island,Ascidia paratropa,415129,3
Aurelia labiata,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Ulmaridae,,,Aurelia,2019-05-05T12:00:00,,Bennett Bay,48.86167,-123.24667,few,open,60,60,moon jelly,Mayne Island,Aurelia labiata,130235,1
Balanophyllia elegans,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Dendrophylliidae,,,Balanophyllia,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,orange cup coral,Mayne Island,Balanophyllia elegans,51799,11
Balanus nubilus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,2019-05-04T12:00:00,,Walker Rock,48.92833,-123.50483,few,open,60,60,giant acorn barnacle,Mayne Island,Balanus nubilus,49127,5
Bathyagonus infraspinata,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Bathyagoninae,,Bathyagonus,2019-05-05T12:00:00,"???? logged as ""poacher - perhaps grey starsnout",Navy Bay,48.82909,-123.24254,few,open,60,60,spinycheek starsnout,Mayne Island,Bathyagonus infraspinatus,214884,1
Beroe spp.,Animalia,Ctenophora,,,Nuda,,,Beroida,,,Beroidae,,,Beroe,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,1,open,27,28,transluscent comb jelly,Mayne Island,Beroe,51507,1
Berthella californica,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Pleurobranchida,,Pleurobranchoidea,Pleurobranchidae,,,Berthella,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,1,open,27,28,California berthella,Mayne Island,Berthella californica,49902,1
Bolinopsis infundibulum,Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,Bolinopsidae,,,Bolinopsis,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,2,open,43,36,lobed sea gooseberry,Mayne Island,Bolinopsis infundibulum,492705,2
Boltenia villosa,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Pyuridae,,,Boltenia,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,1,open,35,30,hairy tunicate,Mayne Island,Boltenia villosa,194568,2
Bugula californica,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Bugula,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,few,open,48,50,spiral bryozoan,Mayne Island,Bugula californica,196131,2
Cadlina luteomarginata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidea,Cadlinidae,,,Cadlina,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,yellow-rimmed nudibranch,Mayne Island,Cadlina luteomarginata,50146,7
Callophyllis spp.,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,Callophyllis,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,3,open,27,28,beautiful leaf seaweed,Mayne Island,Callophyllis,183048,1
Cancer oregonensis,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Glebocarcinus,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,1,open,43,36,pygmy rock crab,Mayne Island,Glebocarcinus oregonensis,429951,2
Cancer productus,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Cancer,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,red rock crab,Mayne Island,Cancer productus,47826,9
Caryophyllia alaskensis,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Caryophylliidae,,,Caryophyllia,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,few,open,48,50,round tan cup coral,Mayne Island,Caryophyllia alaskensis,459907,1
Caulibugula californica,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Buguloidea,Bugulidae,,,Caulibugula,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,few,open,43,36,parasol bryozoan,Mayne Island,Caulibugula californica,802658,2
Ceratostoma foliatum,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Muricoidea,Muricidae,Ocenebrinae,,Ceratostoma,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,leafy hornmouth,Mayne Island,Ceratostoma foliatum,116687,9
Chlamys sp.,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Chlamydini,Chlamys,2019-05-04T12:39:00,small,St. John Point,48.81285,-123.22778,1,open,43,36,pink scallop,Mayne Island,Chlamys,84497,1
Citharichthys stigmaeus,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Pleuronectiformes,,,Paralichthyidae,,,Citharichthys,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,few,open,50,43,speckled sanddab,Mayne Island,Citharichthys stigmaeus,117542,2
Clathria pennata,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,,,Clathria,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,few,open,43,36,red velvety sponge 1,Mayne Island,Clathria pennata,63672,3
Clathromorphum etc.,Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,Corallinaceae,,,Clathromorphum,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,some,open,35,30,crustose corallines,Mayne Island,Clathromorphum,326286,2
Cliona californiana,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,Clionaidae,,,Cliona,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,yellow boring sponge,Mayne Island,Cliona californiana,424811,2
Cnemidocarpa finmarkiensis,Animalia,Chordata,Tunicata,,Ascidiacea,,,Stolidobranchia,,,Styelidae,,,Cnemidocarpa,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,few,open,55,45,broadbase tunicate,Mayne Island,Cnemidocarpa finmarkiensis,47807,5
Corella willmeriana,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Corellidae,,,Corella,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,1,open,43,36,transparent tunicate,Mayne Island,Corella willmeriana,447661,2
Costaria costata,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,,Costaria,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,1,open,48,50,seersucker kelp,Mayne Island,Costaria costata,125877,2
Crassadoma gigantea,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Crassadomini,Crassadoma,2019-05-04T12:00:00,,Walker Rock,48.92833,-123.50483,few,open,60,60,giant rock scallop,Mayne Island,Crassadoma gigantea,54526,2
Cryptobranchia concentrica,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,Lottioidea,Lepetidae,,,Cryptobranchia,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,1,open,43,36,ringed blind limpet,Mayne Island,Cryptobranchia concentrica,541593,1
Cryptochiton stelleri,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,Mopalioidea,Mopaliidae,,,Cryptochiton,2019-05-04T12:00:00,,Walker Rock,48.92833,-123.50483,few,open,60,60,giant Pacific chiton,Mayne Island,Cryptochiton stelleri,49053,5
