gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1898325006	34fbcf59-d9bb-47e7-9672-99e13ea8c736	ff6075f8-02ae-4140-9006-47577c1d0c51	Animalia	Arthropoda	Malacostraca	Decapoda	Cancridae	Glebocarcinus	Glebocarcinus oregonensis		SPECIES	Glebocarcinus oregonensis (Dana, 1852)	Glebocarcinus oregonensis (Dana, 1852)	(Dana, 1852)	CA		British Columbia	PRESENT	10	cc6110c7-f75c-47c8-8931-f7dd3f324777	48.865	-123.306667							1986-09-30T00:00:00	30	9	1986	5970328	5970328	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	986-00197-029		Gordon Green		CC_BY_4_0	Royal BC Museum				2020-12-15T19:07:36.789Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH
1898324901	34fbcf59-d9bb-47e7-9672-99e13ea8c736	ff1bd9e3-b533-479f-b15c-f6c9457c0552	Animalia	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Spirontocaris	Spirontocaris prionota		SPECIES	Spirontocaris prionota (Stimpson, 1864)	Spirontocaris prionota (Stimpson, 1864)	(Stimpson, 1864)	CA		British Columbia	PRESENT	3	cc6110c7-f75c-47c8-8931-f7dd3f324777	48.865	-123.306667							1986-09-30T00:00:00	30	9	1986	2226314	2226314	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	986-00197-023		Gordon Green		CC_BY_4_0	Royal BC Museum				2020-12-15T19:07:35.513Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH
1898324818	34fbcf59-d9bb-47e7-9672-99e13ea8c736	fee2dfee-6e2e-40fa-a58f-17480c07f21e	Animalia	Mollusca	Bivalvia	Venerida	Mactridae	Tresus	Tresus nuttallii		SPECIES	Tresus nuttallii (Conrad, 1837)	Tresus nuttallii (Conrad, 1837)	(Conrad, 1837)	CA	Porlier Pass: off south west corner of Valdes Island	British Columbia	PRESENT	2	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.016667	-123.583333					9.0	0.0	1958-09-05T00:00:00	5	9	1958	5188977	5188977	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	979-00317				CC_BY_4_0	Royal BC Museum	Ian McTaggart-Cowan			2020-12-15T19:07:35.666Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH
1898324435	34fbcf59-d9bb-47e7-9672-99e13ea8c736	fd6d0866-19ba-41aa-a544-79f7c31d36b7	Animalia	Mollusca	Bivalvia	Lucinida	Thyasiridae	Axinopsida			GENUS	Axinopsida Keen & Chavan, 1951	Axinopsida flexuosa		CA		British Columbia	PRESENT	2	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.016667	-123.583333					51.21	0.0	1961-06-22T00:00:00	22	6	1961	2287508		PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	979-03314				CC_BY_4_0	Royal BC Museum	Ian McTaggart-Cowan			2020-12-15T19:07:36.137Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH
1898323971	34fbcf59-d9bb-47e7-9672-99e13ea8c736	fb69890f-93e8-4a1e-b906-a336b16409ad	Animalia	Cnidaria	Anthozoa	Actiniaria	Metridiidae	Metridium	Metridium farcimen		SPECIES	Metridium farcimen (Brandt, 1835)	Metridium farcimen (Brandt, 1835)	(Brandt, 1835)	CA		British Columbia	PRESENT	12	cc6110c7-f75c-47c8-8931-f7dd3f324777	48.865	-123.306667							1986-09-30T00:00:00	30	9	1986	5183968	5183968	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	986-00197-008		Daphne Fautin		CC_BY_4_0	Royal BC Museum				2020-12-15T19:07:32.195Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH
1898323637	34fbcf59-d9bb-47e7-9672-99e13ea8c736	fa1bd97f-4582-4477-a41f-84666af09b1b	Animalia	Mollusca	Polyplacophora	Chitonida	Mopaliidae	Mopalia			GENUS	Mopalia Gray, 1847	Mopalia Gray, 1847	Gray, 1847	CA		British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	48.865	-123.306667							1986-09-30T00:00:00	30	9	1986	2306052		PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	986-00197-033				CC_BY_4_0	Royal BC Museum				2020-12-15T19:07:32.498Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH
1898323409	34fbcf59-d9bb-47e7-9672-99e13ea8c736	f93bc91c-9856-46f7-a81a-65aa879cd5a6	Animalia	Mollusca	Gastropoda	Cephalaspidea	Acteonidae	Rictaxis	Rictaxis punctocaelatus		SPECIES	Rictaxis punctocaelatus (Carpenter, 1864)	Rictaxis punctocaelatus (Carpenter, 1864)	(Carpenter, 1864)	CA		British Columbia	PRESENT	1	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.016667	-123.583333					51.21	0.0	1961-06-22T00:00:00	22	6	1961	2297993	2297993	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	979-03322				CC_BY_4_0	Royal BC Museum	Ian McTaggart-Cowan			2020-12-15T19:07:32.619Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH
1898323311	34fbcf59-d9bb-47e7-9672-99e13ea8c736	f8ebf88e-6e0a-4a6e-a888-5f837d5326b6	Animalia	Mollusca	Bivalvia	Nuculida	Nuculidae	Acila	Acila castrensis		SPECIES	Acila castrensis (Hinds, 1843)	Acila castrensis (Hinds, 1843)	(Hinds, 1843)	CA	Trincomali Channel: between Saltspring and Galiano Island	British Columbia	PRESENT	4	cc6110c7-f75c-47c8-8931-f7dd3f324777	48.866667	-123.391667					48.0		1961-05-13T00:00:00	13	5	1961	2285630	2285630	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	982-00207-002				CC_BY_4_0	Royal BC Museum	Dan Quayle			2020-12-15T19:07:32.657Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH
1898323195	34fbcf59-d9bb-47e7-9672-99e13ea8c736	f87c5304-3d7c-45d9-b4f6-43333302f7f1	Animalia	Mollusca	Gastropoda		Pyramidellidae	Odostomia			GENUS	Odostomia J.Fleming, 1813	Odostomia Fleming, 1813	Fleming, 1813	CA		British Columbia	PRESENT		cc6110c7-f75c-47c8-8931-f7dd3f324777	49.016667	-123.583333					51.21	0.0	1961-06-22T00:00:00	22	6	1961	5191789		PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	979-03329				CC_BY_4_0	Royal BC Museum	Ian McTaggart-Cowan			2020-12-15T19:07:32.891Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH
1898322906	34fbcf59-d9bb-47e7-9672-99e13ea8c736	f71ac1dd-a629-4903-b97c-bc4e5ba8b074	Animalia	Annelida	Polychaeta	Phyllodocida	Aphroditidae	Aphrodita	Aphrodita negligens		SPECIES	Aphrodita negligens Moore, 1905	Aphrodita negligens Moore, 1905	Moore, 1905	CA		British Columbia	PRESENT	1	cc6110c7-f75c-47c8-8931-f7dd3f324777	49.016667	-123.583333					22.86	4.57	1914-06-26T00:00:00	26	6	1914	5194831	5194831	PRESERVED_SPECIMEN	RBCM	Invertebrate Zoology	974-00265-001				CC_BY_4_0	Royal BC Museum				2020-12-15T19:07:28.823Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH
