CatalogueNumber,ItemName,ScientificName,Phylum,Class,Order,Family,Genus,Species,Subspecies,TaxonCode,Synonyms,Identifier,IDDate,CDC,Quantity,SpecimenNature,Collector,CollectionDate,FieldEventCode,DepthBelowSurface_Min,DepthBelowSurface_Max,DepthBelowSurface_Unit,Eco_GenHabitat,Terrestrial_Aquatic,HabitatGrossCover,HabitatRemarks,Substrate,Vegetation,Country,Prov_State,LocationName,LocationDescription,LocationRemarks,Latitude,Longitude,Approximate,UTMZone,UTMNorthing,UTMEasting,Elevation,Continent,District,WaterBody,MuseumCollection,CurrentLocation,SpecimenType,SpecimenNotes,ContainerType,Preservative,Fixative,Prefixative,PreparationNotes,PreparatorNotes,RegistrationNo,TSRNo,Cataloguer,CatalogueDate,LastModifiedBy,LastModifiedDate,Restriction
975-00224-003,Armina californica,Armina californica,Mollusca,Gastropoda,Nudibranchia,Arminidae,Armina,californica,,30-2-9-3(a),,,,,1,Wet, Philip Lambert,1975-06-17,L75-13,,40.0000,ft,,marine,,[Maximum Depth Below Surface: <40],mud,eelgrass,Canada,British Columbia,Galiano Island; Montague Harbour,north west side of Grey Peninsula,,48.9016666666667,-123.408333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
975-00224-004,Aglaja diomedea,Aglaja diomedea,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Aglaja,diomedea,,30-2-2-3,,,,,,Wet, Philip Lambert,1975-06-17,L75-13,,40.0000,ft,,marine,,[Maximum Depth Below Surface: <40],mud,eelgrass,Canada,British Columbia,Galiano Island; Montague Harbour,north west side of Grey Peninsula,,48.9016666666667,-123.408333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
975-00224-005,Antiopella,Antiopella,Mollusca,Gastropoda,Nudibranchia,Antiopellidae,Antiopella,,,,,,,,,, Philip Lambert,1975-06-17,L75-13,,40.0000,ft,,marine,,[Maximum Depth Below Surface: <40],mud,eelgrass,Canada,British Columbia,Galiano Island; Montague Harbour,north west side of Grey Peninsula,,48.9016666666667,-123.408333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
975-00224-006,Cumanotus fernaldi,Cumanotus fernaldi,Mollusca,Gastropoda,Nudibranchia,Eubranchidae,Cumanotus,fernaldi,,30-2-9-4(b),, Sandra Millen,1996-05-05,,1,Wet, Philip Lambert,1975-06-17,L75-13,,40.0000,ft,,marine,,[Maximum Depth Below Surface: <40],mud,eelgrass,Canada,British Columbia,Galiano Island; Montague Harbour,north west side of Grey Peninsula,,48.9016666666667,-123.408333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
975-00224-007,Diamphiodia periercta,Diamphiodia periercta,Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Diamphiodia,periercta,,39-1-4,, Philip Lambert,1979-06-01,,1,Wet, Philip Lambert,1975-06-17,L75-13,,40.0000,ft,,marine,,[Maximum Depth Below Surface: <40],mud,eelgrass,Canada,British Columbia,Galiano Island; Montague Harbour,north west side of Grey Peninsula,,48.9016666666667,-123.408333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1136,,,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
975-00224-008,,,Chordata,Thaliacea,,,,,,45-2,,,,,2,Wet, Philip Lambert,1975-06-17,L75-13,,40.0000,ft,,marine,,[Maximum Depth Below Surface: <40],mud,eelgrass,Canada,British Columbia,Galiano Island; Montague Harbour,north west side of Grey Peninsula,,48.9016666666667,-123.408333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1273,,,Jar,Isopropanol - 60%,,,,,,,,2004-04-08,,,
975-00227-001,Arctonoe fragilis,Arctonoe fragilis,Annelida,Polychaeta,Aciculata,Polynoidae,Arctonoe,fragilis,,17-3," Lepidonotus fragilis Baird, 1863",,,,1,Wet, T. Kessler,1975-06-18,L75-15,,40.0000,ft,,marine,,[Maximum Depth Below Surface: <40],rock; shell,,Canada,British Columbia,Sphinx Island,,,48.895,-123.431666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.202,,,Vial,Isopropanol - 60%,,,,,,,,2004-04-08,,,
975-00227-002,Arctonoe vittata,Arctonoe vittata,Annelida,Polychaeta,Aciculata,Polynoidae,Arctonoe,vittata,,17-3," Polynoe vittata Grube, 1955",,,,2,Wet, T. Kessler,1975-06-18,L75-15,,40.0000,ft,,marine,,[Maximum Depth Below Surface: <40],rock; shell,,Canada,British Columbia,Sphinx Island,,,48.895,-123.431666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.203,,,Vial,Isopropanol - 60%,,,,,,,,2004-04-08,,,
975-00227-003,Arctonoe pulchra,Arctonoe pulchra,Annelida,Polychaeta,Aciculata,Polynoidae,Arctonoe,pulchra,,17-3," Polynoe pulchra Johnson, 1897",,,,1,Wet, T. Kessler,1975-06-18,L75-15,,40.0000,ft,,marine,,[Maximum Depth Below Surface: <40],rock; shell,,Canada,British Columbia,Sphinx Island,,,48.895,-123.431666666667,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.202,,,Vial,Isopropanol - 60%,,,,,,,,2004-04-08,,,
976-01146-002,Photis brevipes,Photis brevipes,Arthropoda,Malacostraca,Amphipoda,Isaeidae,Photis,brevipes,,25-6-4-5-19-2,,,,,,Wet,,1961-06-22,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
