CatalogueNumber,ItemName,ScientificName,Phylum,Class,Order,Family,Genus,Species,Subspecies,TaxonCode,Synonyms,Identifier,IDDate,CDC,Quantity,SpecimenNature,Collector,CollectionDate,FieldEventCode,DepthBelowSurface_Min,DepthBelowSurface_Max,DepthBelowSurface_Unit,Eco_GenHabitat,Terrestrial_Aquatic,HabitatGrossCover,HabitatRemarks,Substrate,Vegetation,Country,Prov_State,LocationName,LocationDescription,LocationRemarks,Latitude,Longitude,Approximate,UTMZone,UTMNorthing,UTMEasting,Elevation,Continent,District,WaterBody,MuseumCollection,CurrentLocation,SpecimenType,SpecimenNotes,ContainerType,Preservative,Fixative,Prefixative,PreparationNotes,PreparatorNotes,RegistrationNo,TSRNo,Cataloguer,CatalogueDate,LastModifiedBy,LastModifiedDate,Restriction
976-01146-018,Ampelisca hancocki,Ampelisca hancocki,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,hancocki,,25-6-4-5-13-1,,,,,1,Wet,,1961-06-22,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
976-01146-019,Ampelisca unsocalae,Ampelisca unsocalae,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,unsocalae,,25-6-4-5-13-1,,,,,,Wet,,1961-06-22,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
976-01171-001,,,Cnidaria,,,,,,,4,,,,,1,Wet,,1948-06-05,,,,,,marine,,,,,Canada,British Columbia,Galiano Island; Retreat Cove,,,48.9333333333333,-123.5,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.48,,Small Medusa.,Jar,Isopropanol - 60%,,,,,,,,2004-04-08,,,
976-01171-002,,,Cnidaria,,,,,,,4,,,,,3,Wet,,1948-06-05,,,,,,marine,,,,,Canada,British Columbia,Galiano Island; Retreat Cove,,,48.9333333333333,-123.5,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.48,,Small Medusa.,Jar,Isopropanol - 60%,,,,,,,,2004-04-08,,,
976-01171-003,,,Cnidaria,,,,,,,4,,,,,3,Wet,,1948-06-01,,,,,,marine,,,,,Canada,British Columbia,Galiano Island; Retreat Cove,,,48.9333333333333,-123.5,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.48,,Two large and one small medusa.,Jar,Isopropanol - 60%,,,,,,,,2004-04-08,,,
976-01171-004,,,Cnidaria,Hydrozoa,,,,,,4-1, Leptolida,,,,4,Wet,,1948-06-05,,,,,,marine,,,,,Canada,British Columbia,Galiano Island; Retreat Cove,,,48.9333333333333,-123.5,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
976-01171-005,Hemigrapsus nudus,Hemigrapsus nudus,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,nudus,,25-6-11-13d,,,,,1,,,1948-06-05,,,,,,marine,,,,,Canada,British Columbia,Galiano Island; Retreat Cove,,,48.9333333333333,-123.5,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,Heidi Gartner,9/19/2019 1:28:09 PM,
976-01171-006,Plankton,,,,,,,,,,,,,,,Wet,,1948-06-05,,,,,,marine,,,,,Canada,British Columbia,Galiano Island; Retreat Cove,,,48.9333333333333,-123.5,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,Marine Plankton,,,,,,,,,,2004-04-08,Heidi Gartner,9/5/2019 3:45:52 PM,
976-01171-007,,,Cnidaria,,,,,,,4,,,,,,Wet,,1948-06-05,,,,,,marine,,,,,Canada,British Columbia,Galiano Island; Retreat Cove,,,48.9333333333333,-123.5,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
977-00454-001,Luidia foliolata,Luidia foliolata,Echinodermata,Asteroidea,Paxillosida,Luidiidae,Luidia,foliolata,,38-1-4," Petalaster foliolata (Grube, 1866)", Philip Lambert,1975-10-28,,3,Dry, Dan Quayle,1959-12-11,,,30.0000,fms,,marine,,,,,Canada,British Columbia,Trincomali Channel; Walker Rock,between Galiano and Saltspring Islands,,48.925,-123.495,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-DRY.38.2,,,Box,,,,"One specimen boxed with 976-01072-005, one specimen boxed with 976-01078-018",,,,,2004-04-08,,,
978-00056-001,Berryteuthis magister,Berryteuthis magister,Mollusca,Cephalopoda,Teuthida,Gonatidae,Berryteuthis,magister,,33-3-1-11," Gonatus magister Berry, 1913; Gonatus magister S. S. Berry, 1913; Gonatus septemdentatus Sasaki, 1915",,,,4,Wet, W. Barraclough,1965-01-29,,106.0700,106.0700,m,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1038b,,,,,,,,,,,,2004-04-08,,,
978-00057-001,Pandalus borealis,Pandalus borealis,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,borealis,,25-6-10-5,, Gordon Green,1978-03-07,,2,Wet, W. Barraclough,1956-01-29,Tow#38 FRB,,68.0000,fms,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.552,,,,,,,,,,,,2004-04-08,,,
978-00057-002,Berryteuthis magister,Berryteuthis magister,Mollusca,Cephalopoda,Teuthida,Gonatidae,Berryteuthis,magister,,33-3-1-11," Gonatus magister Berry, 1913; Gonatus magister S. S. Berry, 1913; Gonatus septemdentatus Sasaki, 1915",,,,2,Wet, W. Barraclough,1956-01-29,Tow#38 FRB,,68.0000,fms,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,,T.00.018.INVT-BIN.1038c,,,,,,,,,,,,2004-04-08,,,
979-00293,Diplodonta orbella,Diplodonta orbella,Mollusca,Bivalvia,Veneroida,Ungulinidae,Diplodonta,orbella,,32-4-1-8,,,,,2,Dry, Ian McTaggart-Cowan,1958-09-05,,9.0000,9.0000,m,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,dry,,,,,2004-04-08,,,
979-00294,Glycymeris subobsoleta,Glycymeris subobsoleta,Mollusca,Bivalvia,Arcoida,Glycymeridae,Glycymeris,subobsoleta,,32-3-1-3,,,,,8,Dry, Ian McTaggart-Cowan,1958-09-05,,9.0000,9.0000,m,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0166666666667,-123.583333333333,False,,,,,North America,Gulf Islands,Strait of Georgia,Cowan,T.00.018.INVT,,,,,,,dry,,,,,2004-04-08,,,
