iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name
Pectinariidae,194009,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebelliformia,,Pectinariidae,,,,,Pectinariidae
Bolinopsis microptera,1419827,Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,Bolinopsidae,,,Bolinopsis,microptera,Bolinopsis microptera
Xiphister atropurpureus,67360,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Stichaeidae,Xiphisterinae,,Xiphister,atropurpureus,Xiphister atropurpureus
Epigamia magna,628178,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Autolytinae,Autolytini,Epigamia,magna,Epigamia magna
Podocerus cristatus,60636,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Podoceridae,,,Podocerus,cristatus,Podocerus cristatus
Pholis ornata,62605,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Pholidae,Pholinae,,Pholis,ornata,Pholis ornata
Oncorhynchus gorbuscha,107570,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,gorbuscha,Oncorhynchus gorbuscha
Cadlina sylviaearleae,1119320,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Cadlina,sylviaearleae,Cadlina sylviaearleae
Tonicella lokii,50886,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,Mopalioidea,Tonicellidae,Tonicellinae,,Tonicella,lokii,Tonicella lokii
Halcampa crypta,196729,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Halcampidae,,,Halcampa,crypta,Halcampa crypta
Ismaila belciki,872210,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Copepoda,Podoplea,Cyclopoida,Ergasilida,,Splanchnotrophidae,,,Ismaila,belciki,Ismaila belciki
Thaliacea,51104,Animalia,Chordata,Tunicata,,Thaliacea,,,,,,,,,,,Thaliacea
Glyceridae,67315,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Glyceriformia,,Glyceridae,,,,,Glyceridae
