iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,area,HJ_comment,FPNW_note,critical_comments,reviewed,id
Adenocaulon bicolor,56854,Acmispon parviflorus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Mutisioideae,Mutisieae,Adenocaulon,bicolor,saanich,"Open, grassy slopes and sandy flats; very common in suitable habitats throughout.",,,"AS, HR, TL",COMP-Saanich:13
Adiantum aleuticum,52667,Aconitum columbianum,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Vittarioideae,,Adiantum,aleuticum,saanich,Reported by M. C. Melburn from Victoria in 1953; out of its range and most likely planted. No coast records.,,,TL,COMP-Saanich:14
Aesculus hippocastanum,84298,Actaea rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Aesculus,hippocastanum,saanich,Moist woods and streambanks; sporadic in the Saanich and Highland wooded areas.,,,,COMP-Saanich:15
Agoseris grandiflora leptophylla,80332,Adenocaulon bicolor,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Agoseris,grandiflora,saanich,"Moist, shady woods; common throughout.",,,AS,COMP-Saanich:16
Agoseris heterophylla,56856,Adiantum aleuticum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Agoseris,heterophylla,saanich,"Shady places in damp soil, rich in humus; occasional in suitable habitat; represented by var. aleuticum Rupr.",,,AS,COMP-Saanich:17
Agrostemma githago,75310,Aegopodium podagraria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Agrostemma,githago,saanich,Zimmerman Mt Douglas Park iNaturalist observation 2020. Appears to be naturalized. Several other inaturalist observations for Victoria and Oak Bay. Several Vancouver herbarium records.,,,"HR, TL",COMP-Saanich:18
Agrostis capillaris,75312,Agoseris glauca var. glauca,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Agrostis,capillaris,saanich,"Check at V. CPNWH no area records, CDC explorer no area records.",,,,COMP-Saanich:19
Agrostis exarata,59088,Agoseris grandiflora var. leptophylla,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Agrostis,exarata,saanich,"Eastham Thetis Lake 1941, A&OC View Royal waterfront 1976, RTO Wesley Hill, Royal Oak 1988, A&OC Oldfield Road 1976, A&OC Mt Douglas 1976. Apparently overlooked in original publication.",,,"AS, HR, TL",COMP-Saanich:20
Agrostis gigantea,75314,Agoseris heterophylla,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Agrostis,gigantea,saanich,"Dry, open grassy places; locally abundant; Victoria, Saanich, Langford, and the Highland district.",,,"AS, HR, TL",COMP-Saanich:21
Agrostis microphylla,60277,Agropyron cristatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Agrostis,microphylla,saanich,Foster Central Saanich 1939. Persisting?,,,TL,COMP-Saanich:22
Agrostis pallens,52692,Agrostemma githago,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Agrostis,pallens,saanich,Native of Europe; occasional; weed of cultivated grain fields. On Lomer & Penny's non-established list.,,,TL,COMP-Saanich:23
