iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,area,HJ_comment,FPNW_note,critical_comments,reviewed,id
Scutellaria galericulata,79016,Phleum pratense,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Scutellarioideae,,Scutellaria,galericulata,saanich,Native of Europe; open grassy fields; common throughout.,,,,COMP-Saanich:872
Secale cereale,79021,Phragmites australis ssp. australis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Secale,cereale,saanich,Cosmopolitan; rare; known only from Elk Lake where it was collected by J. Macoun in 1914. Now?,,,,COMP-Saanich:873
Securigera varia,127186,Phyllospadix scouleri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Loteae,Securigera,varia,saanich,"On rocks submerged at least at lowest tide; beach at Beacon Hill, Harling Point, and Sidney.",,,,COMP-Saanich:874
Sedum acre,55734,Phyllospadix serrulatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,acre,saanich,Many collections Victoria TCB,,,,COMP-Saanich:875
Sedum album,79025,Physocarpus capitatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,album,saanich,"Moist woods, streambanks and lake margins; common throughout.",,,,COMP-Saanich:876
Sedum divergens,61155,Picea sitchensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,divergens,saanich,"Rare; sizeable trees known from Lost and Blenkinsop Lakes, Highland district, and the Sidney area. It is occasionally used as an ornamental, but on the peninsula it is especially susceptible to defoliation by red spider and to malformation by spruce gall. HLR reports previously abundant in wetlands now Mitchel Farms",,,,COMP-Saanich:877
Sedum lanceolatum,79026,Pinus contorta var. contorta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,lanceolatum,saanich,"Swamps and rocky places; Oak Bay, Lost Lake, Royal Oak, Sidney, and Langford areas; not very common.",,,,COMP-Saanich:878
Sedum oreganum,79030,Pinus monticola,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,oreganum,saanich,Rare; restricted to the Saanichton and Sidney areas; recorded from Victoria in 1937 by V. E. L. Goddard; strongly susceptible to white pine blister rust.,,,,COMP-Saanich:879
Sedum spathulifolium,58886,Plagiobothrys chorisianus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,spathulifolium,saanich,No records north of California found.,not in FPNW2,,,COMP-Saanich:880
Sedum stenopetalum,79033,Plagiobothrys cusickii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,stenopetalum,saanich,"Davidson Victoria footpath 1913. Annotated Matt Guilliams UBC, 2018. Recheck V vouchers. MCM Duncan 1965.",,,,COMP-Saanich:881
Selaginella densa,136990,Plagiobothrys figuratus,Plantae,Tracheophyta,,,Lycopodiopsida,,,Selaginellales,,,,Selaginellaceae,,,Selaginella,densa,saanich,"Open, moist lowlands; known mainly from Saanich, being most abundant near Lost Lake and Sidney. Often misidentified and confused with Plagiobothrys scouleri (H. & A.) Johnst. which is superficially similar. (Allocarya figurata Piper) No recent collections.",,,,COMP-Saanich:882
Selaginella wallacei,63875,Plagiobothrys scouleri,Plantae,Tracheophyta,,,Lycopodiopsida,,,Selaginellales,,,,Selaginellaceae,,,Selaginella,wallacei,saanich,"Moist, open ground; the most common Plagiobothrys in the area; abundant in the Victoria and Oak Bay areas.",,,,COMP-Saanich:883
Senecio sylvaticus,53210,Plagiobothrys tenellus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,sylvaticus,saanich,"Dry, open places; known from Victoria West, Mount Douglas, Lone Tree Hill and the Sidney areas; now possibly extirpated.",,,,COMP-Saanich:884
Senecio vulgaris,53211,Plantago coronopus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,vulgaris,saanich,"Starzomski iNaturalist observation Great Chain Island 2021. Appears well established. McGhee Trafalgar Park, Oak Bay iNaturalist observation 2021. Only herbarium record nearby MCM Ladysmith 1965.",,,,COMP-Saanich:885
Setaria pumila,48688,Plantago elongata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Paniceae,Setaria,pumila,saanich,"ocky places along the Coast; common at Victoria, Ten Mile Point, Telegraph Bay, and Sidney; locally very abundant.",,,,COMP-Saanich:886
Setaria viridis,79070,Plantago lanceolata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Panicoideae,Paniceae,Setaria,viridis,saanich,Native of Europe; an abundant weed in lawns and waste ground throughout.,,,,COMP-Saanich:887
Shepherdia canadensis,79072,Plantago major,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Elaeagnaceae,,,Shepherdia,canadensis,saanich,"Native of Europe; a weed of roadsides, lawns, and other disturbed sites; locally very abundant.",,,,COMP-Saanich:888
Sherardia arvensis,47691,Plantago maritima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Rubiaceae,Rubioideae,Rubieae,Sherardia,arvensis,saanich,"Banks, cliffs, and salt marshes; common along the Coast.",,,,COMP-Saanich:889
Sidalcea hendersonii,168942,Platanthera dilatata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,,Malvaceae,Malvoideae,Malveae,Sidalcea,hendersonii,saanich,"Swampy and wet meadows; Beaver Lake, Goldstream, and the Highland district; not collected recently; var. leucostachys (Lindl.) Ames, is known from Esquimalt, Goldstream, and the Highland district, where it is locally quite abundant.",,,,COMP-Saanich:890
Silene antirrhina,58780,Platanthera elegans ssp. elegans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,antirrhina,saanich,"Recheck V voucher for Habenaria unalaschensis v. maritima there Trial Island, Uplands Park. HLR Mill Hill report in BEN344.",,,,COMP-Saanich:891
Silene gallica,53212,Platanthera elongata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,gallica,saanich,"TCB Discovery Island 1991, Prudek Ten Mile Point 1989, A&OC Butchart Gardens 1999.",,,,COMP-Saanich:892
Silene latifolia,79109,Platanthera huronensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,latifolia,saanich,Swamp and wet meadows; sporadic throughout. Check V vouchers comp P. huronensis vs. P. aquilonis,,,,COMP-Saanich:893
Silene menziesii,79111,Platanthera orbiculata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,menziesii,saanich,"Very rare; our only record is from Thetis Lake, where it was collected by H. Toms in 1929.",,,,COMP-Saanich:894
Silene scouleri,59789,Platanthera stricta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,scouleri,saanich,"Rare; known only from Goldstream, where it was collected by G. A. Hardy in 1924. No voucher at V.",,,,COMP-Saanich:895
Silene vulgaris,55721,Platanthera transversa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Caryophylloideae,Sileneae,Silene,vulgaris,saanich,A&OC and others many collections throughout.,,,,COMP-Saanich:896
Sinapis arvensis,53264,Platanthera unalascensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Brassiceae,Sinapis,arvensis,saanich,"Grassy, open places, dry coniferous forests, chaparral; occasional throughout; most abundant in the Highland district.",,,,COMP-Saanich:897
Sisymbrium altissimum,56996,Plectritis brachystemon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Sisymbrieae,Sisymbrium,altissimum,saanich,1912 Admirals Rd collection at V.,,,,COMP-Saanich:898
Sisymbrium officinale,53266,Plectritis congesta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Sisymbrieae,Sisymbrium,officinale,saanich,"Open, exposed slopes in rocky outcrops; common throughout in suitable habitats.",,,,COMP-Saanich:899
Sisyrinchium californicum,60550,Plectritis macrocera,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Iridoideae,Sisyrinchieae,Sisyrinchium,californicum,saanich,"Moist, open places and streambanks; Victoria, Beaver Lake, Thetis Lake Park, Highlands, Goldstream, and Mount Finlayson.",,,,COMP-Saanich:900
Sisyrinchium idahoense,79129,Pleuropogon refractus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Iridoideae,Sisyrinchieae,Sisyrinchium,idahoense,saanich,"HLR Saanich , Alder seepage with Cinna latifolia. Voucher at UVIC? K&J Miskelly Wallace Drive 2011.",,,,COMP-Saanich:901
Sium suave,79131,Poa annua,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Oenantheae,Sium,suave,saanich,"Native of Europe; widely introduced and well established, an annual weed of lawns and roadsides; very common throughout.",,,,COMP-Saanich:902
Solanum dulcamara,55620,Poa bulbosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,dulcamara,saanich,"Native of Europe; open grassy places; abundant in Victoria, Uplands, and Thetis Lake Park.",,,,COMP-Saanich:903
Solanum nigrum,1351686,Poa compressa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,nigrum,saanich,"Native of Europe; open ground, meadows, and waste places; cultivated for pasture and an escapee in the Saanich area.",,,,COMP-Saanich:904
Solanum physalifolium nitidibaccatum,81374,Poa confinis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,physalifolium,saanich,Sand dunes and sandy soil meadows; sporadic at Saanichton Spit. HJ Sidney Spit June 1982.,,,,COMP-Saanich:905
Solanum rostratum,62642,Poa glauca ssp. rupicola,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,rostratum,saanich,"Rocky open places; sporadic; Oak Bay, Saanich, and Sidney. No vouchers for peninsula found at V.",,,,COMP-Saanich:906
Solanum triflorum,79144,Poa howellii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,triflorum,saanich,"Shady forest roadsides, logging roads. HJ Sidney. HLR Mt. Newton X-Road.",,,,COMP-Saanich:907
Solidago lepida lepida,333642,Poa infirma,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Solidago,lepida,saanich,"Baxter inner harbour, raised concrete gravel bed with concrete planters, parking lot behind 1104 Wharf St 2006., FL same 2014, TCB Trial Island 1974.",,,,COMP-Saanich:908
Solidago simplex simplex,238582,Poa macrantha,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Solidago,simplex,saanich,Sand dunes along the coast; Victoria and Saanichton Spit. No vouchers found at V.,,,,COMP-Saanich:909
Soliva sessilis,60150,Poa nemoralis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Soliva,sessilis,saanich,"Native of Europe; rare; known only from a wooded area in the Gorge, where it was collected by J. W. Eastham in 1939. HLR Mt Douglas.",,,,COMP-Saanich:910
Sonchus arvensis uliginosus,80220,Poa palustris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,arvensis,saanich,"Open ground; occasional in the Oak Bay, Cadboro Bay, and Swan Lake areas. Macoun Sidney 1912.",,,,COMP-Saanich:911
Sonchus asper,53269,Poa pratensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,asper,saanich,Native of Europe; well established in open woods and meadows throughout.,,,,COMP-Saanich:912
Sonchus oleraceus,53294,Poa secunda ssp. secunda,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,oleraceus,saanich,Many collections for peninsula; All collections at V re-identified by LEP as P. scabrella; P. secunda ssp secunda/ P.sandbergii. Check current ids at V for peninsula.,,,,COMP-Saanich:913
Sorbaria kirilowii,363705,Poa trivialis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Sorbarieae,Sorbaria,kirilowii,saanich,"Harrison Central Saanich, Observatory Hill 1967, Macoun Sidney 1912. Newcombe Swan Lake 1917.",,,,COMP-Saanich:914
Sorbus aucuparia,56063,Podagrostis aequivalvis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Sorbus,aucuparia,saanich,No Saanich records V or CDC Explorer.,,,,COMP-Saanich:915
Hedlundia hybrida,1277875,Podagrostis thurberiana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Hedlundia,hybrida,saanich,"Rare; known only from the Uplands, where it was collected by M. C. Melburn in 1956. No additional records found.",,,,COMP-Saanich:916
Sparganium angustifolium,79161,Polemonium micranthum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Typhaceae,,,Sparganium,angustifolium,saanich,Listed in Henry's Flora as occurring in Victoria; no vouchers found.,,,,COMP-Saanich:917
Sparganium emersum,62575,Polycarpon tetraphyllum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Typhaceae,,,Sparganium,emersum,saanich,"Rocky outcrop on beach, McNeil Bay Harrison 1967. FL near Oak Bay Marina 2009.",,,,COMP-Saanich:918
Sparganium eurycarpum,63348,Polygonum aviculare,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Typhaceae,,,Sparganium,eurycarpum,saanich,"Open, waste places, hard-packed soil and disturbed cultivated land; a common and aggressive weed throughout; 4 separable subspecies in area. Marr has P. a. depressum = P. arenastrum from Sidney 2007, TCB and Newcomb collections James Bay.",,,,COMP-Saanich:919
Spergula arvensis,57005,Polygonum douglasii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Sperguleae,Spergula,arvensis,saanich,RTO 1980 report from D'Arcy and Little D'Arcy Islands. HLR Mt Work 1996,,,,COMP-Saanich:920
Spergularia canadensis occidentalis,81378,Polygonum fowleri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Sperguleae,Spergularia,canadensis,saanich,"Around coastal salt marshes, occasional on beaches; collected at the Outer Wharf in Victoria by J. Macoun in 1913;",,,,COMP-Saanich:921
Spergularia diandra,169159,Polygonum paronychia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Sperguleae,Spergularia,diandra,saanich,"Sandy dunes and beaches only; locally abundant in suitable habitat. James Island. Several iNaturalist records James Island, Cordova Spit, Trial Islands and Island View Beach.",,,,COMP-Saanich:922
Spergularia macrotheca,61472,Polygonum spergulariiforme,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Sperguleae,Spergularia,macrotheca,saanich,On gravelly or sandy soil; occasional throughout.,,,,COMP-Saanich:923
Spergularia rubra,55730,Polypodium glycyrrhiza,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Sperguleae,Spergularia,rubra,saanich,"Slopes, mossy rocks, tree trunks; common throughout; a very variable species, broken up into a number of taxa by some authors; var. occidentale Hook. is most common in our area.",,,,COMP-Saanich:924
Spergularia marina,79169,Polypodium hesperium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Sperguleae,Spergularia,marina,saanich,TCB Trial Island and Griffen Island 1992. Hybrid between P. amorphum and P. glycyrrhiza.,,,,COMP-Saanich:925
Spiraea douglasii,62493,Polypogon interruptus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Spiraeeae,Spiraea,douglasii,saanich,"Native of Europe; rare; known only from the salt marshes at Sidney, where it was collected by J. Macoun in 1914.",,,,COMP-Saanich:926
Spiranthes romanzoffiana,50743,Polypogon monspeliensis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Orchidoideae,Cranichideae,Spiranthes,romanzoffiana,saanich,"Native of Europe; sloughs; frequent; Victoria, Cadboro Bay, Island View Beach, Sidney, and Esquimalt Lagoon.",,,,COMP-Saanich:927
Spirodela polyrhiza,57867,Polypogon viridis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Spirodela,polyrhiza,saanich,No records found V or CDC Explorer.,,,,COMP-Saanich:928
Stachys chamissonis cooleyae,52627,Polystichum imbricans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Stachydeae,Stachys,chamissonis,saanich,AFS and TCB have P.imbricans from Happy Valley just outside area. AC Langford 2010. Several iNaturalist observations for Peninsula,,,,COMP-Saanich:929
Stachys mexicana,79191,Polystichum munitum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Stachydeae,Stachys,mexicana,saanich,"Shady, moist woods, wooded hillsides, open wet forests; widespread and very common in suitable habitats.",,,,COMP-Saanich:930
Populus alba,47570,Populus alba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Salicaceae,,,Populus,alba,saanich,Native of Eurasia; frequently planted and an occasional escapee from cultivation. On Lomer & Penny's non-established list.,,,,COMP-Saanich:931
Stellaria borealis sitchana,60996,Populus canescens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,borealis,saanich,Native of Eurasia; planted as an ornamental tree and a frequent escapee from cultivation; often forming groups of many trees by vegetative spread.,,,,COMP-Saanich:932
Stellaria crispa,79201,Populus tremuloides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,crispa,saanich,"Common throughout the area; because of its attractive habit, frequently introduced to many gardens.",,Populus tremuloides var. vancouveriana? AS,AS,COMP-Saanich:933
Stellaria graminea,61948,Populus trichocarpa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,graminea,saanich,"Along streams, lakeshores, and wet places; occasional throughout.",,,,COMP-Saanich:934
Stellaria longipes,79203,Portulaca oleracea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Alsineae,Stellaria,longipes,saanich,Weedy; sparingly established in cultivated areas. Marr Central Saanich 2007.,,,,COMP-Saanich:935
Stellaria media,1087592,Potamogeton amplifolius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,media,saanich,Shallow waters; restricted to lakes in the Highland district; recently relocated by T. C. Brayshaw at Elk Lake.,,,,COMP-Saanich:936
Stellaria nitens,57007,Potamogeton berchtoldii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,Alsinoideae,Alsineae,Stellaria,nitens,saanich,Many collections throughout peninsula. Same habitat as P. pusillus. Plants previously identified as P. pusillus var. tenuissimus belong here.,,,,COMP-Saanich:937
Stellaria apetala,867483,Potamogeton foliosus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Alsineae,Stellaria,media,saanich,"TCB 1992 single collection, Elk Lake, Saanich.",,,,COMP-Saanich:938
Struthiopteris spicant,774894,Potamogeton friesii,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Blechnaceae,,,Struthiopteris,spicant,saanich,Check for colls. at V. TCB reports Elk Lake. Possibly hybrid P. fresii x zosteraformis. AC Second Lake 1971. Durrance lake PDW 1977.,,,,COMP-Saanich:939
Stuckenia filiformis,79275,Potamogeton gramineus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Potamogetonaceae,,,Stuckenia,filiformis,saanich,"Native to Europe and North America; in standing water; rare; collected at Pike Lake, Highland district, by M. C. Melburn in 1964. Melburne voucher not located. In Thetis Lake Park list. Osmond-Jones Teanook Lake 1976.",,"""Potamogeton gramineus - Note says native to Europe, which is true, but it is also a native to N.A. including BC"" FL",FL,COMP-Saanich:940
Stuckenia pectinata,64239,Potamogeton natans,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Potamogetonaceae,,,Stuckenia,pectinata,saanich,Shallow standing waters and lakes throughout.,,,,COMP-Saanich:941
Symphoricarpos albus,48523,Potamogeton obtusifolius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Symphoricarpos,albus,saanich,Durrance Lake and Second Lake in Highlands. Harcombe and Warrington collections at V,,,,COMP-Saanich:942
Symphoricarpos mollis hesperius,778403,Potamogeton praelongus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Symphoricarpos,mollis,saanich,"Deep water of lakes; known only from Beaver Lake where it was collected by J. Macoun in 1908 and 1913. Since collected from Thetis and Langford Lakes TCB. AC Elk Lake 1971, Heal Lake 1991. Fletcher Florence Lae 2019.",,,,COMP-Saanich:943
Symphyotrichum boreale,169452,Potamogeton pusillus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,boreale,saanich,"Lakes and ponds; Beaver, Elk, and the lakes in the Highland district; locally common. P. pusillus var. tenuissimus now considered P. berchtoldii.",,,,COMP-Saanich:944
Symphyotrichum bracteolatum,79295,Potamogeton richardsonii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,bracteolatum,saanich,Elk Lake TCB,,,,COMP-Saanich:945
Symphyotrichum chilense,56861,Potamogeton robbinsii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,chilense,saanich,"Lakes and slow streams; Beaver, Elk, and Pike Lakes.",,,,COMP-Saanich:946
Symphyotrichum spathulatum,79302,Potamogeton zosteriformis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,spathulatum,saanich,"Lakes and slow streams; Beaver, Elk, and Langford Lakes; sporadic.",,,,COMP-Saanich:947
Symphyotrichum subspicatum,79303,Potentilla anserina ssp. pacifica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,subspicatum,saanich,"Mud flats, wet meadowland, margins of ponds and streams; check vouchers for ssp.",,,,COMP-Saanich:948
Symphytum officinale,1247945,Potentilla gracilis var. gracilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Symphytum,officinale,saanich,"Grassland and open, wooded areas; widely distributed throughout, occasional.",,,,COMP-Saanich:949
Symphytum × uplandicum,181924,Potentilla norvegica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Symphytum,officinale,saanich,Thickets and open woodlands; occasional; Victoria and the Highland district. TCB Glen Lake 1989. Bennet Mount Joy Road 2017.,,,,COMP-Saanich:950
Tanacetum balsamita,181875,Potentilla reptans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Tanacetum,balsamita,saanich,"FL 2014 Cedar Hill Park and Golf Course, Habitat: Little pond surrounded by boulders at margin of golf course, north of paved pathway; growing with Typha latifolia, Leontodon saxatilis, Elymus repens Description: abundant and dominant, covering the rocks and creeping into the surrounding lawn; past flowering, possibly planted, but invasive at site.",,,,COMP-Saanich:951
Tanacetum parthenium,54520,Potentilla rivalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Tanacetum,parthenium,saanich,"Wet, grassy places; rare; known only from Thetis Lake Park and Goldstream. No peninsula vouchers found. HJ Somenos Lake 1996.",,,,COMP-Saanich:952
Tanacetum vulgare,55971,Poteridium annuum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Tanacetum,vulgare,saanich,"Reported by M. C. Melburn from Thetis Park. A&OC Thetis lake 1977, FL Goldstream gravel path 1992.",,,,COMP-Saanich:953
Taraxacum erythrospermum,79317,Poterium sanguisorba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Taraxacum,erythrospermum,saanich,Native of Europe; waste places and grassy flats; occasional throughout.,,,,COMP-Saanich:954
Taraxacum officinale,47602,Prosartes hookeri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Taraxacum,officinale,saanich,"Shaded woods; on soil rich in humus; occasional in Uplands, Sidney, and Thetis Lake Park. Langford Kojima 1968, Mt Douglas Park Krajina 1950.",,,,COMP-Saanich:955
Taxus brevifolia,55209,Prosartes trachycarpa,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Taxaceae,,,Taxus,brevifolia,saanich,Wooded areas; rare; Gordon Head. CDC Explorer no coast collections.,,,,COMP-Saanich:956
Teesdalia nudicaulis,79325,Prunella vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Iberideae,Teesdalia,nudicaulis,saanich,Native of Europe; very common in lawns and waste places throughout the area. Does anyone care about vars?,,,,COMP-Saanich:957
