Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,authority
Apocynaceae,Apocynum androsaemifolium L.,,Open,2,,,,,,Apocynum androsaemifolium,L.
Apocynaceae,Vinca major L.*,,Forest,5,,,,,,Vinca major,L.*
Apocynaceae,Vinca minor L.*,,Forest,1,,,,,,Vinca minor,L.*
Aquifoliaceae,Ilex aquifolium L.*,,Open,24,,,,,,Ilex aquifolium,L.*
Araceae,Arum italicum Mill.*,,Forest,3,,,,,,Arum italicum,Mill.*
Araceae,Lemna minor L.,,Wetland,2,,,,,,Lemna minor,L.
Araceae,Lemna trisulca L.,,Wetland,3,,,,,,Lemna trisulca,L.
Araceae,Lemna turionifera Landolt,,Wetland,8,,,,,,Lemna turionifera,Landolt
Araceae,Lysichiton americanus Hulten & H. St. John,,Wetland,5,,,,,,Lysichiton americanus,Hulten & H. St. John
Araceae,Spirodela polyrhiza (L.) Schleid.,,Wetland,3,,,,,,Spirodela polyrhiza,(L.) Schleid.
Araceae,"Wolffia borealis (Engelm.) Landolt & Wildi ex Gandhi, Wiersema & Brouillet",,Wetland,2,,,,,,Wolffia borealis,"(Engelm.) Landolt & Wildi ex Gandhi, Wiersema & Brouillet"
Araceae,Wolffia columbiana H. Karsten,,Wetland,2,,,,,,Wolffia columbiana,H. Karsten
Araliaceae,Hedera helix L.*,,Forest,8,,,,,,Hedera helix,L.*
Araliaceae,Hedera hibernica (G. Kirchn.) Bean*,,Forest,21,,,,,,Hedera hibernica,(G. Kirchn.) Bean*
Aristolochiaceae,Asarum caudatum Lindl.,,Forest,2,,,,,,Asarum caudatum,Lindl.
Asparagaceae,Asparagus officinalis L.*,,Open,5,,,,,,Asparagus officinalis,L.*
Asparagaceae,Brodiaea coronaria (Salisb.) Engl.,,Open,62,,,,,,Brodiaea coronaria,(Salisb.) Engl.
Asparagaceae,Brodiaea rosea (Greene) Baker,var. rosea,Open,5,,,,,,Brodiaea rosea,(Greene) Baker
Asparagaceae,Camassia leichtlinii (Baker) S. Watson,ssp. suksdorfii,Open,95,,,,,,Camassia leichtlinii,(Baker) S. Watson
Asparagaceae,Camassia quamash (Pursh) Greene,ssp. maxima,Open,15,,,,,,Camassia quamash,(Pursh) Greene
Asparagaceae,Dichelostemma congestum (Sm.) Kunth,,Open,1,,,,,,Dichelostemma congestum,(Sm.) Kunth
Asparagaceae,Hyacinthoides xmassartiana Heist. ex Fabr.*,,Open,9,,,,,,Hyacinthoides xmassartiana,Heist. ex Fabr.*
