Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,authority
Brassicaceae,Hornungia procumbens (L.) Hayek,,Shoreline,11,,,,,,Hornungia procumbens,(L.) Hayek
Brassicaceae,Lepidium campestre (L.) W.T. Aiton*,,Open,1,,,,,,Lepidium campestre,(L.) W.T. Aiton*
Brassicaceae,Lepidium densiflorum Schrad.,,Open,3,,,,,,Lepidium densiflorum,Schrad.
Brassicaceae,Lepidium didymum L.*,,Open,1,,,,,,Lepidium didymum,L.*
Brassicaceae,Lepidium draba L.*,,Open,1,,,,,,Lepidium draba,L.*
Brassicaceae,Lepidium heterophyllum Benth.*,,Open,1,,,,,,Lepidium heterophyllum,Benth.*
Brassicaceae,Lepidium latifolium L.*,,Open,1,,,,,,Lepidium latifolium,L.*
Brassicaceae,Lepidium oxycarpum Torr. & A. Gray,,Shoreline,2,,,,,,Lepidium oxycarpum,Torr. & A. Gray
Brassicaceae,Lepidium perfoliatum L.*,,Open,1,,,,,,Lepidium perfoliatum,L.*
Brassicaceae,Lepidium virginicum L.,ssp. menziesii,Shoreline,72,,,,,,Lepidium virginicum,L.
Brassicaceae,Lobularia maritima (L.) Desv.*,,Open,2,,,,,,Lobularia maritima,(L.) Desv.*
Brassicaceae,Lunaria annua L.*,,Forest,3,,,,,,Lunaria annua,L.*
Brassicaceae,Nasturtium officinale W.T. Aiton*,,Wetland,2,,,,,,Nasturtium officinale,W.T. Aiton*
Brassicaceae,Raphanus raphanistrum L.*,,Open,3,,,,,,Raphanus raphanistrum,L.*
Brassicaceae,Raphanus sativus L.*,,Open,2,,,,,,Raphanus sativus,L.*
Brassicaceae,Rorippa curvisiliqua (Hook.) Bessey ex Britton,,Wetland,2,,,,,,Rorippa curvisiliqua,(Hook.) Bessey ex Britton
Brassicaceae,Rorippa palustris (L.) Besser,ssp. palustris,Wetland,1,,,,,,Rorippa palustris,(L.) Besser
Brassicaceae,Sinapis arvensis L.*,,Open,3,,,,,,Sinapis arvensis,L.*
Brassicaceae,Sisymbrium altissimum L.*,,Open,1,,,,,,Sisymbrium altissimum,L.*
Brassicaceae,Sisymbrium officinale (L.) Scop.*,,Open,3,,,,,,Sisymbrium officinale,(L.) Scop.*
Brassicaceae,Teesdalia nudicaulis (L.) W.T. Aiton*,,Open,5,,,,,,Teesdalia nudicaulis,(L.) W.T. Aiton*
Brassicaceae,Thlaspi arvense L.*,,Open,1,,,,,,Thlaspi arvense,L.*
Brassicaceae,Turritis glabra L.,,Open,49,,,,,,Turritis glabra,L.
Buddleja,Buddleja davidii Franch.*,,Open,1,,,,,,Buddleja davidii,Franch.*
Cabombaceae,Brasenia schreberi J.F. Gmel.,,Wetland,2,,,,,,Brasenia schreberi,J.F. Gmel.
Cactaceae,Opuntia fragilis (Nutt.) Haw.,,Shoreline,27,,,,,,Opuntia fragilis,(Nutt.) Haw.
Campanulaceae,Campanula medium L.*,,Open,2,,,,,,Campanula medium,L.*
Campanulaceae,Campanula persicifolia L.*,,Open,1,,,,,,Campanula persicifolia,L.*
Campanulaceae,Campanula rapunculoides L.*,,Open,1,,,,,,Campanula rapunculoides,L.*
Campanulaceae,Campanula rotundifolia L.,,Open,14,,,,,,Campanula rotundifolia,L.
Campanulaceae,Campanula scouleri Hook. ex A. DC.,,Forest,4,,,,,,Campanula scouleri,Hook. ex A. DC.
Campanulaceae,Githopsis specularioides Nutt.,,Open,1,,,,,,Githopsis specularioides,Nutt.
Campanulaceae,Lobelia dortmanna L.,,Wetland,1,,,,,,Lobelia dortmanna,L.
Campanulaceae,Triodanis perfoliata (L.) Nieuwl.,,Wetland,6,,,,,,Triodanis perfoliata,(L.) Nieuwl.
Caprifoliaceae,Lonicera ciliosa (Pursh) Poir. ex DC.,,Forest,52,,,,,,Lonicera ciliosa,(Pursh) Poir. ex DC.
Caprifoliaceae,Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray,,Forest,56,,,,,,Lonicera hispidula,(Lindl.) Douglas ex Torr. & A. Gray
Caprifoliaceae,Lonicera involucrata (Richardson) Banks ex Spreng.,var. involucrata,Forest,9,,,,,,Lonicera involucrata,(Richardson) Banks ex Spreng.
Caprifoliaceae,Symphoricarpos albus (L.) S.F. Blake,var. laevigatus,Forest,94,,,,,,Symphoricarpos albus,(L.) S.F. Blake
Caryophyllaceae,Agrostemma githago L.*,,Open,1,,,,,,Agrostemma githago,L.*
Caryophyllaceae,Arenaria serpyllifolia L.*,var. serpylilfolia,Open,5,,,,,,Arenaria serpyllifolia,L.*
Caryophyllaceae,Cerastium arvense L.,ssp. strictum,Open,106,,,,,,Cerastium arvense,L.
Caryophyllaceae,Cerastium fontanum Baumg.*,ssp. vulgare,Open,12,,,,,,Cerastium fontanum,Baumg.*
Caryophyllaceae,Cerastium glomeratum Thuill.*,,Open,82,,,,,,Cerastium glomeratum,Thuill.*
Caryophyllaceae,Cerastium pumilum Curtis*,,Open,71,,,,,,Cerastium pumilum,Curtis*
Caryophyllaceae,Cerastium semidecandrum L.*,,Open,47,,,,,,Cerastium semidecandrum,L.*
Caryophyllaceae,Cerastium tomentosum L.*,,Open,1,,,,,,Cerastium tomentosum,L.*
Caryophyllaceae,Dianthus armeria L.*,ssp. armeria,Open,5,,,,,,Dianthus armeria,L.*
Caryophyllaceae,Dianthus barbatus L.*,ssp. barbatus,Open,1,,,,,,Dianthus barbatus,L.*
Caryophyllaceae,Holosteum umbellatum L.*,ssp. umbellatum,Open,2,,,,,,Holosteum umbellatum,L.*
Caryophyllaceae,Honckenya peploides (L.) Ehrh.,ssp. major,Shoreline,11,,,,,,Honckenya peploides,(L.) Ehrh.
Caryophyllaceae,Lychnis coronaria (L.) Desr.*,,Open,4,,,,,,Lychnis coronaria,(L.) Desr.*
Caryophyllaceae,Moehringia macrophylla (Hook.) Fenzl,,Forest,5,,,,,,Moehringia macrophylla,(Hook.) Fenzl
Caryophyllaceae,"Moenchia erecta (L.) P. Gaertn., B. Mey. & Scherbius*",,Open,2,,,,,,Moenchia erecta,"(L.) P. Gaertn., B. Mey. & Scherbius*"
Caryophyllaceae,Sabulina macra (A. Nelson & J.F. Macbr.) Dillenb. & Kadereit,,Open,17,,,,,,Sabulina macra,(A. Nelson & J.F. Macbr.) Dillenb. & Kadereit
Caryophyllaceae,Sagina apetala Ard.*,,Shoreline,17,,,,,,Sagina apetala,Ard.*
Caryophyllaceae,Sagina decumbens (Elliott) Torr. & A. Gray,ssp. occidentalis,Shoreline,88,,,,,,Sagina decumbens,(Elliott) Torr. & A. Gray
Caryophyllaceae,Sagina maxima A. Gray,ssp. crassicaulis,Shoreline,31,,,,,,Sagina maxima,A. Gray
Caryophyllaceae,Sagina procumbens L.*,,Shoreline,12,,,,,,Sagina procumbens,L.*
Caryophyllaceae,Scleranthus annuus L.*,,Open,1,,,,,,Scleranthus annuus,L.*
Caryophyllaceae,Silene antirrhina L.,,Open,16,,,,,,Silene antirrhina,L.
Caryophyllaceae,Silene douglasii Hook.,,Open,1,,,,,,Silene douglasii,Hook.
Caryophyllaceae,Silene gallica L.*,,Open,28,,,,,,Silene gallica,L.*
Caryophyllaceae,Silene latifolia Poir.*,,Open,2,,,,,,Silene latifolia,Poir.*
Caryophyllaceae,Silene menziesii Hook.,,Forest,12,,,,,,Silene menziesii,Hook.
Caryophyllaceae,Silene scouleri Hook.,ssp. scouleri,Open,5,,,,,,Silene scouleri,Hook.
Caryophyllaceae,Spergula arvensis L.*,,Shoreline,2,,,,,,Spergula arvensis,L.*
Caryophyllaceae,Spergularia canadensis (Pers.) G. Don,var. occidentalis,Shoreline,7,,,,,,Spergularia canadensis,(Pers.) G. Don
Caryophyllaceae,Spergularia macrotheca (Hornem.) Heynh.,var. macrotheca,Shoreline,55,,,,,,Spergularia macrotheca,(Hornem.) Heynh.
Caryophyllaceae,Spergularia rubra (L.) J. Presl & C. Presl*,,Shoreline,35,,,,,,Spergularia rubra,(L.) J. Presl & C. Presl*
Caryophyllaceae,Spergularia salina J. Presl & C. Presl,,Shoreline,7,,,,,,Spergularia salina,J. Presl & C. Presl
Caryophyllaceae,Stellaria borealis Bigelow,"ssp. borealis, ssp. sitchana",Wetland,6,,,,,,Stellaria borealis,Bigelow
Caryophyllaceae,Stellaria crispa Cham. & Schltdl.,,Forest,10,,,,,,Stellaria crispa,Cham. & Schltdl.
Caryophyllaceae,Stellaria graminea L.*,,Open,1,,,,,,Stellaria graminea,L.*
Caryophyllaceae,Stellaria longifolia Muhl. ex Willd.,,Wetland,2,,,,,,Stellaria longifolia,Muhl. ex Willd.
Caryophyllaceae,Stellaria longipes Goldie,ssp. longipes,Wetland,2,,,,,,Stellaria longipes,Goldie
Caryophyllaceae,Stellaria media (L.) Vill.*,,Open,86,,,,,,Stellaria media,(L.) Vill.*
Caryophyllaceae,Stellaria nitens Nutt.,,Open,14,,,,,,Stellaria nitens,Nutt.
Caryophyllaceae,Stellaria pallida (Dumort.) Crépin*,,Open,21,,,,,,Stellaria pallida,(Dumort.) Crépin*
Caryophyllaceae,Vaccaria hispanica (Mill.) Rauschert*,,Open,1,,,,,,Vaccaria hispanica,(Mill.) Rauschert*
Celastraceae,Paxistima myrsinites (Pursh) Raf.,,Forest,21,,,,,,Paxistima myrsinites,(Pursh) Raf.
Ceratophyllaceae,Ceratophyllum demersum L.,,Wetland,5,,,,,,Ceratophyllum demersum,L.
Convolvulaceae,Calystegia lucana (Ten.) G. Don*,,Open,1,,,,,,Calystegia lucana,(Ten.) G. Don*
Convolvulaceae,Calystegia sepium (L.) R. Br.,,Shoreline,4,,,,,,Calystegia sepium,(L.) R. Br.
Convolvulaceae,Calystegia soldanella (L.) R. Br.,,Shoreline,1,,,,,,Calystegia soldanella,(L.) R. Br.
Convolvulaceae,Convolvulus arvensis L.*,,Open,3,,,,,,Convolvulus arvensis,L.*
Convolvulaceae,Cuscuta epithymum Murray*,var. epithymum,Shoreline,1,,,,,,Cuscuta epithymum,Murray*
Convolvulaceae,Cuscuta pacifica Costea & M.A.R. Wright,var. pacifica,Shoreline,8,,,,,,Cuscuta pacifica,Costea & M.A.R. Wright
Cornaceae,Cornus occidentalis (Torr. & A. Gray) Coville,,Forest,2,,,,,,Cornus occidentalis,(Torr. & A. Gray) Coville
Cornaceae,Cornus stolonifera Michx.,,Forest,3,,,,,,Cornus stolonifera,Michx.
Cornaceae,Cornus unalaschkensis Ledeb.,,Forest,2,,,,,,Cornus unalaschkensis,Ledeb.
Crassulaceae,Crassula connata (Ruiz & Pav.) A. Berger,,Shoreline,2,,,,,,Crassula connata,(Ruiz & Pav.) A. Berger
Crassulaceae,Crassula tillaea Lester-Garl.*,,Shoreline,9,,,,,,Crassula tillaea,Lester-Garl.*
Crassulaceae,Sedum acre L.*,,Shoreline,3,,,,,,Sedum acre,L.*
Crassulaceae,Sedum album L.*,,Shoreline,9,,,,,,Sedum album,L.*
Crassulaceae,Sedum divergens S. Watson,,Open,1,,,,,,Sedum divergens,S. Watson
Crassulaceae,Sedum lanceolatum Torr.,,Shoreline,93,,,,,,Sedum lanceolatum,Torr.
Crassulaceae,Sedum oreganum Nutt.,,Open,2,,,,,,Sedum oreganum,Nutt.
Crassulaceae,Sedum spathulifolium Hook.,,Shoreline,79,,,,,,Sedum spathulifolium,Hook.
Cucurbitaceae,Marah oregana (Torr. & A. Gray) Howell,,Open,5,,,,,,Marah oregana,(Torr. & A. Gray) Howell
Cupressaceae,Juniperus scopulorum Sarg.,,Open,61,,,,,,Juniperus scopulorum,Sarg.
Cupressaceae,Thuja plicata Donn ex D. Don,,Forest,24,,,,,,Thuja plicata,Donn ex D. Don
Cyperaceae,Bolboschoenus maritimus (L.) Palla,ssp. paludosus,Wetland,8,,,,,,Bolboschoenus maritimus,(L.) Palla
Cyperaceae,Carex aquatilis Wahlenb.,"var. aquatilis, var. dives",Wetland,4,,,,,,Carex aquatilis,Wahlenb.
Cyperaceae,Carex arcta Boott,,Wetland,3,,,,,,Carex arcta,Boott
Cyperaceae,Carex aurea Nutt.,,Wetland,3,,,,,,Carex aurea,Nutt.
Cyperaceae,Carex canescens L.,,Wetland,2,,,,,,Carex canescens,L.
Cyperaceae,Carex canescens L.*,,Wetland,2,,,,,,Carex canescens,L.*
Cyperaceae,Carex cusickii Mack. ex Piper & Beattie,,Wetland,4,,,,,,Carex cusickii,Mack. ex Piper & Beattie
Cyperaceae,Carex densa (L.H. Bailey) L.H. Bailey,,Open,1,,,,,,Carex densa,(L.H. Bailey) L.H. Bailey
Cyperaceae,Carex echinata Murray,"ssp. echinata, ssp. phyllomanica",Wetland,2,,,,,,Carex echinata,Murray
Cyperaceae,Carex exsiccata L.H. Bailey,,Wetland,5,,,,,,Carex exsiccata,L.H. Bailey
Cyperaceae,Carex hendersonii L.H. Bailey,,Wetland,4,,,,,,Carex hendersonii,L.H. Bailey
Cyperaceae,Carex hoodii Boott,,Open,1,,,,,,Carex hoodii,Boott
Cyperaceae,Carex inops L.H. Bailey,ssp. Inops,Open,17,,,,,,Carex inops,L.H. Bailey
Cyperaceae,Carex interior L.H. Bailey,,Wetland,2,,,,,,Carex interior,L.H. Bailey
Cyperaceae,Carex kelloggii W. Boott,"var. impressa, var. kelloggii, var. limnophila",Wetland,5,,,,,,Carex kelloggii,W. Boott
Cyperaceae,Carex laeviculmis Meinsh.,,Wetland,1,,,,,,Carex laeviculmis,Meinsh.
Cyperaceae,Carex lasiocarpa Ehrh.,,Wetland,1,,,,,,Carex lasiocarpa,Ehrh.
Cyperaceae,Carex leporina L.,,Wetland,2,,,,,,Carex leporina,L.
Cyperaceae,Carex leptalea Wahlenb.,,Wetland,2,,,,,,Carex leptalea,Wahlenb.
Cyperaceae,Carex leptopoda Mack.,,Forest,17,,,,,,Carex leptopoda,Mack.
Cyperaceae,Carex leptopoda Mack.,,Forest,17,,,,,,Carex leptopoda,Mack.
Cyperaceae,Carex lyngbyei Hornem.,,Shoreline,15,,,,,,Carex lyngbyei,Hornem.
Cyperaceae,Carex macrocephala Willd. ex Spreng.,,Shoreline,5,,,,,,Carex macrocephala,Willd. ex Spreng.
Cyperaceae,Carex obnupta L.H. Bailey,,Wetland,12,,,,,,Carex obnupta,L.H. Bailey
Cyperaceae,Carex pachystachya Cham. ex Steud.,,Wetland,7,,,,,,Carex pachystachya,Cham. ex Steud.
Cyperaceae,Carex pansa L.H. Bailey,,Open,3,,,,,,Carex pansa,L.H. Bailey
Cyperaceae,Carex pauciflora Lightf.,,Open,1,,,,,,Carex pauciflora,Lightf.
Cyperaceae,Carex pendula Huds.*,,Forest,1,,,,,,Carex pendula,Huds.*
Cyperaceae,Carex praticola Rydb.,,Open,2,,,,,,Carex praticola,Rydb.
Cyperaceae,Carex rossii Boott,,Open,13,,,,,,Carex rossii,Boott
Cyperaceae,Carex stipata Muhl. ex Willd.,var. stipata,Wetland,3,,,,,,Carex stipata,Muhl. ex Willd.
Cyperaceae,Carex subbracteata Mack.,,Wetland,1,,,,,,Carex subbracteata,Mack.
Cyperaceae,Carex tumulicola Mack.,,Open,3,,,,,,Carex tumulicola,Mack.
Cyperaceae,Carex unilateralis Mack.,,Wetland,1,,,,,,Carex unilateralis,Mack.
Cyperaceae,Carex utriculata Boott,,Wetland,6,,,,,,Carex utriculata,Boott
Cyperaceae,Carex vesicaria L.,var. major,Wetland,2,,,,,,Carex vesicaria,L.
Cyperaceae,Carex viridula Michx.,var. viridula,Shoreline,3,,,,,,Carex viridula,Michx.
Cyperaceae,Carex vulpinoidea Michx.,,Open,1,,,,,,Carex vulpinoidea,Michx.
Cyperaceae,Carex zikae E.H. Roalson & M.J. Waterway,,Open,9,,,,,,Carex zikae,E.H. Roalson & M.J. Waterway
Cyperaceae,Dulichium arundinaceum (L.) Britton,,Wetland,4,,,,,,Dulichium arundinaceum,(L.) Britton
Cyperaceae,Eleocharis acicularis (L.) Roem. & Schult.,,Wetland,1,,,,,,Eleocharis acicularis,(L.) Roem. & Schult.
Cyperaceae,Eleocharis macrostachya Britton,,Wetland,4,,,,,,Eleocharis macrostachya,Britton
Cyperaceae,Eleocharis obtusa (Willd.) Schult.,,Wetland,1,,,,,,Eleocharis obtusa,(Willd.) Schult.
Cyperaceae,Eleocharis palustris (L.) Roem. & Schult.,,Wetland,7,,,,,,Eleocharis palustris,(L.) Roem. & Schult.
Cyperaceae,"Eleocharis parvula (Roem. & Schultes) Link ex Bluff Nees, & Schauer",,Wetland,1,,,,,,Eleocharis parvula,"(Roem. & Schultes) Link ex Bluff Nees, & Schauer"
Cyperaceae,Eriophorum chamissonis C.A. Mey.,,Wetland,1,,,,,,Eriophorum chamissonis,C.A. Mey.
Cyperaceae,Eriophorum gracile W.D.J. Koch ex Roth,,Wetland,1,,,,,,Eriophorum gracile,W.D.J. Koch ex Roth
Cyperaceae,Rhynchospora alba (L.) Vahl,,Wetland,1,,,,,,Rhynchospora alba,(L.) Vahl
Cyperaceae,Schoenoplectus acutus (Muhl. ex Bigelow) Á. Löve & D. Löve,,Wetland,6,,,,,,Schoenoplectus acutus,(Muhl. ex Bigelow) Á. Löve & D. Löve
Cyperaceae,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,,Shoreline,2,,,,,,Schoenoplectus americanus,(Pers.) Volkart ex Schinz & R. Keller
Cyperaceae,Schoenoplectus subterminalis (Torr.) Soják,,Wetland,1,,,,,,Schoenoplectus subterminalis,(Torr.) Soják
Cyperaceae,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,,Wetland,3,,,,,,Schoenoplectus tabernaemontani,(C.C. Gmel.) Palla
Cyperaceae,Scirpus atrocinctus Fernald,,Wetland,1,,,,,,Scirpus atrocinctus,Fernald
Cyperaceae,Scirpus cyperinus (L.) Kunth*,,Wetland,1,,,,,,Scirpus cyperinus,(L.) Kunth*
Cyperaceae,Scirpus microcarpus J. Presl & C. Presl,,Wetland,5,,,,,,Scirpus microcarpus,J. Presl & C. Presl
Cystopteridaceae,Cystopteris fragilis (L.) Bernh.,,Forest,7,,,,,,Cystopteris fragilis,(L.) Bernh.
Dennstaedtiaceae,Pteridium aquilinum (L.) Kuhn,var. pubescens,Forest,30,,,,,,Pteridium aquilinum,(L.) Kuhn
Dipsacaceae,Dipsacus fullonum L.*,,Open,5,,,,,,Dipsacus fullonum,L.*
Droseraceae,Drosera rotundifolia L.,,Wetland,3,,,,,,Drosera rotundifolia,L.
Dryopteridaceae,Dryopteris arguta (Kaulf.) Maxon,,Forest,1,,,,,,Dryopteris arguta,(Kaulf.) Maxon
Dryopteridaceae,Dryopteris expansa (C. Presl) Fraser-Jenk. & Jermy,,Forest,14,,,,,,Dryopteris expansa,(C. Presl) Fraser-Jenk. & Jermy
Dryopteridaceae,Polystichum munitum (Kaulf.) C. Presl,,Forest,50,,,,,,Polystichum munitum,(Kaulf.) C. Presl
Elaeagnaceae,Elaeagnus umbellata Thunb.*,,Open,1,,,,,,Elaeagnus umbellata,Thunb.*
Elaeagnaceae,Shepherdia canadensis (L.) Nutt.,,Forest,21,,,,,,Shepherdia canadensis,(L.) Nutt.
Equisetaceae,Equisetum arvense L.,,Open,13,,,,,,Equisetum arvense,L.
Equisetaceae,Equisetum ferrissii Clute,,Open,1,,,,,,Equisetum ferrissii,Clute
Equisetaceae,Equisetum fluviatile L.,,Wetland,3,,,,,,Equisetum fluviatile,L.
Equisetaceae,Equisetum hyemale L.,ssp. affine,Wetland,9,,,,,,Equisetum hyemale,L.
Equisetaceae,Equisetum palustre L.,,Wetland,5,,,,,,Equisetum palustre,L.
Equisetaceae,Equisetum telmateia Ehrh.,ssp. braunii,Wetland,13,,,,,,Equisetum telmateia,Ehrh.
Ericaceae,Allotropa virgata Torr. & A. Gray,,Forest,2,,,,,,Allotropa virgata,Torr. & A. Gray
Ericaceae,Arbutus menziesii Pursh,,Forest,62,,,,,,Arbutus menziesii,Pursh
Ericaceae,Arctostaphylos columbiana Piper,,Open,2,,,,,,Arctostaphylos columbiana,Piper
Ericaceae,Arctostaphylos media Greene,,Open,1,,,,,,Arctostaphylos media,Greene
Ericaceae,Arctostaphylos uva-ursi (L.) Spreng.,,Open,7,,,,,,Arctostaphylos uva-ursi,(L.) Spreng.
Ericaceae,Chimaphila menziesii (R. Br.) Spreng.,,Forest,3,,,,,,Chimaphila menziesii,(R. Br.) Spreng.
Ericaceae,Chimaphila umbellata (L.) W.P.C. Barton,ssp. umellata,Forest,4,,,,,,Chimaphila umbellata,(L.) W.P.C. Barton
Ericaceae,Gaultheria shallon Pursh,,Forest,37,,,,,,Gaultheria shallon,Pursh
Ericaceae,Kalmia microphylla (Hook.) A. Heller,var. occidentalis,Wetland,3,,,,,,Kalmia microphylla,(Hook.) A. Heller
Ericaceae,Moneses uniflora (L.) A. Gray,,Forest,1,,,,,,Moneses uniflora,(L.) A. Gray
Ericaceae,Monotropa hypopitys L.,,Forest,2,,,,,,Monotropa hypopitys,L.
Ericaceae,Monotropa uniflora L.,,Forest,13,,,,,,Monotropa uniflora,L.
Ericaceae,Orthilia secunda (L.) House,,Forest,2,,,,,,Orthilia secunda,(L.) House
Ericaceae,Pterospora andromedea Nutt.,,Forest,2,,,,,,Pterospora andromedea,Nutt.
Ericaceae,Pyrola aphylla Sm.,,Forest,1,,,,,,Pyrola aphylla,Sm.
Ericaceae,Pyrola asarifolia Michx.,"ssp. asarifolia, ssp. bracteata",Forest,4,,,,,,Pyrola asarifolia,Michx.
Ericaceae,Pyrola chlorantha Sw.,,Forest,2,,,,,,Pyrola chlorantha,Sw.
Ericaceae,Pyrola dentata Sm.,,Forest,1,,,,,,Pyrola dentata,Sm.
Ericaceae,Pyrola minor L.,,Forest,1,,,,,,Pyrola minor,L.
Ericaceae,Pyrola picta Sm.,,Forest,3,,,,,,Pyrola picta,Sm.
Ericaceae,Rhododendron columbianum (Piper) Harmaja,,Forest,1,,,,,,Rhododendron columbianum,(Piper) Harmaja
Ericaceae,Rhododendron groenlandicum (Oeder) Kron & Judd,,Forest,5,,,,,,Rhododendron groenlandicum,(Oeder) Kron & Judd
Ericaceae,Rhododendron macrophyllum D. Don ex G. Don,,Forest,1,,,,,,Rhododendron macrophyllum,D. Don ex G. Don
Ericaceae,Vaccinium cespitosum Michx.,,Forest,1,,,,,,Vaccinium cespitosum,Michx.
Ericaceae,Vaccinium ovatum Pursh,,Forest,4,,,,,,Vaccinium ovatum,Pursh
Ericaceae,Vaccinium oxycoccos L.,,Forest,2,,,,,,Vaccinium oxycoccos,L.
Ericaceae,Vaccinium parvifolium Sm.,,Forest,21,,,,,,Vaccinium parvifolium,Sm.
Ericaceae,Vaccinium uliginosum L.,,Forest,1,,,,,,Vaccinium uliginosum,L.
Euphorbiaceae,Euphorbia characias L.*,,Open,1,,,,,,Euphorbia characias,L.*
Euphorbiaceae,Euphorbia cyparissias L.*,,Open,4,,,,,,Euphorbia cyparissias,L.*
Euphorbiaceae,Euphorbia elongata Poir.*,,Open,1,,,,,,Euphorbia elongata,Poir.*
Euphorbiaceae,Euphorbia myrsinites L.*,,Open,1,,,,,,Euphorbia myrsinites,L.*
Euphorbiaceae,Euphorbia peplus L.*,,Open,3,,,,,,Euphorbia peplus,L.*
Fabaceae,Acmispon americanus (Nutt.) Rydb.,var. americanus,Open,4,,,,,,Acmispon americanus,(Nutt.) Rydb.
Fabaceae,Acmispon denticulatus (Drew) Sokoloff,,Open,10,,,,,,Acmispon denticulatus,(Drew) Sokoloff
Fabaceae,Acmispon parviflorus (Benth.) D.D. Sokoloff,,Open,17,,,,,,Acmispon parviflorus,(Benth.) D.D. Sokoloff
Fabaceae,Cytisus scoparius (L.) Link*,,Open,8,,,,,,Cytisus scoparius,(L.) Link*
Fabaceae,Laburnum anagyroidis Medik.*,,Forest,1,,,,,,Laburnum anagyroidis,Medik.*
Fabaceae,Lathyrus aphaca L.*,,Open,1,,,,,,Lathyrus aphaca,L.*
Fabaceae,Lathyrus japonicus Willd.,,Shoreline,57,,,,,,Lathyrus japonicus,Willd.
Fabaceae,Lathyrus latifolius L.*,,Open,4,,,,,,Lathyrus latifolius,L.*
Fabaceae,Lathyrus littoralis (Nutt.) Endl. ex Walp.,,Shoreline,1,,,,,,Lathyrus littoralis,(Nutt.) Endl. ex Walp.
Fabaceae,Lathyrus nevadensis S. Watson,var. nevadensis,Forest,47,,,,,,Lathyrus nevadensis,S. Watson
Fabaceae,Lathyrus palustris L.,,Shoreline,5,,,,,,Lathyrus palustris,L.
Fabaceae,Lathyrus sylvestris L.*,,Open,1,,,,,,Lathyrus sylvestris,L.*
Fabaceae,Lotus corniculatus L.*,,Open,8,,,,,,Lotus corniculatus,L.*
Fabaceae,Lotus tenuis Waldst. & Kit. ex Willd.*,,Open,2,,,,,,Lotus tenuis,Waldst. & Kit. ex Willd.*
Fabaceae,Lupinus arboreus Sims*,,Open,4,,,,,,Lupinus arboreus,Sims*
Fabaceae,Lupinus bicolor Lindl.,,Open,15,,,,,,Lupinus bicolor,Lindl.
Fabaceae,Lupinus latifolius Lindl. ex J. Agardh,var. latifolius,Open,2,,,,,,Lupinus latifolius,Lindl. ex J. Agardh
Fabaceae,Lupinus littoralis Douglas,var. littoralis,Open,2,,,,,,Lupinus littoralis,Douglas
Fabaceae,Lupinus microcarpus Sims,var. microcarpus,Open,7,,,,,,Lupinus microcarpus,Sims
Fabaceae,Lupinus pachylobus Greene,,Open,1,,,,,,Lupinus pachylobus,Greene
Fabaceae,Lupinus rivularis Douglas ex Lindl.,,Open,1,,,,,,Lupinus rivularis,Douglas ex Lindl.
Fabaceae,Medicago arabica (L.) Huds.*,,Open,1,,,,,,Medicago arabica,(L.) Huds.*
Fabaceae,Medicago lupulina L.*,,Open,7,,,,,,Medicago lupulina,L.*
Fabaceae,Medicago sativa L.*,,Open,2,,,,,,Medicago sativa,L.*
Fabaceae,Melilotus albus Medik.*,,Open,2,,,,,,Melilotus albus,Medik.*
Fabaceae,Melilotus officinalis (L.) Lam.*,,Open,2,,,,,,Melilotus officinalis,(L.) Lam.*
Fabaceae,Oxytropis campestris (L.) DC.,var. spicata,Shoreline,3,,,,,,Oxytropis campestris,(L.) DC.
Fabaceae,Pisum sativum L.*,,Open,1,,,,,,Pisum sativum,L.*
Fabaceae,Rupertia physodes (Douglas ex Hook.) J.W. Grimes,,Open,2,,,,,,Rupertia physodes,(Douglas ex Hook.) J.W. Grimes
Fabaceae,Trifolium arvense L.*,,Open,2,,,,,,Trifolium arvense,L.*
Fabaceae,Trifolium campestre Schreb.*,,Open,8,,,,,,Trifolium campestre,Schreb.*
Fabaceae,Trifolium depauperatum Desv.,,Open,1,,,,,,Trifolium depauperatum,Desv.
Fabaceae,Trifolium dichotomum Hook. & Arn.,,Open,8,,,,,,Trifolium dichotomum,Hook. & Arn.
Fabaceae,Trifolium dubium Sibth.*,,Open,50,,,,,,Trifolium dubium,Sibth.*
Fabaceae,Trifolium fragiferum L.*,,Open,1,,,,,,Trifolium fragiferum,L.*
Fabaceae,Trifolium hybridum L.*,,Open,1,,,,,,Trifolium hybridum,L.*
Fabaceae,Trifolium incarnatum L.*,,Open,2,,,,,,Trifolium incarnatum,L.*
Fabaceae,Trifolium microcephalum Pursh,,Open,58,,,,,,Trifolium microcephalum,Pursh
Fabaceae,Trifolium microdon Hook. & Arn.,,Open,53,,,,,,Trifolium microdon,Hook. & Arn.
Fabaceae,Trifolium oliganthum Steud.,,Open,43,,,,,,Trifolium oliganthum,Steud.
Fabaceae,Trifolium pratense L.*,,Open,14,,,,,,Trifolium pratense,L.*
Fabaceae,Trifolium repens L.*,,Open,17,,,,,,Trifolium repens,L.*
Fabaceae,Trifolium retusum L.*,,Open,1,,,,,,Trifolium retusum,L.*
