iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Infra taxa,Habitat,Islands,id
Osmorhiza berteroi,53166,Osmorhiza berteroi,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Osmorhiza,berteroi,,Forest,29,DUN:42
Osmorhiza purpurea,78296,Osmorhiza purpurea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Osmorhiza,purpurea,,Forest,4,DUN:43
Perideridia gairdneri,78434,Perideridia montana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Oenantheae,Perideridia,gairdneri,,Open,5,DUN:44
Petrosedum erectum,1286732,Petrosedum erectum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Semperviveae,Petrosedum,erectum,,Shoreline,1,DUN:45
Petroselinum crispum,78465,Petroselinum crispum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Apieae,Petroselinum,crispum,,Open,2,DUN:46
Pimpinella saxifraga,166880,Pimpinella saxifraga,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Pimpinelleae,Pimpinella,saxifraga,ssp. nigra,Open,1,DUN:47
Sanicula bipinnatifida,56840,Sanicula bipinnatifida,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,bipinnatifida,,Open,12,DUN:48
Sanicula crassicaulis,53201,Sanicula crassicaulis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,crassicaulis,var. crassicaulis,Open,78,DUN:49
Sium suave,79131,Sium suave,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Oenantheae,Sium,suave,,Wetland,1,DUN:50
Torilis arvensis,56846,Torilis arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Torilis,arvensis,ssp. arvensis,Open,7,DUN:51
