ID,Date,LatitudeDD,LongitudeDD,SpeciesName,ScientificName,GroupSize,Confidence,SightingsID
152,10/16/11,48.91076667,-123.36985,humpback whale,Megaptera novaeangliae,1,certain,59185
166,06/08/08,48.85868333,-123.3213667,humpback whale,Megaptera novaeangliae,1,certain,1409
283,08/20/11,49.02666667,-123.5533333,humpback whale,Megaptera novaeangliae,1,certain,58550
292,05/29/12,48.92186667,-123.29195,humpback whale,Megaptera novaeangliae,1,,78327
296,10/09/12,48.87706667,-123.2934,humpback whale,Megaptera novaeangliae,1,certain,79914
297,10/07/12,49.025,-123.58555,humpback whale,Megaptera novaeangliae,1,certain,79979
298,10/09/12,48.86358333,-123.3096833,humpback whale,Megaptera novaeangliae,1,certain,79993
301,07/15/12,48.96181667,-123.4849333,humpback whale,Megaptera novaeangliae,1,probable,79199
304,11/13/12,48.85736667,-123.35535,humpback whale,Megaptera novaeangliae,1,probable,80609
305,11/14/12,48.92315,-123.5312833,humpback whale,Megaptera novaeangliae,2,,80620
308,05/04/13,48.85251667,-123.349,humpback whale,Megaptera novaeangliae,1,possible,82920
322,08/10/14,48.8783,-123.42665,humpback whale,Megaptera novaeangliae,NA,certain,90802
324,08/18/14,48.86931667,-123.4166667,humpback whale,Megaptera novaeangliae,NA,certain,90954
326,09/02/14,48.91218333,-123.3369,humpback whale,Megaptera novaeangliae,2,certain,91084
333,06/01/14,48.96208333,-123.435,humpback whale,Megaptera novaeangliae,2,certain,90226
338,11/16/14,49.0147,-123.5942167,humpback whale,Megaptera novaeangliae,2,certain,93402
343,05/15/13,48.88188333,-123.29475,humpback whale,Megaptera novaeangliae,1,certain,83467
345,05/28/13,48.92001667,-123.38245,humpback whale,Megaptera novaeangliae,1,probable,83523
350,11/11/13,48.85765,-123.3146333,humpback whale,Megaptera novaeangliae,1,certain,85867
351,10/19/13,48.91345,-123.3851833,humpback whale,Megaptera novaeangliae,2,certain,85912
355,11/04/14,48.84578333,-123.3313167,humpback whale,Megaptera novaeangliae,2,certain,93247
356,11/08/14,48.85728333,-123.3065667,humpback whale,Megaptera novaeangliae,2,certain,93264
357,12/12/14,48.87983333,-123.2910833,humpback whale,Megaptera novaeangliae,2,certain,93306
375,10/24/16,48.84523333,-123.3513667,humpback whale,Megaptera novaeangliae,1,certain,109580
376,11/10/16,48.91325,-123.3666833,humpback whale,Megaptera novaeangliae,2,probable,109691
394,10/08/12,48.86641667,-123.3081333,humpback whale,Megaptera novaeangliae,1,probable,83914
403,08/29/14,48.88368333,-123.44435,humpback whale,Megaptera novaeangliae,3,probable,91184
404,12/03/14,48.86305,-123.3091667,humpback whale,Megaptera novaeangliae,1,certain,91244
408,07/08/13,48.89181667,-123.4855,humpback whale,Megaptera novaeangliae,1,certain,96624
411,09/04/15,48.85473333,-123.3490333,humpback whale,Megaptera novaeangliae,2,certain,101307
413,10/30/15,48.87898333,-123.29715,humpback whale,Megaptera novaeangliae,2,certain,101442
