date,LatitudeDD,LongitudeDD,SpeciesName,GroupSize,confidence,SightingsID,locationaccuracy
06/20/03,48.8509,-123.3483,killer whale,NA,certain,36526,within 100km
09/26/04,48.8434,-123.354,killer whale,NA,certain,36615,within 10km
07/11/02,48.858,-123.308,killer whale,NA,certain,36673,within 5km
01/31/02,49.01333333,-123.5833333,killer whale,3,certain,36803,within 5km
07/15/07,48.85885,-123.3202,killer whale,NA,certain,36850,within 2km
07/14/04,48.8559,-123.312,killer whale,NA,certain,36974,within 2km
09/27/06,49.01466667,-123.5742167,unidentified cetacean,1,uncertain,36988,within 1km
10/17/04,48.8561,-123.3211,killer whale,NA,certain,37058,within 2km
09/23/02,48.8625,-123.3438,killer whale,NA,certain,37563,within 5km
05/19/07,48.8636166,-123.30865,killer whale,12,certain,37636,within 2km
05/17/07,48.9659,-123.5736333,killer whale,NA,certain,37840,within 1km
07/11/04,48.87583333,-123.3128333,killer whale,12,certain,38056,within 5km
07/22/05,48.85866667,-123.3939,killer whale,NA,,38236,within 1km
05/30/04,48.87751667,-123.29985,killer whale,11,certain,38251,within 5km
06/17/06,48.87873333,-123.2893833,killer whale,NA,certain,38579,within 2km
09/09/04,48.83616667,-123.3233333,killer whale,15,certain,39368,within 5km
07/06/06,48.83856667,-123.3572,killer whale,NA,certain,39428,within 2km
09/15/06,48.97775,-123.5691833,killer whale,1,certain,40116,within 2km
07/06/06,48.85791667,-123.3107,killer whale,NA,certain,40140,within 10km
05/13/05,48.8636166,-123.30865,killer whale,NA,certain,40276,within 2km
07/17/04,48.87968333,-123.2927667,killer whale,NA,certain,40339,within 25km
06/03/06,48.8636166,-123.30865,killer whale,6,certain,40603,within 2km
07/15/02,48.886,-123.305,killer whale,NA,certain,41276,within 5km
05/08/07,48.86125,-123.342,killer whale,5,certain,41524,within 2km
08/31/04,48.8611,-123.3087,killer whale,4,certain,41824,within 2km
05/05/08,49.0224,-123.5784833,harbour porpoise,10,certain,41846,within 2km
07/09/06,48.86323333,-123.3438167,killer whale,NA,certain,41876,within 2km
07/12/04,48.885,-123.2916667,killer whale,6,certain,42083,within 5km
07/13/09,48.83333333,-123.3383333,killer whale,15,certain,42947,within 2km
09/09/09,48.87826667,-123.30505,harbour porpoise,3,certain,43909,within 2km
09/27/09,48.85681667,-123.3460833,killer whale,4,certain,43915,within 2km
03/05/05,48.83333333,-123.3333333,killer whale,10,certain,47716,within 2km
03/18/10,48.95111667,-123.5482667,killer whale,8,certain,48231,within 2km
08/19/09,48.85923333,-123.3101667,killer whale,12,certain,48310,within 2km
04/18/10,48.87736667,-123.3012833,dall's porpoise,5,certain,48339,within 2km
05/14/10,48.86148333,-123.3417167,killer whale,7,certain,48761,within 2km
06/07/10,48.99068333,-123.59015,killer whale,4,certain,49121,within 2km
04/12/10,48.84573333,-123.3400667,killer whale,4,certain,51339,within 2km
06/06/10,48.99463333,-123.4533667,killer whale,5,certain,51359,within 2km
06/22/10,48.84303333,-123.3730333,killer whale,3,certain,51360,within 2km
07/24/10,48.8707,-123.3076333,killer whale,10,certain,51515,within 2km
05/23/10,48.95296667,-123.5665167,killer whale,5,certain,51888,within 2km
08/28/10,48.8582,-123.31005,killer whale,NA,certain,51929,within 5km
07/16/10,48.85741667,-123.30915,killer whale,6,certain,53235,within 10km
07/25/10,48.85861667,-123.3474167,killer whale,20,certain,53237,within 25km
08/14/10,48.88211667,-123.3009,killer whale,10,certain,53247,within 10km
09/21/10,48.89616667,-123.4381667,harbour porpoise,2,certain,53698,within 2km
10/24/10,48.85341667,-123.3627333,killer whale,5,certain,53840,within 2km
03/04/10,48.85878333,-123.3500667,killer whale,8,certain,53899,within 2km
04/27/08,48.955,-123.55,harbour porpoise,2,,53916,within 2km
05/30/10,48.97468333,-123.5973,killer whale,5,certain,54067,within 2km
06/12/10,48.97468333,-123.5973,killer whale,5,certain,54070,within 2km
09/02/10,48.97468333,-123.5973,killer whale,20,certain,54075,within 2km
07/04/10,48.89166667,-123.3376,killer whale,20,certain,54495,within 2km
07/04/10,48.87625,-123.29205,killer whale,NA,certain,54496,within 2km
07/07/10,48.84711667,-123.3431167,killer whale,10,certain,54501,within 2km
01/10/11,48.99578333,-123.5884333,killer whale,10,certain,54522,within 2km
07/28/10,48.91246667,-123.2963333,killer whale,10,certain,54544,within 2km
08/17/10,48.86086667,-123.3385833,killer whale,20,certain,54616,within 2km
09/25/10,48.85551667,-123.3477167,killer whale,10,certain,54681,within 2km
01/21/11,48.96666667,-123.5833333,killer whale,6,certain,55785,within 5km
01/28/11,48.87526667,-123.2952,grey whale,1,possible,55789,within 2km
01/30/11,48.98088333,-123.5807167,killer whale,18,certain,55826,within 2km
10/12/03,49.00463333,-123.5952833,killer whale,5,certain,55827,within 2km
02/26/11,48.99833333,-123.59915,killer whale,3,certain,55858,within 2km
03/19/11,48.93368333,-123.5277167,killer whale,3,certain,56111,within 2km
04/18/11,48.96003333,-123.5618,unidentified cetacean,3,certain,56469,within 2km
12/27/10,49.0267,-123.57625,killer whale,11,certain,56497,within 2km
05/08/11,48.87506667,-123.3065,killer whale,10,certain,56681,within 2km
05/12/11,48.92515,-123.5228,humpback whale,1,certain,56760,within 2km
05/22/11,48.98255,-123.5973833,killer whale,6,,56913,within 2km
05/24/11,48.83613333,-123.3342333,killer whale,3,,56920,within 2km
05/20/11,48.97306667,-123.5814667,grey whale,1,,56926,within 10km
05/31/11,48.88666667,-123.3083333,killer whale,5,certain,57046,within 2km
07/10/11,48.87018333,-123.3044167,killer whale,3,certain,57409,within 2km
07/07/11,48.85748333,-123.3352667,killer whale,7,certain,57413,within 2km
08/05/11,48.87401667,-123.31165,killer whale,NA,certain,58120,within 2km
08/04/11,48.97761667,-123.59085,harbour porpoise,NA,probable,58122,within 2km
08/14/11,48.85595,-123.3492,killer whale,12,certain,58165,within 2km
08/19/11,48.92998333,-123.5173667,harbour porpoise,1,possible,58189,within 2km
08/20/11,49.02666667,-123.5533333,humpback whale,1,certain,58550,within 2km
08/20/11,48.94833333,-123.5316667,harbour porpoise,1,certain,58552,within 2km
09/04/11,48.98378333,-123.5887333,harbour porpoise,1,,58685,within 2km
09/03/11,48.97378333,-123.59355,harbour porpoise,1,,58686,within 2km
06/26/11,48.86056667,-123.3505,killer whale,4,certain,58854,within 2km
