Date,LatitudeDD,LongitudeDD,Taxon,Common Name,GroupSize,Confidence
2004-10-04,49.01815,-123.5819667,Balaenoptera acutorostrata,minke whale,1,probable
2011-07-16,48.90688333,-123.3613333,Balaenoptera acutorostrata,minke whale,2,probable
2007-05-17,48.9517,-123.4489,Balaenoptera physalus,fin whale,1,probable
2001-04-15,49.0021,-123.5417,Eschrichtius robustus,grey whale,3,probable
2011-01-28,48.87526667,-123.2952,Eschrichtius robustus,grey whale,1,possible
2011-05-20,48.97306667,-123.5814667,Eschrichtius robustus,grey whale,1,
2011-10-18,48.9217,-123.3268833,Eschrichtius robustus,grey whale,1,probable
2017-06-19,48.98655,-123.5830667,Eschrichtius robustus,grey whale,1,certain
2019-12-27,48.8372,-123.349,Eschrichtius robustus,grey whale,-,probable
2002-08-15,48.85651667,-123.3189833,Lagenorhynchus obliquidens,pacific white-sided dolphin,15,certain
2005-01-05,48.8484,-123.3480833,Lagenorhynchus obliquidens,pacific white-sided dolphin,2,certain
2007-11-16,48.9,-123.2916667,Lagenorhynchus obliquidens,pacific white-sided dolphin,30,certain
2013-10-31,48.88305,-123.2993833,Lagenorhynchus obliquidens,pacific white-sided dolphin,12,probable
2001-04-20,48.896,-123.2896,Megaptera novaeangliae,humpback whale,-,certain
2003-01-20,48.844,-123.3542,Megaptera novaeangliae,humpback whale,-,certain
2003-04-20,48.86,-123.3171,Megaptera novaeangliae,humpback whale,-,certain
2004-05-29,49.01268333,-123.5904833,Megaptera novaeangliae,humpback whale,2,
2004-05-29,49.01268333,-123.5904833,Megaptera novaeangliae,humpback whale,2,
2004-06-20,48.9,-123.3265,Megaptera novaeangliae,humpback whale,-,probable
2005-04-13,48.85251667,-123.349,Megaptera novaeangliae,humpback whale,1,possible
2005-04-20,48.895,-123.303,Megaptera novaeangliae,humpback whale,-,probable
2005-04-20,48.8847,-123.2922,Megaptera novaeangliae,humpback whale,-,certain
2005-11-18,48.8761,-123.3023,Megaptera novaeangliae,humpback whale,1,probable
2005-12-11,48.92515,-123.5228,Megaptera novaeangliae,humpback whale,1,certain
2006-01-14,48.96208333,-123.435,Megaptera novaeangliae,humpback whale,2,certain
2006-01-17,48.88166667,-123.2983333,Megaptera novaeangliae,humpback whale,2,certain
2006-08-08,48.85868333,-123.3213667,Megaptera novaeangliae,humpback whale,1,certain
2007-01-17,48.85706667,-123.3210667,Megaptera novaeangliae,humpback whale,2,probable
2007-03-15,48.83855,-123.3377667,Megaptera novaeangliae,humpback whale,1,certain
2007-08-13,48.89181667,-123.4855,Megaptera novaeangliae,humpback whale,1,certain
2007-09-19,48.8902,-123.2984,Megaptera novaeangliae,humpback whale,2,certain
2007-12-16,48.90616667,-123.286,Megaptera novaeangliae,humpback whale,1,certain
2007-12-19,48.85845,-123.3439667,Megaptera novaeangliae,humpback whale,2,uncertain
2007-12-19,48.86038333,-123.3494,Megaptera novaeangliae,humpback whale,2,uncertain
2008-02-17,48.8832,-123.3096667,Megaptera novaeangliae,humpback whale,2,
2008-02-19,48.8468,-123.3466,Megaptera novaeangliae,humpback whale,3,certain
2008-04-19,48.8993,-123.3023,Megaptera novaeangliae,humpback whale,3,certain
2008-08-18,48.86253333,-123.34365,Megaptera novaeangliae,humpback whale,1,possible
