iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Aplidium californicum,131232,Aplidium californicum,"(Ritter & Forsyth, 1917)",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,californicum,imerss.org:PMLS:450,,,PMLS,,1985-08-02,"Skipjack Island, outer face",Andy Lamb
Aplidium californicum,131232,Aplidium californicum,"(Ritter & Forsyth, 1917)",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,californicum,imerss.org:PMLS:1168,,,PMLS,,1994-10-07,Lion Islet,Andy Lamb
Aplidium californicum,131232,Aplidium californicum,"(Ritter & Forsyth, 1917)",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,californicum,imerss.org:PMLS:5620,,,PMLS,,2007-12-29,Rolling Ridge,Andy Lamb
Aplidium californicum,131232,Aplidium californicum,"(Ritter & Forsyth, 1917)",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,californicum,imerss.org:PMLS:6811,,,PMLS,,2008-04-27,Mathews Point,Andy Lamb
Aplidium californicum,131232,Aplidium californicum,"(Ritter & Forsyth, 1917)",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,californicum,imerss.org:PMLS:7079,,,PMLS,,2008-05-30,Spanish Hills Store,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:343,,,PMLS,,1985-07-29,Virago Point,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:542,,,PMLS,,1985-12-07,Alcala Point,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:827,,,PMLS,,1994-02-26,Alcala Point,Charlie Gibbs
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:905,,,PMLS,,1994-02-26,Race Point,Charlie Gibbs
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:2255,,,PMLS,,1996-02-25,Baines Bay,Charlie Gibbs
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:2461,,,PMLS,,1996-09-28,Shaw's Landing,Charlie Gibbs
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:2542,,,PMLS,,1996-09-28,"Bodega, off Bodega Ridge",Charlie Gibbs
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:3617,,,PMLS,,2006-06-30,Lighthouse Bay,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:3835,,,PMLS,,2006-09-28,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:3958,,,PMLS,,2006-09-29,Race Point,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:4057,,,PMLS,,2006-11-11,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:4287,,,PMLS,,2006-11-18,Spanish Hills Store,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:4396,,,PMLS,,2006-11-18,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:5011,,,PMLS,,2007-10-14,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:5261,,,PMLS,,2007-10-21,Race Point,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:5539,,,PMLS,,2007-12-15,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:5621,,,PMLS,,2007-12-29,Rolling Ridge,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:5811,,,PMLS,,2008-02-16,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:6151,,,PMLS,,2008-03-01,Race Point,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:6350,,,PMLS,,2008-03-07,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:7349,,,PMLS,,2008-06-21,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:7682,,,PMLS,,2008-07-19,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:7875,,,PMLS,,2008-08-29,Race Point,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:8162,,,PMLS,,2008-10-05,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:8260,,,PMLS,,2008-10-06,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:9142,,,PMLS,,2008-12-29,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:9377,,,PMLS,,2009-01-03,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:9589,,,PMLS,,2009-01-30,Outer Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:9709,,,PMLS,,2009-02-08,Outer Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:9945,,,PMLS,,2009-02-14,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:10149,,,PMLS,,2009-03-07,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:10629,,,PMLS,,2009-04-04,Outer Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:10922,,,PMLS,,2009-04-11,Alcala Point,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:11069,,,PMLS,,2009-04-13,Alcala Point Reefs,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:11163,,,PMLS,,2009-05-16,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:11564,,,PMLS,,2009-06-12,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:12253,,,PMLS,,2009-11-14,Outer Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:12338,,,PMLS,,2009-12-31,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:12495,,,PMLS,,2010-03-20,Dionisio Reef,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:12912,,,PMLS,,2010-04-18,Race Point,Andy Lamb
Aplidium kottae,799283,Aplidium kottae,"Brunetti, 2007",Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,,Polyclinidae,,,Aplidium,kottae,imerss.org:PMLS:13109,,,PMLS,,2010-05-30,Dionisio Reef,Andy Lamb
