iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:630,,,PMLS,,1993-05-09,Spanish Hills Store,Charlie Gibbs
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:2791,,,PMLS,,1999-05-04,Collinson Point,Andy Lamb
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:10570,,,PMLS,,2009-04-04,Outer Dionisio Reef,Andy Lamb
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:10832,,,PMLS,,2009-04-11,Alcala Point,Andy Lamb
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,imerss.org:PMLS:10997,,,PMLS,,2009-04-13,Alcala Point Reefs,Andy Lamb
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:69843303,,,,,2021-02-19,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:128527370,,,,,2019-05-05,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:45326898,,,,,2020-05-08,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:57175255,,,,,2020-05-09,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:73718011,,,,,2021-04-11,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:73718015,,,,,2021-04-11,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:73721929,,,,,2021-04-11,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:73721935,,,,,2021-04-11,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:74014924,,,,,2021-04-14,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:74472231,,,,,2021-04-18,,
Beroe abyssicola,1090851,Beroe abyssicola,0,accepted,"Mortensen, 1927",Animalia,Ctenophora,,,Nuda,,,Beroida,,,,Beroidae,,,Beroe,abyssicola,iNat:172087604,,,,,2023-07-09,,
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:2291,,,PMLS,,1996-05-29,Spanish Hills Store,Charlie Gibbs
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:2582,,,PMLS,,1996-09-29,Alcala Point,Charlie Gibbs
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:6756,,,PMLS,,2008-04-27,Mathews Point,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:6862,,,PMLS,,2008-04-27,Walker Rock,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:6986,,,PMLS,,2008-05-30,Spanish Hills Store,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:7124,,,PMLS,,2008-06-14,Spanish Hills Store,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:7217,,,PMLS,,2008-06-15,False Reef,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:7401,,,PMLS,,2008-06-21,Spanish Hills Store,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:10569,,,PMLS,,2009-04-04,Outer Dionisio Reef,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:10831,,,PMLS,,2009-04-11,Alcala Point,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:10996,,,PMLS,,2009-04-13,Alcala Point Reefs,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:11115,,,PMLS,,2009-05-16,Dionisio Reef,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:11197,,,PMLS,,2009-05-30,Race Point,Andy Lamb
Bolinopsis infundibulum,492705,Bolinopsis infundibulum,0,accepted,"(O.F. Müller, 1776)",Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,,Bolinopsidae,,,Bolinopsis,infundibulum,imerss.org:PMLS:11292,,,PMLS,,2009-05-30,Spanish Hills Store,Andy Lamb
