iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Emplectonema gracile,337279,Emplectonema gracile,"(Johnston, 1837)",Animalia,Nemertea,,,Hoplonemertea,,,Monostilifera,Eumonostilifera,,,Emplectonematidae,,,Emplectonema,gracile,imerss.org:PMLS:60,,,PMLS,,1969-02-22,Sturdies Bay,Andy Lamb
Emplectonema gracile,337279,Emplectonema gracile,"(Johnston, 1837)",Animalia,Nemertea,,,Hoplonemertea,,,Monostilifera,Eumonostilifera,,,Emplectonematidae,,,Emplectonema,gracile,imerss.org:iNat:72321492,,,iNaturalist,,2021-03-17,,Andrew Simon
Micrura verrilli,117598,Micrura verrilli,"Coe, 1901",Animalia,Nemertea,,,Pilidiophora,,,Heteronemertea,,,,Lineidae,,,Micrura,verrilli,imerss.org:PMLS:3674,,,PMLS,,2006-09-28,Spanish Hills Store,Andy Lamb
Paranemertes peregrina,51284,Paranemertes peregrina,"Coe, 1901",Animalia,Nemertea,,,Hoplonemertea,,,Monostilifera,Eumonostilifera,,,Neesiidae,,,Paranemertes,peregrina,imerss.org:iNat:25587683,,,iNaturalist,,2019-05-04,,
Tubulanus albocinctus,873878,Tubulanus albocinctus,"(Coe, 1904)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,albocinctus,imerss.org:PMLS:2292,,,PMLS,,1996-05-29,Spanish Hills Store,Charlie Gibbs
Tubulanus albocinctus,873878,Tubulanus albocinctus,"(Coe, 1904)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,albocinctus,imerss.org:PMLS:11421,,,PMLS,,2009-06-12,Spanish Hills Store,Andy Lamb
Tubulanus polymorphus,117581,Tubulanus polymorphus,"Renier, 1804",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,polymorphus,imerss.org:PMLS:7723,,,PMLS,,2008-08-23,Spanish Hills Store,Andy Lamb
Tubulanus polymorphus,117581,Tubulanus polymorphus,"Renier, 1804",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,polymorphus,imerss.org:PMLS:13162,,,PMLS,,2010-07-17,Spanish Hills Store,Andy Lamb
Tubulanus polymorphus,117581,Tubulanus polymorphus,"Renier, 1804",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,polymorphus,imerss.org:PMLS:17290,,,PMLS,,2016-03-27,Virago Point,Andy Lamb
Tubulanus polymorphus,117581,Tubulanus polymorphus,"Renier, 1804",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,polymorphus,imerss.org:iNat:7674347,,,iNaturalist,,2017-05-26,,Karolle Wall
Tubulanus polymorphus,117581,Tubulanus polymorphus,"Renier, 1804",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,polymorphus,imerss.org:iNat:7648049,,,iNaturalist,,2017-05-27,,Karolle Wall
Tubulanus polymorphus,117581,Tubulanus polymorphus,"Renier, 1804",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,polymorphus,imerss.org:iNat:73919060,,,iNaturalist,,2021-04-12,,Catiemac
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:61,,,PMLS,,1969-02-22,Sturdies Bay,Andy Lamb
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:631,,,PMLS,,1993-05-09,Spanish Hills Store,Charlie Gibbs
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:2879,,,PMLS,,1999-07-31,Mathews Point,Charlie Gibbs
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:5657,,,PMLS,,2008-02-03,Spanish Hills Store,Andy Lamb
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:7917,,,PMLS,,2008-09-19,Spanish Hills Store,Andy Lamb
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:8303,,,PMLS,,2008-10-06,Race Point,Andy Lamb
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:12834,,,PMLS,,2010-04-18,Race Point,Andy Lamb
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:17190,,,PMLS,,2016-03-05,"Retreat Cove South, island",Andy Lamb
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:18138,,,PMLS,,2018-06-19,Virago Point,Andy Lamb
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:iNat:15660001,,,iNaturalist,,2018-08-10,,Karolle Wall
Tubulanus sexlineatus,121950,Tubulanus sexlineatus,"(Griffin, 1898)",Animalia,Nemertea,,,Palaeonemertea,,,Tubulaniformes,,,,Tubulanidae,,,Tubulanus,sexlineatus,imerss.org:PMLS:18253,,,PMLS,,2019-03-11,Virago Point,Andy Lamb
