"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Phoronis ijimai","Oka, 1897",372139,"Animalia","Phoronida","","","","",NA,"","Phoronidae","Phoronis",NA,"ijimai","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:6872","Andy Lamb",NA,"","2008-04-27",2008,4,27,"HumanObservation","Walker Rock",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,110,NA,"present","","",1,"","native","unlisted","",NA,"","","Phoronis ijimai","","",191
"Phoronis ijimai","Oka, 1897",372139,"Animalia","Phoronida","","","","",NA,"","Phoronidae","Phoronis",NA,"ijimai","","species","iNaturalist","","","","imerss.org:iNat:4014973","Karolle Wall",NA,"","2013-06-26",2013,6,26,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",1426,"Andrew Simon","corrected","interpretation of locality, and/or inference based on local knowledge and species ecology","shunted to adjacent intertidal Montague Harbour",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","Phoronis ijimai","","",85
"Phoronis ijimai","Oka, 1897",372139,"Animalia","Phoronida","","","","",NA,"","Phoronidae","Phoronis",NA,"ijimai","","species","iNaturalist","","","","imerss.org:iNat:10538197","Karolle Wall",NA,"","2018-03-31",2018,3,31,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",244,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","Phoronis ijimai","","",130
