"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Balaenoptera acutorostrata","Lacépède, 1804",41550,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Balaenopteridae","Balaenoptera",NA,"acutorostrata","","species","BCCSN","","31161","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:31161","",NA,"","2004-04-09",2004,4,9,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",5000,"","","","",NA,NA,NA,"present","","",1,"","native","S4N (2006)","",NA,"","Confidence: probable","Balaenoptera acutorostrata","","",398
"Balaenoptera acutorostrata","Lacépède, 1804",41550,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Balaenopteridae","Balaenoptera",NA,"acutorostrata","","species","BCCSN","","109549","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:109549","",NA,"","2016-11-06",2016,11,6,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,NA,NA,"present","","",2,"","native","S4N (2006)","",NA,"","Confidence: probable","Balaenoptera acutorostrata","","",128
"Balaenoptera physalus","(Linnaeus, 1758)",41562,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Balaenopteridae","Balaenoptera",NA,"physalus","","species","BCCSN","","123168","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:123168","",NA,"","2017-07-04",2017,7,4,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",2000,"","","","",NA,NA,NA,"present","","",1,"","native","S2N (2006)","1-T (2006)",NA,"","Confidence: probable","Balaenoptera physalus","","",232
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","20035","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:20035","",NA,"","2001-04-14",2001,4,14,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",5000,"","","","",NA,NA,NA,"present","","",3,"","native","S3 (2006)","1-SC (2005)",NA,"","Confidence: probable","Eschrichtius robustus","","",357
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","55789","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:55789","",NA,"","2011-01-27",2011,1,27,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",2000,"","","","",NA,NA,NA,"present","","",1,"","native","S3 (2006)","1-SC (2005)",NA,"","Confidence: possible","Eschrichtius robustus","","",NA
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","56926","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:56926","",NA,"","2011-05-19",2011,5,19,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",10000,"","","","",NA,NA,NA,"present","","",1,"","native","S3 (2006)","1-SC (2005)",NA,"","","Eschrichtius robustus","","",288
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","59180","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:59180","",NA,"","2011-10-17",2011,10,17,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",2000,"","","","",NA,NA,NA,"present","","",1,"","native","S3 (2006)","1-SC (2005)",NA,"","Confidence: probable","Eschrichtius robustus","","",175
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","122218","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:122218","",NA,"","2017-06-18",2017,6,18,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",2000,"","","","",NA,NA,NA,"present","","",1,"","native","S3 (2006)","1-SC (2005)",NA,"","Confidence: certain","Eschrichtius robustus","","",310
"Eumetopias jubatus","(Schreber, 1776)",41755,"Animalia","Chordata","Vertebrata","Mammalia","Carnivora","Pinnipedia",NA,"","Otariidae","Eumetopias",NA,"jubatus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:557","Andy Lamb",NA,"","1985-12-07",1985,12,7,"HumanObservation","Alcala Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,70,NA,"present","","",NA,"","native","S3B,S4N (2013)","1-SC (2005)",NA,"","","Eumetopias jubatus","","",353
"Eumetopias jubatus","(Schreber, 1776)",41755,"Animalia","Chordata","Vertebrata","Mammalia","Carnivora","Pinnipedia",NA,"","Otariidae","Eumetopias",NA,"jubatus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:4074","Andy Lamb",NA,"","2006-11-11",2006,11,11,"HumanObservation","Dionisio Reef",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,78,NA,"present","","",1,"","native","S3B,S4N (2013)","1-SC (2005)",NA,"","","Eumetopias jubatus","","",376
"Eumetopias jubatus","(Schreber, 1776)",41755,"Animalia","Chordata","Vertebrata","Mammalia","Carnivora","Pinnipedia",NA,"","Otariidae","Eumetopias",NA,"jubatus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:5029","Andy Lamb",NA,"","2007-10-14",2007,10,14,"HumanObservation","Dionisio Reef",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,81,NA,"present","","",1,"","native","S3B,S4N (2013)","1-SC (2005)",NA,"","","Eumetopias jubatus","","",376
"Eumetopias jubatus","(Schreber, 1776)",41755,"Animalia","Chordata","Vertebrata","Mammalia","Carnivora","Pinnipedia",NA,"","Otariidae","Eumetopias",NA,"jubatus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:5629","Andy Lamb",NA,"","2007-12-29",2007,12,29,"HumanObservation","Rolling Ridge",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,55,NA,"present","","",1,"","native","S3B,S4N (2013)","1-SC (2005)",NA,"","","Eumetopias jubatus","","",210
"Eumetopias jubatus","(Schreber, 1776)",41755,"Animalia","Chordata","Vertebrata","Mammalia","Carnivora","Pinnipedia",NA,"","Otariidae","Eumetopias",NA,"jubatus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:9723","Andy Lamb",NA,"","2009-02-08",2009,2,8,"HumanObservation","Outer Dionisio Reef",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,90,NA,"present","","",1,"","native","S3B,S4N (2013)","1-SC (2005)",NA,"","","Eumetopias jubatus","","",399
"Eumetopias jubatus","(Schreber, 1776)",41755,"Animalia","Chordata","Vertebrata","Mammalia","Carnivora","Pinnipedia",NA,"","Otariidae","Eumetopias",NA,"jubatus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:13124","Andy Lamb",NA,"","2010-05-30",2010,5,30,"HumanObservation","Dionisio Reef",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,63,NA,"present","","",1,"","native","S3B,S4N (2013)","1-SC (2005)",NA,"","","Eumetopias jubatus","","",376
"Eumetopias jubatus","(Schreber, 1776)",41755,"Animalia","Chordata","Vertebrata","Mammalia","Carnivora","Pinnipedia",NA,"","Otariidae","Eumetopias",NA,"jubatus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:13840","Andy Lamb",NA,"","2010-11-11",2010,11,11,"HumanObservation","Outer Dionisio Reef",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,86,NA,"present","","",1,"","native","S3B,S4N (2013)","1-SC (2005)",NA,"","","Eumetopias jubatus","","",399
"Eumetopias jubatus","(Schreber, 1776)",41755,"Animalia","Chordata","Vertebrata","Mammalia","Carnivora","Pinnipedia",NA,"","Otariidae","Eumetopias",NA,"jubatus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:14928","Andy Lamb",NA,"","2011-11-18",2011,11,18,"HumanObservation","Virago Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,76,NA,"present","","",1,"","native","S3B,S4N (2013)","1-SC (2005)",NA,"","","Eumetopias jubatus","","",375
