iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Institution Code,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Institution Code,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported,Food Value,Medicinal Value,Spiritual Value,Material Value,Trade Value,Indicator Value,Hulquminum Name,Hulquminum Authority
Acanthodoris atrogriseata,1080211,Acanthodoris atrogriseata,0,accepted,"O'Donoghue, 1927",2,"{""imerss.org:PMLS:7228"":null,""imerss.org:PMLS:10438"":null}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,atrogriseata,Andy Lamb,PMLS,,,,imerss.org:PMLS:7228,2008-06-15T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:10438,2009-03-20T00:00:00.000Z,,,,,,,,
Acanthodoris hudsoni,48447,Acanthodoris hudsoni,0,accepted,"MacFarland, 1905",52,"{""imerss.org:PMLS:1253"":null,""imerss.org:PMLS:1600"":null,""imerss.org:PMLS:3241"":null,""imerss.org:PMLS:3694"":null,""imerss.org:PMLS:4024"":null,""imerss.org:PMLS:4764"":null,""imerss.org:PMLS:4887"":null,""imerss.org:PMLS:4984"":null,""imerss.org:PMLS:5080"":null,""imerss.org:PMLS:5223"":null,""imerss.org:PMLS:5312"":null,""imerss.org:PMLS:5405"":null,""imerss.org:PMLS:5680"":null,""imerss.org:PMLS:6319"":null,""imerss.org:PMLS:6510"":null,""imerss.org:PMLS:6898"":null,""imerss.org:PMLS:8049"":null,""imerss.org:PMLS:8135"":null,""imerss.org:PMLS:8403"":null,""imerss.org:PMLS:8945"":null,""imerss.org:PMLS:9192"":null,""imerss.org:PMLS:9270"":null,""imerss.org:PMLS:9352"":null,""imerss.org:PMLS:10707"":null,""imerss.org:PMLS:10873"":null,""imerss.org:PMLS:11941"":null,""imerss.org:PMLS:12044"":null,""imerss.org:PMLS:12126"":null,""imerss.org:PMLS:15499"":null,""imerss.org:PMLS:15612"":null,""imerss.org:PMLS:15956"":null,""imerss.org:PMLS:16250"":null,""imerss.org:PMLS:16516"":null,""imerss.org:PMLS:16941"":null,""imerss.org:PMLS:17325"":null,""imerss.org:PMLS:18175"":null,""imerss.org:PMLS:18233"":null,""imerss.org:PMLS:18576"":null,""iNat:2854926"":null,""iNat:3707780"":null,""iNat:68751502"":null,""iNat:68751933"":null,""iNat:68793261"":null,""iNat:68793487"":null,""iNat:69243365"":null,""iNat:69844537"":null,""iNat:74605875"":null,""iNat:91082500"":null,""iNat:96554098"":null,""iNat:163264974"":null,""iNat:169330663"":null,""iNat:182593054"":null}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,hudsoni,Andy Lamb,PMLS,,,,imerss.org:PMLS:1253,1994-10-23T00:00:00.000Z,,,,,,iNat:182593054,2023-09-09T00:00:00.000Z,,,,,,,,
Acanthodoris lutea,47472,Acanthodoris lutea,0,accepted,"MacFarland, 1925",1,"{""iNat:68751252"":null}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,lutea,,,,,,iNat:68751252,2009-11-14T00:00:00.000Z,,,,,,iNat:68751252,2009-11-14T00:00:00.000Z,,,,,,,,
Acanthodoris nanaimoensis,47476,Acanthodoris nanaimoensis,0,accepted,"O'Donoghue, 1921",68,"{""imerss.org:PMLS:1128"":null,""imerss.org:PMLS:1254"":null,""imerss.org:PMLS:1691"":null,""imerss.org:PMLS:1867"":null,""imerss.org:PMLS:2412"":null,""imerss.org:PMLS:3042"":null,""imerss.org:PMLS:3242"":null,""imerss.org:PMLS:4025"":null,""imerss.org:PMLS:4137"":null,""imerss.org:PMLS:4445"":null,""imerss.org:PMLS:4525"":null,""imerss.org:PMLS:4645"":null,""imerss.org:PMLS:4765"":null,""imerss.org:PMLS:4888"":null,""imerss.org:PMLS:4985"":null,""imerss.org:PMLS:5081"":null,""imerss.org:PMLS:5224"":null,""imerss.org:PMLS:5594"":null,""imerss.org:PMLS:5780"":null,""imerss.org:PMLS:5887"":null,""imerss.org:PMLS:6118"":null,""imerss.org:PMLS:6232"":null,""imerss.org:PMLS:6320"":null,""imerss.org:PMLS:8598"":null,""imerss.org:PMLS:8946"":null,""imerss.org:PMLS:10276"":null,""imerss.org:PMLS:10600"":null,""imerss.org:PMLS:10874"":null,""imerss.org:PMLS:11032"":null,""imerss.org:PMLS:12045"":null,""imerss.org:PMLS:12225"":null,""imerss.org:PMLS:12562"":null,""imerss.org:PMLS:12874"":null,""imerss.org:PMLS:13197"":null,""imerss.org:PMLS:13807"":null,""imerss.org:PMLS:14062"":null,""imerss.org:PMLS:14301"":null,""imerss.org:PMLS:14399"":null,""imerss.org:PMLS:14763"":null,""imerss.org:PMLS:14883"":null,""imerss.org:PMLS:14980"":null,""imerss.org:PMLS:15613"":null,""imerss.org:PMLS:15723"":null,""imerss.org:PMLS:15837"":null,""imerss.org:PMLS:16166"":null,""imerss.org:PMLS:16251"":null,""imerss.org:PMLS:16418"":null,""imerss.org:PMLS:16517"":null,""imerss.org:PMLS:16699"":null,""imerss.org:PMLS:16830"":null,""imerss.org:PMLS:16942"":null,""imerss.org:PMLS:17068"":null,""iNat:186891642"":null,""iNat:2755485"":null,""iNat:2976276"":null,""iNat:3705623"":null,""iNat:68195094"":null,""iNat:68751127"":null,""iNat:68751253"":null,""iNat:68751503"":null,""iNat:68793024"":null,""iNat:68793488"":null,""iNat:106689077"":null,""iNat:107457335"":null,""iNat:107457348"":null,""iNat:164580479"":null,""iNat:182740602"":null,""iNat:182740627"":null}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,nanaimoensis,Andy Lamb,PMLS,,,,imerss.org:PMLS:1128,1994-10-07T00:00:00.000Z,,,,,,iNat:186891642,2023-10-08T00:00:00.000Z,,,,,,,,
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",33,"{""imerss.org:PMLS:1052"":null,""imerss.org:PMLS:1270"":null,""imerss.org:PMLS:1419"":null,""imerss.org:PMLS:1510"":null,""imerss.org:PMLS:1698"":null,""imerss.org:PMLS:2229"":null,""imerss.org:PMLS:4453"":null,""imerss.org:PMLS:4650"":null,""imerss.org:PMLS:5233"":null,""imerss.org:PMLS:6125"":null,""imerss.org:PMLS:6417"":null,""imerss.org:CHU2010:620"":null,""imerss.org:CHU2010:613"":null,""imerss.org:CHU2010:614"":null,""imerss.org:CHU2010:615"":null,""imerss.org:CHU2010:616"":null,""imerss.org:CHU2010:617"":null,""imerss.org:CHU2010:618"":null,""imerss.org:CHU2010:619"":null,""imerss.org:PMLS:12880"":null,""imerss.org:PMLS:12990"":null,""imerss.org:PMLS:13712"":null,""imerss.org:PMLS:14137"":null,""imerss.org:PMLS:14671"":null,""imerss.org:PMLS:14769"":null,""imerss.org:PMLS:16429"":null,""imerss.org:PMLS:17861"":null,""imerss.org:PMLS:18196"":null,""iNat:59908564"":null,""iNat:61341038"":null,""iNat:116296337"":null,""iNat:116471967"":null,""iNat:116493770"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,Andy Lamb,PMLS,,,,imerss.org:PMLS:1052,1994-09-10T00:00:00.000Z,,,,,,iNat:116296337,2022-05-06T00:00:00.000Z,,,,,,,,
Acarnus erithacus,63669,Acarnus erithacus,0,accepted,"Laubenfels, 1927",5,"{""imerss.org:PMLS:7812"":null,""imerss.org:PMLS:14172"":null,""imerss.org:PMLS:15458"":null,""imerss.org:PMLS:15566"":null,""imerss.org:PMLS:16665"":null}",Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,,Acarnidae,,,Acarnus,erithacus,Andy Lamb,PMLS,,,,imerss.org:PMLS:7812,2008-08-29T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:16665,2015-01-01T00:00:00.000Z,,,,,,,,
Acila castrensis,339158,Acila castrensis,0,accepted,"(Hinds, 1843)",2,"{""f4d2fb04-16da-4f31-9533-8bbdb230d9c4"":null,""f8ebf88e-6e0a-4a6e-a888-5f837d5326b6"":null}",Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida,,,Nuculoidea,Nuculidae,,,Acila,castrensis,Dan Quayle,RBCM,,,989-00278-001,f4d2fb04-16da-4f31-9533-8bbdb230d9c4,1959-12-11T00:00:00.000Z,Dan Quayle,RBCM,,,982-00207-002,f8ebf88e-6e0a-4a6e-a888-5f837d5326b6,1961-05-13T00:00:00.000Z,,,,,,,,
Acipenser transmontanus,93194,Acipenser transmontanus,0,accepted,"Richardson, 1836",1,"{""iNat:169325429"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Acipenseriformes,,,,Acipenseridae,,,Acipenser,transmontanus,,,,,,iNat:169325429,2023-06-24T00:00:00.000Z,,,,,,iNat:169325429,2023-06-24T00:00:00.000Z,1,1,1,0,1,0,qwtaythun,"(Thom, 2011)"
Acmaea mitra,47676,Acmaea mitra,0,accepted,"Rathke, 1833",59,"{""imerss.org:PMLS:253"":null,""44fc028d-31dc-43c9-955f-c82338f0c3b1"":null,""imerss.org:PMLS:875"":null,""imerss.org:PMLS:1040"":null,""imerss.org:PMLS:1123"":null,""imerss.org:PMLS:1244"":null,""imerss.org:PMLS:1402"":null,""imerss.org:PMLS:1860"":null,""imerss.org:PMLS:1937"":null,""imerss.org:PMLS:2014"":null,""imerss.org:PMLS:2213"":null,""imerss.org:PMLS:2763"":null,""imerss.org:PMLS:2911"":null,""imerss.org:PMLS:3229"":null,""imerss.org:PMLS:3566"":null,""imerss.org:PMLS:4013"":null,""imerss.org:PMLS:4244"":null,""imerss.org:PMLS:4519"":null,""imerss.org:PMLS:4754"":null,""imerss.org:PMLS:4975"":null,""imerss.org:PMLS:5501"":null,""imerss.org:PMLS:7300"":null,""imerss.org:PMLS:7637"":null,""imerss.org:PMLS:7843"":null,""imerss.org:PMLS:8234"":null,""imerss.org:PMLS:9104"":null,""imerss.org:PMLS:9342"":null,""imerss.org:PMLS:9548"":null,""imerss.org:PMLS:9662"":null,""imerss.org:PMLS:9903"":null,""imerss.org:PMLS:10109"":null,""imerss.org:PMLS:10199"":null,""imerss.org:PMLS:10270"":null,""imerss.org:PMLS:10433"":null,""imerss.org:PMLS:10590"":null,""imerss.org:PMLS:10861"":null,""imerss.org:PMLS:11020"":null,""imerss.org:PMLS:11129"":null,""imerss.org:PMLS:11530"":null,""imerss.org:PMLS:11819"":null,""imerss.org:PMLS:11930"":null,""imerss.org:PMLS:12036"":null,""imerss.org:PMLS:12218"":null,""imerss.org:PMLS:12312"":null,""imerss.org:PMLS:12646"":null,""imerss.org:PMLS:13417"":null,""imerss.org:PMLS:13580"":null,""imerss.org:PMLS:13800"":null,""imerss.org:PMLS:13990"":null,""imerss.org:PMLS:14293"":null,""imerss.org:PMLS:14565"":null,""imerss.org:PMLS:14757"":null,""imerss.org:PMLS:14871"":null,""imerss.org:PMLS:15370"":null,""imerss.org:PMLS:15490"":null,""imerss.org:PMLS:16161"":null,""imerss.org:PMLS:18269"":null,""iNat:129284370"":null,""iNat:121788421"":null}",Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Acmaeidae,,,Acmaea,mitra,Andy Lamb,PMLS,,,,imerss.org:PMLS:253,1981-05-31T00:00:00.000Z,,,,,,iNat:121788421,2022-06-14T00:00:00.000Z,,,,,,,,
Acteocina culcitella,49788,Acteocina culcitella,0,accepted,"(Gould, 1853)",1,"{""d9d29339-f464-46f3-ad98-bfb4848a0691"":null}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,,Bulloidea,Tornatinidae,,,Acteocina,culcitella,Ian McTaggart-Cowan,RBCM,,,979-03320,d9d29339-f464-46f3-ad98-bfb4848a0691,1961-06-22T00:00:00.000Z,Ian McTaggart-Cowan,RBCM,,,979-03320,d9d29339-f464-46f3-ad98-bfb4848a0691,1961-06-22T00:00:00.000Z,,,,,,,,
