iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Institution Code,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Institution Code,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported,Food Value,Medicinal Value,Spiritual Value,Material Value,Trade Value,Indicator Value,Hulquminum Name,Hulquminum Authority
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",33,"{""imerss.org:PMLS:1052"":null,""imerss.org:PMLS:1270"":null,""imerss.org:PMLS:1419"":null,""imerss.org:PMLS:1510"":null,""imerss.org:PMLS:1698"":null,""imerss.org:PMLS:2229"":null,""imerss.org:PMLS:4453"":null,""imerss.org:PMLS:4650"":null,""imerss.org:PMLS:5233"":null,""imerss.org:PMLS:6125"":null,""imerss.org:PMLS:6417"":null,""imerss.org:CHU2010:620"":null,""imerss.org:CHU2010:613"":null,""imerss.org:CHU2010:614"":null,""imerss.org:CHU2010:615"":null,""imerss.org:CHU2010:616"":null,""imerss.org:CHU2010:617"":null,""imerss.org:CHU2010:618"":null,""imerss.org:CHU2010:619"":null,""imerss.org:PMLS:12880"":null,""imerss.org:PMLS:12990"":null,""imerss.org:PMLS:13712"":null,""imerss.org:PMLS:14137"":null,""imerss.org:PMLS:14671"":null,""imerss.org:PMLS:14769"":null,""imerss.org:PMLS:16429"":null,""imerss.org:PMLS:17861"":null,""imerss.org:PMLS:18196"":null,""iNat:59908564"":null,""iNat:61341038"":null,""iNat:116296337"":null,""iNat:116471967"":null,""iNat:116493770"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,Andy Lamb,PMLS,,,,imerss.org:PMLS:1052,1994-09-10T00:00:00.000Z,,,,,,iNat:116296337,2022-05-06T00:00:00.000Z,,,,,,,,
Ampelisca hancocki,295404,Ampelisca hancocki,0,accepted,"J.L. Barnard, 1954",1,"{""daf7672a-bea4-4f61-bba6-f35c4ee855a1"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassida,Synopioidea,Ampeliscidae,,,Ampelisca,hancocki,,RBCM,,,976-01146-018,daf7672a-bea4-4f61-bba6-f35c4ee855a1,1961-06-22T00:00:00.000Z,,RBCM,,,976-01146-018,daf7672a-bea4-4f61-bba6-f35c4ee855a1,1961-06-22T00:00:00.000Z,,,,,,,,
Ampelisca lobata,295407,Ampelisca lobata,0,accepted,"Holmes, 1908",1,"{""1e2ef28f-bd7f-46d5-8438-3131e6d737ce"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassida,Synopioidea,Ampeliscidae,,,Ampelisca,lobata,,RBCM,,,976-01146-017,1e2ef28f-bd7f-46d5-8438-3131e6d737ce,1961-06-22T00:00:00.000Z,,RBCM,,,976-01146-017,1e2ef28f-bd7f-46d5-8438-3131e6d737ce,1961-06-22T00:00:00.000Z,,,,,,,,
Ampelisca unsocalae,1265117,Ampelisca unsocalae,0,,"J.L. Barnard, 1960",1,"{""c9865647-c03d-48be-80fd-77a6806ab9c5"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassida,Synopioidea,Ampeliscidae,,,Ampelisca,unsocalae,,RBCM,,,976-01146-019,c9865647-c03d-48be-80fd-77a6806ab9c5,1961-06-22T00:00:00.000Z,,RBCM,,,976-01146-019,c9865647-c03d-48be-80fd-77a6806ab9c5,1961-06-22T00:00:00.000Z,,,,,,,,
Ampithoe lacertosa,260501,Ampithoe lacertosa,0,accepted,"Bate, 1858",1,"{""imerss.org:PMLS:9793"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophiida,Corophioidea,Ampithoidae,,,Ampithoe,lacertosa,Andy Lamb,PMLS,,,,imerss.org:PMLS:9793,2009-02-14T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:9793,2009-02-14T00:00:00.000Z,,,,,,,,
Argulus pugettensis,873865,Argulus pugettensis,0,accepted,"Dana, 1853",2,"{""imerss.org:PMLS:4771"":null,""imerss.org:PMLS:15281"":null}",Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,,Arguloidea,Argulidae,,,Argulus,pugettensis,Andy Lamb,PMLS,,,,imerss.org:PMLS:4771,2007-09-29T00:00:00.000Z,Andy Lamb,PMLS,,,,imerss.org:PMLS:15281,2012-08-09T00:00:00.000Z,,,,,,,,
Balanus crenatus,117672,Balanus crenatus,0,accepted,"Bruguière, 1789",3,"{""iNat:19886394"":null,""iNat:123934552"":null,""iNat:165682510"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,crenatus,,,,,,iNat:19886394,2019-01-25T00:00:00.000Z,,,,,,iNat:165682510,2023-06-02T00:00:00.000Z,,,,,,,,
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",135,"{""imerss.org:PMLS:82"":null,""imerss.org:PMLS:429"":null,""imerss.org:PMLS:658"":null,""imerss.org:PMLS:1346"":null,""imerss.org:PMLS:1422"":null,""imerss.org:PMLS:1514"":null,""imerss.org:PMLS:1611"":null,""imerss.org:PMLS:1702"":null,""imerss.org:PMLS:1875"":null,""imerss.org:PMLS:1949"":null,""imerss.org:PMLS:2027"":null,""imerss.org:PMLS:2130"":null,""imerss.org:PMLS:2226"":null,""imerss.org:PMLS:2319"":null,""imerss.org:PMLS:2425"":null,""imerss.org:PMLS:2514"":null,""imerss.org:PMLS:2599"":null,""imerss.org:PMLS:2692"":null,""imerss.org:PMLS:2940"":null,""imerss.org:PMLS:3060"":null,""imerss.org:PMLS:3448"":null,""imerss.org:PMLS:3591"":null,""imerss.org:PMLS:3702"":null,""imerss.org:PMLS:4143"":null,""imerss.org:PMLS:4264"":null,""imerss.org:PMLS:4458"":null,""imerss.org:PMLS:4654"":null,""imerss.org:PMLS:5417"":null,""imerss.org:PMLS:5909"":null,""imerss.org:PMLS:7167"":null,""imerss.org:PMLS:7547"":null,""imerss.org:PMLS:7659"":null,""imerss.org:PMLS:8056"":null,""imerss.org:PMLS:8703"":null,""imerss.org:PMLS:8872"":null,""imerss.org:PMLS:9026"":null,""imerss.org:PMLS:9203"":null,""imerss.org:PMLS:9278"":null,""imerss.org:PMLS:9803"":null,""imerss.org:PMLS:10353"":null,""imerss.org:PMLS:10719"":null,""imerss.org:PMLS:10890"":null,""imerss.org:PMLS:11343"":null,""imerss.org:PMLS:11454"":null,""imerss.org:PMLS:11647"":null,""imerss.org:PMLS:11748"":null,""imerss.org:PMLS:12139"":null,""imerss.org:PMLS:12474"":null,""imerss.org:PMLS:12993"":null,""imerss.org:PMLS:13210"":null,""imerss.org:PMLS:13509"":null,""imerss.org:PMLS:13715"":null,""imerss.org:PMLS:13910"":null,""imerss.org:PMLS:14407"":null,""imerss.org:PMLS:14486"":null,""imerss.org:PMLS:14578"":null,""imerss.org:PMLS:15082"":null,""imerss.org:PMLS:15288"":null,""imerss.org:PMLS:15388"":null,""imerss.org:PMLS:15631"":null,""imerss.org:PMLS:15974"":null,""imerss.org:PMLS:16081"":null,""imerss.org:PMLS:16261"":null,""imerss.org:PMLS:16344"":null,""imerss.org:PMLS:16432"":null,""imerss.org:PMLS:16531"":null,""imerss.org:PMLS:16618"":null,""imerss.org:PMLS:16706"":null,""imerss.org:PMLS:16842"":null,""imerss.org:PMLS:17070"":null,""imerss.org:PMLS:17222"":null,""imerss.org:PMLS:17338"":null,""imerss.org:PMLS:17418"":null,""imerss.org:PMLS:17521"":null,""imerss.org:PMLS:17643"":null,""imerss.org:PMLS:17732"":null,""imerss.org:PMLS:17867"":null,""imerss.org:PMLS:17925"":null,""imerss.org:PMLS:18010"":null,""imerss.org:PMLS:18079"":null,""imerss.org:PMLS:18200"":null,""imerss.org:PMLS:18286"":null,""imerss.org:PMLS:18373"":null,""iNat:3684483"":null,""iNat:24792556"":null,""iNat:38469017"":null,""iNat:49173401"":null,""iNat:55066903"":null,""iNat:84499137"":null,""iNat:85685327"":null,""iNat:128527423"":null,""iNat:129150995"":null,""iNat:129284410"":null,""iNat:139694695"":null,""iNat:151851789"":null,""iNat:164069072"":null,""iNat:165609713"":null,""iNat:165797341"":null,""iNat:178897603"":null,""iNat:2580675"":null,""iNat:2599301"":null,""iNat:3652889"":null,""iNat:6425239"":null,""iNat:6571297"":null,""iNat:24518162"":null,""iNat:24666606"":null,""iNat:24666661"":null,""iNat:24672700"":null,""iNat:24672769"":null,""iNat:24689097"":null,""iNat:24690312"":null,""iNat:24697554"":null,""iNat:24713858"":null,""iNat:24768197"":null,""iNat:24920148"":null,""iNat:24937133"":null,""iNat:24941539"":null,""iNat:25048251"":null,""iNat:25199551"":null,""iNat:25199689"":null,""iNat:25478008"":null,""iNat:25540432"":null,""iNat:25561078"":null,""iNat:25561079"":null,""iNat:57128042"":null,""iNat:72229437"":null,""iNat:107673153"":null,""iNat:152524261"":null,""iNat:163921886"":null,""iNat:164148468"":null,""iNat:164155024"":null,""iNat:164356903"":null,""iNat:165526363"":null,""iNat:165682555"":null,""iNat:168022856"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,Andy Lamb,PMLS,,,,imerss.org:PMLS:82,1969-02-22T00:00:00.000Z,,,,,,iNat:178897603,2023-08-17T00:00:00.000Z,,,,,,,,
Balanus nubilus,49127,Balanus nubilus,0,accepted,"Darwin, 1854",215,"{""imerss.org:PMLS:32"":null,""imerss.org:PMLS:319"":null,""imerss.org:PMLS:430"":null,""imerss.org:PMLS:520"":null,""f3762406-b9fe-47d8-8a9b-db65baa173db"":null,""cd7ae266-6b24-46ce-895a-187b5d1213b6"":null,""b0cc00d3-23c4-44c8-b4b1-6af14aafa3bb"":null,""2ef39e00-2087-4b8c-931d-fadfad5c672a"":null,""imerss.org:PMLS:725"":null,""imerss.org:PMLS:804"":null,""imerss.org:PMLS:889"":null,""imerss.org:PMLS:954"":null,""imerss.org:PMLS:1140"":null,""imerss.org:PMLS:1268"":null,""imerss.org:PMLS:1423"":null,""imerss.org:PMLS:1515"":null,""imerss.org:PMLS:1612"":null,""imerss.org:PMLS:1703"":null,""imerss.org:PMLS:1876"":null,""imerss.org:PMLS:1950"":null,""imerss.org:PMLS:2028"":null,""imerss.org:PMLS:2131"":null,""imerss.org:PMLS:2227"":null,""imerss.org:PMLS:2320"":null,""imerss.org:PMLS:2426"":null,""imerss.org:PMLS:2515"":null,""imerss.org:PMLS:2600"":null,""imerss.org:PMLS:2693"":null,""imerss.org:PMLS:2814"":null,""imerss.org:PMLS:2941"":null,""imerss.org:PMLS:3061"":null,""imerss.org:PMLS:3133"":null,""imerss.org:PMLS:3258"":null,""imerss.org:PMLS:3449"":null,""imerss.org:PMLS:3592"":null,""imerss.org:PMLS:3703"":null,""imerss.org:PMLS:3813"":null,""imerss.org:PMLS:3941"":null,""imerss.org:PMLS:4035"":null,""imerss.org:PMLS:4144"":null,""imerss.org:PMLS:4265"":null,""imerss.org:PMLS:4372"":null,""imerss.org:PMLS:4459"":null,""imerss.org:PMLS:4570"":null,""imerss.org:PMLS:4655"":null,""imerss.org:PMLS:4778"":null,""imerss.org:PMLS:4898"":null,""imerss.org:PMLS:4992"":null,""imerss.org:PMLS:5094"":null,""imerss.org:PMLS:5237"":null,""imerss.org:PMLS:5323"":null,""imerss.org:PMLS:5418"":null,""imerss.org:PMLS:5512"":null,""imerss.org:PMLS:5599"":null,""imerss.org:PMLS:5692"":null,""imerss.org:PMLS:5787"":null,""imerss.org:PMLS:5910"":null,""imerss.org:PMLS:6019"":null,""imerss.org:PMLS:6131"":null,""imerss.org:PMLS:6242"":null,""imerss.org:PMLS:6327"":null,""imerss.org:PMLS:6423"":null,""imerss.org:PMLS:6516"":null,""imerss.org:PMLS:6601"":null,""imerss.org:PMLS:6683"":null,""imerss.org:PMLS:6787"":null,""imerss.org:PMLS:6908"":null,""imerss.org:PMLS:7047"":null,""imerss.org:PMLS:7168"":null,""imerss.org:PMLS:7326"":null,""imerss.org:PMLS:7447"":null,""imerss.org:PMLS:7548"":null,""imerss.org:PMLS:7660"":null,""imerss.org:PMLS:7747"":null,""imerss.org:PMLS:7858"":null,""imerss.org:PMLS:7953"":null,""imerss.org:PMLS:8057"":null,""imerss.org:PMLS:8139"":null,""imerss.org:PMLS:8244"":null,""imerss.org:PMLS:8331"":null,""imerss.org:PMLS:8416"":null,""imerss.org:PMLS:8508"":null,""imerss.org:PMLS:8605"":null,""imerss.org:PMLS:8704"":null,""imerss.org:PMLS:8792"":null,""imerss.org:PMLS:8873"":null,""imerss.org:PMLS:8954"":null,""imerss.org:PMLS:9027"":null,""imerss.org:PMLS:9119"":null,""imerss.org:PMLS:9204"":null,""imerss.org:PMLS:9279"":null,""imerss.org:PMLS:9359"":null,""imerss.org:PMLS:9458"":null,""imerss.org:PMLS:9565"":null,""imerss.org:PMLS:9684"":null,""imerss.org:PMLS:9804"":null,""imerss.org:PMLS:9921"":null,""imerss.org:PMLS:10023"":null,""imerss.org:PMLS:10125"":null,""imerss.org:PMLS:10215"":null,""imerss.org:PMLS:10282"":null,""imerss.org:PMLS:10354"":null,""imerss.org:PMLS:10443"":null,""imerss.org:PMLS:10610"":null,""imerss.org:PMLS:10720"":null,""imerss.org:PMLS:10891"":null,""imerss.org:PMLS:11044"":null,""imerss.org:PMLS:11143"":null,""imerss.org:PMLS:11225"":null,""imerss.org:PMLS:11344"":null,""imerss.org:PMLS:11455"":null,""imerss.org:PMLS:11544"":null,""imerss.org:PMLS:11648"":null,""imerss.org:PMLS:11749"":null,""imerss.org:PMLS:11833"":null,""imerss.org:PMLS:11951"":null,""imerss.org:PMLS:12051"":null,""imerss.org:PMLS:12140"":null,""imerss.org:PMLS:12230"":null,""imerss.org:PMLS:12321"":null,""imerss.org:PMLS:12393"":null,""imerss.org:PMLS:12475"":null,""imerss.org:PMLS:12573"":null,""imerss.org:PMLS:12655"":null,""imerss.org:PMLS:12755"":null,""imerss.org:PMLS:12884"":null,""imerss.org:PMLS:12994"":null,""imerss.org:PMLS:13085"":null,""imerss.org:PMLS:13211"":null,""imerss.org:PMLS:13327"":null,""imerss.org:PMLS:13426"":null,""imerss.org:PMLS:13510"":null,""imerss.org:PMLS:13589"":null,""imerss.org:PMLS:13716"":null,""imerss.org:PMLS:13814"":null,""imerss.org:PMLS:13911"":null,""imerss.org:PMLS:14001"":null,""imerss.org:PMLS:14068"":null,""imerss.org:PMLS:14216"":null,""imerss.org:PMLS:14307"":null,""imerss.org:PMLS:14408"":null,""imerss.org:PMLS:14487"":null,""imerss.org:PMLS:14579"":null,""imerss.org:PMLS:14674"":null,""imerss.org:PMLS:14770"":null,""imerss.org:PMLS:14891"":null,""imerss.org:PMLS:14993"":null,""imerss.org:PMLS:15083"":null,""imerss.org:PMLS:15191"":null,""imerss.org:PMLS:15289"":null,""imerss.org:PMLS:15389"":null,""imerss.org:PMLS:15509"":null,""imerss.org:PMLS:15632"":null,""imerss.org:PMLS:15733"":null,""imerss.org:PMLS:15847"":null,""imerss.org:PMLS:15975"":null,""imerss.org:PMLS:16082"":null,""imerss.org:PMLS:16170"":null,""imerss.org:PMLS:16262"":null,""imerss.org:PMLS:16345"":null,""imerss.org:PMLS:16433"":null,""imerss.org:PMLS:16532"":null,""imerss.org:PMLS:16619"":null,""imerss.org:PMLS:16707"":null,""imerss.org:PMLS:16759"":null,""imerss.org:PMLS:16843"":null,""imerss.org:PMLS:16953"":null,""imerss.org:PMLS:17029"":null,""imerss.org:PMLS:17071"":null,""imerss.org:PMLS:17143"":null,""imerss.org:PMLS:17223"":null,""imerss.org:PMLS:17339"":null,""imerss.org:PMLS:17419"":null,""imerss.org:PMLS:17522"":null,""imerss.org:PMLS:17644"":null,""imerss.org:PMLS:17733"":null,""imerss.org:PMLS:17868"":null,""imerss.org:PMLS:17926"":null,""imerss.org:PMLS:18011"":null,""imerss.org:PMLS:18201"":null,""imerss.org:PMLS:18287"":null,""imerss.org:PMLS:18374"":null,""imerss.org:PMLS:18432"":null,""imerss.org:PMLS:18459"":null,""imerss.org:PMLS:18481"":null,""imerss.org:PMLS:18547"":null,""imerss.org:PMLS:18580"":null,""imerss.org:PMLS:18604"":null,""imerss.org:PMLS:18634"":null,""iNat:2825535"":null,""iNat:128527392"":null,""iNat:129284364"":null,""iNat:164081900"":null,""iNat:164113342"":null,""iNat:2975823"":null,""iNat:3707767"":null,""iNat:30012071"":null,""iNat:60038095"":null,""iNat:70487030"":null,""iNat:70790701"":null,""iNat:70981830"":null,""iNat:84398170"":null,""iNat:86745405"":null,""iNat:92327312"":null,""iNat:103178046"":null,""iNat:130989161"":null,""iNat:163264985"":null,""iNat:165739134"":null,""iNat:169325522"":null,""iNat:169325742"":null,""iNat:173366517"":null,""iNat:177622917"":null,""iNat:181865013"":null,""iNat:182593084"":null,""iNat:184748223"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,nubilus,Andy Lamb,PMLS,,,,imerss.org:PMLS:32,1969-02-21T00:00:00.000Z,,,,,,iNat:182593084,2023-09-09T00:00:00.000Z,1,1,1,0,1,0,qumine',"(Thom, 2011)"
Balanus rostratus,782656,Balanus rostratus,0,accepted,"Hoek, 1883",3,"{""e9a06f2c-97af-43c1-bf64-f34946deb516"":null,""iNat:182740616"":null,""iNat:182740618"":null}",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,rostratus,,RBCM,,,986-00197-026,e9a06f2c-97af-43c1-bf64-f34946deb516,1986-09-30T00:00:00.000Z,,,,,,iNat:182740616,2023-09-10T00:00:00.000Z,,,,,,,,
