iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported
Agonopsis vulsa,180027,Agonopsis vulsa,"(Jordan & Gilbert, 1880)",4,"{""imerss.org:PMLS:1829"":null,""imerss.org:PMLS:2174"":null,""imerss.org:PMLS:2373"":null,""imerss.org:iNat:116447577"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Agonidae,Agoninae,,Agonopsis,vulsa,Charlie Gibbs,,,,imerss.org:PMLS:1829,1995-02-25T00:00:00.000Z,Jackson W.F. Chu,,,,imerss.org:iNat:116447577,2008-05-22T00:00:00.000Z
Ammodytes personatus,201784,Ammodytes personatus,"Girard, 1856",14,"{""imerss.org:PMLS:759"":null,""imerss.org:PMLS:7195"":null,""imerss.org:PMLS:11479"":null,""imerss.org:iNat:4028615"":null,""imerss.org:iNat:53663613"":null,""imerss.org:iNat:54567083"":null,""imerss.org:iNat:57099081"":null,""imerss.org:iNat:82260707"":null,""imerss.org:iNat:85213908"":null,""imerss.org:iNat:91652281"":null,""imerss.org:iNat:117396288"":null,""imerss.org:iNat:121959374"":null,""imerss.org:iNat:124073086"":null,""imerss.org:iNat:124097153"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Trachinoidei,,,Ammodytidae,,,Ammodytes,personatus,Andy Lamb,,,,imerss.org:PMLS:759,1993-08-16T00:00:00.000Z,Dave Zeuss Cochrane,,,,imerss.org:iNat:124073086,2022-06-24T00:00:00.000Z
Anarrhichthys ocellatus,60635,Anarrhichthys ocellatus,"Ayres, 1855",5,"{""imerss.org:PMLS:830"":null,""imerss.org:PMLS:3838"":null,""imerss.org:PMLS:4577"":null,""imerss.org:PMLS:5016"":null,""imerss.org:PMLS:7686"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Anarhichadidae,,,Anarrhichthys,ocellatus,Charlie Gibbs,,,,imerss.org:PMLS:830,1994-02-26T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:7686,2008-07-19T00:00:00.000Z
Anoplarchus purpurescens,67316,Anoplarchus purpurescens,"Gill, 1861",12,"{""imerss.org:PMLS:93"":null,""imerss.org:PMLS:8972"":null,""imerss.org:iNat:2580652"":null,""imerss.org:iNat:3734809"":null,""imerss.org:iNat:7647287"":null,""imerss.org:iNat:6967289"":null,""imerss.org:iNat:13029352"":null,""imerss.org:iNat:13029700"":null,""imerss.org:iNat:107685798"":null,""imerss.org:iNat:107704207"":null,""imerss.org:iNat:108401288"":null,""imerss.org:iNat:143066175"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Stichaeidae,Xiphisterinae,,Anoplarchus,purpurescens,Andy Lamb,,,,imerss.org:PMLS:93,1969-02-22T00:00:00.000Z,Alex Niese,,,,imerss.org:iNat:143066175,2022-11-26T00:00:00.000Z
Apodichthys flavidus,67408,Apodichthys flavidus,"Girard, 1854",14,"{""imerss.org:PMLS:94"":null,""imerss.org:CMN:CMNFI 1985-0087.5"":null,""imerss.org:PMLS:2465"":null,""imerss.org:PMLS:2545"":null,""imerss.org:PMLS:2726"":null,""imerss.org:PMLS:11379"":null,""imerss.org:PMLS:15421"":null,""imerss.org:iNat:4015148"":null,""imerss.org:iNat:7674345"":null,""imerss.org:iNat:7647293"":null,""imerss.org:iNat:12970648"":null,""imerss.org:iNat:84664218"":null,""imerss.org:iNat:91082515"":null,""imerss.org:iNat:96554100"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,,Pholidae,Apodichthyinae,,Apodichthys,flavidus,Andy Lamb,,,,imerss.org:PMLS:94,1969-02-22T00:00:00.000Z,Dave Zeuss Cochrane,,,,imerss.org:iNat:96554100,2021-09-28T00:00:00.000Z
Artedius fenestralis,117527,Artedius fenestralis,"Jordan & Gilbert, 1883",9,"{""imerss.org:PMLS:12"":null,""imerss.org:PMLS:95"":null,""imerss.org:iNat:2976334"":null,""imerss.org:PMLS:16365"":null,""imerss.org:PMLS:16465"":null,""imerss.org:iNat:7647275"":null,""imerss.org:iNat:106689086"":null,""imerss.org:iNat:124073104"":null,""imerss.org:iNat:128941866"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Oligocottinae,,Artedius,fenestralis,Andy Lamb,,,,imerss.org:PMLS:12,1968-08-02T00:00:00.000Z,Dave Zeuss Cochrane,,,,imerss.org:iNat:128941866,2022-07-31T00:00:00.000Z
Artedius harringtoni,117528,Artedius harringtoni,"(Starks, 1896)",151,"{""imerss.org:PMLS:54"":null,""imerss.org:PMLS:278"":null,""imerss.org:PMLS:357"":null,""imerss.org:PMLS:458"":null,""imerss.org:PMLS:553"":null,""imerss.org:PMLS:771"":null,""imerss.org:PMLS:916"":null,""imerss.org:PMLS:1086"":null,""imerss.org:PMLS:1315"":null,""imerss.org:PMLS:1358"":null,""imerss.org:PMLS:1449"":null,""imerss.org:PMLS:1547"":null,""imerss.org:PMLS:1649"":null,""imerss.org:PMLS:1739"":null,""imerss.org:PMLS:1825"":null,""imerss.org:PMLS:1905"":null,""imerss.org:PMLS:1979"":null,""imerss.org:PMLS:2066"":null,""imerss.org:PMLS:2168"":null,""imerss.org:PMLS:2264"":null,""imerss.org:PMLS:2369"":null,""imerss.org:PMLS:2474"":null,""imerss.org:PMLS:2555"":null,""imerss.org:PMLS:2644"":null,""imerss.org:PMLS:2737"":null,""imerss.org:PMLS:2838"":null,""imerss.org:PMLS:2984"":null,""imerss.org:PMLS:3097"":null,""imerss.org:PMLS:3292"":null,""imerss.org:PMLS:3495"":null,""imerss.org:PMLS:3636"":null,""imerss.org:PMLS:3739"":null,""imerss.org:PMLS:3851"":null,""imerss.org:PMLS:3969"":null,""imerss.org:PMLS:4072"":null,""imerss.org:PMLS:4185"":null,""imerss.org:PMLS:4303"":null,""imerss.org:PMLS:4412"":null,""imerss.org:PMLS:4493"":null,""imerss.org:PMLS:4690"":null,""imerss.org:PMLS:4819"":null,""imerss.org:PMLS:5128"":null,""imerss.org:PMLS:5275"":null,""imerss.org:PMLS:5347"":null,""imerss.org:PMLS:5451"":null,""imerss.org:PMLS:5553"":null,""imerss.org:PMLS:5725"":null,""imerss.org:PMLS:5822"":null,""imerss.org:PMLS:5942"":null,""imerss.org:PMLS:6041"":null,""imerss.org:PMLS:6160"":null,""imerss.org:PMLS:6277"":null,""imerss.org:PMLS:6359"":null,""imerss.org:PMLS:6452"":null,""imerss.org:PMLS:6535"":null,""imerss.org:PMLS:6636"":null,""imerss.org:PMLS:6707"":null,""imerss.org:PMLS:6821"":null,""imerss.org:PMLS:6943"":null,""imerss.org:PMLS:7095"":null,""imerss.org:PMLS:7206"":null,""imerss.org:PMLS:7363"":null,""imerss.org:PMLS:7584"":null,""imerss.org:PMLS:7777"":null,""imerss.org:PMLS:7885"":null,""imerss.org:PMLS:8176"":null,""imerss.org:PMLS:8272"":null,""imerss.org:PMLS:8543"":null,""imerss.org:PMLS:8633"":null,""imerss.org:PMLS:8901"":null,""imerss.org:PMLS:8980"":null,""imerss.org:PMLS:9058"":null,""imerss.org:PMLS:9153"":null,""imerss.org:PMLS:9232"":null,""imerss.org:PMLS:9391"":null,""imerss.org:PMLS:9494"":null,""imerss.org:PMLS:9603"":null,""imerss.org:PMLS:10058"":null,""imerss.org:PMLS:10231"":null,""imerss.org:PMLS:10382"":null,""imerss.org:PMLS:10465"":null,""imerss.org:PMLS:10640"":null,""imerss.org:PMLS:10762"":null,""imerss.org:PMLS:10936"":null,""imerss.org:PMLS:11080"":null,""imerss.org:PMLS:11491"":null,""imerss.org:PMLS:11576"":null,""imerss.org:PMLS:11985"":null,""imerss.org:PMLS:12079"":null,""imerss.org:PMLS:12175"":null,""imerss.org:PMLS:12266"":null,""imerss.org:PMLS:12348"":null,""imerss.org:PMLS:12422"":null,""imerss.org:PMLS:12504"":null,""imerss.org:PMLS:12611"":null,""imerss.org:PMLS:12801"":null,""imerss.org:PMLS:12926"":null,""imerss.org:PMLS:13029"":null,""imerss.org:PMLS:13370"":null,""imerss.org:PMLS:13457"":null,""imerss.org:PMLS:13620"":null,""imerss.org:PMLS:14156"":null,""imerss.org:PMLS:14237"":null,""imerss.org:PMLS:14338"":null,""imerss.org:PMLS:14444"":null,""imerss.org:PMLS:14526"":null,""imerss.org:PMLS:14714"":null,""imerss.org:PMLS:14802"":null,""imerss.org:PMLS:14926"":null,""imerss.org:PMLS:15122"":null,""imerss.org:PMLS:15224"":null,""imerss.org:PMLS:15329"":null,""imerss.org:PMLS:15432"":null,""imerss.org:PMLS:15536"":null,""imerss.org:PMLS:15672"":null,""imerss.org:PMLS:15766"":null,""imerss.org:PMLS:15886"":null,""imerss.org:PMLS:16014"":null,""imerss.org:PMLS:16120"":null,""imerss.org:PMLS:16199"":null,""imerss.org:PMLS:16288"":null,""imerss.org:PMLS:16366"":null,""imerss.org:PMLS:16466"":null,""imerss.org:PMLS:16566"":null,""imerss.org:PMLS:16728"":null,""imerss.org:iNat:2797281"":null,""imerss.org:PMLS:16784"":null,""imerss.org:PMLS:16980"":null,""imerss.org:PMLS:17359"":null,""imerss.org:PMLS:17451"":null,""imerss.org:PMLS:17557"":null,""imerss.org:PMLS:17679"":null,""imerss.org:PMLS:17897"":null,""imerss.org:PMLS:18037"":null,""imerss.org:PMLS:18110"":null,""imerss.org:PMLS:18306"":null,""imerss.org:PMLS:18470"":null,""imerss.org:PMLS:18496"":null,""imerss.org:PMLS:18558"":null,""imerss.org:iNat:30009638"":null,""imerss.org:iNat:30012076"":null,""imerss.org:iNat:129151057"":null,""imerss.org:PMLS:18615"":null,""imerss.org:PMLS:18646"":null,""imerss.org:iNat:128527389"":null,""imerss.org:iNat:128527410"":null,""imerss.org:iNat:69845923"":null,""imerss.org:iNat:84819145"":null,""imerss.org:iNat:84948270"":null,""imerss.org:iNat:88899909"":null,""imerss.org:iNat:136885014"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Oligocottinae,,Artedius,harringtoni,Andy Lamb,,,,imerss.org:PMLS:54,1969-02-21T00:00:00.000Z,Dave Zeuss Cochrane,,,,imerss.org:iNat:136885014,2022-09-28T00:00:00.000Z
Artedius lateralis,117529,Artedius lateralis,"(Girard, 1854)",3,"{""imerss.org:PMLS:1357"":null,""imerss.org:PMLS:2169"":null,""imerss.org:iNat:56373896"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Oligocottinae,,Artedius,lateralis,Charlie Gibbs,,,,imerss.org:PMLS:1357,1995-02-23T00:00:00.000Z,Andrew Simon,,,,imerss.org:iNat:56373896,2020-08-13T00:00:00.000Z
Asemichthys taylori,172639,Asemichthys taylori,"Gilbert, 1912",17,"{""imerss.org:PMLS:191"":null,""imerss.org:PMLS:227"":null,""imerss.org:PMLS:610"":null,""imerss.org:PMLS:2266"":null,""imerss.org:PMLS:3099"":null,""imerss.org:PMLS:3294"":null,""imerss.org:PMLS:3497"":null,""imerss.org:PMLS:6823"":null,""imerss.org:PMLS:9155"":null,""imerss.org:PMLS:10938"":null,""imerss.org:PMLS:12506"":null,""imerss.org:PMLS:15674"":null,""imerss.org:iNat:2975888"":null,""imerss.org:PMLS:16290"":null,""imerss.org:PMLS:16468"":null,""imerss.org:PMLS:16568"":null,""imerss.org:iNat:126956120"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Radulininae,,Asemichthys,taylori,Andy Lamb,,,,imerss.org:PMLS:191,1973-09-20T00:00:00.000Z,Dave Zeuss Cochrane,,,,imerss.org:iNat:126956120,2022-07-18T00:00:00.000Z
Aulorhynchus flavidus,117568,Aulorhynchus flavidus,"Gill, 1861",22,"{""imerss.org:PMLS:976"":null,""imerss.org:PMLS:1353"":null,""imerss.org:PMLS:2156"":null,""imerss.org:PMLS:2724"":null,""imerss.org:PMLS:3358"":null,""imerss.org:PMLS:3480"":null,""imerss.org:PMLS:3723"":null,""imerss.org:PMLS:4289"":null,""imerss.org:PMLS:4398"":null,""imerss.org:PMLS:7480"":null,""imerss.org:PMLS:8079"":null,""imerss.org:PMLS:8442"":null,""imerss.org:PMLS:11775"":null,""imerss.org:PMLS:11975"":null,""imerss.org:iNat:97205567"":null,""imerss.org:PMLS:12785"":null,""imerss.org:PMLS:13242"":null,""imerss.org:PMLS:13746"":null,""imerss.org:PMLS:14698"":null,""imerss.org:PMLS:15419"":null,""imerss.org:PMLS:15873"":null,""imerss.org:PMLS:16002"":null}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Gasterosteoidei,,,Aulorhynchidae,,,Aulorhynchus,flavidus,Charlie Gibbs,,,,imerss.org:PMLS:976,1994-02-27T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:16002,2013-05-17T00:00:00.000Z
