iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Alcyonidium pedunculatum,873864,Alcyonidium pedunculatum,"Robertson, 1902",Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,,Alcyonidioidea,Alcyonidiidae,,,Alcyonidium,pedunculatum,imerss.org:PMLS:808,,,PMLS,,1994-02-26,Alcala Point,Charlie Gibbs
Alcyonidium pedunculatum,873864,Alcyonidium pedunculatum,"Robertson, 1902",Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,,Alcyonidioidea,Alcyonidiidae,,,Alcyonidium,pedunculatum,imerss.org:PMLS:866,,,PMLS,,1994-02-26,Race Point,Charlie Gibbs
Bugulina californica,551808,Bugulina californica,"(Robertson, 1905)",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,californica,imerss.org:PMLS:67,,,PMLS,,1969-02-22,Sturdies Bay,Andy Lamb
Bugulina californica,551808,Bugulina californica,"(Robertson, 1905)",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,californica,imerss.org:PMLS:150,,,PMLS,,1973-09-20,Alcala Point,Andy Lamb
Bugulina californica,551808,Bugulina californica,"(Robertson, 1905)",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,californica,imerss.org:PMLS:198,,,PMLS,,1973-09-21,Spanish Hills Store,Andy Lamb
Bugulina californica,551808,Bugulina californica,"(Robertson, 1905)",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,californica,imerss.org:PMLS:298,,,PMLS,,1985-07-29,Virago Point,Andy Lamb
Bugulina californica,551808,Bugulina californica,"(Robertson, 1905)",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,californica,imerss.org:PMLS:396,,,PMLS,,1985-08-02,"Skipjack Island, outer face",Andy Lamb
Bugulina californica,551808,Bugulina californica,"(Robertson, 1905)",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,californica,imerss.org:PMLS:484,,,PMLS,,1985-12-07,Alcala Point,Andy Lamb
Bugulina californica,551808,Bugulina californica,"(Robertson, 1905)",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,californica,imerss.org:PMLS:1282,,,PMLS,,1994-10-23,Race Point,Andy Lamb
Bugulina californica,551808,Bugulina californica,"(Robertson, 1905)",Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,californica,imerss.org:PMLS:2331,,,PMLS,,1996-05-29,Spanish Hills Store,Charlie Gibbs
