iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported
Alitta williami,1115984,Alitta williami,"Villalobos-Guerrero & Bakken, 2018",2,"{""imerss.org:iNat:5796200"":null,""imerss.org:iNat:117396290"":null}",Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,,Nereididae,Nereidinae,,Alitta,williami,Nomadkris,,,,imerss.org:iNat:5796200,2017-04-17T00:00:00.000Z,Andrew Simon,,,,imerss.org:iNat:117396290,2022-05-16T00:00:00.000Z
Aphrodita negligens,733687,Aphrodita negligens,"Moore, 1905",1,"{""f71ac1dd-a629-4903-b97c-bc4e5ba8b074"":null}",Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Aphroditidae,,,Aphrodita,negligens,,Invertebrate Zoology,,974-00265-001,f71ac1dd-a629-4903-b97c-bc4e5ba8b074,1914-06-26T00:00:00.000Z,,Invertebrate Zoology,,974-00265-001,f71ac1dd-a629-4903-b97c-bc4e5ba8b074,1914-06-26T00:00:00.000Z
Apomatus geniculatus,939557,Apomatus geniculatus,"(Moore & Bush, 1904)",3,"{""imerss.org:PMLS:4856"":null,""imerss.org:PMLS:6204"":null,""imerss.org:PMLS:7403"":null}",Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Apomatus,geniculatus,Andy Lamb,,,,imerss.org:PMLS:4856,2007-10-14T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:7403,2008-06-21T00:00:00.000Z
Arctonoe fragilis,69914,Arctonoe fragilis,"(Baird, 1863)",15,"{""dc35ef4a-5756-4875-abd8-14d04ed5ea3a"":null,""imerss.org:PMLS:3539"":null,""imerss.org:PMLS:6863"":null,""imerss.org:PMLS:7218"":null,""imerss.org:PMLS:7283"":null,""imerss.org:PMLS:13163"":null,""imerss.org:PMLS:14468"":null,""imerss.org:PMLS:15353"":null,""imerss.org:PMLS:15806"":null,""imerss.org:PMLS:15927"":null,""imerss.org:PMLS:16046"":null,""imerss.org:PMLS:16398"":null,""imerss.org:PMLS:16489"":null,""imerss.org:iNat:129151052"":null,""imerss.org:iNat:107706035"":null}",Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,fragilis,T. Kessler,Invertebrate Zoology,,975-00227-001,dc35ef4a-5756-4875-abd8-14d04ed5ea3a,1975-06-18T00:00:00.000Z,Alex Niese,,,,imerss.org:iNat:107706035,2022-02-28T00:00:00.000Z
Arctonoe pulchra,465156,Arctonoe pulchra,"(Johnson, 1897)",16,"{""d7b8714f-f1b1-4b32-9fca-8a5642ffd244"":null,""imerss.org:PMLS:1327"":null,""imerss.org:PMLS:4113"":null,""imerss.org:PMLS:7402"":null,""imerss.org:PMLS:10833"":null,""imerss.org:PMLS:15354"":null,""imerss.org:PMLS:15807"":null,""imerss.org:PMLS:15928"":null,""imerss.org:PMLS:16047"":null,""imerss.org:PMLS:16229"":null,""imerss.org:PMLS:16317"":null,""imerss.org:PMLS:16399"":null,""imerss.org:PMLS:16490"":null,""imerss.org:PMLS:16810"":null,""imerss.org:PMLS:18140"":null,""imerss.org:iNat:24535513"":null}",Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,pulchra,T. Kessler,Invertebrate Zoology,,975-00227-003,d7b8714f-f1b1-4b32-9fca-8a5642ffd244,1975-06-18T00:00:00.000Z,Norah Brown,,,,imerss.org:iNat:24535513,2019-05-04T00:00:00.000Z
Arctonoe vittata,122163,Arctonoe vittata,"(Grube, 1855)",2,"{""878d5251-d8ed-4009-a3b8-30b7d5afb023"":null,""imerss.org:PMLS:10998"":null}",Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,,Polynoidae,Arctonoinae,,Arctonoe,vittata,T. Kessler,Invertebrate Zoology,,975-00227-002,878d5251-d8ed-4009-a3b8-30b7d5afb023,1975-06-18T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:10998,2009-04-13T00:00:00.000Z
Bathydrilus litoreus,957359,Bathydrilus litoreus,"Baker, 1983",1,"{""101160e6-0e15-4b1b-a83c-5c24445b9592"":null}",Animalia,Annelida,,,Clitellata,Oligochaeta,,Tubificida,Tubificina,,,Naididae,Phallodrilinae,,Bathydrilus,litoreus,Randy Baker,Invertebrate Zoology,,991-00598-001,101160e6-0e15-4b1b-a83c-5c24445b9592,1979-07-05T00:00:00.000Z,Randy Baker,Invertebrate Zoology,,991-00598-001,101160e6-0e15-4b1b-a83c-5c24445b9592,1979-07-05T00:00:00.000Z
Bispira pacifica,1199401,Bispira pacifica,"(Berkeley & Berkeley, 1954)",24,"{""imerss.org:PMLS:148"":null,""imerss.org:PMLS:197"":null,""imerss.org:PMLS:244"":null,""imerss.org:PMLS:1328"":null,""imerss.org:PMLS:1580"":null,""imerss.org:PMLS:1760"":null,""imerss.org:PMLS:2097"":null,""imerss.org:PMLS:2298"":null,""imerss.org:PMLS:3413"":null,""imerss.org:PMLS:5490"":null,""imerss.org:PMLS:7221"":null,""imerss.org:PMLS:7289"":null,""imerss.org:PMLS:8127"":null,""imerss.org:PMLS:12106"":null,""imerss.org:PMLS:13066"":null,""imerss.org:PMLS:13877"":null,""imerss.org:PMLS:14554"":null,""imerss.org:PMLS:14747"":null,""imerss.org:PMLS:16321"":null,""imerss.org:PMLS:16497"":null,""imerss.org:PMLS:16595"":null,""imerss.org:PMLS:16814"":null,""imerss.org:PMLS:17007"":null,""imerss.org:PMLS:17487"":null}",Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Bispira,pacifica,Andy Lamb,,,,imerss.org:PMLS:148,1973-09-20T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:17487,2016-07-24T00:00:00.000Z
Chaetopterus variopedatus,216631,Chaetopterus variopedatus complex,"Cuvier, 1827",1,"{""imerss.org:PMLS:3318"":null}",Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Chaetopteridae,,,Chaetopterus,variopedatus,Andy Lamb,,,,imerss.org:PMLS:3318,2006-03-05T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:3318,2006-03-05T00:00:00.000Z
Chone aurantiaca,356415,Chone aurantiaca,"(Johnson, 1901)",42,"{""imerss.org:PMLS:2794"":null,""imerss.org:PMLS:2884"":null,""imerss.org:PMLS:3022"":null,""imerss.org:PMLS:3410"":null,""imerss.org:PMLS:4963"":null,""imerss.org:PMLS:5195"":null,""imerss.org:PMLS:6661"":null,""imerss.org:PMLS:6867"":null,""imerss.org:PMLS:7219"":null,""imerss.org:PMLS:7287"":null,""imerss.org:PMLS:7406"":null,""imerss.org:PMLS:7622"":null,""imerss.org:PMLS:8025"":null,""imerss.org:PMLS:8125"":null,""imerss.org:PMLS:8224"":null,""imerss.org:PMLS:8307"":null,""imerss.org:PMLS:9887"":null,""imerss.org:PMLS:10574"":null,""imerss.org:PMLS:10837"":null,""imerss.org:PMLS:11001"":null,""imerss.org:PMLS:11200"":null,""imerss.org:PMLS:11425"":null,""imerss.org:PMLS:11521"":null,""imerss.org:PMLS:11621"":null,""imerss.org:PMLS:12206"":null,""imerss.org:PMLS:12299"":null,""imerss.org:PMLS:12535"":null,""imerss.org:PMLS:12838"":null,""imerss.org:PMLS:12963"":null,""imerss.org:PMLS:13064"":null,""imerss.org:PMLS:13573"":null,""imerss.org:PMLS:14377"":null,""imerss.org:PMLS:14552"":null,""imerss.org:PMLS:14745"":null,""imerss.org:PMLS:14848"":null,""imerss.org:PMLS:16150"":null,""imerss.org:PMLS:16231"":null,""imerss.org:PMLS:16318"":null,""imerss.org:PMLS:16402"":null,""imerss.org:PMLS:16494"":null,""imerss.org:PMLS:17594"":null,""imerss.org:PMLS:18330"":null}",Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Chone,aurantiaca,Andy Lamb,,,,imerss.org:PMLS:2794,1999-05-04T00:00:00.000Z,Andy Lamb,,,,imerss.org:PMLS:18330,2019-03-17T00:00:00.000Z
