iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:CHU2010:617,,,,,2008-05-24,,Jackson W.F. Chu
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:CHU2010:618,,,,,2008-05-24,,Jackson W.F. Chu
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:CHU2010:619,,,,,2008-05-24,,Jackson W.F. Chu
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:12880,,,PMLS,,2010-04-18,Race Point,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:12990,,,PMLS,,2010-05-30,Spanish Hills wall,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:13712,,,PMLS,,2010-11-11,Alcala Point Reefs,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:14137,,,PMLS,,2011-02-20,Spanish Hills wall,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:14671,,,PMLS,,2011-09-07,Spanish Hills wall,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:14769,,,PMLS,,2011-09-07,Dionisio Reef,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:16429,,,PMLS,,2013-10-23,"Retreat Cove South, island",Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:17861,,,PMLS,,2017-03-18,Spanish Hills wall,Andy Lamb
