Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Bathydrilus litoreus,"Baker, 1983",worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Phallodrilinae ,unlisted,unlisted,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00598-001,1898264423,,,,,,733687,
Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Limnodriloidinae,unlisted,unlisted,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00719-004,1898267514,,,,,,,not recognized on iNat
Chaetopterus sp.,,U-shaped parchment tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,unlisted,unlisted,confirmed,observed,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Norah Brown,https://www.inaturalist.org/observations/24536988,https://static.inaturalist.org/photos/37940882/medium.jpeg?1557002333,,171303,species complex
Phyllochaeopterus prolifica,"Potts, 1914",prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,unlisted,unlisted,reported,unobserved,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,467241,
Phyllochaetopterus claparedii,"McIntosh, 1885",tangled-straw three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,unlisted,unlisted,reported,unobserved,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Phyllochaeopterus claparedii,876472,
Spiochaetopterus costarum,"(Claparède, 1869)",jointed three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,unlisted,unlisted,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Spiochaeopterus costarum,130236,
Diopatra ornata,"Moore, 1911",ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,,unlisted,unlisted,reported,unobserved,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,339286,
Aphrodita negligens,"Moore, 1905",sea mouse,Animalia,Annelida,,,Polychaeta,Errantia ,,Phyllodocida,Aphroditiformia ,,Aphroditidae,,unlisted,unlisted,reported,unobserved,1914-06-26,,RBCM,974-00265-001,1898322906,,,,,,733687,
Oxydromus pugettensis,"(Johnson, 1901)",bat star commensal worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,,unlisted,unlisted,confirmed,observed,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,2018-08-10,Karolle Wall,https://www.inaturalist.org/observations/15702535,https://static.inaturalist.org/photos/23436366/medium.jpg?1534715227,,494514,
Nephtys sp.,,goddess-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,incertae sedis,,Nephtyidae,,unlisted,unlisted,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,117607,
Nereis procera,"Ehlers, 1868",little pileworm sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,unlisted,unlisted,reported,unobserved,2008-03-01,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,339256,
Nereis vexillosa,"Grube, 1851",banner sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,unlisted,unlisted,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,81790,
Platynereis bicanaliculata,"(Baird, 1863)",polychaete worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Emily Adamczyk,https://www.inaturalist.org/observations/24749850,https://static.inaturalist.org/photos/38192358/medium.jpg?1557184369,,129876,
Arctonoe fragilis,"(Baird, 1863)",fragile ruffled scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,unlisted,unlisted,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-001,1898315965,,,,,,69914,
Arctonoe pulchra,"(Johnson, 1897)",red commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,unlisted,unlisted,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-003,1898314750,2019-05-04,Norah Brown,https://www.inaturalist.org/observations/24535513,https://static.inaturalist.org/photos/37938800/medium.jpeg?1557001322,,465156,
Arctonoe vittata,"(Grube, 1855)",red-banded commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,unlisted,unlisted,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-002,1898294448,,,,,,122163,
Halosydna brevisetosa,"Kinberg, 1855",eighteen-scaled worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,unlisted,unlisted,confirmed,observed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-05,Dave Metzger,https://www.inaturalist.org/observations/25586752,https://static.inaturalist.org/photos/39647375/medium.jpg?1558564709,,71236,
Harmothoe fragilis,"Moore, 1910",chocolate & white scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,unlisted,unlisted,reported,unobserved,2012-10-06,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,873903,
Tomopteris pacifica,"(Izuka, 1914)",tailed Pacific transparent-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,incertae sedis,,Tomopteridae,,unlisted,unlisted,reported,unobserved,2010-05-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,693689,
Sabellaria cementarium,"Moore, 1906",cemented sandmason tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,,unlisted,unlisted,reported,unobserved,1996-09-28,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Sabellaria cementarium,339237,
