iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,GBIF ID,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Bathydrilus litoreus,957359,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Phallodrilinae,,Bathydrilus,Bathydrilus litoreus,Bathydrilus litoreus,unlisted,unlisted,reported,1979-07-05,Randy Baker,RBCM,,,991-00598-001,1898264423,,,,,worm
Limnodriloides victoriensis,957352,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,,,Limnodriloides,Limnodriloides victoriensis,Limnodriloides victoriensis,unlisted,unlisted,reported,1979-07-05,Randy Baker,RBCM,,,991-00719-004,1898267514,,,,not recognized on iNat,worm
Chaetopterus,171303,Animalia,Annelida,,,Polychaeta,Sedentaria,,Spionida,,,Chaetopteridae,,,Chaetopterus,,Chaetopterus sp.,unlisted,unlisted,confirmed,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,2019-05-04,Norah Brown,,,https://www.inaturalist.org/observations/24536988,https://static.inaturalist.org/photos/37940882/medium.jpeg?1557002333,,species complex,U-shaped parchment tubeworm
Phyllochaetopterus prolifica,467241,Animalia,Annelida,,,Polychaeta,Sedentaria,,Spionida,,,Chaetopteridae,,,Phyllochaetopterus,Phyllochaetopterus prolifica,Phyllochaeopterus prolifica,unlisted,unlisted,reported,2006-11-11,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,prolific three-section tubeworm
Phyllochaetopterus claparedii,876472,Animalia,Annelida,,,Polychaeta,Sedentaria,,Spionida,,,Chaetopteridae,,,Phyllochaetopterus,Phyllochaetopterus claparedii,Phyllochaetopterus claparedii,unlisted,unlisted,reported,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Phyllochaeopterus claparedii,,tangled-straw three-section tubeworm
Spiochaetopterus costarum,130236,Animalia,Annelida,,,Polychaeta,Sedentaria,,Spionida,,,Chaetopteridae,,,Spiochaetopterus,Spiochaetopterus costarum,Spiochaetopterus costarum,unlisted,unlisted,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,misspelled Spiochaeopterus costarum,,jointed three-section tubeworm
Diopatra ornata,339286,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,,,Diopatra,Diopatra ornata,Diopatra ornata,unlisted,unlisted,reported,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,ornate tubeworm
Aphrodita negligens,733687,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Aphroditidae,,,Aphrodita,Aphrodita negligens,Aphrodita negligens,unlisted,unlisted,reported,1914-06-26,,RBCM,,,974-00265-001,1898322906,,,,,sea mouse
Oxydromus pugettensis,494514,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,,,Oxydromus,Oxydromus pugettensis,Oxydromus pugettensis,unlisted,unlisted,confirmed,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,2018-08-10,Karolle Wall,,,https://www.inaturalist.org/observations/15702535,https://static.inaturalist.org/photos/23436366/medium.jpg?1534715227,,,bat star commensal worm
Nephtys,117607,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Nephtyidae,,,Nephtys,,Nephtys sp.,unlisted,unlisted,reported,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,goddess-worm
