Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code
Agaricus augustus,Fr.,the prince,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,no status,new 2019,Documented,,,,,2019-09-21,benkeen,https://www.inaturalist.org/observations/33163878,https://static.inaturalist.org/photos/52063276/medium.jpeg?1569108958,,49547,
Agaricus hondensis,Murrill,felt-ringed agaricus,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,no status,new 2018,Documented,,,,,2018-09-30,benkeen,https://www.inaturalist.org/observations/17086921,https://static.inaturalist.org/photos/25866512/medium.jpg?1538359345,,118386,
Alectoria sarmentosa,(Ach.) Ach.,witch's hair,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S5 (2018) ,new 2014,Documented,,,,,2014-06-28,judithofsquamish,https://www.inaturalist.org/observations/8461852,https://static.inaturalist.org/photos/11279443/medium.jpeg?1508384786,,126626,
Aleuria aurantia,(Pers.) Fuckel,orange peel fungus,Fungi,Ascomycota,,,Pezizomycetes,,,Pezizales,,,Pyronemataceae,,,no status,new 2017,Documented,,,,,2017-10-26,edefreit,https://www.inaturalist.org/observations/8603166,https://static.inaturalist.org/photos/11503832/medium.jpeg?1509304039,,48716,
Amanita aprica,J.Lindgr. & Tulloss,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,no status,new 2018,Documented,,,,,2018-05-12,gwenlh,https://www.inaturalist.org/observations/12414336,https://static.inaturalist.org/photos/17897818/medium.png?1526223229,new to science in 2005,496850,
Amanita gemmata,(Fr.) Bertill.,jewelled amanita,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,no status,new 2018,Documented,,,,,2018-07-12,judithofsquamish,https://www.inaturalist.org/observations/14556152,https://static.inaturalist.org/photos/21684845/medium.jpeg?1532128750,,58691,
Amanita muscaria,(L.) Lam.,fly agaric,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,no status,new 2017,Documented,,,,,2017-10-09,sea2skynaturebc,https://www.inaturalist.org/observations/8327891,https://static.inaturalist.org/photos/11063268/medium.jpg?1507569378,,48715,
Amanita pachycolea,D.E. Stuntz.,western grisette,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,no status,new 2019,Documented,,,,,2019-10-05,benkeen,https://www.inaturalist.org/observations/33920922,https://static.inaturalist.org/photos/53327996/medium.jpeg?1570316966,,67357,
Amanita phalloides,(Vaill. ex Fr.) Link,deathcap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,no status,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17731288,https://static.inaturalist.org/photos/27037462/medium.jpg?1540173804,,52135,
Amanita smithiana,Bas,Smith's amanita,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,no status,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17731779,https://static.inaturalist.org/photos/27038306/medium.jpg?1540174648,,62485,
Antrodia sp.,P.Karst,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,genus is in CDC records,new 2019,Documented,,,,,2019-12-29,benkeen,https://www.inaturalist.org/observations/37083388,https://static.inaturalist.org/photos/58729873/medium.jpeg?1577668984,,118048,
Apioperdon pyriforme,(Schaeff.) Vizzini,pear-shaped puffball,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Lycoperdaceae,,,not in CDC records,new 2019,Documented,,,,,2019-08-10,benkeen,https://www.inaturalist.org/observations/30564622,https://static.inaturalist.org/photos/47756802/medium.jpeg?1565469164,,972793,
Armillaria mellea,(Vahl) P. Kumm,honey mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Marasmiineae,,Physalacriaceae,,,not in CDC records,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17732464,https://static.inaturalist.org/photos/27039800/medium.jpg?1540176306,,55950,
Artomyces pyxidatus,(Pers.) Julich,crown-tipped coral fungus,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Auriscalpiaceae,,,not in CDC records,new 2018,Documented,,,,,2018-11-04,judithofsquamish,https://www.inaturalist.org/observations/18130611,https://static.inaturalist.org/photos/27720294/medium.jpeg?1541434007,,334704,
Ascocoryne sarcoides,(Jacq.) J.W. Groves & D.E. Wilson,purple jellydisc,Fungi,Ascomycota,,,Leotiomycetes,,,Helotiales,,,Gelatinodiscaceae,,,no status,new 2018,Documented,,,,,2018-11-04,citizen1,https://www.inaturalist.org/observations/18306585,https://static.inaturalist.org/photos/27971309/medium.jpg?1541868898,,49075,
Atheniella sp.,"Desjardin, B.A.Perry",none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Porotheleaceae,,,genus is in CDC records,new 2019,Documented,,,,,2019-12-25,benkeen,https://www.inaturalist.org/observations/36946345,https://static.inaturalist.org/photos/58486784/medium.jpeg?1577305385,,487322,
Aureoboletus mirabilis,(Murrill) Halling,admirable bolete,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Boletaceae,Xerocomoideae,,no status,new 2018,Documented,,,,,2018-10-21,booboo,https://www.inaturalist.org/observations/17732343,https://static.inaturalist.org/photos/27039561/medium.jpg?1540176034,,790782,
Baeospora myosura,Singer,conifercone cap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Cyphellaceae,,,no status,new 2019,Documented,,,,,2019-11-10,benkeen,https://www.inaturalist.org/observations/35553316,https://static.inaturalist.org/photos/56072816/medium.jpeg?1573435079,,118349,
Bisporella citrina,(Batsch.) Korf. & S.E. Carp.,yellow fairy cups,Fungi,Ascomycota,,,Leotiomycetes,,,Helotiales,,,Helotiaceae,,,no status,new 2018,Documented,,,,,2018-11-07,judithofsquamish,https://www.inaturalist.org/observations/19322182,https://static.inaturalist.org/photos/29706584/medium.jpeg?1546220172,,58668,
Boletus edulis,Bull.,king bolete,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Boletaceae,,,no status,new 2010,Documented,,,,,2010-09-16,awiladzi,http://www.inaturalist.org/observations/1020878,https://static.inaturalist.org/photos/1268907/medium.jpg?1413427983,,48701,
Byssomerulius corium,(Pers.) Parmasto,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Phanerochaetaceae,,,no status,new 2018,Documented,,,,,2018-12-08,judithofsquamish,https://www.inaturalist.org/observations/18906085,https://static.inaturalist.org/photos/28975718/medium.jpeg?1544312024,,118073,
Calocera cornea,(Batsch.) Fr.,club-like tuning fork,Fungi,Basidiomycota,,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,no status,new 2018,Documented,,,,,2018-07-07,carl1986,https://www.inaturalist.org/observations/15716045,https://static.inaturalist.org/photos/23462512/medium.jpg?1534749741,,118027,
Calocera viscosa,(Pers.) Fr.,jelly-antler,Fungi,Basidiomycota,,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,no status,new 2018,Documented,,,,,2018-11-12,judithofsquamish,https://www.inaturalist.org/observations/18443231,https://static.inaturalist.org/photos/28196186/medium.jpeg?1542435055,,63405,
Cerrena unicolor,(Bull.) Murrill,mossy maze polypore,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,no status,new 2018,Documented,,,,,2018-11-05,judithofsquamish,https://www.inaturalist.org/observations/18154869,https://static.inaturalist.org/photos/27752220/medium.jpeg?1541476956,,194476,
Chlorociboria sp.,"Seaver ex Ramamurthi, Korf & L.R. Batra",none,Fungi,Ascomycota,,,Leotiomycetes,,,Helotiales,,,Chlorociboriaceae,,,genus is in CDC records,new 2014,Documented,,,,,2014-10-07,judithofsquamish,https://www.inaturalist.org/observations/5971851,https://static.inaturalist.org/photos/7463029/medium.jpeg?1493238557,,54595,
Chlorophyllum brunneum,(Farlow & Burt) Vellinga,shaggy parasol,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,no status,new 2018,Documented,,,,,2018-10-20,citizen1,https://www.inaturalist.org/observations/17733378,https://static.inaturalist.org/photos/27041626/medium.jpg?1540178007,,58693,
Chlorophyllum olivieri,(Barla) Vellinga,olive shaggy parasol,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,no status,new 2017,Documented,,,,,2017-11-29,rainwalker,https://www.inaturalist.org/observations/9020251,https://static.inaturalist.org/photos/12164618/medium.jpg?1512247256,,424530,
Cladonia asahinae,J.W. Thompson,western pixie-cup,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S4 (2019) ,new 2018,Documented,,,,,2018-11-07,judithofsquamish,https://www.inaturalist.org/observations/18236220,https://static.inaturalist.org/photos/27864972/medium.jpeg?1541656042,,210582,
Cladonia bellidiflora,(Ach.) Schaerer,toy soldiers,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2018) ,new 2014,Documented,,,,,2014-05-30,judithofsquamish,https://www.inaturalist.org/observations/5948224,https://static.inaturalist.org/photos/7428613/medium.jpeg?1493090185,,123391,
