Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Ophrydium versatile,Müller,a colonial microscopic single-celled protozoan,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Ophrydiidae,,,genus not in CDC records,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/71512859,,364055
Chaetoceros sp,,a type of centric diatom; marine sp,Chromista,Ochrophyta,,,Bacillariophyceae,Chaetocerotophycidae,,Chaetocerotales,,,Chaetocerotaceae,,,genus not in CDC records,new 2021,documented,,,,,,44233,urielgc,https://www.inaturalist.org/observations/69193225,iNat:: to be confirmed,123862
Coscinodiscus sp,,a genus of diatoms,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,genus not in CDC records,new 2021,documented,,,,,,44233,urielgc,https://www.inaturalist.org/observations/69193207,iNat:: to be confirmed,123865
Desmarestia viridis,(O.F. Müller) J.V. Lamouroux,stringy acid weed; a sp of brown algae,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,182892
Desmarestia ligulata,(Stackhouse) J.V. Lamouroux,broad acid weed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,328357
Leathesia marina,(Lyngbye) Decaisne,sea cauliflower,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Chordariaceae,,,genus not in CDC records,new 2019,documented,,,,,,43647,bclarkston,https://www.inaturalist.org/observations/28020220,,502380
Melanosiphon intestinalis,(De A.Saunders) M.J.Wynne,twisted sea tube seaweed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Scytosiphonaceae,,,genus not in CDC records,new 2020,documented,,,,,,43951,microbin_,https://www.inaturalist.org/observations/44424296,,345332
Petalonia fascia,(O.F.Müller) Kuntze,false kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Ectocarpales,,,Scytosiphonaceae,,,genus not in CDC records,new 2019,documented,,,,,,43622,bclarkston,https://www.inaturalist.org/observations/27915829,,117816
Fucus distichus,L.,rockweed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,Fucaceae,,native,genus not in CDC records,confirmed,documented,38205,Donna Gibbs,Howe Sound Marine Data,,,42942,caitlinforeman,https://www.inaturalist.org/observations/7298484,f. Fucus gardneri,65843
Sargassum muticum,(Yendo) Fensholt ,japanese wireweed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,Sargassaceae,,native,genus not in CDC records,confirmed,documented,34791,Donna Gibbs,Howe Sound Marine Data,,"LGL Limited, Environmental Research Associates, Sidney, BC",42943,caitlinforeman,https://www.inaturalist.org/observations/7298469,,130177
Costaria costata,(C.Agardh) De A.Saunders,seersucker kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Agaraceae,,,genus not in CDC records,new 2019,documented,,,,,,43622,bclarkston,https://www.inaturalist.org/observations/27914306,,125877
