Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Sclerophora peronella,(Ach.) Tibell,frosted glass-whiskers,Fungi,Ascomycota,Pezizomycotina,,Coniocybomycetes,,,Coniocybales,,,Coniocybaceae,,native,S1 (2002),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,230637,
Physcia adscendens,(Th.Fr.) H.Olivier,hooded rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,124439,
Physcia dubia,(Hoffm.) Lettau,grinning rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S4S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,228044,
Physcia tenella,(Scop.) DC.,hoodless rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,228059,
Tholurna dissimilis,(Norman) Norman,arboreal bottle-collection,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,native,S5 (2020),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,232575,
Alectoria sarmentosa,(Ach.) Ach. ,witch's hair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),new 2017,documented,,,,,,42862,judithofsquamish,https://www.inaturalist.org/observations/8899112,,126626
Alectoria vancouverensis,(Gyelnik) Gyelnik ex Brodo & D. Hawksw,vancouver witch's hair lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S4 (2018),new 2021,documented,,,,,,44203.609363425923,gwenlh,https://www.inaturalist.org/observations/69402015,,205455
Bryoria fuscescens,(Gyel.) Brodo & D. Hawksw.,pale-footed horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native ,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117927,
Bryoria glabra,(Motyka) Brodo & D. Hawksw.,wire horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native ,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,205668,
Bryoria pseudofuscescens,(Gyelnik) Brodo & D. Hawksw.,mountain horsehair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native ,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,205673,
Cetrelia cetrarioides,(Duby) Culb. & C. Culb.,downside seastorm,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,154457,
Cladonia arbuscula subsp. beringiana,(Wallr.) Hale & Culb.,mesopmorphic reindeer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,340871
Cladonia arbuscula subsp. mitis,Sandst. ,ectomorphic reindeer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,462714,
Cladonia asahinae,J.W. Thomson,Western Pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2019),new 2018,documented,,,,,,43411,judithofsquamish,https://www.inaturalist.org/observations/18236220,,210582
Cladonia bellidiflora,(Ach.) Schaer.,Toy Soldiers/floral pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),confirmed,documented,,,,,,41789,judithofsquamish,https://www.inaturalist.org/observations/5948224,,123391
Cladonia cariosa,(Ach.) Sprengel,lesser ribbed pixie  ,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,179750,
Cladonia carneola,(Fr.) .Fr.,royal pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,194513,
Cladonia cenotea,(Ach.) Schaer.,singing pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,180456,
Cladonia cervicornis,(Ach.) Flot.,Browned Pixie-cup Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2019),new 2018,documented,,,,,,43411,judithofsquamish,https://www.inaturalist.org/observations/18236354,,54284
Cladonia chlorophaea,(Flörke ex Sommerf.) Sprengel.,Mealy Pixie Cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43199,derekkillby,https://www.inaturalist.org/observations/13792618,,49488
Cladonia coniocraea,(Flörke) Spreng,mama littlehorn pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,155093,
Cladonia cornuta,(L.) Hoffm.,Bighorn Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),new 2014,documented,,,,,,41818,judithofsquamish,https://www.inaturalist.org/observations/8462427,,179035
Cladonia crispata var. crispata,(Ach.)Fflot.,greater organpipe pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,240032,
Cladonia deformis,(l.) Hoffm.,medium hot pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,119887,
